리드(197210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-09-26,683,683,683,683,0,1045.0,1530040.0
2014-09-29,683,683,683,683,0,,
2014-09-30,683,683,683,683,0,,
2014-10-01,683,683,683,683,0,,
2014-10-02,683,683,683,683,0,,
2014-10-06,683,683,683,683,0,,
2014-10-07,683,683,683,683,0,,
2014-10-08,683,683,683,683,0,,
2014-10-10,683,683,683,683,0,,
2014-10-13,683,683,683,683,0,,
2014-10-14,683,683,683,683,0,,
2014-10-15,683,683,683,683,0,,
2014-10-16,683,683,683,683,0,,
2014-10-17,683,683,683,683,0,,
2014-10-20,683,683,683,683,0,,
2014-10-21,683,683,683,683,0,,
2014-10-22,683,683,683,683,0,,
2014-10-23,683,683,683,683,0,,
2014-10-24,683,683,683,683,0,,
2014-10-27,683,683,683,683,0,,
2014-10-28,683,683,683,683,0,,
2014-10-29,785,785,785,785,0,1201.0,1530040.0
2014-10-30,902,902,902,902,0,1380.0,1530040.0
2014-10-31,902,902,902,902,0,1380.0,1530040.0
2014-11-03,1035,1035,1035,1035,0,1584.0,1530040.0
2014-11-04,1035,1035,1035,1035,0,1584.0,1530040.0
2014-11-05,1035,1035,1035,1035,0,,
2014-11-06,1190,1190,1190,1190,0,1821.0,1530040.0
2014-11-07,1365,1365,1365,1365,0,2089.0,1530040.0
2014-11-10,1365,1365,1365,1365,0,2089.0,1530040.0
2014-11-11,1565,1565,1565,1565,0,2395.0,1530040.0
2014-11-12,1565,1565,1565,1565,0,2395.0,1530040.0
2014-11-13,1795,1795,1795,1795,0,5054.0,2815750.0
2014-11-14,2060,2060,2060,2060,0,5800.0,2815750.0
2014-11-17,2060,2060,2060,2060,0,5800.0,2815750.0
2014-11-18,2060,2060,2060,2060,0,,
2014-11-19,2060,2060,2060,2060,0,,
2014-11-20,2060,2060,2060,2060,624,5800.0,2815750.0
2014-11-21,2060,2060,2060,2060,0,,
2014-11-24,2060,2060,2060,2060,0,,
2014-11-25,2060,2060,2060,2060,0,,
2014-11-26,2060,2060,2060,2060,0,,
2014-11-27,2060,2060,2060,2060,0,,
2014-11-28,2060,2060,2060,2060,0,,
2014-12-01,2060,2060,2060,2060,0,,
2014-12-02,2060,2060,2060,2060,0,,
2014-12-03,2060,2060,2060,2060,0,,
2014-12-04,2060,2060,2060,2060,0,,
2014-12-05,2060,2060,2060,2060,0,,
2014-12-08,2060,2060,2060,2060,0,,
2014-12-09,2060,2060,2060,2060,0,,
2014-12-10,2060,2060,2060,2060,0,,
2014-12-11,2060,2060,2060,2060,0,,
2014-12-12,2060,2060,2060,2060,0,,
2014-12-15,2365,2365,2365,2365,0,6659.0,2815750.0
2014-12-16,2715,2715,2715,2715,0,7645.0,2815750.0
2014-12-17,3120,3120,3120,3120,0,8785.0,2815750.0
2014-12-18,3200,3200,3200,3200,1,9010.0,2815750.0
2014-12-19,3110,3680,3110,3680,402,10362.0,2815750.0
2014-12-22,3575,3575,3575,3575,225,10066.0,2815750.0
2014-12-23,3575,3575,3575,3575,0,10066.0,2815750.0
2014-12-24,3575,3575,3575,3575,0,,
2014-12-26,3575,3575,3575,3575,0,,
2014-12-29,3575,3575,3575,3575,0,,
2014-12-30,3575,3575,3575,3575,0,,
2015-01-02,3575,3575,3575,3575,0,,
