이미지스(115610),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-02-26,6000,6900,5940,6900,3002424,33903.0,4913521.0
2010-03-02,7930,7930,6950,7520,4495135,36950.0,4913521.0
2010-03-03,7520,7640,7060,7300,1114827,35869.0,4913521.0
2010-03-04,7570,8390,7370,8390,1646621,41224.0,4913521.0
2010-03-05,9140,9640,8840,9640,3112171,47366.0,4913521.0
2010-03-08,10200,11050,10200,11050,808872,54294.0,4913521.0
2010-03-09,12700,12700,12200,12700,182612,62402.0,4913521.0
2010-03-10,14600,14600,13050,14600,1221998,71737.0,4913521.0
2010-03-11,15600,16750,15600,16750,573334,82301.0,4913521.0
2010-03-12,18450,19250,18100,19250,309547,94585.0,4913521.0
2010-03-15,22100,22100,22100,22100,53765,108589.0,4913521.0
2010-03-16,25400,25400,25400,25400,20540,124803.0,4913521.0
2010-03-17,29150,29150,21600,21600,339811,106132.0,4913521.0
2010-03-18,18400,18400,18400,18400,52958,90409.0,4913521.0
2010-03-19,15650,21150,15650,17100,6198088,84021.0,4913521.0
2010-03-22,16200,18950,15850,17500,3151343,85987.0,4913521.0
2010-03-23,18300,20100,18100,20100,1761720,98762.0,4913521.0
2010-03-24,21000,21000,17100,17100,1782388,123470.0,7220447.0
2010-03-25,16100,17100,14550,14550,1355949,105058.0,7220447.0
2010-03-26,14550,15750,13250,13700,3817817,98920.0,7220447.0
2010-03-29,13650,14400,12950,13250,2268685,95671.0,7220447.0
2010-03-30,13500,15200,13000,14450,4464829,104335.0,7220447.0
2010-03-31,14350,14650,13250,13500,1751318,97476.0,7220447.0
2010-04-01,13600,15200,13050,14700,3465595,106141.0,7220447.0
2010-04-02,14700,15500,14350,14350,2503430,103613.0,7220447.0
2010-04-05,14300,15300,13800,15300,2300370,110473.0,7220447.0
2010-04-06,14900,15250,14300,14950,1531000,107946.0,7220447.0
2010-04-07,15400,15650,12750,12750,2147095,92061.0,7220447.0
2010-04-08,12050,12850,11750,12450,1816889,89895.0,7220447.0
2010-04-09,12500,12650,10600,11000,1870039,79425.0,7220447.0
2010-04-12,11100,11600,10750,10900,917340,78703.0,7220447.0
2010-04-13,11100,12450,10600,11800,2328546,85201.0,7220447.0
2010-04-14,11650,12200,11100,11350,974987,81952.0,7220447.0
