슈프리마에이치큐(094840),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-07-11,3742,3742,3182,3543,479163,48510.0,2100000.0
2008-07-14,3542,3811,3527,3620,149334,49560.0,2100000.0
2008-07-15,3649,3726,3450,3474,83018,47565.0,2100000.0
2008-07-16,3496,3986,3496,3689,191048,50505.0,2100000.0
2008-07-17,3764,4240,3619,4241,196347,58065.0,2100000.0
2008-07-18,4247,4409,3987,4080,162477,55860.0,2100000.0
2008-07-21,4010,4270,3941,4087,110944,55965.0,2100000.0
2008-07-22,4064,4669,3987,4233,143672,57960.0,2100000.0
2008-07-23,4309,4861,4233,4862,176105,66570.0,2100000.0
2008-07-24,5138,5260,4723,4862,198824,66570.0,2100000.0
2008-07-25,4792,5160,4739,5153,119893,70560.0,2100000.0
2008-07-28,5237,5904,5045,5821,260117,79695.0,2100000.0
2008-07-29,5896,6058,4992,5215,381047,71400.0,2100000.0
2008-07-30,5429,5666,4831,4908,291378,67200.0,2100000.0
2008-07-31,4953,5168,4800,5092,132417,100994.0,3042000.0
2008-08-01,5030,5138,4616,4923,171353,97648.0,3042000.0
2008-08-04,4984,5068,4823,4839,59918,95975.0,3042000.0
2008-08-05,4968,5130,4815,5107,152978,101299.0,3042000.0
2008-08-06,5214,5291,5022,5031,215869,99778.0,3042000.0
2008-08-07,5122,5329,4922,5322,301921,105557.0,3042000.0
2008-08-08,5283,5820,5230,5552,245739,110120.0,3042000.0
2008-08-11,5644,5690,5467,5521,100644,109512.0,3042000.0
2008-08-12,5475,5521,5214,5215,91641,103428.0,3042000.0
2008-08-13,5137,5329,5045,5100,121508,101146.0,3042000.0
2008-08-14,5145,5199,4984,5100,104678,101146.0,3042000.0
2008-08-18,5160,5368,5130,5153,118312,102211.0,3042000.0
2008-08-19,5153,5252,5114,5153,91545,102211.0,3042000.0
2008-08-20,5138,5206,4938,5138,77677,101907.0,3042000.0
2008-08-21,5145,5291,5138,5138,56468,101907.0,3042000.0
2008-08-22,5138,5138,4654,4969,143097,98561.0,3042000.0
2008-08-25,4984,5015,4861,4908,39776,97344.0,3042000.0
2008-08-26,4746,4969,4731,4816,37771,95519.0,3042000.0
2008-08-27,4938,5022,4823,4862,72674,96431.0,3042000.0
2008-08-28,4907,4907,4654,4870,48174,96584.0,3042000.0
2008-08-29,4907,5092,4769,5092,66044,100994.0,3042000.0
2008-09-01,5030,5107,4708,4709,61717,93389.0,3042000.0
2008-09-02,4746,4861,4616,4724,102437,93694.0,3042000.0
2008-09-03,4785,4892,4707,4877,48230,96736.0,3042000.0
2008-09-04,4831,5138,4785,5138,44850,101907.0,3042000.0
2008-09-05,5007,5506,4968,5414,112477,107383.0,3042000.0
2008-09-08,5513,5620,5414,5598,111031,111033.0,3042000.0
2008-09-09,5689,5689,5306,5437,83105,107839.0,3042000.0
2008-09-10,5313,5505,5275,5498,45190,109056.0,3042000.0
2008-09-11,5521,5858,5444,5675,92190,112554.0,3042000.0
2008-09-12,5797,5797,5444,5590,88193,110881.0,3042000.0
2008-09-16,5022,5230,4754,4755,87761,94302.0,3042000.0
2008-09-17,4861,5107,4715,4801,148009,95215.0,3042000.0
2008-09-18,4478,4555,4110,4433,227639,87914.0,3042000.0
2008-09-19,4662,4731,4547,4601,96300,91260.0,3042000.0
2008-09-22,4662,4722,4386,4394,67102,87153.0,3042000.0
2008-09-23,4301,4623,4217,4617,78864,91564.0,3042000.0
2008-09-24,4623,4700,4508,4647,41777,92173.0,3042000.0
2008-09-25,4677,4923,4569,4862,81459,96431.0,3042000.0
2008-09-26,4938,4938,4677,4686,52446,92933.0,3042000.0
2008-09-29,4761,4877,4570,4755,111985,94302.0,3042000.0
2008-09-30,4386,4746,4309,4739,64628,93998.0,3042000.0
2008-10-01,4792,4807,4639,4739,36355,93998.0,3042000.0
2008-10-02,4739,4792,4647,4770,38247,94606.0,3042000.0
2008-10-06,4631,4692,4432,4486,54335,88978.0,3042000.0
2008-10-07,4401,4601,3987,4601,40503,91260.0,3042000.0
2008-10-08,4447,4616,4301,4425,55620,87762.0,3042000.0
2008-10-09,4463,4601,4378,4601,47265,91260.0,3042000.0
2008-10-10,4386,4470,3987,4448,57639,88218.0,3042000.0
2008-10-13,4601,4662,4539,4647,46671,92173.0,3042000.0
2008-10-14,4800,5199,4700,5069,119867,100538.0,3042000.0
2008-10-15,4984,5030,4738,4793,73477,95062.0,3042000.0
2008-10-16,4463,4631,4141,4325,183247,85784.0,3042000.0
2008-10-17,4531,4577,4186,4410,87690,87458.0,3042000.0
2008-10-20,4462,4524,4217,4456,61142,88370.0,3042000.0
2008-10-21,4493,4524,4278,4333,77216,85936.0,3042000.0
2008-10-22,4263,4463,4003,4248,65937,84263.0,3042000.0
2008-10-23,4071,4109,3611,3735,205146,74073.0,3042000.0
