씨엠에스에듀(225330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-04-07,6704,7204,6041,6241,1300480,104923.0,4205350.0
2016-04-08,6203,6554,6091,6504,241904,109339.0,4205350.0
2016-04-11,6591,6591,6216,6216,120620,104503.0,4205350.0
2016-04-12,6253,6291,6166,6204,44424,104293.0,4205350.0
2016-04-14,6203,6378,5753,5916,117474,99457.0,4205350.0
2016-04-15,5916,5928,5565,5779,64545,97144.0,4205350.0
2016-04-18,5803,5916,5691,5916,29375,99457.0,4205350.0
2016-04-19,5841,5953,5778,5879,12683,98826.0,4205350.0
2016-04-20,5941,5966,5741,5866,17753,98615.0,4205350.0
2016-04-21,5916,5916,5578,5679,31496,95461.0,4205350.0
2016-04-22,5628,5666,5553,5629,26072,94620.0,4205350.0
2016-04-25,5678,5678,5503,5616,12191,94410.0,4205350.0
2016-04-26,5616,5616,5503,5604,10964,94200.0,4205350.0
2016-04-27,5565,5666,5440,5591,21667,93990.0,4205350.0
2016-04-28,5553,5628,5515,5516,9899,92728.0,4205350.0
2016-04-29,5578,5691,5490,5629,27135,94620.0,4205350.0
2016-05-02,5653,5828,5440,5591,57026,93990.0,4205350.0
2016-05-03,5591,5591,5490,5541,13072,93149.0,4205350.0
2016-05-04,5540,5565,5403,5503,26884,92518.0,4205350.0
2016-05-09,5428,5903,5140,5754,95760,96723.0,4205350.0
2016-05-10,5766,5803,5578,5741,62125,96513.0,4205350.0
2016-05-11,5691,5978,5666,5979,58689,100508.0,4205350.0
2016-05-12,5966,6003,5853,5904,28716,99246.0,4205350.0
2016-05-13,5991,6253,5903,6041,43015,101559.0,4205350.0
2016-05-16,6041,6103,5891,5954,9762,100087.0,4205350.0
2016-05-17,6078,6078,5753,5904,8577,99246.0,4205350.0
2016-05-18,5903,5903,5628,5641,26625,94831.0,4205350.0
2016-05-19,5591,5828,5490,5679,22825,95461.0,4205350.0
2016-05-20,5928,5928,5603,5654,8022,95041.0,4205350.0
2016-05-23,5666,5703,5390,5516,32556,92728.0,4205350.0
2016-05-24,5641,5641,5403,5478,12889,92097.0,4205350.0
2016-05-25,5565,5591,5390,5516,17036,92728.0,4205350.0
2016-05-26,5666,5841,5528,5816,50976,97774.0,4205350.0
2016-05-27,5766,5966,5766,5916,12224,99457.0,4205350.0
2016-05-30,5978,5978,5678,5791,12919,97354.0,4205350.0
2016-05-31,5791,5791,5666,5704,8877,95882.0,4205350.0
2016-06-01,5703,5891,5666,5854,14979,98405.0,4205350.0
2016-06-02,5878,5941,5741,5904,14691,99246.0,4205350.0
2016-06-03,5878,6091,5878,6091,15477,102400.0,4205350.0
2016-06-07,6091,6166,5953,6079,20805,102190.0,4205350.0
2016-06-08,6078,6078,5966,6029,29764,101349.0,4205350.0
2016-06-09,6028,6116,5916,6004,17875,100928.0,4205350.0
2016-06-10,6003,6228,5953,6041,50858,101559.0,4205350.0
2016-06-13,6128,6128,5891,5966,10591,100298.0,4205350.0
2016-06-14,5966,6041,5816,6029,9306,101349.0,4205350.0
2016-06-15,6003,6228,6003,6204,18426,104293.0,4205350.0
2016-06-16,6203,6441,6191,6354,33429,106816.0,4205350.0
2016-06-17,6466,6816,6266,6542,70304,109970.0,4205350.0
2016-06-20,6541,6741,6466,6542,28176,109970.0,4205350.0
2016-06-21,6704,6829,6554,6729,39819,113124.0,4205350.0
2016-06-22,6629,6704,6441,6442,112841,108288.0,4205350.0
2016-06-23,6479,6929,6454,6717,41369,112914.0,4205350.0
2016-06-24,6954,6991,6454,6842,70286,115016.0,4205350.0
2016-06-27,6904,7041,6766,6804,49834,114386.0,4205350.0
2016-06-28,6729,7192,6729,7129,78066,119852.0,4205350.0
2016-06-29,6954,7229,6904,7154,49089,120273.0,4205350.0
2016-06-30,7229,7304,7004,7179,39106,120694.0,4205350.0
2016-07-01,7054,7166,6841,7017,37517,117960.0,4205350.0
2016-07-04,6979,6979,6629,6742,40401,113334.0,4205350.0
2016-07-05,6704,6941,6591,6842,33643,115016.0,4205350.0
2016-07-06,6879,6966,6641,6679,21200,112283.0,4205350.0
2016-07-07,6566,6704,6429,6692,88744,112493.0,4205350.0
2016-07-08,6604,7104,6554,7029,72917,118170.0,4205350.0
2016-07-11,7029,7204,7029,7042,36447,118381.0,4205350.0
2016-07-12,7179,7179,6891,6979,27526,117329.0,4205350.0
2016-07-13,7079,7079,6829,6829,18931,114806.0,4205350.0
2016-07-14,7004,7079,6866,7017,17203,117960.0,4205350.0
2016-07-15,7016,7079,6854,6892,14084,115857.0,4205350.0
2016-07-18,6779,6966,6579,6779,16857,113965.0,4205350.0
2016-07-19,6754,6816,6591,6754,19046,113544.0,4205350.0
2016-07-20,6704,7104,6479,7079,24627,119011.0,4205350.0
2016-07-21,6991,7166,6954,7167,20037,120483.0,4205350.0
2016-07-22,7317,7729,7016,7667,39896,128894.0,4205350.0
2016-07-25,7754,7929,7567,7567,27781,127212.0,4205350.0
2016-07-26,7442,7942,7317,7942,22146,133520.0,4205350.0
2016-07-27,8042,8192,7692,7742,46773,130156.0,4205350.0
2016-07-28,7654,7867,7417,7742,39717,130156.0,4205350.0
2016-07-29,7742,7742,7279,7430,53888,124899.0,4205350.0
2016-08-01,7417,7617,7242,7442,17354,125481.0,4217849.0
2016-08-02,7617,7617,7342,7555,13792,127379.0,4217849.0
2016-08-03,7529,7579,7429,7555,9430,127379.0,4217849.0
2016-08-04,7629,7679,7404,7680,10353,129488.0,4217849.0
2016-08-05,7667,7779,7554,7755,15925,130753.0,4217849.0
2016-08-08,7692,7817,7542,7630,10115,128644.0,4217849.0
2016-08-09,7504,7629,7254,7417,40933,125059.0,4217849.0
2016-08-10,7279,7554,7279,7417,11667,125059.0,4217849.0
2016-08-11,7292,7442,7279,7405,8181,124848.0,4217849.0
2016-08-12,7504,7504,7242,7392,26470,124637.0,4217849.0
2016-08-16,7392,7529,7054,7305,44177,123161.0,4217849.0
2016-08-17,7304,7454,7166,7167,15092,121080.0,4226182.0
2016-08-18,7104,7254,6966,7092,15421,119812.0,4226182.0
2016-08-19,7242,7242,6754,7217,34522,121925.0,4226182.0
2016-08-22,7279,7279,6804,7004,20358,118333.0,4226182.0
2016-08-23,6891,6979,6704,6879,34509,116220.0,4226182.0
2016-08-24,7041,7041,6741,6829,9220,115375.0,4226182.0
2016-08-25,6866,6866,6591,6754,26652,114107.0,4226182.0
2016-08-26,6679,6866,6554,6729,10892,113684.0,4226182.0
2016-08-29,6804,6904,6616,6867,11194,116009.0,4226182.0
2016-08-30,6754,6866,6679,6742,14565,113896.0,4226182.0
2016-08-31,6741,6841,6566,6754,10116,114107.0,4226182.0
2016-09-01,6754,7242,6654,7167,28369,121080.0,4226182.0
2016-09-02,7242,7242,7041,7167,8560,121080.0,4226182.0
2016-09-05,7242,7242,7116,7205,9539,121714.0,4226182.0
2016-09-06,7242,7254,7004,7217,7039,121925.0,4226182.0
2016-09-07,7229,7229,6966,7104,11162,120024.0,4226182.0
2016-09-08,7104,7104,6666,6954,22402,117488.0,4226182.0
2016-09-09,6954,6954,6666,6892,12624,116431.0,4226182.0
2016-09-12,6754,6779,6641,6742,8542,113896.0,4226182.0
2016-09-13,6816,6979,6716,6917,4808,116854.0,4226182.0
2016-09-19,6916,6954,6754,6917,2264,116854.0,4226182.0
2016-09-20,6954,6954,6791,6879,1900,116220.0,4226182.0
2016-09-21,7004,7004,6741,6979,10083,117910.0,4226182.0
2016-09-22,6954,6966,6829,6842,11708,115586.0,4226182.0
2016-09-23,6941,7104,6854,7042,14848,118967.0,4226182.0
2016-09-26,7079,7367,6904,7255,19691,122559.0,4226182.0
2016-09-27,7154,7367,7154,7255,11725,122559.0,4226182.0
2016-09-28,7367,7367,7066,7179,14024,121291.0,4226182.0
2016-09-29,7329,7329,7217,7292,12635,123193.0,4226182.0
2016-09-30,7192,7404,7116,7342,18453,124038.0,4226182.0
2016-10-04,7329,7454,7254,7342,14514,124038.0,4226182.0
2016-10-05,7392,7679,7292,7630,30292,128899.0,4226182.0
2016-10-06,7629,7742,7379,7530,17382,127208.0,4226182.0
2016-10-07,7529,7729,7304,7680,21774,129744.0,4226182.0
2016-10-10,7679,7954,7604,7867,22012,132913.0,4226182.0
2016-10-11,7867,8017,7717,8018,21171,135449.0,4226182.0
2016-10-12,7867,8117,7867,8105,17587,136928.0,4226182.0
