대양전기공업(108380),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-07-08,11200,11900,9550,9550,8298391,90680.0,9495300.0
2011-07-11,9600,9860,9050,9300,2401190,88306.0,9495300.0
2011-07-12,9150,9610,8670,8750,1625122,83084.0,9495300.0
2011-07-13,8770,8960,8280,8500,1118603,80710.0,9495300.0
2011-07-14,8590,8770,8330,8380,834600,79571.0,9495300.0
2011-07-15,8440,8740,8390,8740,836507,82989.0,9495300.0
2011-07-18,8820,8930,8630,8730,573069,82894.0,9495300.0
2011-07-19,8930,9480,8880,9230,1034773,87642.0,9495300.0
2011-07-20,9500,9560,9190,9230,568688,87642.0,9495300.0
2011-07-21,9250,9250,8950,9030,427304,85743.0,9495300.0
2011-07-22,9050,9100,8790,8820,360423,83749.0,9495300.0
2011-07-25,8930,9550,8840,9550,703591,90680.0,9495300.0
2011-07-26,9590,9610,9320,9570,457776,90870.0,9495300.0
2011-07-27,9750,9840,9340,9340,1126894,88686.0,9495300.0
2011-07-28,9210,9480,9200,9400,258300,89256.0,9495300.0
2011-07-29,9400,9730,9250,9560,365775,90775.0,9495300.0
2011-08-01,9520,9580,9360,9470,213749,89920.0,9495300.0
2011-08-02,9410,9450,9020,9100,214636,86407.0,9495300.0
2011-08-03,8850,8880,8500,8600,265312,81660.0,9495300.0
2011-08-04,8700,9260,8700,8950,292079,84983.0,9495300.0
2011-08-05,8400,8770,8000,8650,185970,82134.0,9495300.0
2011-08-08,8320,8740,7400,8050,240194,76437.0,9495300.0
2011-08-09,7510,7800,6850,7280,275545,69126.0,9495300.0
2011-08-10,7850,7850,7430,7430,110049,70550.0,9495300.0
2011-08-11,6900,7990,6900,7990,159098,75867.0,9495300.0
2011-08-12,8150,8640,8110,8380,171358,79571.0,9495300.0
2011-08-16,8500,8870,8500,8650,103039,82134.0,9495300.0
2011-08-17,8700,8790,8460,8700,52178,82609.0,9495300.0
2011-08-18,8800,8800,8410,8700,149250,82609.0,9495300.0
2011-08-19,8390,8600,8170,8400,120583,79761.0,9495300.0
2011-08-22,8390,8720,8300,8600,72394,81660.0,9495300.0
2011-08-23,8790,8790,8570,8700,128297,82609.0,9495300.0
2011-08-24,8840,10000,8830,10000,712010,94953.0,9495300.0
2011-08-25,10700,11500,10200,10900,2230667,103499.0,9495300.0
2011-08-26,11100,11500,10750,11000,1203255,104448.0,9495300.0
2011-08-29,11250,11600,10700,10850,774443,103024.0,9495300.0
2011-08-30,11050,11500,10800,11100,802671,105398.0,9495300.0
2011-08-31,11300,12650,11000,11450,2167279,108721.0,9495300.0
2011-09-01,11300,11800,11100,11250,738227,106822.0,9495300.0
2011-09-02,11400,11600,11100,11400,475955,108246.0,9495300.0
