서울반도체(046890),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-01-17,1750,1750,1750,1750,239130,80000.0,11428600.0
2002-01-18,1603,1960,1603,1960,559015,89600.0,11428600.0
2002-01-21,2195,2195,2150,2195,107897,100343.0,11428600.0
2002-01-22,2253,2438,2150,2202,563695,100686.0,11428600.0
2002-01-23,2200,2200,1980,2050,310940,93715.0,11428600.0
2002-01-24,2175,2295,2005,2295,404113,104915.0,11428600.0
2002-01-25,2295,2550,2275,2275,366757,104000.0,11428600.0
2002-01-28,2158,2475,2158,2362,185978,108000.0,11428600.0
2002-01-29,2353,2500,2353,2377,125809,108686.0,11428600.0
2002-01-30,2200,2345,2178,2337,80317,106857.0,11428600.0
2002-01-31,2375,2613,2365,2377,303493,108686.0,11428600.0
2002-02-01,2378,2448,2260,2265,108584,103543.0,11428600.0
2002-02-04,2265,2268,2063,2125,52889,97143.0,11428600.0
2002-02-05,1870,2125,1870,1997,85741,91315.0,11428600.0
2002-02-06,2000,2058,1965,1965,49137,89829.0,11428600.0
2002-02-07,1968,2033,1833,1965,27334,89829.0,11428600.0
2002-02-08,1753,1965,1753,1862,37418,85143.0,11428600.0
2002-02-14,1925,2003,1775,1852,51930,84686.0,11428600.0
2002-02-15,1853,2073,1783,2060,439027,94172.0,11428600.0
2002-02-18,2010,2010,1815,1815,238658,82972.0,11428600.0
2002-02-19,1875,1875,1723,1787,94466,81714.0,11428600.0
2002-02-20,1748,1858,1715,1837,212386,84000.0,11428600.0
2002-02-21,2058,2058,2058,2057,78430,94057.0,11428600.0
2002-02-22,2303,2303,2228,2302,1526186,105257.0,11428600.0
2002-02-25,2373,2378,2130,2225,1253007,101715.0,11428600.0
2002-02-26,2338,2490,2265,2312,1337665,105715.0,11428600.0
2002-02-27,2313,2473,2263,2350,665352,107429.0,11428600.0
2002-02-28,2575,2625,2415,2500,828254,114286.0,11428600.0
2002-03-04,2575,2800,2575,2800,657675,128000.0,11428600.0
2002-03-05,2900,3125,2825,3125,1064207,142858.0,11428600.0
2002-03-06,3250,3500,3175,3500,1098646,160000.0,11428600.0
2002-03-07,3625,3825,3088,3162,1139646,144572.0,11428600.0
2002-03-08,3325,3538,3325,3537,211989,161715.0,11428600.0
2002-03-11,3950,3950,3675,3950,1069781,180572.0,11428600.0
2002-03-12,3925,4100,3725,4100,757062,187429.0,11428600.0
2002-03-13,4025,4425,3950,3950,553374,180572.0,11428600.0
