에이에프더블류(312610),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-07-01,28000,29300,21200,21750,5265750,220294.0,10128444.0
2019-07-02,22300,23250,20850,21350,2213834,216242.0,10128444.0
2019-07-03,21700,22300,21200,21850,903873,221307.0,10128444.0
2019-07-04,21500,22150,21300,21600,509162,218774.0,10128444.0
2019-07-05,21750,21900,20000,20100,869788,203582.0,10128444.0
2019-07-08,20400,20450,18200,18200,638776,184338.0,10128444.0
2019-07-09,18200,18600,17700,17700,368759,179273.0,10128444.0
2019-07-10,17700,19150,17400,18650,387021,188895.0,10128444.0
2019-07-11,18550,19650,18450,19200,228807,194466.0,10128444.0
2019-07-12,19050,19500,18250,18450,215660,186870.0,10128444.0
2019-07-15,18600,18650,17850,18000,162288,182312.0,10128444.0
2019-07-16,17800,18150,17350,17400,304730,176235.0,10128444.0
2019-07-17,17500,17650,16950,17050,152581,172690.0,10128444.0
2019-07-18,17050,17600,16950,17000,202243,172184.0,10128444.0
2019-07-19,17000,18800,16950,18000,426843,182312.0,10128444.0
2019-07-22,18100,18800,18050,18500,218361,187376.0,10128444.0
2019-07-23,18650,18650,17900,18050,155287,182818.0,10128444.0
2019-07-24,17900,18650,17900,18050,139644,182818.0,10128444.0
2019-07-25,18050,18800,17700,18050,203755,182818.0,10128444.0
2019-07-26,17950,18150,16900,17150,173162,173703.0,10128444.0
2019-07-29,17000,17050,15650,15650,275199,158510.0,10128444.0
2019-07-30,15650,16550,15300,16450,123953,166613.0,10128444.0
2019-07-31,16450,16500,15600,16250,102298,164587.0,10128444.0
2019-08-01,15600,16100,15350,15500,195371,156991.0,10128444.0
2019-08-02,15150,15450,14900,15050,117023,152433.0,10128444.0
2019-08-05,14950,15050,13400,13450,271795,136228.0,10128444.0
2019-08-06,13000,13950,12500,13050,235634,132176.0,10128444.0
2019-08-07,13300,13650,12950,13400,116798,135721.0,10128444.0
2019-08-08,13700,14150,13500,13900,142798,140785.0,10128444.0
2019-08-09,14100,14450,14000,14200,91435,143824.0,10128444.0
2019-08-12,14400,15400,13300,13600,319881,137747.0,10128444.0
2019-08-13,13500,13500,12900,13200,214122,133695.0,10128444.0
2019-08-14,13600,13900,12950,13200,111374,133695.0,10128444.0
2019-08-16,13000,13300,12800,12950,67589,131163.0,10128444.0
2019-08-19,13050,13400,12900,13000,60941,131670.0,10128444.0
2019-08-20,13050,13650,13050,13600,67580,137747.0,10128444.0
2019-08-21,13400,13800,13250,13650,72043,138253.0,10128444.0
2019-08-22,13800,15600,13650,15000,533475,151927.0,10128444.0
2019-08-23,14700,15650,14550,15200,245316,153952.0,10128444.0
2019-08-26,14700,15050,14350,14750,117843,149395.0,10128444.0
2019-08-27,15050,15300,14500,14700,136586,148888.0,10128444.0
2019-08-28,14900,15150,14450,14650,84648,148382.0,10128444.0
2019-08-29,14700,15150,14300,14500,84666,146862.0,10128444.0
2019-08-30,14700,14850,14400,14550,60305,147369.0,10128444.0
2019-09-02,14450,14800,14350,14600,55846,147875.0,10128444.0
2019-09-03,14750,15150,14450,14850,86862,150407.0,10128444.0
2019-09-04,14950,15050,14750,15000,57788,151927.0,10128444.0
2019-09-05,15100,15100,14800,14900,51713,150914.0,10128444.0
2019-09-06,15150,15950,15050,15300,235206,154965.0,10128444.0
2019-09-09,15550,16400,15550,15950,323725,161549.0,10128444.0
2019-09-10,16350,16400,15500,15650,171162,158510.0,10128444.0
2019-09-11,15600,15800,15550,15700,66227,159017.0,10128444.0
2019-09-16,15750,15800,15450,15550,64893,157497.0,10128444.0
2019-09-17,15500,15650,15100,15550,67473,157497.0,10128444.0
2019-09-18,15550,16100,15450,15900,126896,161042.0,10128444.0
2019-09-19,16100,16450,15750,15900,139304,161042.0,10128444.0
2019-09-20,15900,16000,15400,15800,124560,160029.0,10128444.0
2019-09-23,15950,15950,15500,15500,83926,156991.0,10128444.0
2019-09-24,15300,15750,15300,15450,56147,156484.0,10128444.0
2019-09-25,15600,15600,14350,14500,117236,146862.0,10128444.0
2019-09-26,14700,14900,14100,14300,81768,144837.0,10128444.0
2019-09-27,14250,14500,14000,14400,42499,145850.0,10128444.0
2019-09-30,14350,14450,13550,14250,82831,144330.0,10128444.0
2019-10-01,14300,14600,14100,14250,45010,144330.0,10128444.0
2019-10-02,14050,14100,13500,13600,127277,137747.0,10128444.0
2019-10-04,13450,14250,13350,14000,81743,141798.0,10128444.0
2019-10-07,14000,14150,13300,13450,89695,136228.0,10128444.0
