알테오젠(196170),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-12,12589,13015,10712,10763,1280243,119956.0,5579333.0
2014-12-15,10912,12064,10562,11363,451972,126651.0,5579333.0
2014-12-16,11363,11713,10462,10663,175349,118840.0,5579333.0
2014-12-17,10637,10937,10512,10512,88002,117166.0,5579333.0
2014-12-18,10512,11388,10362,11238,217472,125256.0,5579333.0
2014-12-19,11238,11763,10887,11714,143151,130556.0,5579333.0
2014-12-22,11713,13440,11613,12665,225917,141157.0,5579333.0
2014-12-23,12314,12940,12064,12440,92958,138646.0,5579333.0
2014-12-24,12314,13666,12289,13165,231032,146736.0,5579333.0
2014-12-26,13165,13290,12514,13040,89765,145342.0,5579333.0
2014-12-29,12990,13065,12539,12640,43697,140878.0,5579333.0
2014-12-30,12564,12714,12114,12590,55581,140320.0,5579333.0
2015-01-02,12614,12790,12164,12565,43557,140041.0,5579333.0
2015-01-05,12464,13215,12289,13216,56017,147294.0,5579333.0
2015-01-06,13115,13515,12965,13266,84197,147852.0,5579333.0
2015-01-07,13290,13415,12965,13065,36653,145621.0,5579333.0
2015-01-08,13015,13215,12865,13065,22948,145621.0,5579333.0
2015-01-09,13065,13340,12414,12665,39869,141157.0,5579333.0
2015-01-12,12289,12940,12289,12840,33428,143110.0,5579333.0
2015-01-13,12714,13415,12664,13165,55953,146736.0,5579333.0
2015-01-14,13265,14066,12790,14067,71176,156779.0,5579333.0
2015-01-15,14241,14942,13991,14767,130358,164590.0,5579333.0
2015-01-16,14767,15368,14266,14767,86112,164590.0,5579333.0
2015-01-19,15267,16969,15192,16419,343758,183002.0,5579333.0
2015-01-20,16569,17245,16043,17070,148667,190255.0,5579333.0
2015-01-21,16919,17270,16719,16945,65612,188860.0,5579333.0
2015-01-22,17345,17345,16519,16770,79737,186908.0,5579333.0
2015-01-23,16594,16769,15918,16645,116370,185513.0,5579333.0
2015-01-26,16619,18271,16394,18021,171571,200856.0,5579333.0
2015-01-27,17770,19472,17670,18772,119241,209225.0,5579333.0
2015-01-28,18571,19623,18571,19022,50041,212015.0,5579333.0
2015-01-29,18972,19222,18221,18347,51783,204483.0,5579333.0
2015-01-30,18196,18772,17045,17621,101329,196393.0,5579333.0
2015-02-02,17345,17870,16894,17521,44796,195277.0,5579333.0
2015-02-03,17545,17820,16694,17521,60840,195277.0,5579333.0
2015-02-04,17670,20123,16919,19198,146138,213967.0,5579333.0
2015-02-05,19698,20624,19222,19923,141095,222057.0,5579333.0
2015-02-06,20173,21274,19823,21000,150996,234053.0,5579333.0
2015-02-09,21350,21500,19873,20324,96889,226521.0,5579333.0
2015-02-10,20123,21425,19648,21025,103273,234332.0,5579333.0
2015-02-11,21049,21249,20273,20699,77485,230705.0,5579333.0
2015-02-12,20398,20524,19698,20249,100786,225684.0,5579333.0
2015-02-13,19948,22526,19798,22026,352839,245491.0,5579333.0
2015-02-16,21950,23227,21149,21150,224541,247625.0,5860945.0
2015-02-17,20724,21149,19522,20824,125078,243815.0,5860945.0
2015-02-23,20824,22251,19973,21025,96922,246160.0,5860945.0
2015-02-24,21224,23377,21024,23027,244323,269603.0,5860945.0
2015-02-25,23527,23827,21975,22176,106380,259640.0,5860945.0
2015-02-26,21975,22901,21525,22351,74425,261691.0,5860945.0
2015-02-27,22351,22626,21625,21776,66357,254951.0,5860945.0
2015-03-02,21350,21650,20774,21175,70706,247918.0,5860945.0
2015-03-03,21024,21875,20524,20524,81478,240299.0,5860945.0
2015-03-04,20323,20924,20173,20549,63841,240592.0,5860945.0
2015-03-05,20774,20949,20423,20474,50511,239713.0,5860945.0
2015-03-06,20999,21850,20423,21675,143593,253779.0,5860945.0
2015-03-09,22176,22826,21675,22276,151143,260812.0,5860945.0
2015-03-10,22651,22726,20699,21350,127074,249969.0,5860945.0
2015-03-11,21325,21350,20373,20925,75880,244988.0,5860945.0
2015-03-12,21074,21249,20649,20699,63592,242350.0,5860945.0
2015-03-13,20649,20949,20223,20699,76070,242350.0,5860945.0
2015-03-16,20724,21024,20273,20449,51913,239420.0,5860945.0
2015-03-17,20474,21675,20373,20824,126933,243815.0,5860945.0
2015-03-18,21099,21124,19998,20224,65462,236782.0,5860945.0
2015-03-19,20373,20373,18696,19773,112109,231507.0,5860945.0
2015-03-20,19372,20724,18972,20124,92065,235610.0,5860945.0
2015-03-23,20123,20674,19723,20124,47045,235610.0,5860945.0
2015-03-24,20123,20799,19873,20749,58914,242936.0,5860945.0
2015-03-25,21024,21925,20549,21826,140278,255537.0,5860945.0
2015-03-26,21274,21425,20248,20524,97391,240299.0,5860945.0
2015-03-27,20724,20724,19698,19898,28577,232973.0,5860945.0
2015-03-30,20248,20248,19347,19498,38185,228284.0,5860945.0
2015-03-31,19698,20148,19272,19598,43969,229456.0,5860945.0
2015-04-01,19598,19598,19172,19373,40985,226819.0,5860945.0
2015-04-02,19848,19923,18947,19122,58796,223888.0,5860945.0
2015-04-03,19322,19372,18496,18847,64544,220665.0,5860945.0
2015-04-06,18772,18997,18396,18797,37697,220078.0,5860945.0
2015-04-07,19072,20148,19022,19773,143922,231507.0,5860945.0
2015-04-08,19973,20248,19397,19798,81942,231800.0,5860945.0
2015-04-09,19998,20999,19998,20524,99517,240299.0,5860945.0
2015-04-10,20674,21425,20273,20374,63540,238540.0,5860945.0
2015-04-13,20423,23202,20323,22977,255880,269017.0,5860945.0
2015-04-14,22926,23152,22025,22526,150147,263743.0,5860945.0
2015-04-15,22501,22501,21300,21926,484915,256709.0,5860945.0
2015-04-16,23527,24053,22451,23127,315157,270776.0,5860945.0
2015-04-17,23027,23227,21900,23127,150235,272808.0,5904945.0
2015-04-20,22276,23903,22050,23202,163137,273694.0,5904945.0
2015-04-21,23227,24528,22726,23227,139254,273989.0,5904945.0
2015-04-22,22676,25329,22075,23903,257464,281961.0,5904945.0
2015-04-23,24028,24078,22025,22752,105562,268380.0,5904945.0
2015-04-24,23001,23227,21850,22126,73547,260999.0,5904945.0
2015-04-27,21900,22451,21650,21650,54464,255389.0,5904945.0
2015-04-28,21750,21750,20348,20524,137246,242103.0,5904945.0
2015-04-29,20724,21375,20373,20875,96568,246236.0,5904945.0
2015-04-30,20774,20799,19322,19973,136378,235607.0,5904945.0
2015-05-04,19873,19873,18371,18697,77804,220550.0,5904945.0
2015-05-06,18671,18671,15893,16269,329519,191911.0,5904945.0
2015-05-07,16769,17570,16519,17471,207197,206083.0,5904945.0
2015-05-08,17220,19172,17120,18497,124540,218188.0,5904945.0
2015-05-11,18997,19272,18021,18997,81338,224093.0,5904945.0
2015-05-12,19247,19673,18521,18922,61811,223207.0,5904945.0
2015-05-13,18947,18972,18121,18897,38943,222912.0,5904945.0
2015-05-14,18897,20849,18671,19298,100449,227636.0,5904945.0
2015-05-15,19472,19748,18922,19348,61669,228226.0,5904945.0
2015-05-18,19397,19397,17845,18522,80806,218483.0,5904945.0
2015-05-19,18521,18997,18021,18622,63445,219664.0,5904945.0
2015-05-20,18772,19798,18321,19623,112698,231474.0,5904945.0
2015-05-21,19948,20574,19372,19748,92114,232950.0,5904945.0
2015-05-22,19773,19998,18521,19523,81660,230293.0,5904945.0
2015-05-26,19522,19522,17670,18622,111171,219664.0,5904945.0
2015-05-27,18296,19022,18096,18697,47927,220550.0,5904945.0
2015-05-28,18571,18972,17795,18096,87827,213464.0,5904945.0
2015-05-29,17971,19497,17870,19223,72756,226750.0,5904945.0
2015-06-01,19197,20123,18521,19773,82456,233245.0,5904945.0
2015-06-02,20774,21900,19773,21525,348666,253913.0,5904945.0
2015-06-03,21725,22376,20098,21400,130801,252436.0,5904945.0
2015-06-04,21550,22751,20949,21675,125117,255684.0,5904945.0
2015-06-05,21049,21725,20699,21150,68258,249484.0,5904945.0
2015-06-08,21425,21575,20824,21400,54344,252436.0,5904945.0
2015-06-09,21825,22401,21625,22176,83597,261589.0,5904945.0
2015-06-10,22276,22276,20724,20975,88660,247417.0,5904945.0
2015-06-11,20849,20874,20023,20774,79662,245055.0,5904945.0
2015-06-12,21049,21400,20273,20499,64261,241807.0,5904945.0
2015-06-15,20423,21124,20123,20574,66137,242693.0,5904945.0
2015-06-16,20849,22926,20849,22026,189435,259818.0,5904945.0
2015-06-17,22025,23377,22025,22526,138817,265723.0,5904945.0
2015-06-18,22776,23377,22201,23302,82970,274875.0,5904945.0
2015-06-19,23427,23827,22901,22977,89108,271037.0,5904945.0
2015-06-22,22901,23027,21500,21726,114107,256275.0,5904945.0
2015-06-23,21775,22176,21525,21801,92966,257160.0,5904945.0
2015-06-24,22025,25004,22025,24304,242201,286685.0,5904945.0
2015-06-25,24303,28833,24078,28183,433977,332448.0,5904945.0
2015-06-26,28183,29734,27582,27983,286327,330086.0,5904945.0
2015-06-29,26931,28133,25780,26031,148445,307057.0,5904945.0
2015-06-30,25630,26581,23802,26081,233026,307648.0,5904945.0
2015-07-01,26030,28183,24929,27382,214216,323000.0,5904945.0
2015-07-02,27782,29134,26781,27582,165040,325362.0,5904945.0
2015-07-03,27732,28433,26481,27833,138809,328315.0,5904945.0
2015-07-06,27231,28783,26030,26631,165218,314143.0,5904945.0
