인피니트헬스케어(071200),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-05-26,5940,6150,5050,5050,9719716,118526.0,23470467.0
2010-05-27,4895,5260,4810,5260,3282290,123455.0,23470467.0
2010-05-28,5700,6040,5410,6040,5335436,141762.0,23470467.0
2010-05-31,6370,6800,5950,6270,8062099,147160.0,23470467.0
2010-06-01,6200,6380,5760,6170,5170131,144813.0,23470467.0
2010-06-03,6180,6710,6060,6290,6588021,147629.0,23470467.0
2010-06-04,6160,6230,5710,5730,2891046,134486.0,23470467.0
2010-06-07,5500,5670,5350,5360,2069465,125802.0,23470467.0
2010-06-08,5310,5500,5250,5320,1249687,124863.0,23470467.0
2010-06-09,5400,5560,5190,5290,1349077,124159.0,23470467.0
2010-06-10,5300,5500,5170,5200,2058762,122046.0,23470467.0
2010-06-11,5270,5480,5180,5480,1831311,128618.0,23470467.0
2010-06-14,5600,5600,5090,5120,2231409,120169.0,23470467.0
2010-06-15,5130,5230,5000,5160,917648,121108.0,23470467.0
2010-06-16,5200,5210,5090,5140,636237,120638.0,23470467.0
2010-06-17,5110,5210,5090,5140,738730,120638.0,23470467.0
2010-06-18,5230,5310,5120,5140,1068274,120638.0,23470467.0
2010-06-21,5170,5350,5120,5340,761865,125332.0,23470467.0
2010-06-22,5380,5430,5020,5020,1461389,117822.0,23470467.0
2010-06-23,5000,5080,4940,5010,316071,117587.0,23470467.0
2010-06-24,5030,5060,4990,5040,311776,118291.0,23470467.0
2010-06-25,5130,5160,4810,4810,1489687,112893.0,23470467.0
2010-06-28,4845,4885,4640,4700,953692,110311.0,23470467.0
2010-06-29,4775,4780,4380,4400,1188214,103270.0,23470467.0
2010-06-30,4205,4255,4000,4220,649348,99045.0,23470467.0
2010-07-01,4200,4380,4170,4250,663605,99749.0,23470467.0
2010-07-02,4310,4360,4070,4200,509906,98576.0,23470467.0
2010-07-05,4245,4290,4170,4200,328396,98576.0,23470467.0
2010-07-06,4150,4195,4075,4155,277276,97520.0,23470467.0
2010-07-07,4160,4460,4125,4165,1192529,97754.0,23470467.0
2010-07-08,4225,4350,4150,4300,745869,100923.0,23470467.0
2010-07-09,4600,4790,4400,4415,2249487,103622.0,23470467.0
2010-07-12,4420,4575,4410,4545,445706,106673.0,23470467.0
2010-07-13,4590,4870,4525,4645,1061749,109020.0,23470467.0
2010-07-14,4655,4950,4605,4790,1378323,112424.0,23470467.0
2010-07-15,4875,4880,4720,4760,383764,111719.0,23470467.0
2010-07-16,4790,4790,4550,4625,306830,108551.0,23470467.0
2010-07-19,4510,4680,4495,4595,231967,107847.0,23470467.0
2010-07-20,4635,4870,4605,4635,501392,108786.0,23470467.0
2010-07-21,4680,4705,4580,4610,207920,108199.0,23470467.0
2010-07-22,4635,4660,4430,4450,275240,104444.0,23470467.0
2010-07-23,4520,4530,4340,4405,244151,103387.0,23470467.0
2010-07-26,4400,4485,4360,4450,107326,104444.0,23470467.0
2010-07-27,4495,4495,4395,4405,125962,103387.0,23470467.0
2010-07-28,4410,4445,4285,4285,160976,100571.0,23470467.0
2010-07-29,4285,4400,4225,4260,161733,99984.0,23470467.0
2010-07-30,4250,4335,4230,4240,138116,99515.0,23470467.0
2010-08-02,4220,4365,4215,4290,122623,100688.0,23470467.0
2010-08-03,4285,4345,4255,4285,76964,100571.0,23470467.0
2010-08-04,4310,4440,4270,4360,140189,102331.0,23470467.0
2010-08-05,4310,4390,4280,4280,105260,100454.0,23470467.0
2010-08-06,4285,4300,4225,4255,70912,99867.0,23470467.0
2010-08-09,4255,4375,4255,4350,118331,102097.0,23470467.0
2010-08-10,4420,4420,4250,4250,118059,99749.0,23470467.0
2010-08-11,4255,4295,3950,4020,200760,94351.0,23470467.0
2010-08-12,3930,4125,3880,3990,271991,93647.0,23470467.0
2010-08-13,4000,4070,3990,4025,140638,94469.0,23470467.0
2010-08-16,4025,4060,3955,4025,94038,94469.0,23470467.0
2010-08-17,3930,4045,3905,3935,149275,92356.0,23470467.0
2010-08-18,3915,4040,3905,3930,118575,92239.0,23470467.0
2010-08-19,4000,4010,3920,3945,127061,92591.0,23470467.0
2010-08-20,3945,4220,3940,4000,406323,93882.0,23470467.0
2010-08-23,4100,4100,3945,3945,115222,92591.0,23470467.0
2010-08-24,3940,3950,3780,3800,241711,89188.0,23470467.0
2010-08-25,3730,3760,3590,3590,360362,84259.0,23470467.0
2010-08-26,3615,3670,3485,3490,169598,81912.0,23470467.0
2010-08-27,3470,3490,3380,3480,295173,81677.0,23470467.0
2010-08-30,3505,3565,3435,3455,144859,81090.0,23470467.0
2010-08-31,3455,3530,3395,3440,87336,80738.0,23470467.0
2010-09-01,3440,3530,3400,3445,106339,80856.0,23470467.0
2010-09-02,3450,3510,3435,3465,103687,81325.0,23470467.0
2010-09-03,3530,3530,3415,3460,93849,81208.0,23470467.0
2010-09-06,3490,3615,3465,3510,184745,82381.0,23470467.0
2010-09-07,3490,3605,3490,3580,132615,84024.0,23470467.0
2010-09-08,3580,3845,3550,3655,405898,85785.0,23470467.0
2010-09-09,3690,3695,3550,3580,140710,84024.0,23470467.0
2010-09-10,3690,3720,3605,3640,200624,85432.0,23470467.0
2010-09-13,3690,3690,3580,3600,84211,84494.0,23470467.0
2010-09-14,3610,3645,3465,3475,136749,81560.0,23470467.0
2010-09-15,3440,3495,3380,3430,149083,80504.0,23470467.0
2010-09-16,3435,3510,3400,3415,108926,80152.0,23470467.0
2010-09-17,3450,3480,3400,3415,115105,80152.0,23470467.0
2010-09-20,3415,3480,3415,3450,55806,80973.0,23470467.0
2010-09-24,3460,3500,3420,3500,79416,82147.0,23470467.0
2010-09-27,3570,3585,3485,3520,171795,82616.0,23470467.0
2010-09-28,3520,3545,3445,3470,81721,81443.0,23470467.0
2010-09-29,3550,3690,3460,3535,407318,82968.0,23470467.0
2010-09-30,3525,3540,3465,3470,124382,81887.0,23598467.0
2010-10-01,3470,3500,3405,3430,92021,80943.0,23598467.0
2010-10-04,3440,3600,3430,3465,272695,81769.0,23598467.0
2010-10-05,3445,3475,3400,3430,129116,80943.0,23598467.0
2010-10-06,3495,3540,3455,3455,189071,81533.0,23598467.0
2010-10-07,3420,3690,3420,3620,518090,85426.0,23598467.0
2010-10-08,3610,3635,3525,3620,220258,85426.0,23598467.0
2010-10-11,3700,3935,3700,3700,621660,87314.0,23598467.0
