에스엠코어(007820),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-11-08,6985,8033,6767,7467,6495267,113595.0,6643000.0
2011-11-09,7858,7902,6963,7052,1953171,107284.0,6643000.0
2011-11-10,6810,7159,6614,7052,886626,107284.0,6643000.0
2011-11-11,7007,7159,6767,6877,638199,104627.0,6643000.0
2011-11-14,7094,7269,6920,7008,403355,106620.0,6643000.0
2011-11-15,6876,7400,6636,7205,737515,109610.0,6643000.0
2011-11-16,7379,7596,7029,7030,730299,106952.0,6643000.0
2011-11-17,7072,7181,6898,7117,211791,108281.0,6643000.0
2011-11-18,7007,7379,6985,7292,315905,110938.0,6643000.0
2011-11-21,7335,7706,7225,7663,467214,116585.0,6643000.0
2011-11-22,7837,8404,7749,8144,1329866,123892.0,6643000.0
2011-11-23,7989,8513,7880,8187,748196,124556.0,6643000.0
2011-11-24,8208,8513,7967,8187,406627,124556.0,6643000.0
2011-11-25,8274,8884,8055,8165,832305,124224.0,6643000.0
2011-11-28,8339,8361,7858,8274,256036,125885.0,6643000.0
2011-11-29,8339,8426,8011,8056,255462,122563.0,6643000.0
2011-11-30,8098,8317,7989,8187,245582,124556.0,6643000.0
2011-12-01,8295,8404,7379,7554,612336,114924.0,6643000.0
2011-12-02,7509,7771,7335,7772,206140,118245.0,6643000.0
2011-12-05,7749,7793,7553,7728,80884,117581.0,6643000.0
2011-12-06,7706,8011,7487,7990,188910,121567.0,6643000.0
2011-12-07,7967,8252,7858,8034,250231,122231.0,6643000.0
2011-12-08,7858,8164,7596,8144,728124,123892.0,6643000.0
2011-12-09,8076,8535,8033,8318,640542,126549.0,6643000.0
2011-12-12,8557,8557,8230,8406,454746,127878.0,6643000.0
2011-12-13,8317,8383,8164,8209,162898,124888.0,6643000.0
2011-12-14,8186,8317,7793,8187,159820,124556.0,6643000.0
2011-12-15,8055,8164,7880,8078,112931,122896.0,6643000.0
2011-12-16,8098,8120,7858,8012,113200,121899.0,6643000.0
2011-12-19,7989,8011,7094,7336,261445,111602.0,6643000.0
2011-12-20,7400,7684,7335,7598,148008,115588.0,6643000.0
2011-12-21,7749,7771,7575,7772,96413,118245.0,6643000.0
2011-12-22,7793,7858,7596,7772,56278,118245.0,6643000.0
2011-12-23,7771,7837,7531,7620,64915,115920.0,6643000.0
2011-12-26,7596,7662,7291,7489,84302,113927.0,6643000.0
2011-12-27,7487,7880,7357,7794,179992,118578.0,6643000.0
2011-12-28,7858,8208,7837,8122,227787,123560.0,6643000.0
2011-12-29,8011,8098,7771,8034,92104,122231.0,6643000.0
2012-01-02,8120,8120,7815,7903,54056,120238.0,6643000.0
2012-01-03,7967,7967,7662,7728,99364,117581.0,6643000.0
2012-01-04,7749,7815,7553,7707,86150,117249.0,6643000.0
2012-01-05,7749,7858,7575,7772,90441,118245.0,6643000.0
2012-01-06,7728,7771,7422,7598,80669,115588.0,6643000.0
2012-01-09,7684,7684,7400,7641,105638,116252.0,6643000.0
2012-01-10,7640,7728,7444,7554,101705,114924.0,6643000.0
2012-01-11,7553,7815,7531,7663,176725,116585.0,6643000.0
2012-01-12,7793,7989,7706,7838,177621,119242.0,6643000.0
2012-01-13,7902,8120,7858,7969,198056,121235.0,6643000.0
2012-01-16,7858,8186,7575,7772,160126,118245.0,6643000.0
2012-01-17,7858,7945,7640,7750,79549,117913.0,6643000.0
2012-01-18,7858,7902,7662,7816,69689,118910.0,6643000.0
2012-01-19,7793,7880,7640,7750,73928,117913.0,6643000.0
2012-01-20,7706,7749,7553,7685,57737,116917.0,6643000.0
2012-01-25,7553,7815,7379,7489,98700,113927.0,6643000.0
2012-01-26,7422,7575,7357,7489,98246,113927.0,6643000.0
2012-01-27,7531,7531,7335,7336,78966,111602.0,6643000.0
2012-01-30,7291,7379,7137,7183,50281,109277.0,6643000.0
2012-01-31,7247,7379,7159,7379,40695,112267.0,6643000.0
2012-02-01,7422,7422,7269,7379,24507,112267.0,6643000.0
2012-02-02,7466,7575,7422,7554,98747,114924.0,6643000.0
2012-02-03,7618,7837,7575,7750,144116,117913.0,6643000.0
2012-02-06,7749,7858,7640,7663,77047,116585.0,6643000.0
2012-02-07,7662,7706,7553,7641,57302,116252.0,6643000.0
2012-02-08,7684,7858,7444,7772,77882,118245.0,6643000.0
2012-02-09,7858,7858,7575,7620,41407,115920.0,6643000.0
2012-02-10,7596,7596,7400,7401,51930,112599.0,6643000.0
2012-02-13,7400,7749,7291,7750,76315,117913.0,6643000.0
2012-02-14,7771,7837,7553,7598,52564,115588.0,6643000.0
2012-02-15,7553,7662,7400,7641,86793,116252.0,6643000.0
2012-02-16,7618,7706,7400,7533,70038,114592.0,6643000.0
2012-02-17,7531,7596,7422,7467,54809,113595.0,6643000.0
2012-02-20,7444,7531,7422,7445,30134,113263.0,6643000.0
2012-02-21,7487,7684,7400,7663,66473,116585.0,6643000.0
2012-02-22,7662,7858,7553,7860,70076,119574.0,6643000.0
2012-02-23,7858,8011,7793,7969,135976,121235.0,6643000.0
2012-02-24,8076,8098,7924,7969,61093,121235.0,6643000.0
2012-02-27,8033,8033,7793,7947,34208,120903.0,6643000.0
2012-02-28,7945,7989,7749,7990,63338,121567.0,6643000.0
2012-02-29,7837,8033,7815,7947,58407,120903.0,6643000.0
2012-03-02,7967,7967,7771,7794,48208,118578.0,6643000.0
2012-03-05,7793,7945,7684,7685,36129,116917.0,6643000.0
2012-03-06,7749,7749,7422,7641,49296,116252.0,6643000.0
2012-03-07,7444,7596,7357,7576,20548,115256.0,6643000.0
2012-03-08,7640,7640,7313,7379,97572,112267.0,6643000.0
2012-03-09,7422,7444,7269,7336,66581,111602.0,6643000.0
2012-03-12,7335,7444,7116,7161,71120,108945.0,6643000.0
2012-03-13,7225,7422,7072,7423,100982,112931.0,6643000.0
2012-03-14,7466,7575,7400,7445,97691,113263.0,6643000.0
2012-03-15,7422,7444,7137,7314,75622,111270.0,6643000.0
2012-03-16,7247,7444,7225,7423,35987,112931.0,6643000.0
2012-03-19,7422,7509,7137,7205,68474,109610.0,6643000.0
2012-03-20,7203,7247,7116,7249,60106,110274.0,6643000.0
2012-03-21,7291,7313,7116,7117,92971,108281.0,6643000.0
2012-03-22,7072,7181,7051,7074,45792,107617.0,6643000.0
2012-03-23,7116,7116,6571,6725,234180,102302.0,6643000.0
2012-03-26,6745,6832,6396,6463,219387,98316.0,6643000.0
2012-03-27,6571,6767,6483,6768,118879,102966.0,6643000.0
2012-03-28,6788,6788,6636,6746,47129,102634.0,6643000.0
2012-03-29,6767,6810,6571,6768,91332,102966.0,6643000.0
2012-03-30,6723,7029,6723,6942,66537,105624.0,6643000.0
2012-04-02,6920,6985,6767,6812,56763,103631.0,6643000.0
2012-04-03,6810,6898,6286,6463,112388,98316.0,6643000.0
2012-04-04,6418,6483,6025,6463,131803,98316.0,6643000.0
2012-04-05,6286,6527,6155,6463,96794,98316.0,6643000.0
2012-04-06,6483,6593,6352,6441,35044,97984.0,6643000.0
2012-04-09,6418,6483,6221,6287,38104,95659.0,6643000.0
2012-04-10,6199,6374,6177,6266,20217,95327.0,6643000.0
2012-04-12,6242,6374,6112,6332,32615,96324.0,6643000.0
2012-04-13,6286,6549,6286,6463,37278,98316.0,6643000.0
2012-04-16,6439,6483,6308,6463,12001,98316.0,6643000.0
2012-04-17,6527,6527,6374,6463,35845,98316.0,6643000.0
2012-04-18,6505,6549,6418,6463,14655,98316.0,6643000.0
2012-04-19,6330,6527,6242,6397,43044,97320.0,6643000.0
2012-04-20,6308,6396,6242,6397,17800,97320.0,6643000.0
2012-04-23,6396,6396,6221,6222,26782,94663.0,6643000.0
2012-04-24,6047,6199,5872,5938,115198,90345.0,6643000.0
2012-04-25,6025,6112,5632,5808,117806,88352.0,6643000.0
2012-04-26,5915,6090,5762,5808,107958,88352.0,6643000.0
2012-04-27,5937,5981,5784,5960,40978,90677.0,6643000.0
2012-04-30,5893,6112,5893,6047,30857,92006.0,6643000.0
2012-05-02,5981,6242,5981,6135,104147,93334.0,6643000.0
2012-05-03,6134,6374,6090,6244,65872,94995.0,6643000.0
2012-05-04,6242,6308,6112,6200,28966,94331.0,6643000.0
2012-05-07,5959,6112,5915,5982,35737,91009.0,6643000.0
2012-05-08,6025,6068,5937,6069,13674,92338.0,6643000.0
2012-05-09,6068,6068,5959,6047,12979,92006.0,6643000.0
2012-05-10,6047,6047,5828,5851,63453,89016.0,6643000.0
2012-05-11,5850,5937,5676,5764,57421,87688.0,6643000.0
2012-05-14,5784,5850,5523,5567,98003,84698.0,6643000.0
2012-05-15,5566,5937,5523,5938,90464,90345.0,6643000.0
2012-05-16,5937,6199,5850,6069,84276,92338.0,6643000.0
2012-05-17,6047,6264,5981,6200,41045,94331.0,6643000.0
2012-05-18,6090,6286,5937,5938,63739,90345.0,6643000.0
2012-05-21,5937,6374,5937,6287,81914,95659.0,6643000.0
2012-05-22,6396,6483,6330,6375,55430,96988.0,6643000.0
2012-05-23,6461,6461,6221,6332,33156,96324.0,6643000.0
2012-05-24,6396,6439,6177,6244,50679,94995.0,6643000.0
2012-05-25,6374,6439,6264,6397,30036,97320.0,6643000.0
2012-05-29,6396,6461,6264,6375,34133,96988.0,6643000.0
2012-05-30,6352,6505,6199,6484,44452,98649.0,6643000.0
2012-05-31,6352,6767,6286,6528,46441,99313.0,6643000.0
2012-06-01,6614,6745,6527,6528,32952,99313.0,6643000.0
2012-06-04,6264,6418,6112,6113,48964,93002.0,6643000.0
2012-06-05,6155,6242,5981,6091,49296,92670.0,6643000.0
2012-06-07,6264,6264,6090,6091,36856,92670.0,6643000.0
2012-06-08,6155,6264,6003,6244,19867,94995.0,6643000.0
2012-06-11,6330,6505,6264,6354,28408,96656.0,6643000.0
2012-06-12,6199,6614,6199,6593,52504,100309.0,6643000.0
2012-06-13,6680,6767,6374,6397,67814,97320.0,6643000.0
2012-06-14,6571,6920,6483,6550,132603,99645.0,6643000.0
2012-06-15,6571,6636,6418,6615,43658,100641.0,6643000.0
2012-06-18,6767,6788,6636,6703,53112,101970.0,6643000.0
2012-06-19,6701,6788,6614,6725,30685,102302.0,6643000.0
2012-06-20,6854,6854,6658,6725,38006,102302.0,6643000.0
2012-06-21,6832,6832,6658,6833,26730,103963.0,6643000.0
2012-06-22,6767,6832,6658,6768,16987,102966.0,6643000.0
2012-06-25,6723,6767,6614,6703,16098,101970.0,6643000.0
2012-06-26,6593,6658,6483,6593,31753,100309.0,6643000.0
2012-06-27,6636,6788,6505,6790,40523,103299.0,6643000.0
2012-06-28,6810,6876,6636,6790,38971,103299.0,6643000.0
2012-06-29,6788,7007,6680,6986,42633,106288.0,6643000.0
2012-07-02,7029,7029,6854,6899,30296,104959.0,6643000.0
2012-07-03,6898,6963,6788,6920,38847,105292.0,6643000.0
2012-07-04,6942,6942,6788,6942,29958,105624.0,6643000.0
2012-07-05,6942,6942,6810,6942,28358,105624.0,6643000.0
2012-07-06,6920,6942,6788,6833,33748,103963.0,6643000.0
2012-07-09,6767,6810,6593,6615,47654,100641.0,6643000.0
