엔에스(217820),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-07,6475,8400,6400,7375,2504873,72275.0,4900000.0
2015-12-08,7049,7900,6700,6925,782890,67865.0,4900000.0
2015-12-09,7075,9000,6975,9000,673323,88200.0,4900000.0
2015-12-10,9925,11425,8650,9250,2129529,90650.0,4900000.0
2015-12-11,9325,12025,9250,11100,2300756,108780.0,4900000.0
2015-12-14,10750,12400,10275,11150,750013,109270.0,4900000.0
2015-12-15,11575,13250,10750,11600,838794,113680.0,4900000.0
2015-12-16,12000,12200,10875,11300,286339,110740.0,4900000.0
2015-12-17,10900,11125,10250,10400,257653,101920.0,4900000.0
2015-12-18,10425,10850,10125,10250,128839,100450.0,4900000.0
2015-12-21,10100,10575,9500,9975,225804,97755.0,4900000.0
2015-12-22,9925,9925,9325,9325,120485,91385.0,4900000.0
2015-12-23,9200,9600,8975,9575,139329,93835.0,4900000.0
2015-12-24,9625,9700,9275,9575,62901,93835.0,4900000.0
2015-12-28,9675,9900,9325,9475,73267,92855.0,4900000.0
2015-12-29,9475,9925,9050,9850,145617,96530.0,4900000.0
2015-12-30,9950,10400,9750,10300,158006,100940.0,4900000.0
2016-01-04,10375,11800,10325,10650,314346,104370.0,4900000.0
2016-01-05,10450,10875,10275,10800,103527,105840.0,4900000.0
2016-01-06,11000,11475,10400,10625,173400,104125.0,4900000.0
2016-01-07,10525,11100,10275,10275,163135,100695.0,4900000.0
2016-01-08,9800,9925,9250,9825,175113,96285.0,4900000.0
2016-01-11,9900,9900,9200,9200,77701,90160.0,4900000.0
2016-01-12,9150,9425,9025,9175,60040,89915.0,4900000.0
2016-01-13,9275,9825,9225,9775,102359,95795.0,4900000.0
2016-01-14,9500,9600,9325,9600,41093,94080.0,4900000.0
2016-01-15,9950,10650,9850,10050,221179,98490.0,4900000.0
2016-01-18,9825,10225,9775,10175,49074,99715.0,4900000.0
2016-01-19,10075,10175,9475,9650,73927,94570.0,4900000.0
2016-01-20,9625,9700,8600,8650,118078,84770.0,4900000.0
2016-01-21,8650,9100,8325,8800,87561,86240.0,4900000.0
2016-01-22,8750,8950,8600,8800,40633,86240.0,4900000.0
2016-01-25,8800,9250,8750,9075,36406,88935.0,4900000.0
2016-01-26,8900,8975,7950,8150,140199,79870.0,4900000.0
2016-01-27,8200,8325,7825,7900,75315,77420.0,4900000.0
2016-01-28,7849,8150,7825,7925,30832,77665.0,4900000.0
2016-01-29,8000,8025,7725,7775,23520,76195.0,4900000.0
2016-02-01,7900,7900,7425,7525,46346,73745.0,4900000.0
2016-02-02,7650,8075,7600,7800,51436,76440.0,4900000.0
2016-02-03,7800,7800,7350,7550,35508,73990.0,4900000.0
2016-02-04,7474,8300,7300,8150,96774,79870.0,4900000.0
2016-02-05,8075,8075,7825,7900,25730,77420.0,4900000.0
2016-02-11,7425,7425,6549,6775,218288,66395.0,4900000.0
2016-02-12,6649,6750,6225,6325,100078,61985.0,4900000.0
2016-02-15,6525,6675,6200,6625,35397,64925.0,4900000.0
2016-02-16,6675,7200,6675,7025,148035,68845.0,4900000.0
2016-02-17,6900,7025,6674,6750,62805,66150.0,4900000.0
2016-02-18,6850,7025,6749,6775,34052,66395.0,4900000.0
2016-02-19,6800,6900,6600,6650,36539,65170.0,4900000.0
2016-02-22,6600,6625,6400,6525,40466,63945.0,4900000.0
2016-02-23,6575,6775,6500,6525,35197,63945.0,4900000.0
2016-02-24,6450,6650,6450,6550,23764,64190.0,4900000.0
2016-02-25,6600,7100,6600,6950,101826,68110.0,4900000.0
2016-02-26,7050,8550,6950,7850,555212,76930.0,4900000.0
2016-02-29,7750,7900,7524,7850,90761,76930.0,4900000.0
2016-03-02,8000,8149,7549,7575,94778,74235.0,4900000.0
2016-03-03,7700,7725,7449,7625,77470,74725.0,4900000.0
2016-03-04,7649,7825,7550,7825,61751,76685.0,4900000.0
2016-03-07,7750,8025,7475,7825,151598,76685.0,4900000.0
2016-03-08,7850,7950,7550,7650,101949,74970.0,4900000.0
2016-03-09,7725,7775,7525,7725,45319,75705.0,4900000.0
2016-03-10,7750,8350,7675,8225,172722,80605.0,4900000.0
2016-03-11,8300,8400,8050,8350,111577,81830.0,4900000.0
2016-03-14,8425,8750,8400,8425,110460,82565.0,4900000.0
2016-03-15,8500,8700,8175,8200,57501,80360.0,4900000.0
2016-03-16,8325,8400,8025,8075,44343,79135.0,4900000.0
2016-03-17,8125,8375,7950,8025,39942,78645.0,4900000.0
2016-03-18,8100,8100,7700,7750,49283,75950.0,4900000.0
2016-03-21,7925,8325,7725,7800,79785,76440.0,4900000.0
2016-03-22,7800,8100,7724,8050,58335,78890.0,4900000.0
2016-03-23,8150,8150,7825,7900,42054,77420.0,4900000.0
2016-03-24,7925,7975,7625,7675,40408,75215.0,4900000.0
2016-03-25,7675,8250,7675,8025,95064,78645.0,4900000.0
2016-03-28,8150,8350,8025,8100,110404,79380.0,4900000.0
2016-03-29,8100,8250,8000,8225,46121,80605.0,4900000.0
2016-03-30,8275,8400,8200,8275,33826,81095.0,4900000.0
2016-03-31,8225,8325,8075,8075,36331,79135.0,4900000.0
2016-04-01,8025,8174,7750,7750,32692,75950.0,4900000.0
2016-04-04,7924,8500,7924,8500,124308,83300.0,4900000.0
2016-04-05,8775,9100,8600,8975,347667,87955.0,4900000.0
2016-04-06,8850,9125,8675,9125,96285,89425.0,4900000.0
2016-04-07,9100,9150,8800,8900,75955,87220.0,4900000.0
2016-04-08,8700,9050,8700,8975,68117,87955.0,4900000.0
2016-04-11,8975,9600,8950,9125,215853,89425.0,4900000.0
2016-04-12,9100,9400,9000,9125,91380,89425.0,4900000.0
2016-04-14,9325,9400,9050,9150,63578,89670.0,4900000.0
2016-04-15,9075,9250,8850,8875,52268,86975.0,4900000.0
2016-04-18,8875,9050,8775,8950,41155,87710.0,4900000.0
2016-04-19,8950,9050,8750,8825,37841,86485.0,4900000.0
2016-04-20,8925,9200,8825,9050,53065,88690.0,4900000.0
2016-04-21,9150,9225,8900,9100,67600,89180.0,4900000.0
2016-04-22,9250,9675,9200,9550,205683,93590.0,4900000.0
2016-04-25,9650,10225,9450,9975,157844,97755.0,4900000.0
2016-04-26,10150,10225,9750,9750,114644,95550.0,4900000.0
2016-04-27,9750,9900,9425,9550,62143,93590.0,4900000.0
2016-04-28,9775,9875,9625,9700,55655,95060.0,4900000.0
2016-04-29,9775,9775,9275,9475,61610,92855.0,4900000.0
2016-05-02,9375,9575,9125,9500,51627,93100.0,4900000.0
2016-05-03,9600,9925,9525,9825,123281,96285.0,4900000.0
2016-05-04,9825,10000,9575,9600,61656,94080.0,4900000.0
2016-05-09,9775,9775,9550,9675,46271,94815.0,4900000.0
2016-05-10,9725,9875,9525,9725,50342,95305.0,4900000.0
2016-05-11,9875,9875,9525,9600,46354,94080.0,4900000.0
2016-05-12,9425,9650,9425,9475,30799,92855.0,4900000.0
2016-05-13,9350,9550,9075,9125,79540,89425.0,4900000.0
2016-05-16,9025,9300,9025,9175,27955,89915.0,4900000.0
2016-05-17,8900,8900,8425,8775,120523,85995.0,4900000.0
2016-05-18,8775,8975,8550,8750,80950,85750.0,4900000.0
2016-05-19,8600,8800,8025,8400,70468,82320.0,4900000.0
2016-05-20,8300,8625,8300,8600,29988,84280.0,4900000.0
2016-05-23,8550,8875,8550,8750,42845,85750.0,4900000.0
2016-05-24,8750,8850,8675,8800,30043,86240.0,4900000.0
2016-05-25,8800,8850,8475,8700,50279,85260.0,4900000.0
2016-05-26,8700,8700,8275,8525,25116,83545.0,4900000.0
2016-05-27,8675,8900,8525,8825,33394,86485.0,4900000.0
2016-05-30,8775,8850,8625,8700,20314,85260.0,4900000.0
2016-05-31,8600,8900,8575,8875,18772,86975.0,4900000.0
2016-06-01,8625,9175,8625,9100,34469,89180.0,4900000.0
2016-06-02,9100,9475,9000,9350,42002,91630.0,4900000.0
2016-06-03,9250,9400,9175,9350,24064,91630.0,4900000.0
2016-06-07,9425,9800,9400,9550,91364,93590.0,4900000.0
2016-06-08,9475,9500,9050,9050,39114,88690.0,4900000.0
2016-06-09,9175,9400,9075,9150,29191,89670.0,4900000.0
2016-06-10,9150,9400,9100,9300,19159,91140.0,4900000.0
2016-06-13,9100,9300,8925,8950,16834,87710.0,4900000.0
2016-06-14,8800,9000,8775,8975,25587,87955.0,4900000.0
2016-06-15,8975,8975,8625,8800,5859,86240.0,4900000.0
2016-06-16,8950,9025,8550,8550,8499,83790.0,4900000.0
2016-06-17,8750,9000,8550,8600,15054,84280.0,4900000.0
2016-06-20,8550,8650,8500,8600,14158,84280.0,4900000.0
2016-06-21,8425,8425,7875,8000,104031,78400.0,4900000.0
2016-06-22,8000,8175,7450,7600,62533,74480.0,4900000.0
2016-06-23,7500,7600,7300,7425,38307,72765.0,4900000.0
2016-06-24,7575,7600,6500,6850,63275,67130.0,4900000.0
2016-06-27,6625,6949,6600,6875,26129,67375.0,4900000.0
2016-06-28,6775,8500,6750,7400,202648,72520.0,4900000.0
2016-06-29,7625,8250,7500,7925,82648,77665.0,4900000.0
2016-06-30,8024,8050,7750,7850,40639,76930.0,4900000.0
2016-07-01,7800,7900,7725,7725,21512,75705.0,4900000.0
2016-07-04,7900,7900,7625,7700,17517,75460.0,4900000.0
2016-07-05,7650,7850,7650,7800,10044,76440.0,4900000.0
2016-07-06,7800,7850,7525,7575,16196,74235.0,4900000.0
2016-07-07,7675,7825,7650,7775,12269,76195.0,4900000.0
2016-07-08,7949,8725,7825,7875,104076,77175.0,4900000.0
2016-07-11,7874,7974,7550,7750,23833,75950.0,4900000.0
2016-07-12,7725,7725,7600,7600,14644,74480.0,4900000.0
2016-07-13,7600,7749,7450,7575,13816,74235.0,4900000.0
2016-07-14,7625,7674,7425,7550,13670,73990.0,4900000.0
2016-07-15,7675,7800,7550,7600,18966,74480.0,4900000.0
2016-07-18,7700,7750,7600,7750,11871,75950.0,4900000.0
2016-07-19,7750,7825,7675,7725,11129,75705.0,4900000.0
2016-07-20,7750,7750,7500,7500,19826,73500.0,4900000.0
2016-07-21,7450,7650,7424,7450,18541,73010.0,4900000.0
2016-07-22,7400,7550,7300,7300,10604,71540.0,4900000.0
2016-07-25,7400,7400,6975,7175,38997,70315.0,4900000.0
2016-07-26,7249,7249,7000,7125,17547,69825.0,4900000.0
2016-07-27,7125,7200,6950,7000,18270,68600.0,4900000.0
2016-07-28,7000,7300,6975,7200,16143,70560.0,4900000.0
2016-07-29,7250,7275,7150,7250,13711,71050.0,4900000.0
2016-08-01,7350,7350,7000,7100,10095,69580.0,4900000.0
2016-08-02,7000,7325,7000,7275,13381,71295.0,4900000.0
2016-08-03,7275,7275,7024,7050,14447,69090.0,4900000.0
2016-08-04,7150,7550,7050,7550,31016,73990.0,4900000.0
2016-08-05,7600,7650,7400,7500,12721,73500.0,4900000.0
2016-08-08,7500,7550,7325,7500,7702,73500.0,4900000.0
2016-08-09,7550,7550,7250,7250,10355,71050.0,4900000.0
2016-08-10,7249,7350,6950,7125,17611,69825.0,4900000.0
2016-08-11,7050,7150,6975,7000,16616,68600.0,4900000.0
2016-08-12,7100,7100,6950,7025,15643,68845.0,4900000.0
2016-08-16,7100,7100,6800,6900,23782,67620.0,4900000.0
2016-08-17,6949,7025,6800,6975,9769,68355.0,4900000.0
2016-08-18,6950,7225,6900,7150,14367,70070.0,4900000.0
2016-08-19,7100,7225,6925,7025,15552,68845.0,4900000.0
2016-08-22,7025,7375,7025,7225,30769,70805.0,4900000.0
2016-08-23,7175,7300,7125,7300,18702,71540.0,4900000.0
2016-08-24,7300,7325,7200,7225,7360,70805.0,4900000.0
2016-08-25,7325,7325,6725,6950,14910,68110.0,4900000.0
2016-08-26,6849,7125,6849,6925,10142,67865.0,4900000.0
2016-08-29,6874,6950,6550,6550,11957,64190.0,4900000.0
2016-08-30,6625,6850,6550,6750,7781,66150.0,4900000.0
2016-08-31,6800,6875,6575,6600,14278,64680.0,4900000.0
2016-09-01,6650,6774,6474,6750,15285,66150.0,4900000.0
2016-09-02,6775,6800,6600,6725,5382,65905.0,4900000.0
2016-09-05,6725,6825,6550,6625,12424,64925.0,4900000.0
2016-09-06,6550,6650,6550,6600,5809,64680.0,4900000.0
2016-09-07,6550,6674,6500,6550,7634,64190.0,4900000.0
2016-09-08,6550,6550,6250,6300,16149,61740.0,4900000.0
2016-09-09,6250,6300,5875,6050,23570,59290.0,4900000.0
2016-09-12,6050,6200,5900,6075,5854,59535.0,4900000.0
2016-09-13,6000,6174,6000,6150,6216,60270.0,4900000.0
2016-09-19,6250,6450,6075,6175,9765,60515.0,4900000.0
2016-09-20,6175,6300,6100,6300,2909,61740.0,4900000.0
2016-09-21,6400,6400,6175,6275,6799,61495.0,4900000.0
2016-09-22,6275,6325,6150,6300,5437,61740.0,4900000.0
2016-09-23,6325,6649,6325,6525,16210,63945.0,4900000.0
2016-09-26,6600,6625,6425,6550,10343,64190.0,4900000.0
2016-09-27,6500,6700,6474,6550,7129,64190.0,4900000.0
