상신전자(263810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-10-16,7249,9409,6543,9409,4750683,86262.0,3921000.0
2017-10-17,10927,12232,10478,12232,1029793,112141.0,3921000.0
2017-10-18,15396,15889,14328,15889,338675,145665.0,3921000.0
2017-10-19,18733,20615,16444,19204,3410349,176053.0,3921000.0
2017-10-20,18112,19909,15461,15462,1502457,141744.0,3921000.0
2017-10-23,15996,17557,15140,15740,1120863,144293.0,3921000.0
2017-10-24,15183,15546,13686,13837,637539,126844.0,3921000.0
2017-10-25,13942,15119,13280,14264,684757,130765.0,3921000.0
2017-10-26,13942,14071,13023,13195,287749,120963.0,3921000.0
2017-10-27,13152,13900,12894,13579,325061,124492.0,3921000.0
2017-10-30,13344,13558,12894,13473,174978,123512.0,3921000.0
2017-10-31,13301,14627,13130,13751,447490,126060.0,3921000.0
2017-11-01,13964,15311,13729,15312,381446,140372.0,3921000.0
2017-11-02,14926,15311,14328,15141,300617,138803.0,3921000.0
2017-11-03,14499,14670,13900,14457,214363,132530.0,3921000.0
2017-11-06,13900,14028,13301,13409,163962,122923.0,3921000.0
2017-11-07,13558,13750,13023,13558,145715,124296.0,3921000.0
2017-11-08,13771,14113,13323,13494,220943,123708.0,3921000.0
2017-11-09,13536,13964,13258,13259,158020,121551.0,3921000.0
2017-11-10,13579,15396,13579,13880,1045187,127236.0,3921000.0
2017-11-13,14113,14113,13643,13794,155965,126452.0,3921000.0
2017-11-14,13921,13964,12937,13216,207989,121159.0,3921000.0
2017-11-15,13216,13301,12552,12575,155643,115277.0,3921000.0
2017-11-16,12381,12873,12189,12554,128800,115081.0,3921000.0
2017-11-17,12574,12766,12253,12447,91169,114101.0,3921000.0
2017-11-20,12510,12510,11397,11506,657185,105475.0,3921000.0
2017-11-21,11547,11568,10949,11121,228947,101946.0,3921000.0
2017-11-22,11141,11826,10949,11164,317450,102338.0,3921000.0
2017-11-23,11162,12189,10970,11548,461011,105867.0,3921000.0
2017-11-24,11654,11933,11269,11271,203984,103318.0,3921000.0
2017-11-27,11376,11397,10884,10949,111170,100378.0,3921000.0
2017-11-28,10970,11162,10692,10693,116099,98025.0,3921000.0
2017-11-29,10649,11162,10649,11057,82410,101358.0,3921000.0
2017-11-30,11077,11333,10671,10693,122571,98025.0,3921000.0
2017-12-01,10927,10927,10178,10287,114818,94300.0,3921000.0
2017-12-04,10328,10372,9986,10030,78036,91947.0,3921000.0
2017-12-05,10071,10671,10007,10500,111304,96261.0,3921000.0
2017-12-06,10372,10564,10221,10308,70579,94496.0,3921000.0
2017-12-07,10328,10564,9901,9966,59644,91359.0,3921000.0
2017-12-08,10029,10328,9836,9945,55618,91163.0,3921000.0
2017-12-11,9986,10393,9922,10265,59045,94104.0,3921000.0
2017-12-12,10500,10906,10071,10137,103484,92928.0,3921000.0
2017-12-13,10114,10264,10007,10244,36897,93908.0,3921000.0
2017-12-14,10349,10671,10307,10564,120444,96849.0,3921000.0
2017-12-15,10692,10778,10221,10244,69385,93908.0,3921000.0
2017-12-18,10328,10393,9943,9945,50993,91163.0,3921000.0
2017-12-19,10007,10007,9388,9409,80819,86262.0,3921000.0
2017-12-20,9452,9516,9110,9217,44409,84498.0,3921000.0
2017-12-21,9238,9238,8596,8726,72019,79988.0,3921000.0
2017-12-22,8746,8938,8617,8832,37624,80969.0,3921000.0
2017-12-26,8746,9002,8703,8875,30015,81361.0,3921000.0
2017-12-27,8852,9259,8703,9196,54006,84302.0,3921000.0
2017-12-28,9323,9323,8981,9003,24992,82537.0,3921000.0
2018-01-02,9195,9302,8981,9196,28165,84302.0,3921000.0
2018-01-03,9409,11954,9409,11954,1404491,109592.0,3921000.0
2018-01-04,11762,13451,11269,11634,1418823,106651.0,3921000.0
2018-01-05,11419,11697,11034,11420,366486,104691.0,3921000.0
2018-01-08,12146,12659,11419,11506,698487,105475.0,3921000.0
2018-01-09,11504,11933,10820,11035,233943,101162.0,3921000.0
2018-01-10,10906,11740,10778,11570,214559,106063.0,3921000.0
2018-01-11,11333,11483,11120,11164,102589,102338.0,3921000.0
2018-01-12,11376,11440,10692,10714,112712,98221.0,3921000.0
2018-01-15,10863,10884,10457,10650,76856,97633.0,3921000.0
2018-01-16,10393,10970,10264,10650,112060,97633.0,3921000.0
2018-01-17,10692,11013,10521,11013,123070,100966.0,3921000.0
2018-01-18,11055,11248,10863,10992,113721,100770.0,3921000.0
2018-01-19,11034,11226,10842,10842,73839,99397.0,3921000.0
2018-01-22,10842,10842,10500,10543,50941,96653.0,3921000.0
2018-01-23,10564,10671,10285,10393,72073,95280.0,3921000.0
2018-01-24,10436,10607,10285,10393,53332,95280.0,3921000.0
2018-01-25,10393,10543,10285,10458,41341,95868.0,3921000.0
2018-01-26,10628,11226,10607,10885,219998,99789.0,3921000.0
2018-01-29,10884,10970,10692,10864,63074,99593.0,3921000.0
2018-01-30,10863,11226,10756,11164,103094,102338.0,3921000.0
2018-01-31,11205,11762,10991,11100,222970,101750.0,3921000.0
2018-02-01,10949,11120,10649,10650,83036,97633.0,3921000.0
2018-02-02,10628,10649,10307,10308,58801,94496.0,3921000.0
2018-02-05,9986,9986,9730,9774,53388,89595.0,3921000.0
2018-02-06,9045,9537,8810,9495,69852,87046.0,3921000.0
2018-02-07,9665,9751,9323,9324,32391,85478.0,3921000.0
2018-02-08,9195,9494,9195,9452,28017,86654.0,3921000.0
2018-02-09,9195,9238,9066,9110,24964,83517.0,3921000.0
2018-02-12,9131,9366,9066,9089,16999,83321.0,3921000.0
2018-02-13,9195,9259,9023,9068,21928,83125.0,3921000.0
2018-02-14,9066,9153,8938,9110,14698,83517.0,3921000.0
2018-02-19,9153,9494,9153,9474,24249,86850.0,3921000.0
2018-02-20,9430,9559,9217,9495,17344,87046.0,3921000.0
2018-02-21,9580,9751,9452,9752,19880,89399.0,3921000.0
2018-02-22,9665,9836,9580,9666,14520,88615.0,3921000.0
2018-02-23,9665,9751,9452,9452,19129,86654.0,3921000.0
2018-02-26,9537,9537,9302,9303,14677,85282.0,3921000.0
2018-02-27,9323,9494,9238,9238,22030,84694.0,3921000.0
2018-02-28,9217,9366,9131,9238,22053,84694.0,3921000.0
2018-03-02,9238,9238,9066,9110,15543,83517.0,3921000.0
2018-03-05,9002,9088,8639,8640,35054,79204.0,3921000.0
2018-03-06,8895,8895,8596,8704,17146,79792.0,3921000.0
2018-03-07,8617,8724,8553,8597,18889,78812.0,3921000.0
2018-03-08,8639,8767,8575,8768,10960,80380.0,3921000.0
2018-03-09,8767,9110,8746,9025,20738,82733.0,3921000.0
2018-03-12,9088,9217,9023,9110,17916,83517.0,3921000.0
2018-03-13,9217,9217,8895,9174,17893,84105.0,3921000.0
2018-03-14,9174,9174,8959,8982,12560,82341.0,3921000.0
2018-03-15,9110,9110,8874,9068,12536,83125.0,3921000.0
2018-03-16,9002,10607,9002,9709,400345,89007.0,3921000.0
2018-03-19,9708,10136,9516,9966,78340,91359.0,3921000.0
2018-03-20,9922,9943,9687,9709,54033,89007.0,3921000.0
2018-03-21,9665,9815,9388,9409,53935,86262.0,3921000.0
2018-03-22,9409,9516,9195,9281,31630,85086.0,3921000.0
2018-03-23,8981,9217,8681,8683,40857,79596.0,3921000.0
2018-03-26,8596,8746,8340,8448,45438,77440.0,3921000.0
2018-03-27,8532,8852,8532,8747,30541,80184.0,3921000.0
2018-03-28,8788,8938,8660,8811,15815,80773.0,3921000.0
2018-03-29,8852,9131,8831,8982,19245,82341.0,3921000.0
2018-03-30,9002,9153,8895,8982,16536,82341.0,3921000.0
2018-04-02,8959,8981,8511,8683,41042,79596.0,3921000.0
2018-04-03,8489,8724,8446,8640,33653,79204.0,3921000.0
2018-04-04,8639,8959,8446,8640,28693,79204.0,3921000.0
2018-04-05,8639,8767,8575,8640,16240,79204.0,3921000.0
2018-04-06,8639,8767,8489,8512,18399,78028.0,3921000.0
2018-04-09,8511,8532,8361,8448,21049,77440.0,3921000.0
2018-04-10,8489,8489,8126,8212,32965,75283.0,3921000.0
2018-04-11,8233,8404,8233,8276,15693,75871.0,3921000.0
2018-04-12,8275,8596,8233,8512,17620,78028.0,3921000.0
2018-04-13,8511,8767,8340,8533,21792,78224.0,3921000.0
2018-04-16,8532,8639,8468,8597,15173,78812.0,3921000.0
2018-04-17,8596,8767,8297,8404,339945,77048.0,3921000.0
2018-04-18,8404,8724,8382,8555,61970,78420.0,3921000.0
2018-04-19,8746,8767,8404,8426,254675,77244.0,3921000.0
2018-04-20,8340,8425,7955,7955,110429,72931.0,3921000.0
2018-04-23,7998,8040,7548,7571,87232,69402.0,3921000.0
2018-04-24,7633,7698,7441,7485,46897,68618.0,3921000.0
2018-04-25,7527,7740,7484,7571,46527,69402.0,3921000.0
2018-04-26,7676,8040,7655,7784,68345,71362.0,3921000.0
2018-04-27,7827,7933,7655,7720,31205,70774.0,3921000.0
2018-04-30,7912,8019,7698,7870,65393,72146.0,3921000.0
2018-05-02,7869,8062,7805,7934,54537,72735.0,3921000.0
2018-05-03,8062,8083,7869,7934,42624,72735.0,3921000.0
2018-05-04,7998,8040,7527,7784,44400,71362.0,3921000.0
2018-05-08,7805,7955,7548,7678,43191,70382.0,3921000.0
2018-05-09,7784,7805,7505,7742,22603,70970.0,3921000.0
2018-05-10,7740,7827,7591,7656,27335,70186.0,3921000.0
2018-05-11,7740,8104,7655,7955,78752,72931.0,3921000.0
2018-05-14,7998,8083,7698,7806,43476,71558.0,3921000.0
2018-05-15,7719,7848,7569,7656,51564,70186.0,3921000.0
2018-05-16,7462,7740,7420,7485,51328,68618.0,3921000.0
2018-05-17,7655,7698,7484,7528,26182,69010.0,3921000.0
2018-05-18,7527,7676,7505,7635,19906,69990.0,3921000.0
