멕아이씨에스(058110),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-14,8000,8500,6190,6600,1825650,35386.0,5361500.0
2015-12-15,6950,7430,6320,6620,792086,35493.0,5361500.0
2015-12-16,6710,7280,6610,7060,516076,37852.0,5361500.0
2015-12-17,7490,7870,6870,6900,458977,36994.0,5361500.0
2015-12-18,6940,7000,6610,6650,173562,35654.0,5361500.0
2015-12-21,6600,6640,6100,6210,174263,33295.0,5361500.0
2015-12-22,6210,6340,5910,5910,94291,31686.0,5361500.0
2015-12-23,5950,6030,5560,5600,118261,30024.0,5361500.0
2015-12-24,5600,6050,5580,5650,91420,30292.0,5361500.0
2015-12-28,5630,5920,5630,5720,55446,30668.0,5361500.0
2015-12-29,5720,5870,5500,5720,38872,30668.0,5361500.0
2015-12-30,5880,6060,5710,5900,79888,31633.0,5361500.0
2016-01-04,5990,6450,5990,6150,94941,32973.0,5361500.0
2016-01-05,6100,7890,6100,6940,914593,37209.0,5361500.0
2016-01-06,8180,9020,8040,9020,421034,48361.0,5361500.0
2016-01-07,10750,11700,9680,11700,3797180,62730.0,5361500.0
2016-01-08,11200,12700,10050,10300,1800068,55223.0,5361500.0
2016-01-11,10150,11000,9180,9380,1065778,50291.0,5361500.0
2016-01-12,9380,12000,9300,10250,3963024,54955.0,5361500.0
2016-01-13,10150,10200,9250,9590,930726,51417.0,5361500.0
2016-01-14,9470,10350,9330,9730,893495,52167.0,5361500.0
2016-01-15,11300,11600,9760,10000,1379223,53615.0,5361500.0
2016-01-18,10000,11200,9920,10450,1197005,56028.0,5361500.0
2016-01-19,11300,11600,10450,11200,1296552,60049.0,5361500.0
2016-01-20,10850,11000,10050,10650,454395,57100.0,5361500.0
2016-01-21,10500,10750,9800,9800,322925,52543.0,5361500.0
2016-01-22,9780,9940,9160,9280,347626,49755.0,5361500.0
2016-01-25,9470,9940,9160,9880,523255,52972.0,5361500.0
2016-01-26,9650,9770,9320,9400,217937,50398.0,5361500.0
2016-01-27,9500,9840,9250,9260,169094,49647.0,5361500.0
2016-01-28,9160,9360,8640,8850,178832,47449.0,5361500.0
2016-01-29,9300,9790,8830,8830,508596,47342.0,5361500.0
2016-02-01,8990,9110,8750,8750,90898,46913.0,5361500.0
2016-02-02,8750,9190,8240,8250,146152,44232.0,5361500.0
2016-02-03,8250,8520,8070,8390,97231,44983.0,5361500.0
2016-02-04,8280,8500,8270,8360,48298,44822.0,5361500.0
2016-02-05,8360,8620,8360,8400,46591,45037.0,5361500.0
2016-02-11,8020,8200,7550,7550,55196,40479.0,5361500.0
2016-02-12,7460,7640,6820,7100,110506,38067.0,5361500.0
2016-02-15,7310,7310,6860,6950,55956,37262.0,5361500.0
2016-02-16,7000,8700,6990,7840,363114,42034.0,5361500.0
2016-02-17,7680,7900,7530,7670,62475,41123.0,5361500.0
2016-02-18,7860,8540,7730,7950,80430,42624.0,5361500.0
2016-02-19,8000,8240,7590,7900,29147,42356.0,5361500.0
2016-02-22,7900,7990,7610,7650,25698,41015.0,5361500.0
2016-02-23,7650,7840,7600,7600,30994,40747.0,5361500.0
2016-02-24,7450,7800,7380,7530,16867,40372.0,5361500.0
2016-02-25,7870,7870,7400,7510,18365,40265.0,5361500.0
2016-02-26,7520,7600,7410,7490,17940,40158.0,5361500.0
2016-02-29,7480,7530,7050,7220,27145,38710.0,5361500.0
2016-03-02,7230,7390,7200,7320,17941,39246.0,5361500.0
2016-03-03,7500,7500,7250,7410,20828,39729.0,5361500.0
2016-03-04,7410,7520,7310,7510,20118,40265.0,5361500.0
2016-03-07,7610,7860,7450,7800,41688,41820.0,5361500.0
2016-03-08,7760,9660,7760,8490,825216,45519.0,5361500.0
2016-03-09,8650,8770,8170,8340,200842,44715.0,5361500.0
2016-03-10,8290,8580,7910,7910,185990,42409.0,5361500.0
2016-03-11,7840,7910,7650,7660,71080,41069.0,5361500.0
2016-03-14,7750,7940,7510,7940,76565,42570.0,5361500.0
2016-03-15,7900,7940,7710,7710,45037,41337.0,5361500.0
2016-03-16,7790,8550,7330,7500,275824,40211.0,5361500.0
2016-03-17,7490,7580,7090,7190,730389,38549.0,5361500.0
2016-03-18,7200,7340,7100,7150,109576,38335.0,5361500.0
2016-03-21,7190,7700,7090,7160,93313,38388.0,5361500.0
2016-03-22,7170,7220,6970,7050,84575,37799.0,5361500.0
2016-03-23,7010,7100,6880,6920,78122,37102.0,5361500.0
2016-03-24,6920,7080,6880,7050,80331,37799.0,5361500.0
2016-03-25,7020,7100,6980,7040,49430,37745.0,5361500.0
2016-03-28,7030,7030,6820,6820,58665,36565.0,5361500.0
2016-03-29,6700,6860,6620,6700,50204,35922.0,5361500.0
2016-03-30,6700,7530,6600,6760,341651,36244.0,5361500.0
2016-03-31,6760,7040,6720,7020,71187,37638.0,5361500.0
2016-04-01,7020,7100,6930,6980,50261,37423.0,5361500.0
2016-04-04,7020,7050,6850,6850,67782,36726.0,5361500.0
2016-04-05,6850,7530,6730,7300,912494,39139.0,5361500.0
2016-04-06,7390,9000,7200,8420,2222022,45144.0,5361500.0
2016-04-07,8520,8530,7830,8030,618892,43053.0,5361500.0
2016-04-08,7980,8150,7900,8070,449696,43267.0,5361500.0
2016-04-11,8000,8050,7610,7610,332726,40801.0,5361500.0
2016-04-12,7680,7810,7480,7710,170588,41337.0,5361500.0
2016-04-14,7720,8250,7660,7710,338974,41337.0,5361500.0
2016-04-15,7750,7860,7630,7730,103252,41444.0,5361500.0
2016-04-18,7790,7810,7320,7340,194612,39353.0,5361500.0
2016-04-19,7500,8480,7410,7990,918770,42838.0,5361500.0
