씨앤지하이테크(264660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-01-25,9300,10400,8550,9325,4254291,78381.0,4202740.0
2018-01-26,9225,9575,9000,9175,765856,77120.0,4202740.0
2018-01-29,9325,9800,9125,9125,661783,76700.0,4202740.0
2018-01-30,9150,9325,8700,8700,418288,73128.0,4202740.0
2018-01-31,8750,8925,8550,8675,224870,72918.0,4202740.0
2018-02-01,8725,8925,8575,8725,221670,73338.0,4202740.0
2018-02-02,8825,8900,8575,8575,222466,72077.0,4202740.0
2018-02-05,8250,8450,7975,8225,170873,69135.0,4202740.0
2018-02-06,7850,9150,7800,8275,528736,69555.0,4202740.0
2018-02-07,8650,8800,7975,8000,254183,67244.0,4202740.0
2018-02-08,8149,8300,7900,8075,132176,67874.0,4202740.0
2018-02-09,7850,7900,7475,7675,119046,64512.0,4202740.0
2018-02-12,7800,8025,7675,7725,100357,64932.0,4202740.0
2018-02-13,7875,7925,7500,7600,90078,63882.0,4202740.0
2018-02-14,7625,7725,7325,7425,107967,62411.0,4202740.0
2018-02-19,7575,7725,7500,7700,52957,64722.0,4202740.0
2018-02-20,7650,7725,7525,7600,58608,63882.0,4202740.0
2018-02-21,7650,8250,7575,8050,177025,67664.0,4202740.0
2018-02-22,8049,8049,7775,7825,76537,65773.0,4202740.0
2018-02-23,7850,7925,7700,7775,77253,65353.0,4202740.0
2018-02-26,7875,8175,7800,7975,165716,67034.0,4202740.0
2018-02-27,8074,8200,7950,7950,110420,66824.0,4202740.0
2018-02-28,7875,7925,7675,7725,52010,64932.0,4202740.0
2018-03-02,7575,7825,7525,7725,29205,64932.0,4202740.0
2018-03-05,7775,7775,7350,7425,61396,62411.0,4202740.0
2018-03-06,7550,7550,7325,7400,64175,62201.0,4202740.0
2018-03-07,7475,7550,7350,7400,39156,62201.0,4202740.0
2018-03-08,7475,7550,7325,7400,36206,62201.0,4202740.0
2018-03-09,7375,7750,7375,7500,57716,63041.0,4202740.0
2018-03-12,7675,7725,7550,7625,29364,64092.0,4202740.0
2018-03-13,7750,7874,7625,7750,48674,65142.0,4202740.0
2018-03-14,7800,8200,7675,8050,174361,67664.0,4202740.0
2018-03-15,8050,8174,7925,7950,57690,66824.0,4202740.0
2018-03-16,8075,8250,7925,8000,46583,67244.0,4202740.0
2018-03-19,8000,8075,7700,7725,53619,64932.0,4202740.0
2018-03-20,7725,7875,7550,7800,51567,65563.0,4202740.0
2018-03-21,7850,7875,7575,7600,62249,63882.0,4202740.0
2018-03-22,7625,7675,7500,7500,57863,63041.0,4202740.0
2018-03-23,7325,7500,7050,7100,83799,59679.0,4202740.0
2018-03-26,7100,7250,6900,7100,40943,59679.0,4202740.0
2018-03-27,7325,7450,7150,7200,58358,60519.0,4202740.0
2018-03-28,7200,7325,7000,7275,39832,61150.0,4202740.0
2018-03-29,7325,7425,7225,7375,18331,61990.0,4202740.0
2018-03-30,7375,7425,7300,7300,24099,61360.0,4202740.0
2018-04-02,7350,7375,7075,7225,35856,60730.0,4202740.0
2018-04-03,7100,7300,7075,7300,13912,61360.0,4202740.0
2018-04-04,7300,7325,7000,7100,46038,59679.0,4202740.0
2018-04-05,7125,7175,7049,7125,23689,59889.0,4202740.0
2018-04-06,7075,7300,7025,7300,28354,61360.0,4202740.0
2018-04-09,7300,7375,7175,7250,19971,60940.0,4202740.0
2018-04-10,7300,7300,7100,7275,12331,61150.0,4202740.0
2018-04-11,7325,7850,7200,7675,71495,64512.0,4202740.0
2018-04-12,7675,7924,7650,7850,54722,65983.0,4202740.0
2018-04-13,7900,7900,7775,7850,22791,65983.0,4202740.0
2018-04-16,7825,7849,7600,7625,37674,64092.0,4202740.0
2018-04-17,7675,7700,7550,7600,41991,63882.0,4202740.0
2018-04-18,7600,7725,7500,7700,31778,64722.0,4202740.0
2018-04-19,7750,7774,7525,7750,57408,65142.0,4202740.0
2018-04-20,7774,7950,7674,7750,46257,65142.0,4202740.0
2018-04-23,7775,7775,7525,7600,50535,63882.0,4202740.0
2018-04-24,7600,7600,7425,7500,32822,63041.0,4202740.0
2018-04-25,7500,7500,7225,7300,40126,61360.0,4202740.0
2018-04-26,7300,7549,7250,7475,29415,62831.0,4202740.0
2018-04-27,7625,7675,7400,7575,27671,63672.0,4202740.0
2018-04-30,7525,7549,7300,7475,17736,62831.0,4202740.0
2018-05-02,7325,7475,7325,7400,14996,62201.0,4202740.0
2018-05-03,7475,7600,7425,7500,18407,63041.0,4202740.0
2018-05-04,7524,8075,7524,7850,91375,65983.0,4202740.0
2018-05-08,7874,7974,7800,7950,52261,66824.0,4202740.0
2018-05-09,8025,8150,7825,7950,73926,66824.0,4202740.0
2018-05-10,7975,8050,7850,7850,24924,65983.0,4202740.0
2018-05-11,7849,8025,7800,8025,28473,67454.0,4202740.0
2018-05-14,8050,8075,7875,8000,32283,67244.0,4202740.0
2018-05-15,7950,8375,7950,8225,93828,69135.0,4202740.0
2018-05-16,8299,8350,8175,8175,42997,68715.0,4202740.0
2018-05-17,8175,8575,8150,8375,91044,70396.0,4202740.0
2018-05-18,8450,8525,8275,8475,69316,71236.0,4202740.0
2018-05-21,8475,8625,8400,8550,59727,71867.0,4202740.0
2018-05-23,8575,8750,8550,8675,81745,72918.0,4202740.0
2018-05-24,8675,8750,8300,8325,66401,69976.0,4202740.0
2018-05-25,8300,8550,8100,8500,48328,71447.0,4202740.0
2018-05-28,8500,8725,8350,8425,55828,70816.0,4202740.0
2018-05-29,8400,8524,8100,8100,68215,68084.0,4202740.0
2018-05-30,8150,8175,7750,7900,48517,66403.0,4202740.0
2018-05-31,7900,7975,7750,7925,26967,66613.0,4202740.0
2018-06-01,7924,8124,7750,8050,43936,67664.0,4202740.0
2018-06-04,8000,8125,7900,7950,25997,66824.0,4202740.0
2018-06-05,8050,8050,7925,8000,21691,67244.0,4202740.0
2018-06-07,8150,8150,7875,8025,63615,67454.0,4202740.0
2018-06-08,8000,8275,7975,8075,47030,67874.0,4202740.0
2018-06-11,8100,8175,8000,8075,40166,67874.0,4202740.0
