코오롱티슈진(950160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-11-06,52000,52000,40600,42700,14776782,,
2017-11-07,42900,55500,42850,55500,21210173,,
2017-11-08,58300,62200,52500,52600,18294788,,
2017-11-09,53600,55300,50100,51200,6401304,,
2017-11-10,50400,50800,47150,48200,5123028,,
2017-11-13,48900,53000,48900,51100,5767601,,
2017-11-14,51700,53800,50800,51000,3699540,,
2017-11-15,52300,56300,51000,53900,8426644,,
2017-11-16,56900,61200,53300,60000,10136354,,
2017-11-17,59400,60800,58000,60400,4661624,,
2017-11-20,60100,62300,58300,59800,4028506,,
2017-11-21,60700,75100,59700,68600,17024082,,
2017-11-22,69500,71600,61500,62500,7594415,,
2017-11-23,61600,65500,58900,64800,4684689,,
2017-11-24,64800,66200,60200,60400,2458128,,
2017-11-27,58700,61200,56800,58000,2384182,,
2017-11-28,58900,59500,51600,52900,2596827,,
2017-11-29,53600,54900,50400,53300,2376011,,
2017-11-30,53800,55600,51900,54500,1845358,,
2017-12-01,55800,57600,54200,55100,1861623,,
2017-12-04,54000,54400,51900,52500,1228464,,
2017-12-05,52000,52000,47800,47800,2009794,,
2017-12-06,47350,50300,47300,48250,1724279,,
2017-12-07,48000,48250,44650,45150,1505789,,
2017-12-08,45300,48650,45300,46100,1764307,,
2017-12-11,46800,48750,46800,48100,869303,,
2017-12-12,49600,51600,49000,49800,1561995,,
2017-12-13,54200,57600,52600,54100,4098878,,
2017-12-14,54600,55500,52200,54900,1363915,,
2017-12-15,54200,55400,53500,53800,797214,,
2017-12-18,54000,54700,51000,51000,1016310,,
2017-12-19,51300,52200,47900,50400,1360082,,
2017-12-20,40800,48550,40550,43650,3939698,,
2017-12-21,44650,46150,43500,43500,1077534,,
2017-12-22,44350,45250,43600,44500,816742,,
2017-12-26,44200,46800,44200,45250,960367,,
2017-12-27,46600,49500,46100,49500,1324792,,
2017-12-28,51100,53300,50200,51800,1587974,,
2018-01-02,53300,54900,52800,54300,1078088,,
2018-01-03,54600,54900,52400,53800,1160098,,
2018-01-04,54800,56300,51800,53100,1147723,,
2018-01-05,53000,54500,52600,54000,655104,,
2018-01-08,55100,56500,53000,56200,1492026,,
2018-01-09,57100,58500,54000,55300,1495883,,
2018-01-10,55500,56300,52700,53500,840346,,
2018-01-11,53600,54200,52300,53000,551840,,
2018-01-12,53500,55500,52500,53700,1435544,,
2018-01-15,54500,56300,53700,56200,1576670,,
2018-01-16,57200,59300,55700,57900,2389601,,
2018-01-17,57300,58000,55500,56000,947940,,
2018-01-18,56400,57500,55800,56600,722847,,
2018-01-19,57000,57800,54300,54400,914854,,
2018-01-22,54200,55000,52500,53400,377643,,
2018-01-23,54200,55000,53800,54800,493876,,
2018-01-24,55800,59900,55500,58900,3772126,,
2018-01-25,58400,61000,57200,60700,1594606,,
2018-01-26,60300,61300,59100,59200,1099309,,
2018-01-29,60000,61400,59000,60200,1069941,,
2018-01-30,60200,61100,58500,59500,959189,,
2018-01-31,57400,58200,55700,56500,1442674,,
2018-02-01,56300,56900,54100,54700,795005,,
2018-02-02,53300,54200,51900,52100,965790,,
2018-02-05,50100,51400,49850,49900,518052,,
2018-02-06,46250,49550,45800,49150,1181178,,
2018-02-07,50200,51300,47250,47250,737902,,
2018-02-08,47250,49450,46800,49200,442873,,
2018-02-09,46950,48150,46950,47150,398449,,
2018-02-12,48050,49200,47500,47500,290485,,
2018-02-13,47750,48400,46350,46350,290932,,
2018-02-14,46350,47450,45800,47050,218482,,
2018-02-19,47150,48900,47150,48600,336366,,
2018-02-20,48500,51200,47850,49100,573154,,
2018-02-21,49500,50700,49250,49750,258153,,
2018-02-22,49450,50300,48650,48900,225051,,
2018-02-23,49750,49900,48800,49000,212993,,
2018-02-26,49100,49750,47900,48100,215279,,
2018-02-27,48850,49450,48200,48200,253358,,
2018-02-28,47100,48050,47000,47050,275149,,
2018-03-02,46950,47850,46350,47300,202901,,
2018-03-05,47350,48500,47250,47250,190345,,
2018-03-06,47900,48150,47300,47850,176029,,
2018-03-07,47850,47950,46300,46350,302162,,
2018-03-08,46800,47150,46250,46400,162046,,
2018-03-09,46400,47400,46400,46650,205567,,
2018-03-12,47400,48550,46700,48550,323102,,
2018-03-13,48450,49800,47800,49050,383723,,
2018-03-14,48800,50400,48500,49400,349093,,
2018-03-15,49250,50100,48800,49650,278368,,
2018-03-16,49750,50300,48700,48850,325424,,
2018-03-19,49400,51600,48900,49650,763680,,
2018-03-20,49300,50400,49300,49850,293548,,
2018-03-21,49800,52700,49800,52300,1363076,,
2018-03-22,52800,53800,47600,49300,1078168,,
2018-03-23,47500,48950,46250,46950,715006,,
2018-03-26,46400,48500,46000,47900,388241,,
2018-03-27,48900,49100,47850,47900,230325,,
2018-03-28,47150,48100,46950,47250,233210,,
2018-03-29,47900,48550,47500,47950,164303,,
2018-03-30,48450,48950,48200,48400,176670,,
2018-04-02,48600,48600,46650,47200,293228,,
2018-04-03,46400,48250,46300,47550,287313,,
2018-04-04,47650,47850,46850,46850,259243,,
2018-04-05,47100,47800,46700,47000,220046,,
2018-04-06,46950,47400,46550,46600,159474,,
2018-04-09,46400,46500,45550,45950,311629,,
2018-04-10,46050,46150,45050,45400,355516,,
2018-04-11,45950,49400,45550,49100,826872,,
2018-04-12,49550,49550,47300,48700,479425,,
2018-04-13,49100,49200,47550,48650,325998,,
2018-04-16,48900,48950,48050,48050,184536,,
2018-04-17,48300,48300,47150,47300,188586,,
2018-04-18,47800,48550,46600,46700,375604,,
2018-04-19,46300,46450,45400,45400,333318,,
2018-04-20,45900,46000,44900,45250,190129,,
2018-04-23,45250,45350,43000,43250,333326,,
2018-04-24,42950,44000,42600,42750,218615,,
2018-04-25,42350,43350,41850,42000,180885,,
2018-04-26,42550,43350,42500,43050,127248,,
2018-04-27,43550,43550,42700,42950,118117,,
2018-04-30,42850,42900,40500,41150,308747,,
2018-05-02,40000,40700,38000,39950,370047,,
2018-05-03,39800,41650,39650,40650,244924,,
2018-05-04,41200,41400,38750,38850,310158,,
2018-05-08,38750,38950,35500,35500,589491,,
2018-05-09,35400,36900,34100,36600,426339,,
2018-05-10,36550,36550,35600,36150,139119,,
2018-05-11,36300,38050,36150,37050,212150,,
2018-05-14,37650,37750,36600,36900,161128,,
2018-05-15,37100,37850,36900,36900,114052,,
2018-05-16,37000,37200,35550,35650,247945,,
2018-05-17,35800,35950,35050,35150,148424,,
2018-05-18,34750,35700,34750,35150,155827,,
2018-05-21,35150,35450,35000,35250,113501,,
2018-05-23,35650,37350,35550,36250,323911,,
2018-05-24,36750,37350,36250,36600,161521,,
2018-05-25,36000,36950,35750,36000,158365,,
2018-05-28,36100,36250,34350,34500,332802,,
2018-05-29,34550,35200,33500,33500,280893,,
2018-05-30,33600,34100,31800,32250,424056,,
2018-05-31,32700,33250,32500,32600,178130,,
2018-06-01,32650,40800,32300,38600,2179675,,
2018-06-04,38700,40250,36200,36400,823519,,
2018-06-05,36500,37300,34950,36350,476771,,
2018-06-07,38000,39650,37650,38700,962939,,
2018-06-08,39650,44750,39600,40200,2495409,,
2018-06-11,40750,42000,39100,39250,428014,,
2018-06-12,39000,40750,37650,38300,406918,,
2018-06-14,37600,39350,37200,38350,231861,,
2018-06-15,37800,39750,37800,39000,310647,,
2018-06-18,38950,39200,36400,37600,335326,,
2018-06-19,38000,38050,34900,35000,341024,,
2018-06-20,34800,35850,34700,35400,184246,,
2018-06-21,37250,40950,36400,36500,843949,,
2018-06-22,36800,37650,35850,36850,200583,,
2018-06-25,36850,37750,36850,37250,174606,,
2018-06-26,36250,37600,36250,37500,119923,,
2018-06-27,37900,39400,37400,38150,281722,,
2018-06-28,38150,38500,37350,37350,117897,,
2018-06-29,37600,39300,36650,38400,201271,,
2018-07-02,38550,39200,37000,37000,227741,,
2018-07-03,37300,37800,35900,36100,185179,,
2018-07-04,36200,37450,35950,37450,168863,,
2018-07-05,37450,39400,37200,38900,472539,,
2018-07-06,40800,42600,38200,38600,1011469,,
2018-07-09,39700,40700,39000,39550,430965,,
2018-07-10,40000,43000,39450,41500,1100513,,
2018-07-11,42300,43400,41800,42950,898388,,
2018-07-12,43550,44000,42150,42650,583784,,
2018-07-13,42850,44700,42500,42600,516516,,
2018-07-16,42850,42900,40600,40950,378520,,
2018-07-17,41200,41500,40600,40650,167903,,
2018-07-18,43000,44100,41250,41750,955730,,
2018-07-19,42200,42600,41250,41750,289410,,
2018-07-20,41950,42450,41500,41650,158699,,
2018-07-23,41550,41650,38900,38900,325900,,
2018-07-24,38500,39650,38350,38550,195884,,
2018-07-25,38600,39100,35900,36350,431267,,
2018-07-26,36700,37150,35900,36350,236727,,
2018-07-27,36350,37000,36300,36400,140017,,
2018-07-30,35900,36200,34850,35150,268166,,
2018-07-31,35150,36400,34950,36400,172914,,
2018-08-01,37000,38100,36700,38000,295471,,
2018-08-02,38100,38200,37000,37450,151631,,
2018-08-03,37800,38000,37150,37500,66087,,
2018-08-06,37100,37800,37000,37350,112065,,
2018-08-07,37600,37600,36800,37500,83606,,
2018-08-08,37600,38100,37300,37400,96872,,
2018-08-09,37550,38200,36850,38000,169760,,
2018-08-10,37800,38350,37350,37500,166036,,
2018-08-13,37300,37300,35250,35350,230156,,
