에코캡(128540),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-05,4100,5330,4100,5330,12358031,77598.0,14558800.0
2018-12-06,5470,5500,4525,4600,7999000,66970.0,14558800.0
2018-12-07,4480,4490,3930,4020,4072116,58526.0,14558800.0
2018-12-10,4195,4430,4010,4160,4848647,60565.0,14558800.0
2018-12-11,4470,4820,4160,4265,7780284,62093.0,14558800.0
2018-12-12,4135,4335,4070,4160,1909535,60565.0,14558800.0
2018-12-13,4190,4205,3990,4040,1610948,58818.0,14558800.0
2018-12-14,4065,4125,3660,3720,1193195,54159.0,14558800.0
2018-12-17,3710,4080,3640,3745,1435843,54523.0,14558800.0
2018-12-18,3700,3795,3400,3470,799934,50519.0,14558800.0
2018-12-19,3470,3590,3405,3425,510850,49864.0,14558800.0
2018-12-20,3430,3460,3300,3320,430781,48335.0,14558800.0
2018-12-21,3350,3880,3300,3580,3797136,52121.0,14558800.0
2018-12-24,3600,3740,3555,3565,1010061,51902.0,14558800.0
2018-12-26,3445,3600,3335,3335,654796,48554.0,14558800.0
2018-12-27,3415,3515,3350,3405,357389,49573.0,14558800.0
2018-12-28,3430,3960,3390,3670,4141736,53431.0,14558800.0
2019-01-02,3715,3765,3560,3630,659572,52848.0,14558800.0
2019-01-03,3650,3980,3565,3660,2156393,53285.0,14558800.0
2019-01-04,3970,3990,3660,3740,1747486,54450.0,14558800.0
2019-01-07,3795,3870,3725,3825,705778,55687.0,14558800.0
2019-01-08,3820,3820,3625,3625,626415,52776.0,14558800.0
2019-01-09,3605,3710,3590,3635,329555,52921.0,14558800.0
2019-01-10,3635,3670,3510,3530,320839,51393.0,14558800.0
2019-01-11,3550,3665,3550,3575,297183,52048.0,14558800.0
2019-01-14,3545,3625,3535,3600,132962,52412.0,14558800.0
2019-01-15,3645,3715,3625,3655,363751,53212.0,14558800.0
2019-01-16,3685,3830,3685,3830,931483,55760.0,14558800.0
2019-01-17,3950,4040,3690,3755,904758,54668.0,14558800.0
2019-01-18,3750,3775,3685,3690,287266,53722.0,14558800.0
2019-01-21,3705,3855,3690,3800,675664,55323.0,14558800.0
2019-01-22,3850,4495,3840,4100,6290805,59691.0,14558800.0
2019-01-23,4030,4115,3975,4115,1042759,59909.0,14558800.0
2019-01-24,4075,4080,3965,3980,598407,57944.0,14558800.0
2019-01-25,3960,4040,3925,3990,577145,58090.0,14558800.0
2019-01-28,4050,4055,3930,3940,535711,57362.0,14558800.0
2019-01-29,3915,3915,3810,3845,358339,55979.0,14558800.0
2019-01-30,3850,3905,3775,3885,580677,56561.0,14558800.0
2019-01-31,3870,3920,3765,3775,273452,54959.0,14558800.0
2019-02-01,3700,3790,3675,3710,234491,54013.0,14558800.0
2019-02-07,3730,3960,3700,3795,221936,55251.0,14558800.0
2019-02-08,3795,3830,3710,3755,133179,54668.0,14558800.0
2019-02-11,3865,3865,3745,3760,79296,54741.0,14558800.0
2019-02-12,3795,3805,3750,3760,120549,54741.0,14558800.0
2019-02-13,3780,3800,3685,3710,220686,54013.0,14558800.0
2019-02-14,3720,3745,3660,3690,98940,53722.0,14558800.0
2019-02-15,3655,3745,3650,3695,93318,53795.0,14558800.0
2019-02-18,3710,3780,3680,3780,116321,55032.0,14558800.0
2019-02-19,3810,3810,3720,3800,106374,55323.0,14558800.0
2019-02-20,3800,3810,3740,3740,97072,54450.0,14558800.0
2019-02-21,3740,3755,3680,3720,111454,54159.0,14558800.0
2019-02-22,3720,3945,3720,3850,544043,56051.0,14558800.0
2019-02-25,3965,3970,3825,3910,372285,56925.0,14558800.0
