한국정밀기계(101680),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-05-19,58921,67759,58921,67759,1025996,386584.0,7640000.0
2009-05-20,67758,77802,64076,74053,2357814,422492.0,7640000.0
2009-05-21,77399,85032,75792,83025,1492194,473680.0,7640000.0
2009-05-22,83024,85302,80212,83561,740179,476736.0,7640000.0
2009-05-25,86373,87041,73650,83293,413759,475208.0,7640000.0
2009-05-26,83694,90926,81149,85034,798189,485140.0,7640000.0
2009-05-27,87711,97754,86103,97756,973993,557720.0,7640000.0
2009-05-28,98156,100566,83158,85837,1114870,489724.0,7640000.0
2009-05-29,85970,96416,81417,93872,718715,535564.0,7640000.0
2009-06-01,95210,107931,93871,107933,1203049,615784.0,7640000.0
2009-06-02,107797,109270,100700,102175,640951,582932.0,7640000.0
2009-06-03,101905,106190,94808,97756,577297,557720.0,7640000.0
2009-06-04,98558,98692,88647,91730,524351,523340.0,7640000.0
2009-06-05,93067,96281,84362,87310,448930,498128.0,7640000.0
2009-06-08,87308,89183,81952,83025,427046,473680.0,7640000.0
2009-06-09,84095,87577,81953,82356,329591,469860.0,7640000.0
2009-06-10,83694,92130,83694,88783,473548,506532.0,7640000.0
2009-06-11,88783,91327,82622,83293,401203,475208.0,7640000.0
2009-06-12,83560,84631,78604,82757,437612,472152.0,7640000.0
2009-06-15,82222,84632,79810,80347,140250,458400.0,7640000.0
2009-06-16,79943,83694,78872,82891,209731,472916.0,7640000.0
2009-06-17,82355,90657,81819,88114,534488,502712.0,7640000.0
2009-06-18,88782,91059,85301,86775,255838,495072.0,7640000.0
2009-06-19,86640,90791,82755,90123,706161,514172.0,7640000.0
2009-06-22,90791,93334,89720,91863,302781,524104.0,7640000.0
2009-06-23,89319,89855,83694,85034,273003,485140.0,7640000.0
2009-06-24,86104,86238,80077,81418,246570,464512.0,7640000.0
2009-06-25,80882,85302,80480,83561,232242,476736.0,7640000.0
2009-06-26,83693,85701,82621,83159,193393,474444.0,7640000.0
2009-06-29,83560,84765,74051,75258,319423,429368.0,7640000.0
2009-06-30,76463,77266,68294,73651,421844,420200.0,7640000.0
2009-07-01,72310,76997,71507,75794,235848,432424.0,7640000.0
2009-07-02,76596,78336,75390,77267,166604,440828.0,7640000.0
2009-07-03,74990,78471,74454,78204,101985,446176.0,7640000.0
2009-07-06,78337,78605,76329,76330,109397,435480.0,7640000.0
2009-07-07,76463,78471,73115,73651,257494,420200.0,7640000.0
2009-07-08,73383,74319,69766,70973,182274,404920.0,7640000.0
2009-07-09,70971,71775,66552,66688,348190,380472.0,7640000.0
2009-07-10,66686,66888,60192,62001,501569,353732.0,7640000.0
2009-07-13,62603,65884,61799,63340,435939,361372.0,7640000.0
2009-07-14,65347,66954,64476,65483,308084,373596.0,7640000.0
2009-07-15,66686,67491,65884,66420,174819,378944.0,7640000.0
2009-07-16,67223,68294,63206,64278,197441,366720.0,7640000.0
2009-07-17,64678,65013,61999,62135,198428,354496.0,7640000.0
2009-07-20,63072,66486,61867,66286,189162,378180.0,7640000.0
2009-07-21,67625,68964,66286,67492,262979,385056.0,7640000.0
2009-07-22,68159,68561,65749,66554,129036,379708.0,7640000.0
2009-07-23,66552,71106,66418,70705,256720,403392.0,7640000.0
2009-07-24,72178,72980,70570,71107,182342,405684.0,7640000.0
2009-07-27,71776,72981,70169,71777,121190,409504.0,7640000.0
2009-07-28,71641,73516,70971,71375,106579,407212.0,7640000.0
2009-07-29,71106,71642,65884,65885,232123,375888.0,7640000.0
2009-07-30,65214,65816,63272,64412,191263,367484.0,7640000.0
2009-07-31,65147,66954,64076,66554,132312,379708.0,7640000.0
2009-08-03,68026,69499,67089,69098,137614,394224.0,7640000.0
2009-08-04,69901,70169,66888,66889,120246,381618.0,7640000.0
2009-08-05,66552,68695,66352,66822,93384,381236.0,7640000.0
2009-08-06,66218,69632,66218,68295,155269,389640.0,7640000.0
2009-08-07,69232,72178,69098,72178,307754,411796.0,7640000.0
2009-08-10,73114,74855,72444,72714,287294,414852.0,7640000.0
2009-08-11,72310,72578,70705,72580,153017,414088.0,7640000.0
2009-08-12,71776,72044,70034,70973,141111,404920.0,7640000.0
2009-08-13,71240,75124,70303,74723,281715,426312.0,7640000.0
2009-08-14,74855,74990,72043,72580,183929,414088.0,7640000.0
2009-08-17,72579,72579,67223,67224,256389,383528.0,7640000.0
2009-08-18,66620,69364,65347,67893,171573,387348.0,7640000.0
2009-08-19,68696,68696,62937,63474,205244,362136.0,7640000.0
2009-08-20,64142,65079,62669,64479,144434,367866.0,7640000.0
2009-08-21,64477,64946,61599,62068,213684,354114.0,7640000.0
2009-08-24,62938,63072,59992,60729,195416,346474.0,7640000.0
2009-08-25,60728,62736,60260,61265,95294,349530.0,7640000.0
2009-08-26,62201,63942,61665,62738,113943,357934.0,7640000.0
2009-08-27,63340,63473,60929,61332,97328,349912.0,7640000.0
2009-08-28,61464,62267,60728,60930,63702,347620.0,7640000.0
2009-08-31,61598,62803,60996,62537,110022,356788.0,7640000.0
2009-09-01,63004,63004,60862,60997,126496,348002.0,7640000.0
2009-09-02,59992,60460,58451,58519,181826,333868.0,7640000.0
2009-09-03,59456,59456,56309,56310,155702,321262.0,7640000.0
