이베스트이안스팩1호(323210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-07-15,3040,3150,2350,2420,10134140,7744.0,3200000.0
2019-07-16,2390,2490,2170,2190,2723407,7008.0,3200000.0
2019-07-17,2190,2215,2125,2190,1362556,7008.0,3200000.0
2019-07-18,2165,2170,2115,2135,814973,6832.0,3200000.0
2019-07-19,2145,2210,2120,2130,967575,6816.0,3200000.0
2019-07-22,2160,2765,2125,2765,6372605,8848.0,3200000.0
2019-07-23,2955,3390,2340,2425,16150922,7760.0,3200000.0
2019-07-24,2475,2645,2255,2300,4810543,7360.0,3200000.0
2019-07-25,2355,2405,2200,2240,1195197,7168.0,3200000.0
2019-07-26,2225,2860,2190,2440,11857871,7808.0,3200000.0
2019-07-29,2460,2470,2255,2310,2084783,7392.0,3200000.0
2019-07-30,2300,2440,2250,2260,1593824,7232.0,3200000.0
2019-07-31,2245,2315,2220,2295,971898,7344.0,3200000.0
2019-08-01,2265,2375,2230,2245,1551356,7184.0,3200000.0
2019-08-02,2230,2330,2200,2240,531869,7168.0,3200000.0
2019-08-05,2225,2235,2155,2190,599963,7008.0,3200000.0
2019-08-06,2155,2245,2145,2145,360478,6864.0,3200000.0
2019-08-07,2180,2180,2145,2150,158042,6880.0,3200000.0
2019-08-08,2155,2195,2150,2155,165297,6896.0,3200000.0
2019-08-09,2190,2190,2150,2150,144755,6880.0,3200000.0
2019-08-12,2155,2180,2145,2155,137769,6896.0,3200000.0
2019-08-13,2160,2335,2145,2185,1930830,6992.0,3200000.0
2019-08-14,2195,2280,2190,2230,583645,7136.0,3200000.0
2019-08-16,2225,2240,2155,2160,307871,6912.0,3200000.0
2019-08-19,2180,2180,2150,2160,130868,6912.0,3200000.0
2019-08-20,2150,2180,2140,2150,117438,6880.0,3200000.0
2019-08-21,2140,2190,2135,2135,402069,6832.0,3200000.0
2019-08-22,2145,2170,2135,2145,117226,6864.0,3200000.0
2019-08-23,2150,2155,2125,2125,111724,6800.0,3200000.0
2019-08-26,2120,2140,2120,2120,117954,6784.0,3200000.0
2019-08-27,2130,2155,2125,2125,44538,6800.0,3200000.0
2019-08-28,2150,2150,2120,2130,41732,6816.0,3200000.0
2019-08-29,2150,2150,2125,2125,40935,6800.0,3200000.0
2019-08-30,2135,2145,2120,2130,25739,6816.0,3200000.0
2019-09-02,2140,2150,2125,2125,48721,6800.0,3200000.0
2019-09-03,2120,2150,2120,2135,73705,6832.0,3200000.0
2019-09-04,2145,2150,2130,2145,30788,6864.0,3200000.0
2019-09-05,2155,2170,2140,2165,47331,6928.0,3200000.0
2019-09-06,2155,2165,2140,2155,21358,6896.0,3200000.0
2019-09-09,2160,2160,2125,2140,29858,6848.0,3200000.0
2019-09-10,2135,2150,2120,2135,40813,6832.0,3200000.0
2019-09-11,2140,2140,2125,2135,16262,6832.0,3200000.0
2019-09-16,2130,2145,2120,2130,19661,6816.0,3200000.0
2019-09-17,2150,2150,2120,2120,47785,6784.0,3200000.0
2019-09-18,2145,2145,2120,2130,28367,6816.0,3200000.0
2019-09-19,2140,2140,2115,2115,59103,6768.0,3200000.0
2019-09-20,2115,2130,2110,2120,27433,6784.0,3200000.0
2019-09-23,2120,2125,2120,2120,15619,6784.0,3200000.0
2019-09-24,2115,2150,2115,2120,21311,6784.0,3200000.0
2019-09-25,2120,2130,2115,2125,24410,6800.0,3200000.0
2019-09-26,2115,2130,2115,2115,34041,6768.0,3200000.0
2019-09-27,2115,2125,2115,2125,27351,6800.0,3200000.0
2019-09-30,2115,2155,2115,2155,45770,6896.0,3200000.0
2019-10-01,2150,2150,2125,2145,21859,6864.0,3200000.0
2019-10-02,2125,2140,2125,2130,6883,6816.0,3200000.0
2019-10-04,2120,2135,2120,2130,8524,6816.0,3200000.0
2019-10-07,2120,2130,2115,2125,32504,6800.0,3200000.0
