셀리버리(268600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-09,32000,33950,28550,28700,5986349,205157.0,7148321.0
2018-11-12,28550,30900,28050,29200,1536362,208731.0,7148321.0
2018-11-13,30050,30250,27300,27850,1011247,199081.0,7148321.0
2018-11-14,28100,28500,25150,25250,1310593,180495.0,7148321.0
2018-11-15,24950,25450,22900,23600,746384,168700.0,7148321.0
2018-11-16,23700,25250,23350,24000,635206,171560.0,7148321.0
2018-11-19,24050,25100,23800,24500,395869,175134.0,7148321.0
2018-11-20,23850,24850,23150,24700,358915,176564.0,7148321.0
2018-11-21,23900,24850,23550,24200,228060,172989.0,7148321.0
2018-11-22,24300,25550,24150,25100,535160,179423.0,7148321.0
2018-11-23,25400,25500,23100,23100,372818,165126.0,7148321.0
2018-11-26,23400,23850,22300,23000,182674,164411.0,7148321.0
2018-11-27,23600,24400,22900,24350,214175,174062.0,7148321.0
2018-11-28,24350,28250,24100,26000,1681664,185856.0,7148321.0
2018-11-29,26600,26900,25500,26600,327358,190145.0,7148321.0
2018-11-30,26600,27900,26300,26650,330775,190503.0,7148321.0
2018-12-03,26650,27400,26000,26750,213854,191218.0,7148321.0
2018-12-04,26800,28650,26450,28400,570089,203012.0,7148321.0
2018-12-05,27800,28850,27600,28100,308267,200868.0,7148321.0
2018-12-06,28000,28500,26000,26100,280641,186571.0,7148321.0
2018-12-07,26200,27450,26150,26200,182229,199450.0,7612607.0
2018-12-10,25100,25750,23800,24200,288719,184225.0,7612607.0
2018-12-11,24700,24700,22950,23450,230797,178516.0,7612607.0
2018-12-12,23900,24200,23450,23500,89526,178896.0,7612607.0
2018-12-13,23900,24900,23700,24350,141626,185367.0,7612607.0
2018-12-14,24400,24800,22950,23000,161227,175090.0,7612607.0
2018-12-17,22950,23300,20800,21000,302342,159865.0,7612607.0
2018-12-18,20350,21450,20000,20000,230277,152252.0,7612607.0
2018-12-19,20050,21400,19650,20850,197964,158723.0,7612607.0
2018-12-20,20350,21200,19850,20100,171760,153013.0,7612607.0
2018-12-21,20150,23300,20100,22500,607286,171284.0,7612607.0
2018-12-24,22200,22400,21400,21850,249025,166335.0,7612607.0
2018-12-26,21300,22550,21000,22000,263345,167477.0,7612607.0
2018-12-27,22700,23850,22150,23050,314787,175471.0,7612607.0
2018-12-28,23800,24450,22400,22400,385774,170522.0,7612607.0
2019-01-02,22900,23250,21700,22500,187519,171284.0,7612607.0
2019-01-03,22500,23150,21800,22200,152611,169000.0,7612607.0
2019-01-04,22400,23250,22000,22600,149320,172045.0,7612607.0
2019-01-07,22950,22950,22000,22000,120630,167477.0,7612607.0
2019-01-08,21700,22000,20400,20600,207111,156820.0,7612607.0
2019-01-09,20900,21950,20400,21050,219576,160245.0,7612607.0
2019-01-10,21300,22750,21200,22750,263374,173187.0,7612607.0
2019-01-11,23700,25800,22750,23000,671433,175090.0,7612607.0
2019-01-14,23250,24650,23000,24200,318021,184225.0,7612607.0
2019-01-15,24400,24450,23400,23800,166603,181180.0,7612607.0
2019-01-16,23900,23950,22600,23050,202173,175471.0,7612607.0
2019-01-17,23600,24650,23000,23450,189794,178516.0,7612607.0
2019-01-18,23650,24850,23200,24400,212632,185748.0,7612607.0
2019-01-21,24850,25050,24050,24400,110751,185748.0,7612607.0
2019-01-22,24600,24650,23900,24200,82017,184225.0,7612607.0
2019-01-23,23900,24900,23850,24250,107448,184606.0,7612607.0
2019-01-24,24400,24500,23950,24300,94075,184986.0,7612607.0
2019-01-25,24050,24450,24000,24050,78246,183083.0,7612607.0
2019-01-28,24550,27650,24550,25900,912247,197167.0,7612607.0
2019-01-29,25900,25900,24800,25550,172756,194502.0,7612607.0
2019-01-30,25550,27500,25550,26550,389171,202115.0,7612607.0
2019-01-31,26250,27300,26150,26300,161007,200212.0,7612607.0
2019-02-01,26550,27150,26050,26600,120991,202495.0,7612607.0
2019-02-07,26600,27450,26300,26950,113975,205160.0,7612607.0
2019-02-08,26800,27000,26250,26300,107414,200212.0,7612607.0
2019-02-11,26150,26800,25100,25400,270774,193360.0,7612607.0
2019-02-12,25600,25800,25000,25300,101751,192599.0,7612607.0
2019-02-13,25400,27300,25400,26700,251206,203257.0,7612607.0
2019-02-14,26700,27600,25900,26850,162847,204398.0,7612607.0
2019-02-15,26600,28100,26600,27550,207882,209727.0,7612607.0
2019-02-18,28150,29000,27800,28600,249725,217721.0,7612607.0
2019-02-19,28600,29550,28000,28850,171903,219624.0,7612607.0
2019-02-20,28850,30500,28150,29600,260566,225333.0,7612607.0
2019-02-21,29900,36500,29750,31400,1188754,239036.0,7612607.0
2019-02-22,31950,33400,30950,32800,419312,249694.0,7612607.0
2019-02-25,32250,34700,32100,33600,343817,255784.0,7612607.0
2019-02-26,33850,34200,32600,32800,187219,249694.0,7612607.0
2019-02-27,33100,33650,31400,32900,177809,250455.0,7612607.0
2019-02-28,32900,34150,32050,32300,257433,245887.0,7612607.0
2019-03-04,33900,34750,33150,33900,231266,258067.0,7612607.0
2019-03-05,34000,34650,31800,32500,272208,247410.0,7612607.0
2019-03-06,32950,33600,31000,33300,232071,253500.0,7612607.0
2019-03-07,33800,36500,33300,36000,567411,274054.0,7612607.0
2019-03-08,36900,39900,36200,39250,657598,298795.0,7612607.0
2019-03-11,40150,49800,39150,44900,2113834,341806.0,7612607.0
2019-03-12,45900,53000,45600,48600,1667493,369973.0,7612607.0
2019-03-13,49850,50900,47600,49200,616346,374540.0,7612607.0
2019-03-14,49700,63900,48300,63900,1294607,486446.0,7612607.0
2019-03-15,64200,67700,61500,63800,1759644,485684.0,7612607.0
2019-03-18,62500,80200,62200,73500,2788036,559527.0,7612607.0
2019-03-19,73500,76800,71500,75700,617075,576274.0,7612607.0
2019-03-20,76100,80000,72100,77000,579023,586171.0,7612607.0
2019-03-21,75800,76400,70600,71400,466649,543540.0,7612607.0
2019-03-22,69000,74300,64600,65000,813457,494819.0,7612607.0
2019-03-25,65000,82000,63600,75500,1279473,574752.0,7612607.0
2019-03-26,75500,79300,73600,76000,520303,578558.0,7612607.0
2019-03-27,77500,79500,75400,76300,337575,580842.0,7612607.0
2019-03-28,75000,75000,68700,70600,461421,537450.0,7612607.0
2019-03-29,69000,74300,63100,70400,690600,535928.0,7612607.0
2019-04-01,71100,74900,70700,73600,288705,560288.0,7612607.0
2019-04-02,73000,79300,71400,72000,861353,548108.0,7612607.0
2019-04-03,72600,73500,69200,70100,364053,533644.0,7612607.0
2019-04-04,69000,75600,67000,70300,892881,535166.0,7612607.0
2019-04-05,69400,70800,68300,69600,325387,529837.0,7612607.0
2019-04-08,70200,70600,67400,67400,309629,520773.0,7726607.0
2019-04-09,66400,71500,62500,64900,1310263,501457.0,7726607.0
2019-04-10,64900,66500,62600,63800,493291,492958.0,7726607.0
2019-04-11,63200,67500,63200,63900,367624,493730.0,7726607.0
2019-04-12,63900,66000,63100,63800,300158,492958.0,7726607.0
2019-04-15,62300,63200,58000,58300,577057,454455.0,7795107.0
2019-04-16,57600,69300,56700,66200,1638084,516036.0,7795107.0
2019-04-17,66200,67400,62800,62800,439330,489533.0,7795107.0
2019-04-18,63500,72200,59600,66500,2373957,518375.0,7795107.0
2019-04-19,65200,67800,64300,64400,563029,502005.0,7795107.0
2019-04-22,63400,64700,60100,60300,442253,470045.0,7795107.0
2019-04-23,60300,62200,59600,60000,228673,467706.0,7795107.0
2019-04-24,61000,65000,60600,62000,591512,483297.0,7795107.0
2019-04-25,62200,68800,62100,66000,1046683,514477.0,7795107.0
2019-04-26,67900,69100,65000,65300,421121,509020.0,7795107.0
2019-04-29,64900,68300,63700,64400,498527,503615.0,7820107.0
2019-04-30,66500,66800,64300,64600,378824,505179.0,7820107.0
2019-05-02,64300,64800,62400,62400,231483,487975.0,7820107.0
2019-05-03,63000,64100,61400,62100,172992,485629.0,7820107.0
2019-05-07,60600,64800,60100,62000,272958,484847.0,7820107.0
2019-05-08,60200,63600,60200,61000,216240,477027.0,7820107.0
2019-05-09,61300,61900,58000,58000,339777,453566.0,7820107.0
