팍스넷(038160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-08-01,10400,13500,10400,12550,13817512,139023.0,11077521.0
2016-08-02,11950,12300,8800,8800,11216079,97482.0,11077521.0
2016-08-03,8800,10150,8780,9200,11121548,101913.0,11077521.0
2016-08-04,9250,9380,8120,8200,3346631,90836.0,11077521.0
2016-08-05,8230,8780,7790,7840,3495101,86848.0,11077521.0
2016-08-08,7900,7990,7400,7430,1191206,82306.0,11077521.0
2016-08-09,7550,7640,7120,7180,1398907,79537.0,11077521.0
2016-08-10,7180,7280,7060,7110,748513,78761.0,11077521.0
2016-08-11,7130,8140,7130,7410,4636602,82084.0,11077521.0
2016-08-12,7420,7500,7250,7310,743697,80977.0,11077521.0
2016-08-16,7450,7590,7280,7280,886994,80644.0,11077521.0
2016-08-17,7200,7250,6790,6800,903782,75327.0,11077521.0
2016-08-18,6850,6890,6660,6720,504182,74441.0,11077521.0
2016-08-19,6760,7100,6760,6770,723773,74995.0,11077521.0
2016-08-22,6750,6800,6440,6440,448795,71339.0,11077521.0
2016-08-23,6440,6680,6410,6430,373110,71228.0,11077521.0
2016-08-24,6480,6610,6400,6520,225614,72225.0,11077521.0
2016-08-25,6500,6690,6350,6360,317848,70453.0,11077521.0
2016-08-26,6400,6400,6050,6100,372471,67573.0,11077521.0
2016-08-29,6120,6130,5720,5720,373562,63363.0,11077521.0
2016-08-30,5750,6100,5720,5750,378515,63696.0,11077521.0
2016-08-31,5760,5930,5650,5660,241535,62699.0,11077521.0
2016-09-01,5610,5880,5550,5680,282977,62920.0,11077521.0
2016-09-02,5690,6180,5680,6010,760738,66576.0,11077521.0
2016-09-05,6080,6160,6000,6050,226064,67019.0,11077521.0
2016-09-06,6120,6280,6060,6070,352716,67241.0,11077521.0
2016-09-07,6090,6160,5910,5910,199127,65468.0,11077521.0
2016-09-08,5870,5900,5610,5640,260766,62477.0,11077521.0
2016-09-09,5560,5640,5460,5570,179155,61702.0,11077521.0
2016-09-12,5410,6020,5390,5610,672802,62145.0,11077521.0
2016-09-13,5620,5840,5590,5740,169499,63585.0,11077521.0
2016-09-19,5760,5850,5690,5760,137962,63807.0,11077521.0
2016-09-20,5720,6210,5710,6150,441563,68127.0,11077521.0
2016-09-21,6140,6290,6100,6180,219135,68459.0,11077521.0
2016-09-22,6260,6400,6140,6140,385447,68016.0,11077521.0
2016-09-23,6200,6340,6150,6230,188340,69013.0,11077521.0
2016-09-26,6250,6310,6020,6040,163866,66908.0,11077521.0
2016-09-27,6050,6070,5940,5960,87447,66022.0,11077521.0
2016-09-28,5970,7740,5970,7300,3843854,80866.0,11077521.0
2016-09-29,7070,8690,6960,7410,8066006,82084.0,11077521.0
2016-09-30,7500,8290,7410,7660,3692891,84854.0,11077521.0
2016-10-04,7830,9240,7830,8890,5252124,98479.0,11077521.0
2016-10-05,9300,9450,8660,8970,1902257,99365.0,11077521.0
2016-10-06,9020,9100,8530,9100,1161019,100805.0,11077521.0
2016-10-07,9430,9840,8850,8920,1595823,98811.0,11077521.0
2016-10-10,8890,9500,8830,8830,1074631,97815.0,11077521.0
2016-10-11,8770,8870,8000,8000,1148730,88620.0,11077521.0
2016-10-12,7920,8360,7910,8100,492430,89728.0,11077521.0
2016-10-13,8170,8330,7560,7650,587922,84743.0,11077521.0
2016-10-14,7600,7820,7580,7670,370679,84965.0,11077521.0
2016-10-17,7680,9190,7580,8700,3716818,96374.0,11077521.0
2016-10-18,8880,9800,8770,9150,5015483,101359.0,11077521.0
2016-10-19,9300,9490,8800,9170,1155909,101581.0,11077521.0
2016-10-20,9140,9390,8840,8850,641856,98036.0,11077521.0
2016-10-21,8750,9000,8700,8900,359962,98590.0,11077521.0
2016-10-24,8960,9110,8300,8300,422234,91943.0,11077521.0
2016-10-25,8200,8330,7560,7620,694209,84411.0,11077521.0
2016-10-26,7390,8400,7370,7720,1000519,85518.0,11077521.0
2016-10-27,7210,8140,7200,7840,373711,86848.0,11077521.0
2016-10-28,7720,7880,7490,7560,290697,83746.0,11077521.0
2016-10-31,7640,7710,7040,7040,309110,77986.0,11077521.0
2016-11-01,6840,7520,6830,7190,353672,79647.0,11077521.0
2016-11-02,7110,7180,6500,6500,383446,72004.0,11077521.0
2016-11-03,6500,6870,6500,6670,236155,73887.0,11077521.0
2016-11-04,6670,7170,6630,6950,184344,76989.0,11077521.0
2016-11-07,7150,7300,7000,7140,122567,79093.0,11077521.0
2016-11-08,7210,7280,7040,7090,152539,78540.0,11077521.0
2016-11-09,7140,7140,6070,6600,518932,73112.0,11077521.0
2016-11-10,6950,6950,6670,6880,217255,76213.0,11077521.0
2016-11-11,6870,7130,6750,6820,241435,75549.0,11077521.0
2016-11-14,6900,7430,6850,7310,556839,80977.0,11077521.0
2016-11-15,7440,7450,7000,7230,331765,80090.0,11077521.0
2016-11-16,7300,7590,7180,7420,390989,82195.0,11077521.0
2016-11-17,7490,7940,7300,7640,441952,84632.0,11077521.0
2016-11-18,7640,7730,7280,7290,212010,80755.0,11077521.0
2016-11-21,7150,7240,7020,7030,141325,77875.0,11077521.0
2016-11-22,7050,7180,6800,6820,170034,75549.0,11077521.0
2016-11-23,6850,6930,6500,6570,226710,72779.0,11077521.0
2016-11-24,6570,6820,6550,6610,131967,73222.0,11077521.0
2016-11-25,6540,6690,6490,6690,138668,74109.0,11077521.0
2016-11-28,6700,6840,6600,6640,117213,73555.0,11077521.0
2016-11-29,6640,6670,6350,6590,174686,73001.0,11077521.0
2016-11-30,6670,6800,6500,6780,91857,75106.0,11077521.0
2016-12-01,6910,7420,6740,7180,544949,79537.0,11077521.0
2016-12-02,7350,7790,7230,7380,474976,81752.0,11077521.0
