이화공영(001840),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,77.0,77.0,77.0,78.0,0.0,1075.0,480000.0
1999-01-05,85.0,85.0,85.0,88.0,0.0,1200.0,480000.0
1999-01-06,96.0,96.0,96.0,97.0,0.0,1344.0,480000.0
1999-01-07,106.0,106.0,106.0,108.0,0.0,1502.0,480000.0
1999-01-08,119.0,119.0,119.0,122.0,9300.0,1680.0,480000.0
1999-01-11,119.0,119.0,119.0,122.0,0.0,1680.0,480000.0
1999-01-12,119.0,119.0,119.0,122.0,0.0,,
1999-01-13,119.0,119.0,119.0,122.0,0.0,,
1999-01-14,119.0,119.0,119.0,122.0,0.0,,
1999-01-15,119.0,119.0,119.0,122.0,0.0,,
1999-01-18,134.0,134.0,134.0,136.0,0.0,1882.0,480000.0
1999-01-19,147.0,147.0,147.0,148.0,0.0,2064.0,480000.0
1999-01-20,147.0,147.0,147.0,148.0,0.0,2064.0,480000.0
1999-01-21,147.0,147.0,147.0,148.0,0.0,,
1999-01-22,147.0,147.0,147.0,148.0,0.0,,
1999-01-25,147.0,147.0,147.0,148.0,0.0,,
1999-01-26,147.0,147.0,147.0,148.0,0.0,,
1999-01-27,165.0,165.0,165.0,166.0,0.0,2309.0,480000.0
1999-01-28,165.0,165.0,165.0,166.0,0.0,2309.0,480000.0
1999-01-29,165.0,165.0,165.0,166.0,0.0,,
1999-02-01,165.0,165.0,165.0,166.0,0.0,,
1999-02-02,165.0,165.0,165.0,166.0,0.0,,
1999-02-03,165.0,165.0,165.0,166.0,0.0,,
1999-02-04,165.0,165.0,165.0,166.0,0.0,,
1999-02-05,165.0,165.0,165.0,166.0,0.0,,
1999-02-08,165.0,165.0,165.0,166.0,0.0,,
1999-02-09,165.0,165.0,165.0,166.0,0.0,,
1999-02-10,165.0,165.0,165.0,166.0,0.0,,
1999-02-11,165.0,165.0,165.0,166.0,0.0,,
1999-02-12,165.0,165.0,165.0,166.0,0.0,,
1999-02-18,165.0,165.0,165.0,166.0,0.0,,
1999-02-19,165.0,165.0,165.0,166.0,0.0,,
1999-02-22,165.0,165.0,165.0,166.0,0.0,,
1999-02-23,165.0,165.0,165.0,166.0,0.0,,
1999-02-24,165.0,165.0,165.0,166.0,0.0,,
1999-02-25,165.0,165.0,165.0,166.0,0.0,,
1999-02-26,145.0,145.0,145.0,147.0,0.0,2035.0,480000.0
1999-03-02,145.0,145.0,145.0,147.0,0.0,2035.0,480000.0
1999-03-03,145.0,145.0,145.0,147.0,0.0,,
1999-03-04,145.0,145.0,145.0,147.0,0.0,,
1999-03-05,145.0,145.0,145.0,147.0,0.0,,
1999-03-08,145.0,145.0,145.0,147.0,0.0,,
1999-03-09,154.0,154.0,154.0,156.0,3000.0,2160.0,480000.0
1999-03-10,154.0,154.0,154.0,156.0,0.0,2160.0,480000.0
1999-03-11,149.0,149.0,149.0,151.0,1000.0,2088.0,480000.0
1999-03-12,149.0,149.0,149.0,151.0,0.0,2088.0,480000.0
1999-03-15,149.0,149.0,149.0,151.0,0.0,,
1999-03-16,149.0,149.0,149.0,151.0,0.0,,
1999-03-17,149.0,149.0,149.0,151.0,0.0,,
1999-03-18,149.0,149.0,149.0,151.0,0.0,,
1999-03-19,149.0,149.0,149.0,151.0,0.0,,
1999-03-22,149.0,149.0,149.0,151.0,0.0,,
1999-03-23,130.0,130.0,130.0,133.0,130.0,1838.0,480000.0
1999-03-24,145.0,145.0,145.0,147.0,0.0,2040.0,480000.0
1999-03-25,145.0,145.0,145.0,147.0,0.0,2040.0,480000.0
1999-03-26,145.0,145.0,145.0,147.0,0.0,,
1999-03-29,145.0,145.0,145.0,147.0,0.0,,
1999-03-30,145.0,145.0,145.0,147.0,0.0,,
1999-03-31,156.0,156.0,156.0,159.0,0.0,2208.0,480000.0
1999-04-01,175.0,175.0,175.0,177.0,0.0,2448.0,480000.0
1999-04-02,155.0,155.0,155.0,156.0,3000.0,2165.0,480000.0
1999-04-06,155.0,155.0,155.0,156.0,0.0,2165.0,480000.0
1999-04-07,155.0,155.0,155.0,156.0,0.0,,
1999-04-08,155.0,155.0,155.0,156.0,0.0,,
1999-04-09,155.0,155.0,155.0,156.0,0.0,,
1999-04-12,155.0,155.0,155.0,156.0,0.0,,
1999-04-13,172.0,172.0,172.0,173.0,0.0,2400.0,480000.0
1999-04-14,190.0,190.0,190.0,190.0,5100.0,2640.0,480000.0
1999-04-15,190.0,190.0,190.0,190.0,27600.0,2640.0,480000.0
1999-04-16,190.0,190.0,190.0,190.0,1000.0,2640.0,480000.0
1999-04-19,190.0,190.0,190.0,190.0,0.0,2640.0,480000.0
1999-04-20,204.0,204.0,204.0,206.0,100.0,2856.0,480000.0
1999-04-21,204.0,204.0,204.0,206.0,0.0,2856.0,480000.0
1999-04-22,204.0,204.0,204.0,206.0,0.0,,
1999-04-23,204.0,204.0,204.0,206.0,0.0,,
1999-04-26,204.0,204.0,204.0,206.0,0.0,,
1999-04-27,204.0,204.0,204.0,206.0,0.0,,
