한빛소프트(047080),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-01-10,18930,18930,18930,18929,5712,335566.0,8184543.0
2002-01-11,21192,21192,21192,21192,7256,375671.0,8184543.0
2002-01-14,23731,23731,21400,21469,587182,380581.0,8184543.0
2002-01-15,20777,22785,20500,21930,448747,388766.0,8184543.0
2002-01-16,22162,22600,19299,19299,427565,342114.0,8184543.0
2002-01-17,18237,18884,17037,17267,224100,306102.0,8184543.0
2002-01-18,17314,17983,16506,17036,177444,302010.0,8184543.0
2002-01-21,16760,17706,16760,16990,138940,301191.0,8184543.0
2002-01-22,17083,17383,15813,16228,199554,287687.0,8184543.0
2002-01-23,16160,17937,15606,17313,331445,306920.0,8184543.0
2002-01-24,17221,18861,16714,17267,386950,306102.0,8184543.0
2002-01-25,17452,18330,17452,17960,241187,318379.0,8184543.0
2002-01-28,18237,20107,18237,20107,129641,356437.0,8184543.0
2002-01-29,22508,22508,20130,20130,485668,356846.0,8184543.0
2002-01-30,18930,19715,18076,19160,160877,339659.0,8184543.0
2002-01-31,19391,20684,19068,20037,210971,355209.0,8184543.0
2002-02-01,20084,21331,20038,20222,215366,358483.0,8184543.0
2002-02-04,20223,20361,18191,18468,139808,327382.0,8184543.0
2002-02-05,17937,18214,17314,18098,91804,320834.0,8184543.0
2002-02-06,17591,18676,17591,17867,65770,316742.0,8184543.0
2002-02-07,17545,18099,16667,16736,93562,296690.0,8184543.0
2002-02-08,16621,17014,16183,16944,109829,300373.0,8184543.0
2002-02-14,17729,17776,17175,17175,75141,304465.0,8184543.0
2002-02-15,17037,17406,16644,16805,140179,297917.0,8184543.0
2002-02-18,16852,17637,16852,17129,147611,303647.0,8184543.0
2002-02-19,17268,17568,17083,17082,113276,302828.0,8184543.0
2002-02-20,16852,17060,16644,16736,80096,296690.0,8184543.0
2002-02-21,17037,18745,16898,18652,294080,330656.0,8184543.0
2002-02-22,18237,18330,17776,17775,128277,315105.0,8184543.0
2002-02-25,17776,18237,17545,17544,87923,311013.0,8184543.0
2002-02-26,17776,17822,17014,17129,107211,303647.0,8184543.0
