에치에프알(230240),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-16,10445,10520,10415,10500,1117624,16040.0,8000000.0
2015-12-17,10470,10495,10445,10445,53019,15960.0,8000000.0
2015-12-18,10470,10495,10445,10470,179759,16000.0,8000000.0
2015-12-21,10495,10575,10470,10550,93144,16120.0,8000000.0
2015-12-22,10600,10995,10600,10735,97655,16400.0,8000000.0
2015-12-23,10650,10995,10650,10655,82678,16280.0,8000000.0
2015-12-24,10650,10730,10495,10500,40164,16040.0,8000000.0
2015-12-28,10730,10730,10730,10735,1,16400.0,8000000.0
2015-12-29,10520,10705,10520,10705,10374,16360.0,8000000.0
2015-12-30,10680,10785,10520,10605,41951,16200.0,8000000.0
2016-01-04,10995,10995,10650,10680,831,16320.0,8000000.0
2016-01-05,10680,10730,10650,10680,7414,16320.0,8000000.0
2016-01-06,10550,10730,10550,10680,5878,16320.0,8000000.0
2016-01-07,10730,10860,10730,10810,17155,16520.0,8000000.0
2016-01-08,10810,11020,10810,10840,34765,16560.0,8000000.0
2016-01-11,10600,10860,10600,10810,4007,16520.0,8000000.0
2016-01-12,10810,10965,10810,10970,11943,16760.0,8000000.0
2016-01-13,10965,10995,10625,10810,15065,16520.0,8000000.0
2016-01-14,10940,10940,10730,10840,27619,16560.0,8000000.0
2016-01-15,10940,10940,10730,10915,5839,16680.0,8000000.0
2016-01-18,10890,10995,10550,10630,4428,16240.0,8000000.0
2016-01-19,10625,10965,10625,10680,3255,16320.0,8000000.0
2016-01-20,10680,10890,10520,10680,24024,16320.0,8000000.0
2016-01-21,10965,10965,10835,10840,29,16560.0,8000000.0
2016-01-22,10730,10730,10470,10680,7034,16320.0,8000000.0
2016-01-25,10650,10785,10470,10785,17247,16480.0,8000000.0
2016-01-26,10810,10810,10550,10760,6083,16440.0,8000000.0
2016-01-27,10940,10940,10625,10735,6014,16400.0,8000000.0
2016-01-28,10730,10940,10625,10760,8266,16440.0,8000000.0
2016-01-29,10730,11020,10495,10945,5786,16720.0,8000000.0
