아이큐어(175250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-07-12,58500,66500,53500,60600,3667203,371085.0,6123518.0
2018-07-13,59600,63400,57700,59200,857372,362512.0,6123518.0
2018-07-16,61900,62700,56400,56400,713601,345366.0,6123518.0
2018-07-17,57200,57700,53000,55200,438762,338018.0,6123518.0
2018-07-18,56100,56700,48400,49100,655075,300665.0,6123518.0
2018-07-19,48800,49350,41100,42450,783361,259943.0,6123518.0
2018-07-20,42100,48750,42050,48750,845738,298522.0,6123518.0
2018-07-23,51000,58600,49500,53100,1942418,325159.0,6123518.0
2018-07-24,52000,56500,51600,53600,677471,328221.0,6123518.0
2018-07-25,54600,57500,50400,54300,767299,332507.0,6123518.0
2018-07-26,52800,53500,45050,45600,839740,279232.0,6123518.0
2018-07-27,45600,48450,43000,45200,584631,276783.0,6123518.0
2018-07-30,45200,46500,44450,44750,181630,274027.0,6123518.0
2018-07-31,44750,55000,44500,47700,1680689,292092.0,6123518.0
2018-08-01,47950,48150,46550,47150,249866,288724.0,6123518.0
2018-08-02,47000,47150,44750,45500,227858,278620.0,6123518.0
2018-08-03,45750,47700,45000,45900,271725,281069.0,6123518.0
2018-08-06,46000,47600,45950,46200,217948,282907.0,6123518.0
2018-08-07,46200,46550,44900,44900,166830,274946.0,6123518.0
2018-08-08,44000,45150,43050,43500,196317,266373.0,6123518.0
2018-08-09,44000,45150,43400,43450,144253,266067.0,6123518.0
2018-08-10,43400,43900,42150,42300,136667,259025.0,6123518.0
2018-08-13,42050,42100,38200,38200,356572,233918.0,6123518.0
2018-08-14,38250,40000,37650,38500,154464,235755.0,6123518.0
2018-08-16,37500,37500,36200,36850,158270,225652.0,6123518.0
2018-08-17,37000,40450,37000,38650,254806,236674.0,6123518.0
2018-08-20,39000,40350,38950,39650,140344,242797.0,6123518.0
2018-08-21,40150,40800,39850,40150,164959,245859.0,6123518.0
2018-08-22,40150,40500,39200,39300,114340,240654.0,6123518.0
