키움제5호스팩(311270),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-26,2000,2010,2000,2010,155753,7236.0,3600000.0
2018-12-27,2005,2010,2005,2010,25943,7236.0,3600000.0
2018-12-28,2010,2010,2005,2010,40151,7236.0,3600000.0
2019-01-02,2005,2010,2005,2010,1362,7236.0,3600000.0
2019-01-03,2005,2010,2005,2010,41830,7236.0,3600000.0
2019-01-04,2005,2010,2005,2005,6089,7218.0,3600000.0
2019-01-07,2005,2010,2005,2010,94708,7236.0,3600000.0
2019-01-08,2010,2015,2005,2015,52607,7254.0,3600000.0
2019-01-09,2015,2020,2015,2020,14476,7272.0,3600000.0
2019-01-10,2015,2020,2015,2015,1104,7254.0,3600000.0
2019-01-11,2015,2015,2005,2005,35028,7218.0,3600000.0
2019-01-14,2010,2010,2010,2010,2736,7236.0,3600000.0
2019-01-15,2010,2015,2010,2010,1549,7236.0,3600000.0
2019-01-16,2005,2015,2005,2010,132933,7236.0,3600000.0
2019-01-17,2010,2015,2010,2015,9001,7254.0,3600000.0
2019-01-18,2015,2015,2015,2015,10100,7254.0,3600000.0
2019-01-21,2010,2015,2010,2015,6652,7254.0,3600000.0
2019-01-22,2010,2015,2010,2010,4497,7236.0,3600000.0
2019-01-23,2015,2015,2010,2010,4958,7236.0,3600000.0
2019-01-24,2010,2010,2010,2010,10,7236.0,3600000.0
2019-01-25,2015,2015,2005,2015,23608,7254.0,3600000.0
2019-01-28,2015,2020,2015,2020,8505,7272.0,3600000.0
2019-01-29,2020,2020,2020,2020,3801,7272.0,3600000.0
2019-01-30,2020,2025,2020,2020,80503,7272.0,3600000.0
2019-01-31,2025,2025,2020,2020,31607,7272.0,3600000.0
2019-02-01,2020,2020,2020,2020,755,7272.0,3600000.0
2019-02-07,2025,2025,2020,2025,4007,7290.0,3600000.0
2019-02-08,2025,2025,2015,2020,15993,7272.0,3600000.0
2019-02-11,2025,2025,2020,2020,2473,7272.0,3600000.0
2019-02-12,2025,2025,2025,2025,1716,7290.0,3600000.0
2019-02-13,2025,2025,2010,2025,9031,7290.0,3600000.0
2019-02-14,2025,2025,2015,2020,837,7272.0,3600000.0
2019-02-15,2025,2025,2025,2025,1,7290.0,3600000.0
2019-02-18,2025,2025,2015,2015,6,7254.0,3600000.0
2019-02-19,2025,2025,2025,2025,6,7290.0,3600000.0
2019-02-20,2025,2025,2015,2015,21,7254.0,3600000.0
2019-02-21,2015,2015,2015,2015,28,7254.0,3600000.0
2019-02-22,2025,2025,2020,2020,3,7272.0,3600000.0
2019-02-25,2025,2025,2015,2015,8,7254.0,3600000.0
2019-02-26,2025,2025,2025,2025,5006,7290.0,3600000.0
2019-02-27,2020,2020,2015,2015,2668,7254.0,3600000.0
2019-02-28,2025,2025,2015,2015,1501,7254.0,3600000.0
2019-03-04,2025,2025,2015,2015,1502,7254.0,3600000.0
2019-03-05,2025,2025,2015,2015,2349,7254.0,3600000.0
2019-03-06,2020,2025,2015,2020,2195,7272.0,3600000.0
