하나금융11호스팩(284620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-06-08,2000,2010,2000,2000,489453,10802.0,5401000.0
2018-06-11,2005,2010,2000,2005,38115,10829.0,5401000.0
2018-06-12,2010,2010,2005,2005,22833,10829.0,5401000.0
2018-06-14,2005,2010,2000,2005,19463,10829.0,5401000.0
2018-06-15,2005,2005,2000,2000,28483,10802.0,5401000.0
2018-06-18,2010,2010,2005,2005,364,10829.0,5401000.0
2018-06-19,2005,2010,2005,2005,11285,10829.0,5401000.0
2018-06-20,2005,2010,2005,2005,21500,10829.0,5401000.0
2018-06-21,2010,2010,2005,2005,43769,10829.0,5401000.0
2018-06-22,2005,2010,2005,2005,12410,10829.0,5401000.0
2018-06-25,2005,2010,2005,2010,36288,10856.0,5401000.0
2018-06-26,2010,2010,2005,2005,21994,10829.0,5401000.0
2018-06-27,2010,2040,2005,2040,71083,11018.0,5401000.0
2018-06-28,2040,2045,2025,2035,906,10991.0,5401000.0
2018-06-29,2040,2040,2040,2040,41,11018.0,5401000.0
2018-07-02,2035,2045,2015,2040,1273,11018.0,5401000.0
2018-07-03,2015,2040,2005,2040,52671,11018.0,5401000.0
2018-07-04,2010,2040,2010,2035,6,10991.0,5401000.0
2018-07-05,2015,2040,2015,2035,3,10991.0,5401000.0
2018-07-06,2020,2035,2020,2030,53,10964.0,5401000.0
2018-07-09,2025,2040,2020,2020,155,10910.0,5401000.0
2018-07-10,2030,2040,2020,2040,754,11018.0,5401000.0
2018-07-11,2025,2035,2020,2035,18277,10991.0,5401000.0
2018-07-12,2030,2035,2015,2035,36731,10991.0,5401000.0
2018-07-13,2025,2035,2025,2035,2,10991.0,5401000.0
2018-07-16,2030,2040,2030,2040,3503,11018.0,5401000.0
2018-07-17,2035,2045,2035,2045,7501,11045.0,5401000.0
2018-07-18,2045,2045,2040,2040,3002,11018.0,5401000.0
2018-07-19,2040,2040,2040,2040,1195,11018.0,5401000.0
2018-07-20,2035,2035,2035,2035,1,10991.0,5401000.0
2018-07-23,2050,2050,2025,2045,2121,11045.0,5401000.0
2018-07-24,2035,2045,2035,2045,2,11045.0,5401000.0
2018-07-25,2045,2060,2020,2040,61812,11018.0,5401000.0
2018-07-26,2030,2040,2025,2040,73,11018.0,5401000.0
2018-07-27,2025,2040,2025,2040,5003,11018.0,5401000.0
2018-07-30,2025,2040,2025,2035,24022,10991.0,5401000.0
2018-07-31,2025,2040,2020,2040,12727,11018.0,5401000.0
2018-08-01,2040,2070,2020,2045,5280,11045.0,5401000.0
2018-08-02,2030,2040,2020,2040,3028,11018.0,5401000.0
2018-08-03,2030,2040,2030,2040,297,11018.0,5401000.0
2018-08-06,2040,2040,2040,2040,48,11018.0,5401000.0
2018-08-07,2035,2035,2025,2035,638,10991.0,5401000.0
2018-08-08,2040,2040,2040,2040,1,11018.0,5401000.0
2018-08-09,2040,2080,2040,2080,1737,11234.0,5401000.0
2018-08-10,2050,2050,2045,2050,12,11072.0,5401000.0
2018-08-13,2040,2080,2040,2050,13724,11072.0,5401000.0
2018-08-14,2050,2050,2045,2050,2300,11072.0,5401000.0
2018-08-16,2075,2080,2040,2065,113,11153.0,5401000.0
2018-08-17,2075,2080,2035,2075,14,11207.0,5401000.0
2018-08-20,2050,2080,2050,2070,3400,11180.0,5401000.0
2018-08-21,2045,2065,2045,2045,16605,11045.0,5401000.0
2018-08-22,2050,2070,2050,2065,7399,11153.0,5401000.0
2018-08-23,2070,2070,2040,2070,6234,11180.0,5401000.0
2018-08-24,2070,2070,2060,2070,1867,11180.0,5401000.0
2018-08-27,2060,2090,2060,2090,2001,11288.0,5401000.0
2018-08-28,2050,2085,2050,2085,8794,11261.0,5401000.0
2018-08-29,2080,2080,2045,2080,401,11234.0,5401000.0
2018-08-30,2040,2090,2040,2045,12559,11045.0,5401000.0
2018-08-31,2080,2080,2050,2075,704,11207.0,5401000.0
2018-09-03,2080,2080,2050,2080,7767,11234.0,5401000.0
2018-09-04,2050,2080,2050,2080,13505,11234.0,5401000.0
2018-09-05,2090,2180,2090,2110,32388,11396.0,5401000.0
2018-09-06,2125,2135,2105,2135,10382,11531.0,5401000.0
2018-09-07,2135,2135,2100,2120,11715,11450.0,5401000.0
2018-09-10,2120,2120,2050,2115,60007,11423.0,5401000.0
2018-09-11,2105,2110,2105,2110,9,11396.0,5401000.0
2018-09-12,2105,2105,2105,2105,1,11369.0,5401000.0
2018-09-13,2065,2090,2045,2090,61904,11288.0,5401000.0
2018-09-14,2090,2090,2055,2080,6695,11234.0,5401000.0
2018-09-17,2055,2075,2050,2050,26804,11072.0,5401000.0
2018-09-18,2055,2075,2050,2070,5005,11180.0,5401000.0
2018-09-19,2060,2070,2055,2070,1586,11180.0,5401000.0
2018-09-20,2070,2075,2070,2075,3041,11207.0,5401000.0
2018-09-21,2055,2075,2055,2075,2,11207.0,5401000.0
2018-09-27,2045,2075,2010,2060,127922,11126.0,5401000.0
2018-09-28,2040,2060,2035,2060,113,11126.0,5401000.0
2018-10-01,2035,2060,2035,2050,4421,11072.0,5401000.0
2018-10-02,2055,2055,2040,2050,266,11072.0,5401000.0
2018-10-04,2055,2070,2050,2070,4041,11180.0,5401000.0
2018-10-05,2045,2055,2045,2055,2503,11099.0,5401000.0
2018-10-08,2055,2055,2050,2055,3501,11099.0,5401000.0
2018-10-10,2045,2055,2025,2045,13373,11045.0,5401000.0
2018-10-11,2040,2070,2030,2070,13408,11180.0,5401000.0
2018-10-12,2055,2055,2050,2055,8190,11099.0,5401000.0
2018-10-15,2070,2070,2055,2055,6,11099.0,5401000.0
2018-10-16,2040,2045,2035,2045,7501,11045.0,5401000.0
2018-10-17,2040,2045,2040,2045,7901,11045.0,5401000.0
2018-10-18,2050,2060,2045,2050,7089,11072.0,5401000.0
2018-10-19,2045,2045,2040,2045,6576,11045.0,5401000.0
2018-10-22,2065,2065,2035,2055,3874,11099.0,5401000.0
2018-10-23,2035,2055,2035,2045,24365,11045.0,5401000.0
2018-10-24,2050,2050,2045,2050,2301,11072.0,5401000.0
2018-10-25,2050,2065,2050,2050,2303,11072.0,5401000.0
2018-10-26,2055,2055,2035,2045,1814,11045.0,5401000.0
2018-10-29,2055,2055,2035,2045,2261,11045.0,5401000.0
2018-10-30,2050,2050,2050,2050,10,11072.0,5401000.0
2018-10-31,2050,2060,2045,2050,50278,11072.0,5401000.0
2018-11-01,2060,2060,2040,2050,1828,11072.0,5401000.0
2018-11-02,2050,2055,2040,2050,1002,11072.0,5401000.0
2018-11-05,2060,2060,2060,2060,1501,11126.0,5401000.0
2018-11-06,2045,2060,2040,2060,503,11126.0,5401000.0
2018-11-07,2045,2060,2045,2060,3838,11126.0,5401000.0
2018-11-08,2060,2060,2040,2040,5150,11018.0,5401000.0
2018-11-09,2060,2060,2025,2050,13773,11072.0,5401000.0
2018-11-12,2030,2055,2030,2050,2157,11072.0,5401000.0
2018-11-13,2050,2060,2050,2050,6301,11072.0,5401000.0
2018-11-14,2050,2050,2045,2050,1362,11072.0,5401000.0
2018-11-15,2060,2060,2035,2050,1303,11072.0,5401000.0
2018-11-16,2050,2060,2035,2045,1532,11045.0,5401000.0
2018-11-19,2035,2060,2035,2045,3457,11045.0,5401000.0
2018-11-20,2060,2060,2050,2050,21001,11072.0,5401000.0
2018-11-21,2030,2060,2030,2055,9904,11099.0,5401000.0
2018-11-22,2035,2055,2035,2055,12500,11099.0,5401000.0
