유니테크노(241690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-09-20,6378,6503,5427,5703,4263694,67987.0,5963760.0
2016-09-21,5878,5928,5552,5753,896319,68583.0,5963760.0
2016-09-22,5678,5803,5552,5578,693362,66496.0,5963760.0
2016-09-23,5653,6028,5602,5803,899890,69180.0,5963760.0
2016-09-26,5728,5803,5577,5653,460774,67390.0,5963760.0
2016-09-27,5602,5703,5477,5503,391116,65601.0,5963760.0
2016-09-28,5577,5602,5352,5403,210060,64409.0,5963760.0
2016-09-29,5377,5452,5227,5453,150300,65005.0,5963760.0
2016-09-30,5427,5427,5177,5278,220474,62918.0,5963760.0
2016-10-04,5277,5277,5177,5203,79594,62023.0,5963760.0
2016-10-05,5202,5302,5127,5203,133373,62023.0,5963760.0
2016-10-06,5177,5602,5152,5378,325245,64110.0,5963760.0
2016-10-07,5377,5402,5202,5278,104113,62918.0,5963760.0
2016-10-10,5252,5402,5202,5328,93579,63514.0,5963760.0
2016-10-11,5352,5427,5252,5353,106398,63812.0,5963760.0
2016-10-12,5327,5377,5227,5253,68168,62619.0,5963760.0
2016-10-13,5252,5302,4997,5103,112866,60830.0,5963760.0
2016-10-14,5102,5152,5002,5128,121037,61129.0,5963760.0
2016-10-17,5127,5252,5077,5128,88232,61129.0,5963760.0
2016-10-18,5127,5252,5102,5228,77403,62321.0,5963760.0
2016-10-19,5152,5628,5152,5403,488629,64409.0,5963760.0
2016-10-20,5452,5577,5327,5528,201460,65900.0,5963760.0
2016-10-21,5527,5703,5452,5553,170710,66198.0,5963760.0
2016-10-24,5527,5602,5377,5378,117639,64110.0,5963760.0
2016-10-25,5377,6978,5377,6979,2398412,83194.0,5963760.0
2016-10-26,6828,7178,6128,6428,2036095,76634.0,5963760.0
2016-10-27,6503,6728,6328,6553,1184910,78125.0,5963760.0
2016-10-28,6603,6703,5853,5953,743866,70969.0,5963760.0
2016-10-31,5978,6028,5703,5778,251061,68881.0,5963760.0
2016-11-01,5753,5903,5653,5678,348171,67689.0,5963760.0
2016-11-02,5577,5728,5402,5403,231524,64409.0,5963760.0
2016-11-03,5352,5653,5327,5628,179945,67092.0,5963760.0
2016-11-04,5577,5628,5427,5528,100500,65900.0,5963760.0
2016-11-07,5552,5728,5552,5678,103396,67689.0,5963760.0
2016-11-08,5703,6253,5653,6228,463356,74249.0,5963760.0
2016-11-09,6178,6353,5552,5903,466891,70372.0,5963760.0
2016-11-10,6128,6353,5903,6003,266388,71565.0,5963760.0
