보광산업(225530),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-17,2043,2656,2037,2111,14131371,72502.0,11490000.0
2015-12-18,2160,2167,1916,1937,2625789,66527.0,11490000.0
2015-12-21,1892,1896,1670,1683,1440507,57795.0,11490000.0
2015-12-22,1699,1736,1607,1645,741838,56473.0,11490000.0
2015-12-23,1630,1663,1508,1577,622980,54175.0,11490000.0
2015-12-24,1672,2047,1665,1756,7018599,60322.0,11490000.0
2015-12-28,1706,1722,1631,1651,803932,56703.0,11490000.0
2015-12-29,1672,1936,1669,1699,1530988,58369.0,11490000.0
2015-12-30,1726,1819,1699,1756,490790,60322.0,11490000.0
2016-01-04,1756,1762,1675,1719,279662,59059.0,11490000.0
2016-01-05,1736,2234,1736,2235,7889545,76753.0,11490000.0
2016-01-06,2385,2495,2053,2205,6481285,75719.0,11490000.0
2016-01-07,2254,2551,2194,2298,5907645,78936.0,11490000.0
2016-01-08,2234,2488,2167,2375,3732107,81579.0,11490000.0
2016-01-11,2572,2636,2224,2242,3300509,76983.0,11490000.0
2016-01-12,2341,2358,2107,2155,995988,73996.0,11490000.0
2016-01-13,2190,2441,2144,2322,2890781,79741.0,11490000.0
2016-01-14,2237,2508,2194,2509,2495250,86175.0,11490000.0
2016-01-15,2461,2541,2385,2486,1509236,85371.0,11490000.0
2016-01-18,2458,2793,2428,2733,3110779,93873.0,11490000.0
2016-01-19,2669,2843,2632,2763,1698286,94907.0,11490000.0
2016-01-20,2702,2719,2511,2519,1122633,86520.0,11490000.0
2016-01-21,2488,2515,2331,2342,838260,80430.0,11490000.0
2016-01-22,2368,2425,2264,2322,430277,79741.0,11490000.0
2016-01-25,2365,2411,2348,2362,474809,81119.0,11490000.0
2016-01-26,2348,2401,2274,2288,395153,78592.0,11490000.0
2016-01-27,2328,2408,2244,2245,507780,77098.0,11490000.0
2016-01-28,2244,2338,2170,2195,323638,75374.0,11490000.0
2016-01-29,2224,2264,2174,2195,169897,75374.0,11490000.0
2016-02-01,2274,2287,2187,2238,208960,76868.0,11490000.0
2016-02-02,2274,2361,2197,2282,406793,78362.0,11490000.0
2016-02-03,2274,2290,2200,2201,204523,75604.0,11490000.0
2016-02-04,2194,2247,2170,2191,136189,75260.0,11490000.0
2016-02-05,2200,2230,2170,2231,137178,76638.0,11490000.0
2016-02-11,2170,2210,2053,2057,143637,70664.0,11490000.0
2016-02-12,2007,2023,1859,1914,231338,65723.0,11490000.0
2016-02-15,1933,2318,1933,2141,510557,73536.0,11490000.0
2016-02-16,2230,2304,2194,2201,296843,75604.0,11490000.0
2016-02-17,2200,2217,2097,2161,116364,74225.0,11490000.0
2016-02-18,2190,2277,2147,2235,134055,76753.0,11490000.0
2016-02-19,2234,2287,2174,2288,112430,78592.0,11490000.0
2016-02-22,2338,2365,2274,2305,137450,79166.0,11490000.0
2016-02-23,2314,2338,2240,2302,131598,79051.0,11490000.0
2016-02-24,2308,2348,2274,2315,84830,79511.0,11490000.0
2016-02-25,2338,2361,2277,2288,135658,78592.0,11490000.0
2016-02-26,2304,2311,2247,2265,76943,77787.0,11490000.0
2016-02-29,2257,2277,2073,2195,126891,75374.0,11490000.0
2016-03-02,2204,2240,2164,2208,76327,75834.0,11490000.0
2016-03-03,2184,2207,2123,2134,107566,73306.0,11490000.0
2016-03-04,2164,2438,2134,2392,757540,82154.0,11490000.0
2016-03-07,2425,2562,2405,2476,716824,85026.0,11490000.0
2016-03-08,2488,2545,2408,2469,289970,84796.0,11490000.0
2016-03-09,2468,2558,2395,2469,288410,84796.0,11490000.0
2016-03-10,2468,2548,2458,2533,179919,86979.0,11490000.0
2016-03-11,2518,2521,2451,2476,72604,85026.0,11490000.0
2016-03-14,2475,2495,2388,2408,84125,82728.0,11490000.0
2016-03-15,2425,2448,2375,2408,58680,82728.0,11490000.0
2016-03-16,2461,2615,2428,2526,318188,86750.0,11490000.0
2016-03-17,2538,2592,2481,2523,147412,86635.0,11490000.0
2016-03-18,2672,2809,2595,2596,451575,89162.0,11490000.0
2016-03-21,2625,2646,2565,2603,155074,89392.0,11490000.0
2016-03-22,2608,2608,2518,2563,99508,88013.0,11490000.0
2016-03-23,2541,2595,2525,2576,93776,88473.0,11490000.0
2016-03-24,2595,2595,2475,2509,75882,86175.0,11490000.0
2016-03-25,2508,2608,2475,2603,112483,89392.0,11490000.0
2016-03-28,2602,2682,2575,2659,132073,91346.0,11490000.0
2016-03-29,2682,2712,2618,2659,110362,91346.0,11490000.0
2016-03-30,2689,2689,2625,2656,67710,91231.0,11490000.0
2016-03-31,2659,2666,2551,2623,88703,90082.0,11490000.0
2016-04-01,2622,2649,2551,2576,65649,88473.0,11490000.0
2016-04-04,2565,2689,2565,2683,134198,92150.0,11490000.0
2016-04-05,2682,2686,2629,2653,47382,91116.0,11490000.0
2016-04-06,2662,2676,2575,2656,78437,91231.0,11490000.0
2016-04-07,2659,2676,2582,2583,89062,88703.0,11490000.0
2016-04-08,2575,2662,2568,2663,87971,91460.0,11490000.0
2016-04-11,2676,3445,2676,3445,3524732,118347.0,11490000.0
2016-04-12,3629,3646,3298,3496,2025373,120070.0,11490000.0
2016-04-14,3445,3595,3345,3496,955765,120070.0,11490000.0
2016-04-15,3478,3713,3318,3335,985333,114555.0,11490000.0
2016-04-18,3311,3325,3114,3178,567504,109155.0,11490000.0
2016-04-19,3174,3241,3140,3178,364559,109155.0,11490000.0
2016-04-20,3211,3227,3097,3098,252041,106397.0,11490000.0
2016-04-21,3117,3167,3047,3101,229226,106512.0,11490000.0
2016-04-22,3100,3308,3060,3252,546332,111683.0,11490000.0
2016-04-25,3291,3318,3207,3248,178812,111568.0,11490000.0
2016-04-26,3257,3291,3160,3228,126691,110878.0,11490000.0
2016-04-27,3244,3445,3217,3379,353942,116049.0,11490000.0
2016-04-28,3378,3512,3318,3412,316985,117198.0,11490000.0
2016-04-29,3345,3428,3144,3285,200460,112832.0,11490000.0
2016-05-02,3285,3305,3201,3225,71708,110764.0,11490000.0
2016-05-03,3224,3288,3130,3202,140295,109959.0,11490000.0
2016-05-04,3201,3241,3174,3195,91399,109730.0,11490000.0
2016-05-09,3221,3328,3140,3245,190815,111453.0,11490000.0
2016-05-10,3277,3277,3154,3175,118541,109040.0,11490000.0
2016-05-11,3160,3184,3147,3158,97267,108466.0,11490000.0
2016-05-12,3157,3187,3134,3145,61739,108006.0,11490000.0
2016-05-13,3187,3829,3137,3275,1960134,112487.0,11490000.0
2016-05-16,3281,3335,3197,3225,270412,110764.0,11490000.0
2016-05-17,3244,3335,3221,3262,216118,112028.0,11490000.0
2016-05-18,3244,3274,3190,3198,97295,109844.0,11490000.0
2016-05-19,3194,3378,3194,3212,281070,110304.0,11490000.0
2016-05-20,3244,3412,3201,3362,266191,115474.0,11490000.0
2016-05-23,3412,3528,3341,3479,266495,119496.0,11490000.0
2016-05-24,3528,3562,3345,3379,181459,116049.0,11490000.0
2016-05-25,3395,3512,3291,3445,153745,118347.0,11490000.0
2016-05-26,3512,3512,3361,3513,146572,120645.0,11490000.0
2016-05-27,3595,3763,3412,3445,260812,118347.0,11490000.0
2016-05-30,3478,3545,3412,3429,127839,117772.0,11490000.0
2016-05-31,3395,3512,3361,3463,96032,118922.0,11490000.0
2016-06-01,3478,3495,3395,3412,83138,117198.0,11490000.0
2016-06-02,3412,3713,3378,3613,473134,124092.0,11490000.0
2016-06-03,3646,3713,3545,3713,312532,127539.0,11490000.0
2016-06-07,3763,3880,3629,3663,266395,125816.0,11490000.0
2016-06-08,3663,3713,3545,3680,137763,126390.0,11490000.0
2016-06-09,3679,3863,3578,3696,381912,126964.0,11490000.0
2016-06-10,3713,3813,3629,3680,102317,126390.0,11490000.0
2016-06-13,3612,3997,3562,3814,470715,130986.0,11490000.0
2016-06-14,3863,4951,3846,4717,5387285,162009.0,11490000.0
2016-06-15,4733,4850,4348,4617,1463511,158562.0,11490000.0
2016-06-16,4800,5803,4499,4934,5911980,169478.0,11490000.0
2016-06-17,4917,5686,4565,4834,5832167,166030.0,11490000.0
2016-06-20,4951,5535,4816,5419,2637710,186138.0,11490000.0
2016-06-21,5569,6924,5285,5286,6473784,181542.0,11490000.0
2016-06-22,4264,4683,3779,3931,4612461,135008.0,11490000.0
2016-06-23,4197,4633,3930,3981,3711368,136731.0,11490000.0
2016-06-24,3964,4197,3462,3663,1972300,125816.0,11490000.0
2016-06-27,3595,3896,3595,3696,740372,126964.0,11490000.0
2016-06-28,3646,3813,3595,3730,577396,128114.0,11490000.0
2016-06-29,3779,3846,3679,3763,615163,129262.0,11490000.0
2016-06-30,3863,3896,3562,3630,679348,124666.0,11490000.0
2016-07-01,3646,3713,3578,3580,304274,122943.0,11490000.0
2016-07-04,3612,3629,3338,3530,576779,121220.0,11490000.0
2016-07-05,3528,3779,3478,3730,499187,128114.0,11490000.0
2016-07-06,3729,3746,3512,3563,302185,122368.0,11490000.0
2016-07-07,3578,3629,3478,3496,239536,120070.0,11490000.0
2016-07-08,3545,3930,3545,3814,1781270,130986.0,11490000.0
2016-07-11,3863,4147,3729,3948,1238866,135582.0,11490000.0
2016-07-12,4197,5118,4181,5119,3120126,175797.0,11490000.0
2016-07-13,6071,6539,5887,6156,5464433,211416.0,11490000.0
2016-07-14,5921,5954,5352,5704,2036886,195904.0,11490000.0
2016-07-15,5686,6088,5134,5286,2696481,181542.0,11490000.0
2016-07-18,5134,5218,4917,5001,1029696,171776.0,11490000.0
2016-07-19,4917,5101,4883,4968,601153,170626.0,11490000.0
2016-07-20,4984,5118,4549,4566,769249,156838.0,11490000.0
2016-07-21,4599,4850,4549,4700,692559,161434.0,11490000.0
2016-07-22,4666,5001,4599,4801,1057350,164882.0,11490000.0
2016-07-25,4766,5017,4733,4784,683909,164307.0,11490000.0
2016-07-26,4816,4900,4616,4667,374964,160286.0,11490000.0
2016-07-27,4766,4866,4649,4667,317364,160286.0,11490000.0
