티앤알바이오팹(246710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-28,16200,16300,12500,12500,2285719,101476.0,8118084.0
2018-11-29,12650,13600,12100,12450,1026382,101070.0,8118084.0
2018-11-30,12450,12800,12000,12100,410766,98229.0,8118084.0
2018-12-03,12400,12600,11800,11900,550548,96605.0,8118084.0
2018-12-04,11950,12100,11350,11950,304428,97011.0,8118084.0
2018-12-05,11750,12300,11550,11950,224728,97011.0,8118084.0
2018-12-06,11850,11900,10700,10900,219752,88487.0,8118084.0
2018-12-07,11000,11100,10100,10250,386648,83210.0,8118084.0
2018-12-10,10000,10100,9430,9530,280561,77365.0,8118084.0
2018-12-11,9570,10650,9550,9810,687894,79638.0,8118084.0
2018-12-12,9980,10150,9150,9420,263544,76472.0,8118084.0
2018-12-13,9470,9580,9280,9450,87702,76716.0,8118084.0
2018-12-14,9350,9380,8950,8990,125423,73195.0,8141784.0
2018-12-17,8900,8970,8340,8440,159009,68717.0,8141784.0
2018-12-18,8330,8540,8080,8140,137238,66274.0,8141784.0
2018-12-19,8210,8610,8210,8520,129968,69368.0,8141784.0
2018-12-20,8420,8820,8330,8550,61295,69612.0,8141784.0
2018-12-21,8490,9450,8490,8930,242487,72706.0,8141784.0
2018-12-24,8770,9310,8710,8840,57177,71973.0,8141784.0
2018-12-26,8680,8700,8360,8470,55594,68961.0,8141784.0
2018-12-27,8810,8880,8390,8480,37196,69042.0,8141784.0
2018-12-28,8600,9100,8600,8910,120699,72543.0,8141784.0
2019-01-02,9020,9180,8830,8990,62139,73195.0,8141784.0
2019-01-03,9000,9370,8780,9130,99496,74334.0,8141784.0
2019-01-04,9050,9160,8900,8940,33534,72788.0,8141784.0
2019-01-07,9050,9510,9000,9350,83998,76126.0,8141784.0
2019-01-08,9500,9500,8960,8960,34056,72950.0,8141784.0
2019-01-09,8960,9170,8960,9100,28402,74090.0,8141784.0
2019-01-10,9140,9250,8990,8990,42395,73195.0,8141784.0
2019-01-11,9070,9500,9030,9210,88493,74986.0,8141784.0
2019-01-14,9160,9210,9070,9090,26402,74009.0,8141784.0
2019-01-15,9190,9190,8880,8910,56877,72543.0,8141784.0
2019-01-16,8890,8990,8550,8680,61200,70671.0,8141784.0
2019-01-17,8680,8720,8390,8430,39655,68765.0,8157184.0
2019-01-18,8430,8580,8340,8400,34977,68520.0,8157184.0
2019-01-21,8400,8890,8400,8700,47949,70968.0,8157184.0
