차바이오텍(085660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-03-10,12516,12888,12250,12889,49806,60893.0,5032500.0
2006-03-13,12888,13208,12728,12782,49299,60390.0,5032500.0
2006-03-14,12783,12783,12411,12410,24306,58629.0,5032500.0
2006-03-15,12623,12677,12144,12197,42232,57622.0,5032500.0
2006-03-16,12251,12570,12091,12091,23862,57119.0,5032500.0
2006-03-17,12411,12570,11984,12250,91097,57874.0,5032500.0
2006-03-20,12091,12304,11984,12250,45948,57874.0,5032500.0
2006-03-21,12091,12357,12038,12197,36960,57622.0,5032500.0
2006-03-22,11930,12728,11930,12303,53414,58125.0,5032500.0
2006-03-23,12197,12570,12197,12410,75544,58629.0,5032500.0
2006-03-24,12305,12412,11718,12037,66068,56867.0,5032500.0
2006-03-27,12251,12251,11398,11931,30184,56364.0,5032500.0
2006-03-28,11557,11930,11397,11877,26153,56112.0,5032500.0
2006-03-29,11612,12091,11452,11931,103717,56364.0,5032500.0
2006-03-30,11931,12144,11612,11611,48787,54854.0,5032500.0
2006-03-31,11663,12196,11611,12143,29962,57370.0,5032500.0
2006-04-03,12144,12463,12038,12197,52555,57622.0,5032500.0
2006-04-04,12196,12302,11930,12143,42257,57370.0,5032500.0
2006-04-05,12410,12996,12250,12729,110074,60138.0,5032500.0
2006-04-06,12782,12889,12356,12569,43936,59384.0,5032500.0
2006-04-07,12463,14382,12357,13742,332128,64919.0,5032500.0
2006-04-10,13741,14593,13581,14593,172456,68945.0,5032500.0
2006-04-11,14912,15338,13687,14274,218623,67436.0,5032500.0
2006-04-12,14061,14487,13634,13848,68290,65422.0,5032500.0
2006-04-13,13794,14113,13315,14114,104199,66681.0,5032500.0
2006-04-14,13953,14113,13687,13848,80639,65422.0,5032500.0
2006-04-17,13687,13901,13155,13368,89270,63158.0,5032500.0
2006-04-18,13368,14113,13048,13794,121671,65171.0,5032500.0
2006-04-19,13848,14062,13422,13475,67240,63661.0,5032500.0
2006-04-20,13421,13795,13208,13634,82450,64416.0,5032500.0
2006-04-21,13848,14168,13316,13475,244975,63661.0,5032500.0
2006-04-24,13316,13423,12623,12676,98974,59887.0,5032500.0
2006-04-25,12411,12889,12357,12676,74249,59887.0,5032500.0
2006-04-26,12622,12888,12410,12782,89204,60390.0,5032500.0
2006-04-27,12888,12996,12622,12942,62128,61145.0,5032500.0
2006-04-28,12943,12943,12410,12569,61405,59384.0,5032500.0
2006-05-02,12570,13156,12144,12996,57710,61396.0,5032500.0
2006-05-03,13262,13262,12516,12729,99811,60138.0,5032500.0
2006-05-04,12516,12836,12356,12569,37664,59384.0,5032500.0
2006-05-08,12677,12783,12197,12197,35767,57622.0,5032500.0
2006-05-09,12091,12463,12091,12197,22089,57622.0,5032500.0
2006-05-10,12568,13102,12356,12782,100258,60390.0,5032500.0
2006-05-11,12782,13048,12250,12889,59928,60893.0,5032500.0
2006-05-12,12517,12783,12517,12676,24428,59887.0,5032500.0
2006-05-15,12570,12783,12251,12676,19492,59887.0,5032500.0
2006-05-16,12676,12888,12410,12623,18267,59635.0,5032500.0
2006-05-17,12516,12782,12462,12623,16313,59635.0,5032500.0
2006-05-18,12250,12782,11983,12782,61547,60390.0,5032500.0
2006-05-19,12516,12888,12410,12729,43263,60138.0,5032500.0
2006-05-22,12782,12782,12410,12463,33297,58880.0,5032500.0
2006-05-23,12196,12782,12196,12463,10966,58880.0,5032500.0
2006-05-24,12251,12463,11931,12091,28807,57119.0,5032500.0
2006-05-25,12090,12196,11291,11983,73257,56616.0,5032500.0
2006-05-26,11772,11931,11452,11611,72389,54854.0,5032500.0
2006-05-29,11612,11612,11132,11185,46846,52841.0,5032500.0
2006-05-30,11079,11453,10642,10972,53724,51835.0,5032500.0
2006-06-01,10758,11557,10758,10758,84825,50828.0,5032500.0
2006-06-02,10866,11078,10365,10503,25588,49620.0,5032500.0
2006-06-05,10866,10866,9970,10226,16367,48312.0,5032500.0
2006-06-07,10075,10075,9117,9747,30977,46047.0,5032500.0
2006-06-08,9724,9724,9053,9714,26587,45896.0,5032500.0
2006-06-09,9620,10013,9608,9864,11828,46601.0,5032500.0
2006-06-12,9713,9862,9479,9714,6191,45896.0,5032500.0
2006-06-13,9608,9682,9278,9683,6499,45745.0,5032500.0
2006-06-14,9374,9801,9374,9641,2110,45544.0,5032500.0
2006-06-15,9693,9960,9427,9587,18142,45292.0,5032500.0
2006-06-16,9801,9801,9470,9481,52641,44789.0,5032500.0
2006-06-19,9553,9553,9107,9246,23500,43682.0,5032500.0
2006-06-20,9001,9161,8042,8042,30051,37995.0,5032500.0
2006-06-21,8063,8202,7317,7403,186254,34976.0,5032500.0
2006-06-22,7519,7616,7413,7553,53132,35680.0,5032500.0
2006-06-23,7562,7604,7136,7243,52471,34221.0,5032500.0
2006-06-26,7190,7297,7147,7287,26795,34422.0,5032500.0
2006-06-27,7297,7648,7287,7595,34942,35882.0,5032500.0
2006-06-28,7457,7671,7436,7670,17638,36234.0,5032500.0
2006-06-29,7669,8256,7669,7967,27505,37643.0,5032500.0
2006-06-30,8095,8989,7977,8926,68459,42172.0,5032500.0
2006-07-03,8841,8850,8394,8628,25094,40763.0,5032500.0
2006-07-04,8894,8894,8488,8489,8297,40109.0,5032500.0
2006-07-05,7830,8192,7830,7990,28548,37744.0,5032500.0
2006-07-06,7882,7989,7669,7882,193218,37240.0,5032500.0
2006-07-07,7882,7935,7764,7861,25813,37140.0,5032500.0
2006-07-10,7776,7776,7616,7722,9949,36486.0,5032500.0
2006-07-11,7669,7797,7583,7722,13055,36486.0,5032500.0
2006-07-12,7722,7830,7616,7712,5181,36435.0,5032500.0
2006-07-13,7498,7711,7498,7541,10468,35630.0,5032500.0
2006-07-14,7351,7499,7244,7350,12785,34724.0,5032500.0
2006-07-18,7350,7404,7031,7254,14271,34271.0,5032500.0
2006-07-19,7137,7254,7085,7190,13736,33969.0,5032500.0
2006-07-20,7445,7445,7157,7403,16091,34976.0,5032500.0
2006-07-21,7350,7350,7084,7137,22204,33718.0,5032500.0
2006-07-24,7148,7329,6467,6786,34012,32057.0,5032500.0
2006-07-25,6871,6871,6605,6605,25769,31202.0,5032500.0
2006-07-26,6656,6858,6496,6615,20356,31252.0,5032500.0
2006-07-27,6613,6870,6604,6775,21955,32007.0,5032500.0
2006-07-28,6754,7138,6754,6946,14589,32812.0,5032500.0
2006-07-31,7136,7232,6816,7116,16379,33617.0,5032500.0
2006-08-01,7115,7212,6605,6765,13040,31956.0,5032500.0
2006-08-02,6584,7010,6286,6551,33317,30950.0,5032500.0
2006-08-03,6625,6689,6465,6540,24699,30900.0,5032500.0
2006-08-04,6539,6605,6487,6487,44922,30648.0,5032500.0
2006-08-07,6497,6539,6285,6328,34739,29893.0,5032500.0
2006-08-08,6294,6584,6188,6359,40074,30044.0,5032500.0
2006-08-09,6390,7125,6284,6881,51234,32510.0,5032500.0
2006-08-10,6786,7392,6668,7287,47428,34422.0,5032500.0
2006-08-11,7179,7498,7040,7233,34178,34171.0,5032500.0
2006-08-14,7158,7456,7158,7233,12528,34171.0,5032500.0
2006-08-16,7446,7446,7031,7233,4058,34171.0,5032500.0
2006-08-17,7339,7456,7031,7233,17794,34171.0,5032500.0
2006-08-18,7052,7233,6935,7212,17603,34070.0,5032500.0
2006-08-21,7456,7456,7242,7297,29145,34473.0,5032500.0
2006-08-22,7296,7402,7242,7297,8552,34473.0,5032500.0
2006-08-23,7243,7435,7232,7318,16596,34573.0,5032500.0
2006-08-24,7308,7511,7254,7329,13250,34624.0,5032500.0
2006-08-25,7297,7563,7297,7414,16153,35026.0,5032500.0
2006-08-28,7413,8521,7413,8522,145169,40260.0,5032500.0
2006-08-29,8735,8926,8011,8192,276864,38700.0,5032500.0
2006-08-30,8342,8502,8192,8331,141145,39354.0,5032500.0
2006-08-31,8308,8415,7872,7872,85466,37190.0,5032500.0
2006-09-01,7977,8095,7763,7765,65305,36687.0,5032500.0
2006-09-04,7924,8032,7743,7967,87631,37643.0,5032500.0
2006-09-05,7956,8617,7956,8447,201032,39908.0,5032500.0
2006-09-06,8447,8468,8159,8373,75834,39555.0,5032500.0
2006-09-07,8351,8395,8128,8213,36805,38801.0,5032500.0
2006-09-08,8149,8670,8149,8512,106256,40210.0,5032500.0
2006-09-11,8553,9054,8521,8830,166534,41719.0,5032500.0
2006-09-12,8947,10012,8937,9853,221282,46551.0,5032500.0
2006-09-13,10013,10227,9481,9800,106610,46299.0,5032500.0
2006-09-14,9511,9852,9511,9651,57947,45594.0,5032500.0
2006-09-15,9693,10067,9662,10024,102088,47356.0,5032500.0
2006-09-18,10418,10493,9801,9885,95901,46702.0,5032500.0
2006-09-19,9886,9886,9406,9598,76419,45343.0,5032500.0
2006-09-20,9661,9960,9469,9693,66828,45796.0,5032500.0
2006-09-21,9703,9842,9522,9587,33567,45292.0,5032500.0
2006-09-22,9438,9694,9055,9055,43623,42776.0,5032500.0
2006-09-25,8948,9011,8543,8735,43787,41266.0,5032500.0
2006-09-26,8638,8895,8318,8468,56890,40008.0,5032500.0
2006-09-27,8361,8723,8361,8522,41360,40260.0,5032500.0
2006-09-28,8467,8701,8467,8564,20239,40461.0,5032500.0
2006-09-29,8510,8617,8234,8607,26085,40663.0,5032500.0
2006-10-02,8830,8830,8522,8618,21101,40713.0,5032500.0
2006-10-04,8735,8735,8308,8628,16048,40763.0,5032500.0
2006-10-09,8584,8883,7510,7722,62205,36486.0,5032500.0
2006-10-10,7489,8192,7489,8011,17931,37844.0,5032500.0
2006-10-11,8020,8180,7678,7946,20799,37542.0,5032500.0
2006-10-12,7956,8628,7923,8512,17559,40210.0,5032500.0
2006-10-13,8627,8627,8286,8287,14490,39153.0,5032500.0
