하이텍팜(106190),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-07-28,16200,18350,13800,13800,6317044,96600.0,7000000.0
2010-07-29,13450,14000,12500,13100,2280361,91700.0,7000000.0
2010-07-30,13100,13200,12000,12000,977735,84000.0,7000000.0
2010-08-02,12250,13700,12250,12400,1431148,86800.0,7000000.0
2010-08-03,12700,13350,12650,12800,769674,89600.0,7000000.0
2010-08-04,12950,12950,12200,12400,360924,86800.0,7000000.0
2010-08-05,12500,14250,12350,14250,1266474,99750.0,7000000.0
2010-08-06,14500,15100,13500,13950,1463370,97650.0,7000000.0
2010-08-09,15200,16000,14800,16000,1648747,112000.0,7000000.0
2010-08-10,16200,16850,15250,16200,1110307,113400.0,7000000.0
2010-08-11,16100,17050,15650,16550,720546,115850.0,7000000.0
2010-08-12,16050,17400,15950,17150,606489,120050.0,7000000.0
2010-08-13,17350,17550,16650,16850,337064,117950.0,7000000.0
2010-08-16,16600,16650,15300,15800,457108,110600.0,7000000.0
2010-08-17,16100,16550,15750,16200,326634,113400.0,7000000.0
2010-08-18,16350,17150,16300,16950,436741,118650.0,7000000.0
2010-08-19,16800,16850,16250,16250,221237,113750.0,7000000.0
2010-08-20,15900,16300,15200,15500,272767,108500.0,7000000.0
2010-08-23,15450,16050,14600,15500,594240,108500.0,7000000.0
2010-08-24,15600,15700,14850,14850,167871,103950.0,7000000.0
2010-08-25,14700,15150,14450,14850,109186,103950.0,7000000.0
2010-08-26,15150,16450,14500,14800,691667,103600.0,7000000.0
2010-08-27,14850,15500,14800,14850,181485,103950.0,7000000.0
2010-08-30,15150,15450,14500,14500,200035,101500.0,7000000.0
2010-08-31,14250,14950,14000,14700,212989,102900.0,7000000.0
2010-09-01,14850,15300,14850,15300,142081,107100.0,7000000.0
2010-09-02,15350,15900,15250,15450,118130,108150.0,7000000.0
2010-09-03,15450,15700,15200,15250,85465,106750.0,7000000.0
2010-09-06,16250,16900,15750,15800,436327,110600.0,7000000.0
2010-09-07,15900,15950,15400,15400,115771,107800.0,7000000.0
2010-09-08,15200,16000,15150,15500,163183,108500.0,7000000.0
2010-09-09,15400,15800,15150,15250,83967,106750.0,7000000.0
2010-09-10,15300,15450,14750,15000,148820,105000.0,7000000.0
2010-09-13,15200,15250,14800,15000,93827,105000.0,7000000.0
2010-09-14,15050,15050,14600,14850,87469,103950.0,7000000.0
2010-09-15,14800,15350,14550,15200,115348,106400.0,7000000.0
2010-09-16,15100,15450,15100,15300,89242,107100.0,7000000.0
2010-09-17,15400,15750,15300,15500,114075,108500.0,7000000.0
2010-09-20,16200,17750,16000,16900,1068720,118300.0,7000000.0
2010-09-24,17000,17250,16100,17250,463816,120750.0,7000000.0
2010-09-27,17550,19250,17300,18000,967329,126000.0,7000000.0
2010-09-28,17900,18300,17600,18150,210801,127050.0,7000000.0
2010-09-29,18350,18350,17750,17850,198551,124950.0,7000000.0
2010-09-30,17600,17850,17100,17200,207622,120400.0,7000000.0
2010-10-01,17250,17450,16900,17400,178334,121800.0,7000000.0
2010-10-04,17550,17600,16900,16900,196002,118300.0,7000000.0
2010-10-05,16900,19000,16600,18700,699984,130900.0,7000000.0
2010-10-06,19750,20400,19400,20100,1077246,140700.0,7000000.0
2010-10-07,20000,20800,19650,20800,318244,145600.0,7000000.0
2010-10-08,20700,21200,20100,20700,314739,144900.0,7000000.0
2010-10-11,20700,22100,20150,20550,375747,143850.0,7000000.0
2010-10-12,20500,22000,19800,22000,490669,154000.0,7000000.0
2010-10-13,21650,22950,21550,22300,553314,156100.0,7000000.0
2010-10-14,22000,22250,21500,21500,280413,150500.0,7000000.0
2010-10-15,21450,22100,21100,21300,170664,149100.0,7000000.0
2010-10-18,21000,21200,20150,20400,285950,142800.0,7000000.0
2010-10-19,20450,21150,19850,19950,315957,139650.0,7000000.0
