하이록코리아(013030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1015,1015,1015,1015,0,2830.0,200000.0
1999-01-05,1015,1015,1015,1015,0,2830.0,200000.0
1999-01-06,1015,1015,1015,1015,0,,
1999-01-07,1015,1015,1015,1015,0,,
1999-01-08,1015,1015,1015,1015,0,,
1999-01-11,1015,1015,1015,1015,0,,
1999-01-12,1015,1015,1015,1015,0,,
1999-01-13,1015,1015,1015,1015,0,,
1999-01-14,1015,1015,1015,1015,0,,
1999-01-15,1015,1015,1015,1015,0,,
1999-01-18,1015,1015,1015,1015,0,,
1999-01-19,1015,1015,1015,1015,0,,
1999-01-20,1015,1015,1015,1015,0,,
1999-01-21,1015,1015,1015,1015,0,,
1999-01-22,1015,1015,1015,1015,0,,
1999-01-25,1015,1015,1015,1015,0,,
1999-01-26,1015,1015,1015,1015,0,,
1999-01-27,1015,1015,1015,1015,0,,
1999-01-28,1015,1015,1015,1015,10000,2830.0,200000.0
1999-01-29,1015,1015,1015,1015,0,,
1999-02-01,1015,1015,1015,1015,0,9781.0,691225.0
1999-02-02,969,969,969,968,10000,9332.0,691225.0
1999-02-03,969,969,969,968,0,9332.0,691225.0
1999-02-04,969,969,969,968,0,,
1999-02-05,969,969,969,968,0,,
1999-02-08,969,969,969,968,0,,
1999-02-09,969,969,969,968,0,,
1999-02-10,969,969,969,968,0,,
1999-02-11,969,969,969,968,0,,
1999-02-12,969,969,969,968,0,,
1999-02-18,969,969,969,968,0,,
1999-02-19,969,969,969,968,0,,
1999-02-22,969,969,969,968,0,,
1999-02-23,969,969,969,968,0,,
1999-02-24,969,969,969,968,0,,
1999-02-25,969,969,969,968,0,,
1999-02-26,969,969,969,968,0,,
1999-03-02,969,969,969,968,0,,
1999-03-03,969,969,969,968,0,,
1999-03-04,969,969,969,968,0,,
1999-03-05,969,969,969,968,10000,9332.0,691225.0
1999-03-08,969,969,969,968,0,,
1999-03-09,969,969,969,968,0,,
1999-03-10,969,969,969,968,0,,
1999-03-11,969,969,969,968,0,,
1999-03-12,969,969,969,968,0,,
1999-03-15,969,969,969,968,0,,
1999-03-16,969,969,969,968,0,,
1999-03-17,969,969,969,968,0,,
1999-03-18,969,969,969,968,0,,
1999-03-19,969,969,969,968,0,,
1999-03-22,969,969,969,968,0,,
1999-03-23,969,969,969,968,0,,
