뷰웍스(100120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-04-10,12018,13821,12018,13821,3873,125192.0,6047910.0
2009-04-13,15891,15891,15891,15891,15761,143940.0,6047910.0
2009-04-14,18261,18261,18261,18261,45706,165410.0,6047910.0
2009-04-15,20998,20998,19696,20999,2119637,190207.0,6047910.0
2009-04-16,18762,20264,17860,17861,749552,161782.0,6047910.0
2009-04-17,16358,16859,15190,15190,721160,137590.0,6047910.0
2009-04-20,14121,15490,13253,14656,2093878,132752.0,6047910.0
2009-04-21,13954,15223,13854,14322,657712,129728.0,6047910.0
2009-04-22,14555,15690,14221,14990,1369564,135776.0,6047910.0
2009-04-23,15023,15089,13687,13888,533834,125797.0,6047910.0
2009-04-24,14088,14121,11918,12085,549026,109467.0,6047910.0
2009-04-27,12452,12586,10683,11217,506505,101605.0,6047910.0
2009-04-28,11083,12385,10349,11017,1075771,99791.0,6047910.0
2009-04-29,11384,12652,10983,12653,970170,114608.0,6047910.0
2009-04-30,12853,13153,12018,12018,646237,108862.0,6047910.0
2009-05-04,12185,12686,11951,12119,347885,109770.0,6047910.0
2009-05-06,12218,13620,12185,12820,767936,116120.0,6047910.0
2009-05-07,13020,13287,11751,11885,415989,107653.0,6047910.0
2009-05-08,11884,12552,11718,12085,151848,109467.0,6047910.0
2009-05-11,12318,12452,11918,11952,142712,108258.0,6047910.0
2009-05-12,12485,12886,11985,12052,260807,109165.0,6047910.0
2009-05-13,12218,12218,11484,11685,177218,105838.0,6047910.0
2009-05-14,11517,12085,11250,11618,206263,105234.0,6047910.0
2009-05-15,11818,11818,11284,11351,114023,102814.0,6047910.0
2009-05-18,11284,11751,10683,11751,210198,106443.0,6047910.0
2009-05-19,11884,12619,11651,12185,480085,110374.0,6047910.0
2009-05-20,12352,13787,12218,13354,1251999,120958.0,6047910.0
2009-05-21,13487,13754,12953,13120,379264,118841.0,6047910.0
2009-05-22,13086,13554,12919,12920,404494,117027.0,6047910.0
2009-05-25,12953,13520,11083,12653,432495,114608.0,6047910.0
2009-05-26,12752,13020,11884,12085,231451,109467.0,6047910.0
2009-05-27,12419,13053,12252,12352,692682,111886.0,6047910.0
2009-05-28,12686,13387,12285,13154,692631,119144.0,6047910.0
2009-05-29,13153,13220,12385,12486,254630,113096.0,6047910.0
2009-06-01,12352,12919,11918,12553,510097,113701.0,6047910.0
2009-06-02,12752,12752,11951,11952,245139,108258.0,6047910.0
2009-06-03,12118,12218,11784,11985,106547,108560.0,6047910.0
2009-06-04,11985,11985,11450,11484,132667,104024.0,6047910.0
2009-06-05,11584,11684,11117,11384,84350,103117.0,6047910.0
2009-06-08,11284,11651,11250,11317,70578,102512.0,6047910.0
2009-06-09,11450,11450,10883,10883,85772,98581.0,6047910.0
2009-06-10,10816,11016,10616,10817,89528,97976.0,6047910.0
2009-06-11,10816,11350,10816,11117,77082,100698.0,6047910.0
2009-06-12,11117,11217,10916,10950,91404,99186.0,6047910.0
2009-06-15,11016,11016,10382,10550,80523,95557.0,6047910.0
2009-06-16,10315,10516,10148,10416,152109,94347.0,6047910.0
2009-06-17,10616,10916,10416,10750,166839,97371.0,6047910.0
2009-06-18,10883,10883,10282,10282,64457,93138.0,6047910.0
2009-06-19,10416,10416,9514,9682,155177,87695.0,6047910.0
2009-06-22,9548,9815,9381,9682,67428,87695.0,6047910.0
2009-06-23,9381,9447,8913,8980,88559,81344.0,6047910.0
2009-06-24,9013,9648,8713,9147,201220,82856.0,6047910.0
2009-06-25,9180,9748,8947,9648,121537,87392.0,6047910.0
2009-06-26,9714,9781,9080,9081,61370,82252.0,6047910.0
2009-06-29,9080,9214,8279,8279,82527,74994.0,6047910.0
2009-06-30,8346,8880,8179,8613,106200,78018.0,6047910.0
2009-07-01,8613,8913,8446,8880,62604,80437.0,6047910.0
2009-07-02,8813,9147,8746,8880,44054,80437.0,6047910.0
2009-07-03,8680,9114,8613,9081,48301,82252.0,6047910.0
2009-07-06,9080,9247,9013,9181,54042,83159.0,6047910.0
2009-07-07,9247,9548,9047,9481,72950,85880.0,6047910.0
2009-07-08,9381,9414,9147,9248,40733,83764.0,6047910.0
2009-07-09,9180,9247,8746,8780,52462,79530.0,6047910.0
2009-07-10,8746,8880,8412,8480,60852,76808.0,6047910.0
2009-07-13,8379,8513,8145,8146,57617,73785.0,6047910.0
2009-07-14,8279,8379,8012,8346,44107,75599.0,6047910.0
2009-07-15,8379,8546,8312,8513,43979,77111.0,6047910.0
2009-07-16,8613,9080,8479,9081,136637,82252.0,6047910.0
2009-07-17,9013,9280,8846,9081,77914,82252.0,6047910.0
2009-07-20,9147,9280,8947,9214,85161,83461.0,6047910.0
2009-07-21,9280,9280,8913,9147,52386,82856.0,6047910.0
2009-07-22,9214,9214,8880,8947,60824,81042.0,6047910.0
2009-07-23,8947,9548,8880,9014,474379,81647.0,6047910.0
2009-07-24,9147,9180,8880,8914,72555,80740.0,6047910.0
2009-07-27,8846,8947,8713,8713,61847,78925.0,6047910.0
2009-07-28,8680,9013,8680,8847,72178,80135.0,6047910.0
2009-07-29,8880,9247,8846,8980,95296,81344.0,6047910.0
2009-07-30,8980,10249,8780,9615,456373,87090.0,6047910.0
2009-07-31,9614,9748,9214,9314,158661,84368.0,6047910.0
2009-08-03,9347,9815,9214,9214,96728,83461.0,6047910.0
2009-08-04,9414,9848,9381,9682,179839,87695.0,6047910.0
2009-08-05,9714,9948,9414,9481,84804,85880.0,6047910.0
2009-08-06,9481,9514,9114,9281,61079,84066.0,6047910.0
2009-08-07,9414,9548,9214,9448,46842,85578.0,6047910.0
2009-08-10,9581,9948,9447,9715,155496,87997.0,6047910.0
2009-08-11,9881,11150,9681,10683,1115723,96767.0,6047910.0
