오스템임플란트(048260),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-02-07,16400,18500,16050,17050,3636648,222957.0,13076653.0
2007-02-08,17350,18700,17350,18150,1758494,237341.0,13076653.0
2007-02-09,18450,18600,17300,17700,814931,231457.0,13076653.0
2007-02-12,17300,17400,16650,16700,520515,218380.0,13076653.0
2007-02-13,16550,17300,16500,16600,582198,217072.0,13076653.0
2007-02-14,17100,19050,17100,19050,1864168,249110.0,13076653.0
2007-02-15,21000,21900,20500,21900,514019,286379.0,13076653.0
2007-02-16,24200,25150,22400,24000,4713580,313840.0,13076653.0
2007-02-20,24400,27600,24100,27600,2510142,360916.0,13076653.0
2007-02-21,29800,31700,29350,31700,2361103,414530.0,13076653.0
2007-02-22,32500,34650,28750,30550,4378410,399492.0,13076653.0
2007-02-23,32000,34000,30600,34000,2881012,444606.0,13076653.0
2007-02-26,34800,35450,31800,31900,2313631,417145.0,13076653.0
2007-02-27,31300,31400,27150,27300,2311593,356993.0,13076653.0
2007-02-28,25250,30500,24300,28600,2925695,373992.0,13076653.0
2007-03-02,27450,29050,26500,26600,1151866,377773.0,14202000.0
2007-03-05,26600,29100,26600,27050,1572294,384164.0,14202000.0
2007-03-06,28000,31100,27900,31100,1954856,441682.0,14202000.0
2007-03-07,32650,33000,30100,31400,3073840,445943.0,14202000.0
2007-03-08,32900,36000,30950,33750,5043927,479318.0,14202000.0
2007-03-09,34650,35850,33350,34550,2724817,490679.0,14202000.0
2007-03-12,34800,35150,33800,34100,1384229,484288.0,14202000.0
2007-03-13,34200,35600,33250,34400,1899123,488549.0,14202000.0
2007-03-14,33700,37500,33600,37500,2225931,532575.0,14202000.0
2007-03-15,37300,39850,36900,37350,2572555,530445.0,14202000.0
2007-03-16,38200,39100,37600,38450,1474880,546067.0,14202000.0
2007-03-19,39300,43950,39100,43450,2981207,617077.0,14202000.0
2007-03-20,43000,43400,41300,43050,1697932,611396.0,14202000.0
2007-03-21,43350,44450,42000,43850,1480463,622758.0,14202000.0
2007-03-22,43700,44150,42600,42700,969197,606425.0,14202000.0
2007-03-23,42100,42300,39400,39650,1343083,563109.0,14202000.0
2007-03-26,39350,41900,38100,41400,1363246,587963.0,14202000.0
2007-03-27,42200,44950,41750,44950,1483400,638380.0,14202000.0
2007-03-28,44900,47050,44300,45000,1931682,639090.0,14202000.0
2007-03-29,46000,47150,45450,46800,1367891,664654.0,14202000.0
2007-03-30,47200,47600,44850,45000,1013381,639090.0,14202000.0
2007-04-02,44500,45850,43550,44850,747701,636960.0,14202000.0
2007-04-03,44600,47000,44600,46950,1056018,666784.0,14202000.0
2007-04-04,47700,48250,45300,45400,1034058,644771.0,14202000.0
2007-04-05,46000,46300,44000,44450,843072,631279.0,14202000.0
2007-04-06,43850,45100,42600,43550,792366,618497.0,14202000.0
2007-04-09,43050,43800,41100,41200,1455322,585122.0,14202000.0
2007-04-10,40500,42050,40050,41250,1099548,585832.0,14202000.0
2007-04-11,42250,43700,41900,42700,1092671,606425.0,14202000.0
2007-04-12,43300,43500,41750,42200,636829,599324.0,14202000.0
2007-04-13,42600,43300,39150,40100,1877494,569500.0,14202000.0
2007-04-16,39800,42250,39500,42100,953867,597904.0,14202000.0
2007-04-17,43000,45350,42900,44800,1572255,636250.0,14202000.0
2007-04-18,45500,45500,43450,44200,792907,627728.0,14202000.0
2007-04-19,44500,44900,43450,43750,604624,621338.0,14202000.0
2007-04-20,44100,44650,43800,44600,549375,633409.0,14202000.0
2007-04-23,45100,45350,44100,45250,711269,642640.0,14202000.0
2007-04-24,45600,46700,44600,44650,931452,634119.0,14202000.0
2007-04-25,44900,45250,43950,44550,572591,632699.0,14202000.0
2007-04-26,45000,45050,44250,44500,554018,631989.0,14202000.0
2007-04-27,44500,45950,44500,45100,591584,640510.0,14202000.0
2007-04-30,45400,45650,44300,44300,446296,629149.0,14202000.0
2007-05-02,43500,46300,42800,46300,700550,657553.0,14202000.0
2007-05-03,47000,47600,45850,45850,711547,651162.0,14202000.0
2007-05-04,46100,47150,45850,46300,479248,657553.0,14202000.0
2007-05-07,47000,52300,46950,51200,1471605,727142.0,14202000.0
2007-05-08,51400,52900,49800,52600,1164443,747025.0,14202000.0
2007-05-09,53300,57300,53200,54900,1311152,779690.0,14202000.0
