육일씨엔에쓰(191410),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-24,6560,6740,5030,5160,2017431,43979.0,8522980.0
2015-12-28,5160,5600,4900,4955,849636,42231.0,8522980.0
2015-12-29,5000,5290,4955,5100,435774,43467.0,8522980.0
2015-12-30,5170,6180,5130,5630,1524323,47984.0,8522980.0
2016-01-04,5780,6200,5560,5600,439716,47729.0,8522980.0
2016-01-05,6620,7000,5920,6030,1890225,51394.0,8522980.0
2016-01-06,6000,6770,5930,6530,1346643,55655.0,8522980.0
2016-01-07,6790,8200,6710,7950,7321889,67758.0,8522980.0
2016-01-08,7570,7800,7110,7450,1606304,63496.0,8522980.0
2016-01-11,7330,7490,6810,6830,730698,58212.0,8522980.0
2016-01-12,6710,7440,6710,7230,1167036,61621.0,8522980.0
2016-01-13,7230,7500,7030,7030,592607,59917.0,8522980.0
2016-01-14,6830,7800,6800,7170,727551,61110.0,8522980.0
2016-01-15,7170,7290,6790,6850,308385,58382.0,8522980.0
2016-01-18,6690,6970,6600,6670,168384,56848.0,8522980.0
2016-01-19,6620,6710,6210,6510,212737,55485.0,8522980.0
2016-01-20,6570,6570,6120,6120,175420,52161.0,8522980.0
2016-01-21,6250,7200,6130,6770,721584,57701.0,8522980.0
2016-01-22,6740,6980,6410,6680,152050,56934.0,8522980.0
2016-01-25,6760,6800,6510,6540,67053,55740.0,8522980.0
2016-01-26,6570,6740,6180,6260,101640,53354.0,8522980.0
2016-01-27,6330,6710,6260,6700,109165,57104.0,8522980.0
2016-01-28,6650,6770,6490,6700,57274,57104.0,8522980.0
2016-01-29,6700,6750,6470,6670,35477,56848.0,8522980.0
2016-02-01,6670,6710,6510,6510,36228,55485.0,8522980.0
2016-02-02,6400,6410,6220,6250,51956,53269.0,8522980.0
2016-02-03,6350,6350,6160,6230,24437,53098.0,8522980.0
2016-02-04,6170,6460,6160,6250,23846,53269.0,8522980.0
2016-02-05,6400,6400,6180,6310,28264,53780.0,8522980.0
2016-02-11,6420,6490,6180,6220,69586,53013.0,8522980.0
2016-02-12,6220,6280,5630,6000,66714,51138.0,8522980.0
2016-02-15,6220,6220,5940,6190,30470,52757.0,8522980.0
2016-02-16,6220,6360,6050,6120,19693,52161.0,8522980.0
2016-02-17,6260,6260,5950,5950,21610,50712.0,8522980.0
2016-02-18,6100,6990,6020,6550,152146,55826.0,8522980.0
2016-02-19,6730,6900,6400,6780,79731,57786.0,8522980.0
2016-02-22,6760,7330,6700,7050,246340,60087.0,8522980.0
2016-02-23,7060,7100,6820,7050,106744,60087.0,8522980.0
2016-02-24,7050,7980,6920,7460,479644,63581.0,8522980.0
2016-02-25,7460,7940,7350,7490,209205,63837.0,8522980.0
2016-02-26,7490,7490,7050,7140,101330,60854.0,8522980.0
2016-02-29,7200,7240,6800,7040,63201,60002.0,8522980.0
2016-03-02,7190,7190,7010,7030,27583,59917.0,8522980.0
2016-03-03,7000,7050,6760,6940,75321,59149.0,8522980.0
2016-03-04,6900,7030,6810,7000,20511,59661.0,8522980.0
2016-03-07,7000,7100,6870,6900,302988,58809.0,8522980.0
2016-03-08,6900,7480,6860,7080,142517,60343.0,8522980.0
2016-03-09,7350,9110,7350,8310,2730759,70826.0,8522980.0
2016-03-10,8300,8980,8240,8600,816505,73298.0,8522980.0
2016-03-11,8600,8630,8310,8460,191634,72104.0,8522980.0
2016-03-14,8450,8580,8180,8300,151691,70741.0,8522980.0
2016-03-15,8300,8900,8040,8850,295475,75428.0,8522980.0
2016-03-16,8840,9530,8680,8870,560271,75599.0,8522980.0
2016-03-17,8750,9160,8750,8860,175367,75514.0,8522980.0
2016-03-18,8980,9040,8510,9000,115659,76707.0,8522980.0
2016-03-21,9000,9030,8590,8590,93995,73212.0,8522980.0
2016-03-22,8530,8650,8350,8500,43637,72445.0,8522980.0
2016-03-23,8500,8550,8310,8310,77201,70826.0,8522980.0
2016-03-24,8310,9040,8310,8670,184761,73894.0,8522980.0
2016-03-25,8940,9140,8270,8860,124319,75514.0,8522980.0
2016-03-28,8900,9600,8800,8920,153429,76025.0,8522980.0
2016-03-29,8920,9100,8810,9000,87936,76707.0,8522980.0
2016-03-30,8960,9070,8850,9000,107115,76707.0,8522980.0
2016-03-31,8910,9030,8650,8880,108555,75684.0,8522980.0
2016-04-01,8880,8890,8630,8830,86662,75258.0,8522980.0
2016-04-04,8950,9200,8830,9040,161354,77048.0,8522980.0
2016-04-05,9100,9460,8950,9050,307014,77133.0,8522980.0
2016-04-06,9170,9230,8830,8840,86065,75343.0,8522980.0
2016-04-07,8840,8880,8360,8620,137123,73468.0,8522980.0
2016-04-08,8610,8610,7990,8290,172292,70656.0,8522980.0
2016-04-11,8280,8280,7970,8010,128252,68269.0,8522980.0
2016-04-12,8010,8130,7850,8010,87212,68269.0,8522980.0
2016-04-14,7920,7930,7680,7690,115690,65542.0,8522980.0
2016-04-15,7620,7810,7600,7740,45268,65968.0,8522980.0
2016-04-18,7740,7740,7310,7600,108420,64775.0,8522980.0
2016-04-19,7630,8070,7580,7990,116053,68099.0,8522980.0
2016-04-20,7990,8330,7910,7990,65617,68099.0,8522980.0
2016-04-21,8300,8300,7950,8040,118287,68525.0,8522980.0
2016-04-22,7960,8110,7880,8000,38453,68184.0,8522980.0
2016-04-25,8000,8170,7800,7940,25833,67672.0,8522980.0
2016-04-26,7940,7940,7620,7700,52995,65627.0,8522980.0
2016-04-27,7700,7760,7320,7380,55840,62900.0,8522980.0
2016-04-28,7380,7570,7230,7390,43579,62985.0,8522980.0
2016-04-29,7390,7390,7200,7330,24418,62473.0,8522980.0
2016-05-02,7220,7360,7130,7300,10595,62218.0,8522980.0
2016-05-03,7340,7490,7150,7290,24147,62133.0,8522980.0
2016-05-04,7240,7300,7100,7280,30756,62047.0,8522980.0
2016-05-09,7200,7370,7100,7150,19059,60939.0,8522980.0
2016-05-10,7020,7350,7020,7330,24552,62473.0,8522980.0
2016-05-11,7370,7370,7180,7330,6303,62473.0,8522980.0
2016-05-12,7250,7290,7070,7100,17525,60513.0,8522980.0
2016-05-13,7100,7110,6920,7000,36960,59661.0,8522980.0
2016-05-16,7180,7180,6600,6660,39083,56763.0,8522980.0
2016-05-17,6550,6900,6510,6880,31758,58638.0,8522980.0
2016-05-18,6750,6760,6320,6400,47095,54547.0,8522980.0
2016-05-19,6280,6440,6210,6400,19196,54547.0,8522980.0
2016-05-20,6390,6500,6260,6480,29298,55229.0,8522980.0
2016-05-23,6480,6480,6130,6270,32797,53439.0,8522980.0
2016-05-24,6280,6340,5860,5860,55489,49945.0,8522980.0
2016-05-25,5930,7500,5920,7100,859775,60513.0,8522980.0
2016-05-26,6900,7030,6290,6380,176475,54377.0,8522980.0
2016-05-27,6420,6830,6300,6800,52188,57956.0,8522980.0
2016-05-30,6610,7540,6610,6770,133492,57701.0,8522980.0
2016-05-31,6770,6980,6510,6630,73350,56507.0,8522980.0
2016-06-01,6640,6870,6630,6710,30365,57189.0,8522980.0
2016-06-02,6780,8500,6650,7230,296503,61621.0,8522980.0
2016-06-03,7210,7450,7000,7130,40148,60769.0,8522980.0
2016-06-07,7140,7230,6950,6990,29090,59576.0,8522980.0
2016-06-08,7030,7700,6970,7430,97260,63326.0,8522980.0
2016-06-09,7400,7430,7130,7300,64443,62218.0,8522980.0
2016-06-10,7230,7300,6950,7210,29028,61451.0,8522980.0
2016-06-13,7220,7220,6950,6980,24826,59490.0,8522980.0
2016-06-14,6980,7180,6950,7020,29992,59831.0,8522980.0
2016-06-15,6890,7100,6890,6990,14147,59576.0,8522980.0
2016-06-16,6910,7120,6910,7040,22829,60002.0,8522980.0
2016-06-17,6860,7040,6860,6930,24580,59064.0,8522980.0
2016-06-20,6900,7220,6900,7100,5176,60513.0,8522980.0
2016-06-21,7330,7330,6810,6900,10203,58809.0,8522980.0
2016-06-22,6930,7150,6760,6760,23881,57615.0,8522980.0
2016-06-23,6950,7330,6650,6720,88410,57274.0,8522980.0
2016-06-24,6890,6890,6300,6440,39918,54888.0,8522980.0
2016-06-27,6300,6530,6150,6460,28374,55058.0,8522980.0
2016-06-28,6550,6800,6240,6690,20425,57019.0,8522980.0
2016-06-29,6780,6950,6690,6790,13139,57871.0,8522980.0
2016-06-30,6800,6890,6560,6630,25623,56507.0,8522980.0
2016-07-01,6570,6710,6570,6590,40776,56166.0,8522980.0
2016-07-04,6600,6620,6490,6560,38361,55911.0,8522980.0
2016-07-05,6560,6720,6530,6660,26147,56763.0,8522980.0
2016-07-06,6660,6660,6300,6390,21521,54462.0,8522980.0
2016-07-07,6440,6690,6270,6340,33284,54036.0,8522980.0
2016-07-08,6400,6400,6260,6360,7173,54206.0,8522980.0
2016-07-11,6360,6460,6230,6340,12481,54036.0,8522980.0
2016-07-12,6330,6350,6210,6300,25321,53695.0,8522980.0
2016-07-13,6300,6420,6210,6310,27357,53780.0,8522980.0
2016-07-14,6310,6830,6310,6580,36288,56081.0,8522980.0
2016-07-15,6590,6800,6480,6520,24403,55570.0,8522980.0
2016-07-18,6520,6700,6420,6520,16141,55570.0,8522980.0
2016-07-19,6520,6690,6300,6350,27824,54121.0,8522980.0
2016-07-20,6330,6550,6290,6500,33520,55399.0,8522980.0
2016-07-21,6500,6800,6500,6600,91763,56252.0,8522980.0
2016-07-22,6800,6800,6440,6540,15853,55740.0,8522980.0
2016-07-25,6700,6700,6300,6530,17964,55655.0,8522980.0
2016-07-26,6700,6700,6410,6530,14774,55655.0,8522980.0
2016-07-27,6510,6540,6300,6510,16114,55485.0,8522980.0
2016-07-28,6650,6650,6390,6540,6819,55740.0,8522980.0
2016-07-29,6540,6540,6360,6470,9445,55144.0,8522980.0
2016-08-01,6370,6400,6300,6310,23594,53780.0,8522980.0
2016-08-02,6300,6430,6110,6170,22707,52587.0,8522980.0
2016-08-03,6170,6200,6080,6170,7023,52587.0,8522980.0
2016-08-04,6300,6640,6100,6450,44993,54973.0,8522980.0
2016-08-05,6630,6630,6340,6420,22693,54718.0,8522980.0
2016-08-08,6390,6540,6370,6530,18196,55655.0,8522980.0
2016-08-09,6570,6570,6350,6380,11884,54377.0,8522980.0
2016-08-10,6580,6580,6330,6480,10545,55229.0,8522980.0
2016-08-11,6600,6600,6390,6500,11986,55399.0,8522980.0
2016-08-12,6500,6580,6410,6550,24553,55826.0,8522980.0
2016-08-16,6430,6590,6280,6550,21690,55826.0,8522980.0
2016-08-17,6450,6530,6210,6260,43058,53354.0,8522980.0
2016-08-18,6260,6330,6200,6220,11490,53013.0,8522980.0
2016-08-19,6190,6300,6180,6300,4202,53695.0,8522980.0
2016-08-22,6240,6360,6150,6150,14642,52416.0,8522980.0
2016-08-23,6160,6180,5900,5970,21348,50882.0,8522980.0
2016-08-24,5810,6200,5810,6000,15595,51138.0,8522980.0
2016-08-25,6030,6070,5860,6010,3544,51223.0,8522980.0
2016-08-26,6200,6210,5890,6010,3618,51223.0,8522980.0
2016-08-29,6040,6070,5890,5900,10776,50286.0,8522980.0
2016-08-30,6080,6080,5810,5810,20136,49519.0,8522980.0
2016-08-31,5810,5880,5700,5790,17943,49348.0,8522980.0
2016-09-01,5710,5830,5590,5730,14942,48837.0,8522980.0
2016-09-02,5730,5770,5650,5750,4396,49007.0,8522980.0
2016-09-05,5750,5870,5690,5840,14722,49774.0,8522980.0
2016-09-06,5740,5900,5650,5730,8943,48837.0,8522980.0
2016-09-07,5720,5830,5590,5700,15635,48581.0,8522980.0
2016-09-08,5660,5710,5570,5710,10965,48666.0,8522980.0
2016-09-09,5680,5680,5530,5590,9344,47643.0,8522980.0
2016-09-12,5510,5590,5210,5250,35301,44746.0,8522980.0
2016-09-13,5320,5320,5250,5310,5096,45257.0,8522980.0
2016-09-19,5370,5380,5270,5310,9435,45257.0,8522980.0
2016-09-20,5390,5390,5290,5300,7287,45172.0,8522980.0
2016-09-21,5400,5400,5280,5370,1368,45768.0,8522980.0
2016-09-22,5450,5450,5250,5330,15380,45427.0,8522980.0
2016-09-23,5390,5630,5300,5590,24899,47643.0,8522980.0
2016-09-26,5590,5980,5490,5490,82378,46791.0,8522980.0
2016-09-27,5500,5550,5420,5550,12801,47303.0,8522980.0
2016-09-28,5780,5780,5490,5550,24409,47303.0,8522980.0
2016-09-29,5550,6650,5470,5760,273624,49092.0,8522980.0
2016-09-30,5840,5950,5600,5770,120045,49178.0,8522980.0
2016-10-04,5710,5850,5650,5850,40797,49859.0,8522980.0
2016-10-05,5760,5940,5740,5850,36817,49859.0,8522980.0
2016-10-06,5770,5860,5610,5690,35731,48496.0,8522980.0
2016-10-07,5730,5740,5600,5600,17312,47729.0,8522980.0
2016-10-10,5550,5780,5480,5750,26698,49007.0,8522980.0
2016-10-11,5720,7180,5620,5810,1044472,49519.0,8522980.0
2016-10-12,6100,7090,5970,6370,3987731,54291.0,8522980.0
2016-10-13,6340,6510,6080,6360,593142,54206.0,8522980.0
2016-10-14,6780,7410,6210,6300,2604196,53695.0,8522980.0
2016-10-17,6150,6430,6000,6290,329457,53610.0,8522980.0
2016-10-18,6290,6290,6080,6150,146422,52416.0,8522980.0
2016-10-19,6110,6190,6050,6130,111510,52246.0,8522980.0
2016-10-20,6130,6170,5910,6050,155719,51564.0,8522980.0
2016-10-21,6050,6110,5870,5940,70615,50627.0,8522980.0
2016-10-24,5940,6200,5710,6200,136491,52842.0,8522980.0
2016-10-25,6300,6850,6110,6360,488695,54206.0,8522980.0
2016-10-26,6370,6510,6010,6200,119778,52842.0,8522980.0
2016-10-27,6150,6950,6150,6790,1162831,57871.0,8522980.0
2016-10-28,6790,6820,6550,6600,306070,56252.0,8522980.0
2016-10-31,6600,6670,6320,6390,165220,54462.0,8522980.0
2016-11-01,6340,6520,6250,6470,128991,55144.0,8522980.0
2016-11-02,6400,6430,6100,6100,170161,51990.0,8522980.0
2016-11-03,6010,6300,6010,6150,123133,52416.0,8522980.0
2016-11-04,6150,6210,6010,6050,59152,51564.0,8522980.0
2016-11-07,6090,6240,6050,6240,61533,53183.0,8522980.0
2016-11-08,6350,6350,6070,6110,42421,52075.0,8522980.0
2016-11-09,6230,6260,5390,5900,214029,50286.0,8522980.0
2016-11-10,6000,6150,5950,6120,57227,52161.0,8522980.0
2016-11-11,6100,6190,5970,6040,50234,51479.0,8522980.0
2016-11-14,5980,6080,5910,6000,34416,51138.0,8522980.0
2016-11-15,6060,6060,5890,5910,29924,50371.0,8522980.0
2016-11-16,5720,6020,5720,5990,43240,51053.0,8522980.0
2016-11-17,5990,6030,5770,5790,76396,49348.0,8522980.0
2016-11-18,5750,5790,5570,5680,77159,48411.0,8522980.0
2016-11-21,5800,5800,5600,5680,27899,48411.0,8522980.0
2016-11-22,5510,5680,5170,5170,247972,44064.0,8522980.0
2016-11-23,5050,5350,5040,5150,109761,43893.0,8522980.0
2016-11-24,5080,5200,4980,5190,94304,44234.0,8522980.0
2016-11-25,5200,5250,5100,5210,37271,44405.0,8522980.0
2016-11-28,5210,5260,5100,5210,36086,44405.0,8522980.0
2016-11-29,5200,5210,5010,5200,48477,44319.0,8522980.0
2016-11-30,5100,5210,5060,5180,34452,44149.0,8522980.0
2016-12-01,5150,5470,5110,5170,130278,44064.0,8522980.0
2016-12-02,5170,5310,5050,5170,40181,44064.0,8522980.0
2016-12-05,5100,5180,5030,5090,80134,43382.0,8522980.0
2016-12-06,5060,5140,4995,5090,33245,43382.0,8522980.0
2016-12-07,5080,5160,4965,5000,36706,42615.0,8522980.0
2016-12-08,4975,5090,4975,5010,30538,42700.0,8522980.0
2016-12-09,5010,5100,4900,5010,30102,42700.0,8522980.0
2016-12-12,5010,5060,4975,5030,29911,42871.0,8522980.0
2016-12-13,4985,5100,4980,5090,14008,43382.0,8522980.0
2016-12-14,5120,5180,5050,5120,31373,43638.0,8522980.0
2016-12-15,5100,6650,5020,6650,1615548,56678.0,8522980.0
