비아트론(141000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-05-04,25500,26000,21700,21700,4227703,215522.0,9931870.0
2012-05-07,20400,21150,19450,20700,2234462,205590.0,9931870.0
2012-05-08,21700,22050,20650,21400,1577824,212542.0,9931870.0
2012-05-09,20700,21100,19850,20000,945514,198637.0,9931870.0
2012-05-10,20200,20400,19600,19750,610510,196154.0,9931870.0
2012-05-11,20000,20100,18050,18950,1075264,188209.0,9931870.0
2012-05-14,18850,19150,17550,18150,506746,180263.0,9931870.0
2012-05-15,18100,19650,18000,18700,819376,185726.0,9931870.0
2012-05-16,19000,19300,17250,17300,481359,171821.0,9931870.0
2012-05-17,17600,17950,17200,17300,318253,171821.0,9931870.0
2012-05-18,16600,17250,16500,16550,324027,164372.0,9931870.0
2012-05-21,16600,17100,16000,16300,407938,161889.0,9931870.0
2012-05-22,16600,17350,16200,17300,444750,175115.0,10122270.0
2012-05-23,17200,17200,16350,16400,341305,166005.0,10122270.0
2012-05-24,16850,17150,16150,16150,372346,163475.0,10122270.0
2012-05-25,16350,16500,15750,15850,326983,160438.0,10122270.0
2012-05-29,15800,16250,15550,15800,395550,159932.0,10122270.0
2012-05-30,15950,16050,15150,15500,367147,156895.0,10122270.0
2012-05-31,15200,15850,15100,15600,311741,157907.0,10122270.0
2012-06-01,15550,16150,15400,15400,315843,155883.0,10122270.0
2012-06-04,14500,14800,13850,13950,383278,142880.0,10242270.0
2012-06-05,14300,14300,13450,13450,336732,137759.0,10242270.0
2012-06-07,13800,14150,13500,13800,351820,141343.0,10242270.0
2012-06-08,13850,13950,12900,12950,344401,132637.0,10242270.0
2012-06-11,13200,13650,12950,13500,252813,138271.0,10242270.0
2012-06-12,13150,13700,13100,13600,177176,139295.0,10242270.0
2012-06-13,13900,15550,13850,14750,1375651,151073.0,10242270.0
2012-06-14,14550,15000,14100,14400,377086,147489.0,10242270.0
2012-06-15,14500,14650,14000,14000,218844,143392.0,10242270.0
2012-06-18,14350,15250,14200,14800,448462,151586.0,10242270.0
2012-06-19,14850,15750,14700,15600,650243,159779.0,10242270.0
2012-06-20,15800,16000,15200,15200,343617,155683.0,10242270.0
2012-06-21,15350,15700,14900,15700,324253,160804.0,10242270.0
2012-06-22,15400,15600,15100,15500,262292,158755.0,10242270.0
2012-06-25,15500,15650,14750,14750,300499,151073.0,10242270.0
2012-06-26,14700,14750,14050,14050,215799,143904.0,10242270.0
2012-06-27,14200,14250,13500,13800,189451,141343.0,10242270.0
2012-06-28,13900,14100,13700,14050,113963,143904.0,10242270.0
2012-06-29,14200,14900,13900,14400,283988,147489.0,10242270.0
2012-07-02,14450,14500,14150,14200,103032,145440.0,10242270.0
2012-07-03,14250,14700,14100,14500,152364,148513.0,10242270.0
2012-07-04,14650,15150,14500,15100,372419,154658.0,10242270.0
2012-07-05,15100,15400,14700,14700,199782,150561.0,10242270.0
2012-07-06,14750,14800,14350,14700,171296,150561.0,10242270.0
2012-07-09,14600,15050,14500,14500,112940,148513.0,10242270.0
2012-07-10,14500,14700,13900,13900,169316,142368.0,10242270.0
2012-07-11,13750,14000,13400,13450,109722,137759.0,10242270.0
2012-07-12,13650,13950,13300,13350,140278,136734.0,10242270.0
2012-07-13,13500,13650,12550,13600,191643,139295.0,10242270.0
2012-07-16,13700,13850,13200,13250,81413,135710.0,10242270.0
2012-07-17,13150,13400,12850,13050,83169,133662.0,10242270.0
2012-07-18,13150,13200,11950,12100,271040,123931.0,10242270.0
2012-07-19,12250,12550,12050,12500,189849,128028.0,10242270.0
2012-07-20,12600,13400,12550,13000,230568,133150.0,10242270.0
2012-07-23,12650,13000,12600,12700,126423,130077.0,10242270.0
2012-07-24,12450,13000,12450,12950,121317,132637.0,10242270.0
2012-07-25,12600,13100,12600,12700,130967,130077.0,10242270.0
2012-07-26,12750,13250,12750,13100,124839,134174.0,10242270.0
2012-07-27,13250,13350,13050,13250,130170,135710.0,10242270.0
2012-07-30,13300,13400,12850,12850,92425,131613.0,10242270.0
2012-07-31,12950,12950,12700,12800,101140,131101.0,10242270.0
2012-08-01,12800,12850,12500,12600,61508,129053.0,10242270.0
2012-08-02,12600,12850,12150,12150,281947,124444.0,10242270.0
2012-08-03,12050,12400,11950,12050,118260,123419.0,10242270.0
2012-08-06,12200,12300,12000,12000,126536,122907.0,10242270.0
2012-08-07,12100,12100,11500,11850,207593,121371.0,10242270.0
2012-08-08,12000,12050,11600,11600,184350,118810.0,10242270.0
2012-08-09,11650,11950,11600,11950,165391,122395.0,10242270.0
2012-08-10,11950,12450,11850,12100,432160,123931.0,10242270.0
2012-08-13,12300,12300,12050,12100,105335,123931.0,10242270.0
2012-08-14,12100,12450,12000,12450,226138,127516.0,10242270.0
2012-08-16,12400,12600,12350,12500,192094,128028.0,10242270.0
2012-08-17,12550,12700,12200,12200,260525,124956.0,10242270.0
2012-08-20,12200,12300,11600,11600,349027,118810.0,10242270.0
2012-08-21,11700,11900,11550,11650,286036,119322.0,10242270.0
2012-08-22,11650,12050,11500,12000,223282,122907.0,10242270.0
2012-08-23,12050,12150,11850,11900,173866,121883.0,10242270.0
2012-08-24,11850,11900,11600,11750,122892,120347.0,10242270.0
2012-08-27,11650,11750,11150,11200,198852,114713.0,10242270.0
2012-08-28,11250,11850,11200,11800,258365,120859.0,10242270.0
2012-08-29,11700,12000,11600,11700,208606,119835.0,10242270.0
2012-08-30,11800,11800,11450,11500,106301,117786.0,10242270.0
2012-08-31,11400,12400,11350,12250,391667,125468.0,10242270.0
2012-09-03,12300,12450,11950,12400,243704,127004.0,10242270.0
2012-09-04,12350,12500,12100,12100,205717,123931.0,10242270.0
2012-09-05,12000,12400,11900,11950,176811,122395.0,10242270.0
2012-09-06,12000,12600,11900,12550,308215,128540.0,10242270.0
2012-09-07,12750,12850,12400,12450,344289,127516.0,10242270.0
2012-09-10,12650,12700,12300,12450,186998,127516.0,10242270.0
2012-09-11,12650,13200,12550,13000,821463,133150.0,10242270.0
2012-09-12,13000,13150,12750,13050,389885,133662.0,10242270.0
2012-09-13,13200,13350,12800,13250,349645,135710.0,10242270.0
2012-09-14,13450,13700,13100,13500,513305,138271.0,10242270.0
2012-09-17,13500,14150,13250,14050,518584,143904.0,10242270.0
2012-09-18,14000,14650,13850,14100,634928,144416.0,10242270.0
2012-09-19,14100,14150,13750,14000,270920,143392.0,10242270.0
2012-09-20,14150,14550,13850,14400,485994,147489.0,10242270.0
2012-09-21,14550,14550,13950,14050,294761,143904.0,10242270.0
2012-09-24,14050,14200,13250,13400,321505,137246.0,10242270.0
2012-09-25,13400,13850,13300,13350,250990,136734.0,10242270.0
2012-09-26,13350,13950,13200,13800,266517,141343.0,10242270.0
2012-09-27,13700,14250,13550,14150,323546,144928.0,10242270.0
2012-09-28,14200,14250,13900,13950,170509,142880.0,10242270.0
2012-10-02,14000,14250,13550,13850,169974,141855.0,10242270.0
2012-10-04,13850,14050,12900,12900,366202,132125.0,10242270.0
2012-10-05,13250,13650,13050,13350,335237,136734.0,10242270.0
2012-10-08,13450,14100,13050,14100,498342,144416.0,10242270.0
2012-10-09,14300,14550,14150,14450,454022,148001.0,10242270.0
2012-10-10,14350,15000,14150,14500,579400,148513.0,10242270.0
2012-10-11,14550,15500,14500,15200,729433,155683.0,10242270.0
2012-10-12,15200,15350,14750,14950,398472,153122.0,10242270.0
2012-10-15,15200,15700,14900,15600,692875,159779.0,10242270.0
2012-10-16,15750,15850,15250,15850,367623,162340.0,10242270.0
2012-10-17,15700,16250,15550,15700,439218,160804.0,10242270.0
2012-10-18,15850,16100,14700,14750,513064,151073.0,10242270.0
2012-10-19,14750,15150,14450,14800,276363,151586.0,10242270.0
2012-10-22,14350,15650,14150,15650,445087,160292.0,10242270.0
2012-10-23,15700,16600,15500,16350,760848,167461.0,10242270.0
2012-10-24,16250,16800,16200,16650,648078,170534.0,10242270.0
2012-10-25,16650,16650,15950,16000,424582,163876.0,10242270.0
2012-10-26,16050,16150,15100,15350,401947,157219.0,10242270.0
2012-10-29,15350,15800,15050,15400,295053,157731.0,10242270.0
2012-10-30,15300,15400,13500,13500,827687,138271.0,10242270.0
2012-10-31,13750,14100,12550,12950,772543,132637.0,10242270.0
2012-11-01,13200,13550,12900,13550,356200,138783.0,10242270.0
2012-11-02,13800,13800,12950,13150,305666,135107.0,10274270.0
2012-11-05,12950,13050,12250,12350,458065,126887.0,10274270.0
2012-11-06,12350,12950,12150,12800,308981,131511.0,10274270.0
2012-11-07,12750,12750,12350,12550,176496,128942.0,10274270.0
2012-11-08,12250,12750,12200,12600,164631,129456.0,10274270.0
2012-11-09,12500,13150,12350,12850,304689,132024.0,10274270.0
2012-11-12,13000,13200,12700,12700,260557,130483.0,10274270.0
2012-11-13,12700,12850,11700,11750,391609,120723.0,10274270.0
2012-11-14,11850,12350,11300,11400,285472,117127.0,10274270.0
2012-11-15,11400,11700,11150,11400,197292,117127.0,10274270.0
2012-11-16,11250,11500,9990,10200,524758,104798.0,10274270.0
2012-11-19,10300,10500,10200,10500,374555,107880.0,10274270.0
2012-11-20,10550,10750,10200,10700,360615,109935.0,10274270.0
2012-11-21,10750,10800,10150,10250,250697,105311.0,10274270.0
2012-11-22,10350,11500,10300,11250,640029,115586.0,10274270.0
2012-11-23,11250,11600,10800,11350,455319,116613.0,10274270.0
2012-11-26,11350,11700,11100,11500,209461,118154.0,10274270.0
2012-11-27,11650,11750,11350,11550,221690,118668.0,10274270.0
2012-11-28,11450,11550,11300,11450,98258,117640.0,10274270.0
2012-11-29,11500,12100,11450,11800,263106,121236.0,10274270.0
2012-11-30,11600,11950,11350,11350,159050,116613.0,10274270.0
2012-12-03,11400,11700,11300,11450,108209,117640.0,10274270.0
2012-12-04,11450,11950,11400,11850,190731,121750.0,10274270.0
2012-12-05,11850,12200,11750,12050,269090,123805.0,10274270.0
2012-12-06,12150,12200,11800,11800,177658,121236.0,10274270.0
2012-12-07,12000,12650,12000,12300,578346,126374.0,10274270.0
2012-12-10,12650,12650,12250,12500,268741,128428.0,10274270.0
2012-12-11,12600,12750,12350,12600,198475,129456.0,10274270.0
2012-12-12,12550,12700,12300,12350,130822,126887.0,10274270.0
2012-12-13,12300,12550,12100,12550,161016,128942.0,10274270.0
2012-12-14,12800,13350,12750,12950,472012,133052.0,10274270.0
2012-12-17,13050,13100,12650,12850,172233,132024.0,10274270.0
2012-12-18,13050,13150,12800,12850,122581,132024.0,10274270.0
2012-12-20,13000,13050,12450,12550,191416,128942.0,10274270.0
2012-12-21,12450,12700,11950,12050,271106,123805.0,10274270.0
2012-12-24,12100,12550,12100,12250,122329,125860.0,10274270.0
2012-12-26,12400,12500,11750,11750,165370,120723.0,10274270.0
2012-12-27,11750,12100,11750,12100,150512,124319.0,10274270.0
2012-12-28,12150,12550,12100,12500,152106,128428.0,10274270.0
2013-01-02,12750,12800,12500,12750,136248,130997.0,10274270.0
2013-01-03,12750,14650,12750,14350,1268497,147436.0,10274270.0
2013-01-04,14200,14300,13750,14000,416003,143840.0,10274270.0
2013-01-07,14250,14700,14200,14400,409823,147949.0,10274270.0
2013-01-08,14600,15450,14550,15000,630443,154114.0,10274270.0
2013-01-09,15200,15600,14750,15300,437117,157196.0,10274270.0
2013-01-10,15500,15950,15350,15950,300247,163875.0,10274270.0
2013-01-11,15800,16150,15500,16150,365452,165929.0,10274270.0
2013-01-14,16200,16200,15600,15700,243574,161306.0,10274270.0
2013-01-15,15800,16050,14900,15400,497226,158224.0,10274270.0
2013-01-16,15400,15600,15100,15150,208369,155655.0,10274270.0
2013-01-17,15300,15700,15000,15600,182638,160279.0,10274270.0
2013-01-18,15700,15950,15300,15500,161823,159251.0,10274270.0
2013-01-21,15800,15800,15150,15350,190937,157710.0,10274270.0
2013-01-22,15250,15300,14750,15250,266454,156683.0,10274270.0
2013-01-23,15450,16450,15350,16150,566534,165929.0,10274270.0
2013-01-24,16050,16200,15700,15900,248303,163361.0,10274270.0
2013-01-25,16300,16650,15800,15800,365509,162333.0,10274270.0
2013-01-28,15800,15850,15100,15200,228363,156169.0,10274270.0
2013-01-29,15300,15500,14900,14900,189418,153087.0,10274270.0
2013-01-30,15050,15100,13900,14050,550956,144353.0,10274270.0
2013-01-31,14300,14750,14250,14600,312831,150004.0,10274270.0
2013-02-01,14650,14800,14150,14800,184944,152059.0,10274270.0
2013-02-04,14800,15050,14300,14300,141422,146922.0,10274270.0
2013-02-05,14650,16200,14600,16100,1033234,165416.0,10274270.0
2013-02-06,16000,16400,15800,16400,578092,168498.0,10274270.0
2013-02-07,16750,17200,16550,16750,968763,172094.0,10274270.0
2013-02-08,16750,17100,16400,17000,327594,174663.0,10274270.0
2013-02-12,17050,17250,16700,16900,209097,173635.0,10274270.0
2013-02-13,17050,17450,16850,17100,366968,175690.0,10274270.0
2013-02-14,17300,17350,16850,17250,249878,177231.0,10274270.0
2013-02-15,17250,17250,16700,16750,334448,172094.0,10274270.0
2013-02-18,16850,17600,16750,17150,559408,176204.0,10274270.0
2013-02-19,17150,17600,16800,17550,481539,180313.0,10274270.0
2013-02-20,17750,17850,17250,17250,364753,177231.0,10274270.0
2013-02-21,17100,17400,16600,16700,396057,171580.0,10274270.0
2013-02-22,16750,17200,16550,16800,317677,172608.0,10274270.0
2013-02-25,17100,17100,16700,16750,204866,172094.0,10274270.0
2013-02-26,16550,17300,16550,17300,230312,177745.0,10274270.0
2013-02-27,17400,17650,17000,17000,211461,174663.0,10274270.0
2013-02-28,17450,17800,17350,17650,428429,181341.0,10274270.0
2013-03-04,17800,18350,17500,18300,598259,188019.0,10274270.0
2013-03-05,18550,18650,18150,18350,298990,188533.0,10274270.0
2013-03-06,18300,18400,17800,18000,304753,184937.0,10274270.0
2013-03-07,17950,18350,17700,18000,235566,184937.0,10274270.0
2013-03-08,18100,18200,17600,17900,200042,183909.0,10274270.0
2013-03-11,17850,18000,17200,17700,242474,181855.0,10274270.0
2013-03-12,17900,18250,17700,17700,176917,181855.0,10274270.0
2013-03-13,17850,18550,17850,18350,322004,188533.0,10274270.0
2013-03-14,18450,18500,17900,18500,200281,190074.0,10274270.0
2013-03-15,18600,19000,18450,18600,317454,191101.0,10274270.0
2013-03-18,18500,18800,17300,17350,255102,178259.0,10274270.0
2013-03-19,17500,18350,17450,18300,256899,188019.0,10274270.0
2013-03-20,18300,18550,17750,17850,151107,183396.0,10274270.0
2013-03-21,18200,18250,17700,17700,102337,181855.0,10274270.0
2013-03-22,17800,18550,17550,18550,242357,190588.0,10274270.0
2013-03-25,18700,19200,18350,19200,355353,197266.0,10274270.0
2013-03-26,19050,19300,18850,19150,209449,196752.0,10274270.0
2013-03-27,19150,19200,18700,18850,127528,193670.0,10274270.0
2013-03-28,18850,19200,18700,18850,115149,193670.0,10274270.0
2013-03-29,19000,19650,18900,19300,298243,198293.0,10274270.0
2013-04-01,19300,19300,18800,18900,137718,194184.0,10274270.0
2013-04-02,19000,19050,18550,18800,188580,193156.0,10274270.0
2013-04-03,18950,19650,18750,19300,356649,198293.0,10274270.0
2013-04-04,19100,19250,18300,18850,277930,193670.0,10274270.0
2013-04-05,18800,18900,17950,18500,324593,190074.0,10274270.0
2013-04-08,18400,18650,16800,16900,537996,173635.0,10274270.0
2013-04-09,16800,17650,16150,17400,378065,178772.0,10274270.0
2013-04-10,17500,17950,17050,17650,144375,181341.0,10274270.0
2013-04-11,18000,18200,17550,18150,218601,186478.0,10274270.0
2013-04-12,18300,18550,17800,17800,158921,182882.0,10274270.0
2013-04-15,17750,18250,17750,17800,170018,182882.0,10274270.0
2013-04-16,17400,18300,17400,18200,167846,186992.0,10274270.0
2013-04-17,18350,18350,17750,17750,231966,182368.0,10274270.0
2013-04-18,17600,18200,17600,18050,214512,185451.0,10274270.0
2013-04-19,18000,18250,16750,17150,333504,176204.0,10274270.0
2013-04-22,17150,17400,16900,17150,207094,176204.0,10274270.0
2013-04-23,17300,17750,17150,17550,221817,180313.0,10274270.0
2013-04-24,17950,18400,17800,18000,426193,184937.0,10274270.0
2013-04-25,17850,18150,17500,18150,290974,186478.0,10274270.0
2013-04-26,18300,19000,18150,18800,532450,193156.0,10274270.0
2013-04-29,18950,19350,18550,19200,369723,197266.0,10274270.0
2013-04-30,19100,19300,18250,18550,412924,192137.0,10357770.0
2013-05-02,19000,19250,18700,18850,349204,195244.0,10357770.0
2013-05-03,19000,19350,18850,19000,249185,196798.0,10357770.0
2013-05-06,19000,19700,19000,19600,638446,203012.0,10357770.0
2013-05-07,19950,20450,19950,20300,893827,210263.0,10357770.0
2013-05-08,20400,20500,20100,20300,275322,210263.0,10357770.0
2013-05-09,20400,20450,19850,20250,259708,209745.0,10357770.0
