네오셈(253590),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-04-04,2005,2090,1985,1990,310227,10965.0,5510000.0
2018-04-05,2010,2010,1990,2005,82914,11048.0,5510000.0
2018-04-06,1995,2005,1985,1990,119226,10965.0,5510000.0
2018-04-09,1990,2000,1990,1990,8272,10965.0,5510000.0
2018-04-10,1995,1995,1985,1985,30782,10937.0,5510000.0
2018-04-11,1990,1990,1980,1990,81759,10965.0,5510000.0
2018-04-12,1995,1995,1980,1990,10901,10965.0,5510000.0
2018-04-13,1990,1995,1990,1990,16495,10965.0,5510000.0
2018-04-16,1990,1990,1985,1985,3308,10937.0,5510000.0
2018-04-17,1985,1995,1985,1995,13732,10992.0,5510000.0
2018-04-18,1990,1995,1910,1985,52307,10937.0,5510000.0
2018-04-19,1990,1995,1990,1990,1526,10965.0,5510000.0
2018-04-20,1990,1995,1990,1995,1116,10992.0,5510000.0
2018-04-23,1995,1995,1990,1995,10602,10992.0,5510000.0
2018-04-24,1995,1995,1990,1995,1319,10992.0,5510000.0
2018-04-25,1995,1995,1995,1995,11651,10992.0,5510000.0
2018-04-26,1995,1995,1990,1990,1031,10965.0,5510000.0
2018-04-27,1995,1995,1995,1995,702,10992.0,5510000.0
2018-04-30,1990,2000,1990,1990,20377,10965.0,5510000.0
2018-05-02,1990,1990,1990,1990,10,10965.0,5510000.0
2018-05-03,1990,2000,1990,2000,5983,11020.0,5510000.0
2018-05-04,2000,2000,2000,2000,1144,11020.0,5510000.0
2018-05-08,2000,2010,2000,2010,745,11075.0,5510000.0
2018-05-09,2000,2000,1980,1985,56908,10937.0,5510000.0
2018-05-10,1990,2020,1990,1995,5792,10992.0,5510000.0
2018-05-11,2005,2005,2000,2000,1043,11020.0,5510000.0
2018-05-14,1995,2005,1995,2000,22910,11020.0,5510000.0
2018-05-15,2020,2020,1995,2000,12240,11020.0,5510000.0
2018-05-16,2000,2020,2000,2000,62712,11020.0,5510000.0
2018-05-17,2000,2000,2000,2000,0,11020.0,5510000.0
2018-05-18,2020,2020,2005,2005,13188,11048.0,5510000.0
2018-05-21,2005,2005,2000,2005,22600,11048.0,5510000.0
2018-05-23,2005,2005,2000,2000,90000,11020.0,5510000.0
2018-05-24,2020,2020,2000,2000,32381,11020.0,5510000.0
2018-05-25,2040,2040,2005,2005,7019,11048.0,5510000.0
2018-05-28,2035,2040,2030,2035,19110,11213.0,5510000.0
2018-05-29,2030,2035,2005,2005,30479,11048.0,5510000.0
2018-05-30,2035,2035,2010,2010,4023,11075.0,5510000.0
2018-05-31,2050,2060,2030,2060,27941,11351.0,5510000.0
2018-06-01,2060,2080,2060,2080,42899,11461.0,5510000.0
2018-06-04,2080,2110,2075,2110,26802,11626.0,5510000.0
2018-06-05,2110,2150,2105,2135,217987,11764.0,5510000.0
2018-06-07,2125,2200,2110,2135,112248,11764.0,5510000.0
2018-06-08,2145,2400,2145,2200,625523,12122.0,5510000.0
2018-06-11,2200,2285,2200,2230,100340,12287.0,5510000.0
2018-06-12,2230,2230,2165,2180,123344,12012.0,5510000.0
2018-06-14,2185,2280,2180,2240,119608,12342.0,5510000.0
2018-06-15,2260,2335,2245,2285,313814,12590.0,5510000.0
2018-06-18,2280,2325,2260,2270,71972,12508.0,5510000.0
2018-06-19,2280,2280,2225,2245,59369,12370.0,5510000.0
2018-06-20,2245,2250,2215,2250,25641,12398.0,5510000.0
2018-06-21,2255,2260,2235,2255,65459,12425.0,5510000.0
2018-06-22,2255,2280,2235,2270,43305,12508.0,5510000.0
2018-06-25,2270,2330,2265,2295,62365,12645.0,5510000.0
2018-06-26,2285,2295,2245,2295,40297,12645.0,5510000.0
2018-06-27,2280,2310,2260,2295,24988,12645.0,5510000.0
2018-06-28,2310,2310,2260,2280,84211,12563.0,5510000.0
2018-06-29,2280,2310,2210,2300,50659,12673.0,5510000.0
2018-07-02,2285,2295,2220,2230,81772,12287.0,5510000.0
2018-07-03,2270,2270,2135,2175,89907,11984.0,5510000.0
