본느(226340),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-11-05,2345,2357,2334,2352,1678357,13162.0,6500000.0
2015-11-06,2345,2363,2345,2358,205305,13195.0,6500000.0
2015-11-09,2357,2357,2340,2346,109618,13130.0,6500000.0
2015-11-10,2345,2357,2328,2334,155719,13065.0,6500000.0
2015-11-11,2345,2345,2340,2346,33584,13130.0,6500000.0
2015-11-12,2340,2345,2328,2340,106221,13098.0,6500000.0
2015-11-13,2340,2345,2340,2346,72180,13130.0,6500000.0
2015-11-16,2345,2345,2334,2340,55562,13098.0,6500000.0
2015-11-17,2340,2345,2328,2340,69297,13098.0,6500000.0
2015-11-18,2334,2340,2328,2329,20850,13032.0,6500000.0
2015-11-19,2334,2334,2322,2329,22485,13032.0,6500000.0
2015-11-20,2334,2334,2322,2329,19781,13032.0,6500000.0
2015-11-23,2328,2328,2316,2329,14945,13032.0,6500000.0
2015-11-24,2328,2328,2311,2323,38612,13000.0,6500000.0
2015-11-25,2328,2328,2316,2323,57795,13000.0,6500000.0
2015-11-26,2322,2328,2322,2329,29817,13032.0,6500000.0
2015-11-27,2328,2328,2311,2323,14443,13000.0,6500000.0
2015-11-30,2322,2334,2316,2317,79947,12968.0,6500000.0
2015-12-01,2322,2328,2322,2323,1206,13000.0,6500000.0
2015-12-02,2322,2322,2305,2323,4264,13000.0,6500000.0
2015-12-03,2316,2316,2316,2317,1084,12968.0,6500000.0
2015-12-04,2316,2322,2316,2323,884,13000.0,6500000.0
2015-12-07,2316,2316,2305,2305,18475,12902.0,6500000.0
2015-12-08,2305,2316,2305,2317,11394,12968.0,6500000.0
2015-12-09,2316,2316,2299,2311,21407,12935.0,6500000.0
2015-12-10,2311,2311,2282,2305,4151,12902.0,6500000.0
2015-12-11,2305,2316,2293,2294,18686,12838.0,6500000.0
2015-12-14,2305,2305,2293,2305,12211,12902.0,6500000.0
2015-12-15,2311,2311,2299,2300,15143,12870.0,6500000.0
2015-12-16,2305,2311,2299,2300,7324,12870.0,6500000.0
2015-12-17,2299,2299,2287,2300,11540,12870.0,6500000.0
2015-12-18,2299,2299,2293,2300,9166,12870.0,6500000.0
2015-12-21,2299,2299,2299,2300,189,12870.0,6500000.0
2015-12-22,2293,2311,2293,2305,4521,12902.0,6500000.0
2015-12-23,2316,2316,2299,2317,12583,12968.0,6500000.0
2015-12-24,2316,2316,2282,2317,3270,12968.0,6500000.0
2015-12-28,2311,2311,2293,2305,13630,12902.0,6500000.0
2015-12-29,2299,2299,2282,2300,16846,12870.0,6500000.0
2015-12-30,2305,2305,2287,2300,11418,12870.0,6500000.0
2016-01-04,2305,2305,2293,2294,4373,12838.0,6500000.0
2016-01-05,2287,2299,2287,2294,947,12838.0,6500000.0
2016-01-06,2305,2328,2293,2294,31667,12838.0,6500000.0
2016-01-07,2293,2299,2287,2300,17348,12870.0,6500000.0
2016-01-08,2293,2305,2293,2300,24864,12870.0,6500000.0
2016-01-11,2299,2311,2299,2311,6301,12935.0,6500000.0
2016-01-12,2311,2311,2299,2305,10079,12902.0,6500000.0
2016-01-13,2311,2311,2299,2300,18306,12870.0,6500000.0
2016-01-14,2299,2305,2299,2305,6159,12902.0,6500000.0
2016-01-15,2311,2311,2299,2305,4318,12902.0,6500000.0
2016-01-18,2293,2311,2293,2305,2947,12902.0,6500000.0
2016-01-19,2299,2305,2299,2305,4373,12902.0,6500000.0
2016-01-20,2299,2316,2293,2294,62356,12838.0,6500000.0
