이에스에이(052190),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-06-21,14342,14342,14342,14342,115584,72000.0,6000000.0
2001-06-22,12668,13863,12668,13027,780099,65400.0,6000000.0
2001-06-25,13266,14581,13206,14581,128494,73200.0,6000000.0
2001-06-26,16314,16314,13385,14043,1300980,70500.0,6000000.0
2001-06-27,13804,14282,12429,12968,268160,65100.0,6000000.0
2001-06-28,13385,13385,12011,12071,188982,60600.0,6000000.0
2001-06-29,12071,12668,11796,11832,147971,59400.0,6000000.0
2001-07-02,12011,12190,11174,11294,130971,56700.0,6000000.0
2001-07-03,11306,11939,11306,11940,103463,59940.0,6000000.0
2001-07-04,11951,12310,11473,11593,85523,58200.0,6000000.0
2001-07-05,11055,11497,11055,11247,90263,56460.0,6000000.0
2001-07-06,11055,11115,10780,11055,91582,55500.0,6000000.0
2001-07-09,10780,10995,9800,9980,94694,50100.0,6000000.0
2001-07-10,10278,10935,9812,10350,179955,51960.0,6000000.0
2001-07-11,10039,10039,9322,9621,142932,48300.0,6000000.0
2001-07-12,9800,10433,9680,10290,264487,51660.0,6000000.0
2001-07-13,10589,10636,9621,9788,133423,49140.0,6000000.0
2001-07-16,9573,10039,9561,9717,58032,48780.0,6000000.0
2001-07-18,9824,10146,9441,10147,89959,50940.0,6000000.0
2001-07-19,9537,9800,9537,9657,69221,48480.0,6000000.0
2001-07-20,9740,10003,9680,9800,126279,49200.0,6000000.0
2001-07-23,9800,10099,8629,8629,222697,43320.0,6000000.0
2001-07-24,8593,8593,7601,8067,290220,40500.0,6000000.0
2001-07-25,8210,8485,7780,7781,199701,39060.0,6000000.0
2001-07-26,7900,8306,7900,8247,226625,41400.0,6000000.0
2001-07-27,8354,8844,8210,8271,254650,41520.0,6000000.0
2001-07-30,8844,8951,8402,8438,202662,42360.0,6000000.0
2001-07-31,8366,8605,8318,8545,108229,42900.0,6000000.0
2001-08-01,8641,8939,8641,8737,275500,43860.0,6000000.0
2001-08-02,8903,8903,8641,8784,148005,44100.0,6000000.0
2001-08-03,8844,9680,8748,9263,309474,46500.0,6000000.0
2001-08-06,9262,9740,9202,9442,248594,47400.0,6000000.0
2001-08-07,9561,10278,9441,9561,466743,48000.0,6000000.0
2001-08-08,9740,9740,9226,9263,160714,46500.0,6000000.0
2001-08-09,8939,8963,8605,8701,158548,43680.0,6000000.0
2001-08-10,8784,9740,8784,9741,284540,48900.0,6000000.0
2001-08-13,9979,10565,9740,9788,668236,49140.0,6000000.0
2001-08-14,9967,9967,9370,9466,243076,47520.0,6000000.0
2001-08-16,9202,9441,9011,9107,163483,45720.0,6000000.0
2001-08-17,9202,9453,8832,8868,150985,44520.0,6000000.0
2001-08-20,8425,8653,8270,8545,139349,42900.0,6000000.0
2001-08-21,8641,8796,8485,8605,106688,43200.0,6000000.0
2001-08-22,8425,9131,8425,8725,197919,43800.0,6000000.0
2001-08-23,8844,8987,8557,8557,113949,42960.0,6000000.0
2001-08-24,8557,8700,8330,8486,93828,42600.0,6000000.0
2001-08-27,8653,8832,8617,8653,93807,43440.0,6000000.0
2001-08-28,8509,8569,8306,8510,121841,42720.0,6000000.0
2001-08-29,8282,8485,8186,8199,91278,41160.0,6000000.0
2001-08-30,8127,8127,7410,7721,94375,38760.0,6000000.0
2001-08-31,7410,7421,6824,6908,126843,34680.0,6000000.0
2001-09-03,6824,7051,6226,6478,97230,32520.0,6000000.0
2001-09-04,6573,6836,6358,6717,173450,33720.0,6000000.0
2001-09-05,6573,6633,6394,6514,69615,32700.0,6000000.0
2001-09-06,6453,6812,6453,6812,193431,34200.0,6000000.0
2001-09-07,6704,7625,6704,7625,510799,38280.0,6000000.0
2001-09-10,7768,8533,7661,8354,549175,41940.0,6000000.0
2001-09-11,8246,8413,7529,7757,210503,38940.0,6000000.0
2001-09-12,6836,6836,6836,6836,5977,34320.0,6000000.0
2001-09-13,6107,7290,6107,7051,301289,35400.0,6000000.0
2001-09-14,6931,7111,6214,6215,85909,31200.0,6000000.0
2001-09-17,6095,6095,5473,5474,126432,27480.0,6000000.0
2001-09-18,5629,6119,5617,6071,124147,30480.0,6000000.0
2001-09-19,5856,6179,5844,5916,104920,29700.0,6000000.0
2001-09-20,5916,5916,5378,5856,135898,29400.0,6000000.0
2001-09-21,5438,6095,5438,5976,67446,30000.0,6000000.0
2001-09-24,5736,6202,5724,6155,77145,30900.0,6000000.0
2001-09-25,6370,6669,5975,6095,64452,30600.0,6000000.0
2001-09-26,6119,6394,6047,6215,64087,31200.0,6000000.0
2001-09-27,6214,6716,6214,6454,224754,32400.0,6000000.0
2001-09-28,6561,6669,6453,6550,103747,32880.0,6000000.0
2001-10-04,6728,7171,6704,6992,189759,35100.0,6000000.0
2001-10-05,6991,6991,6812,6824,78334,34260.0,6000000.0
2001-10-08,6609,7529,6465,7040,90717,35340.0,6000000.0
2001-10-09,7039,7362,7039,7171,183815,36000.0,6000000.0
2001-10-10,7039,7278,6991,7040,115561,35340.0,6000000.0
2001-10-11,7290,7350,7051,7111,131382,35700.0,6000000.0
2001-10-12,7182,7708,7182,7709,365028,38700.0,6000000.0
2001-10-15,7888,8162,7649,7661,383354,38460.0,6000000.0
2001-10-16,7708,8007,7589,7972,171920,40020.0,6000000.0
2001-10-17,8162,8724,8127,8235,476021,41340.0,6000000.0
2001-10-18,7816,8461,7672,8008,196436,40200.0,6000000.0
2001-10-19,7792,8186,7792,7948,102380,39900.0,6000000.0
2001-10-22,8067,8437,7959,8354,203461,41940.0,6000000.0
2001-10-23,8390,8748,8198,8581,451444,43080.0,6000000.0
2001-10-24,8975,9441,8581,8701,366409,43680.0,6000000.0
2001-10-25,8784,8844,8378,8402,129882,42180.0,6000000.0
2001-10-26,8425,8664,7888,7972,265152,40020.0,6000000.0
2001-10-29,8019,8425,8007,8306,228672,41700.0,6000000.0
2001-10-30,8067,8127,7744,8127,128993,40800.0,6000000.0
2001-10-31,7816,8294,7816,8294,217710,41640.0,6000000.0
2001-11-01,8437,8748,8294,8498,300107,42660.0,6000000.0
2001-11-02,8497,8664,8151,8545,193615,42900.0,6000000.0
2001-11-05,8844,9166,8557,8737,514082,43860.0,6000000.0
2001-11-06,8748,8939,8485,8510,193258,42720.0,6000000.0
2001-11-07,8545,8545,8222,8366,127879,42000.0,6000000.0
2001-11-08,8330,8653,8174,8306,153305,41700.0,6000000.0
2001-11-09,8186,8234,7923,8008,192235,40200.0,6000000.0
2001-11-12,8067,8067,7708,7828,226348,39300.0,6000000.0
2001-11-13,7708,7935,7661,7721,107721,38760.0,6000000.0
2001-11-14,7828,7959,7756,7900,169234,39660.0,6000000.0
2001-11-15,7888,7888,7290,7410,178722,37200.0,6000000.0
2001-11-16,7410,7517,7051,7458,151851,37440.0,6000000.0
2001-11-19,7290,7553,7254,7398,56965,37140.0,6000000.0
2001-11-20,7314,8234,7314,8235,224424,41340.0,6000000.0
2001-11-21,8127,8354,7589,7769,238215,39000.0,6000000.0
2001-11-22,7888,7971,7661,7769,63537,39000.0,6000000.0
2001-11-23,7768,7947,7732,7888,107864,39600.0,6000000.0
2001-11-26,7995,8712,7995,8091,292417,40620.0,6000000.0
2001-11-27,8091,8330,8007,8294,118783,41640.0,6000000.0
2001-11-28,8270,8796,8127,8545,342266,42900.0,6000000.0
2001-11-29,9083,9561,9083,9561,243136,48000.0,6000000.0
2001-11-30,10481,10708,9441,9741,1024541,48900.0,6000000.0
2001-12-03,9740,10290,9561,10290,266165,51660.0,6000000.0
2001-12-04,10290,10553,9967,10290,238414,51660.0,6000000.0
2001-12-05,10648,10648,9716,9753,214970,48960.0,6000000.0
2001-12-06,9573,9800,9154,9251,261420,46440.0,6000000.0
2001-12-07,9274,9740,9226,9442,212298,47400.0,6000000.0
2001-12-10,9561,10565,9561,10565,447089,53040.0,6000000.0
2001-12-11,10505,10756,10111,10757,245083,54000.0,6000000.0
2001-12-12,10756,11413,10218,10398,564167,52200.0,6000000.0
2001-12-13,10983,11234,10636,10948,544486,54960.0,6000000.0
2001-12-14,11222,11222,10433,10577,347767,53100.0,6000000.0
2001-12-17,10350,10756,9692,10039,257045,50400.0,6000000.0
2001-12-18,9931,10397,9573,9597,247414,48180.0,6000000.0
2001-12-19,9621,9907,8664,8713,196624,43740.0,6000000.0
2001-12-20,8676,9083,8545,8976,145559,45060.0,6000000.0
2001-12-21,8617,8927,8473,8689,110512,43620.0,6000000.0
2001-12-24,8688,9322,8688,9322,209140,46800.0,6000000.0
2001-12-26,9561,9621,9143,9203,121252,46200.0,6000000.0
2001-12-27,9322,9370,8808,9334,84132,46860.0,6000000.0
2001-12-28,9680,9788,9334,9788,114399,49140.0,6000000.0
2002-01-02,9465,9597,9298,9334,217626,46860.0,6000000.0
2002-01-03,9322,9322,8856,8916,273790,44760.0,6000000.0
2002-01-04,8856,8856,8139,8354,564171,41940.0,6000000.0
2002-01-07,8258,8306,8043,8175,262285,41040.0,6000000.0
2002-01-08,8067,8425,8067,8139,171959,40860.0,6000000.0
2002-01-09,8162,8402,8103,8187,229033,41100.0,6000000.0
2002-01-10,8127,8246,7672,7685,268380,38580.0,6000000.0
2002-01-11,7768,7947,7541,7542,160791,37860.0,6000000.0
2002-01-14,7350,8127,7302,7924,325483,39780.0,6000000.0
2002-01-15,7768,8091,7672,7816,142833,39240.0,6000000.0
2002-01-16,7768,8007,7708,7816,85685,39240.0,6000000.0
2002-01-17,7589,7792,7469,7506,81891,37680.0,6000000.0
2002-01-18,7469,7613,7206,7291,88116,36600.0,6000000.0
2002-01-21,7410,7565,7194,7542,60004,37860.0,6000000.0
2002-01-22,7314,7589,7314,7589,74980,38100.0,6000000.0
2002-01-23,7493,7601,7410,7530,56085,37800.0,6000000.0
2002-01-24,7589,8222,7421,7888,170011,39600.0,6000000.0
2002-01-25,7828,8007,7649,7972,132946,40020.0,6000000.0
2002-01-28,8019,8736,8019,8629,275093,43320.0,6000000.0
2002-01-29,8629,8796,8127,8306,131696,41700.0,6000000.0
2002-01-30,8067,8079,7696,7876,113455,39540.0,6000000.0
2002-01-31,7912,8485,7852,8199,218196,41160.0,6000000.0
2002-02-01,8366,8545,8091,8103,150936,40680.0,6000000.0
2002-02-04,7912,8151,7720,7733,87217,38820.0,6000000.0
2002-02-05,7481,7732,7481,7733,70432,38820.0,6000000.0
2002-02-06,7732,8067,7553,7649,51618,38400.0,6000000.0
2002-02-07,7649,7947,7529,7553,93777,37920.0,6000000.0
2002-02-08,7421,7756,7421,7649,42700,38400.0,6000000.0
2002-02-14,7888,7888,7649,7709,60969,38700.0,6000000.0
2002-02-15,7708,7804,7601,7792,61847,39120.0,6000000.0
2002-02-18,7768,7935,7672,7876,64320,39540.0,6000000.0
2002-02-19,7900,7900,7649,7709,60809,38700.0,6000000.0
2002-02-20,7589,7649,7469,7494,73931,37620.0,6000000.0
2002-02-21,7529,7649,7481,7577,66437,38040.0,6000000.0
2002-02-22,7505,7589,7362,7458,90196,37440.0,6000000.0
2002-02-25,7517,7613,7350,7374,61373,37020.0,6000000.0
2002-02-26,7433,7589,7338,7374,123257,37020.0,6000000.0
2002-02-27,7290,7505,7242,7494,103207,37620.0,6000000.0
2002-02-28,7254,8007,7254,7769,253705,39000.0,6000000.0
2002-03-04,7947,8103,7649,8008,239325,40200.0,6000000.0
2002-03-05,8031,8378,7768,7876,194750,39540.0,6000000.0
2002-03-06,7816,7983,7708,7804,93657,39180.0,6000000.0
2002-03-07,7888,8210,7828,8032,254317,40320.0,6000000.0
2002-03-08,8067,8127,7708,7804,154220,39180.0,6000000.0
2002-03-11,7840,8270,7720,8271,272475,41520.0,6000000.0
2002-03-12,8880,9190,8605,8784,555386,44100.0,6000000.0
2002-03-13,8724,8724,8390,8438,252481,42360.0,6000000.0
2002-03-14,8485,8485,8031,8450,171404,42420.0,6000000.0
2002-03-15,8461,8784,8282,8378,210946,42060.0,6000000.0
2002-03-18,8425,8868,8366,8773,312954,44040.0,6000000.0
2002-03-19,8963,9035,8676,8701,227396,43680.0,6000000.0
2002-03-20,8700,8724,8306,8366,191536,42000.0,6000000.0
2002-03-21,8246,8437,8055,8426,201107,42300.0,6000000.0
2002-03-22,8605,8903,8425,8844,440060,44400.0,6000000.0
2002-03-25,8844,9286,8844,8844,447271,44400.0,6000000.0
2002-03-26,8844,8844,8437,8486,129235,42600.0,6000000.0
2002-03-27,8497,8856,8497,8605,133386,43200.0,6000000.0
2002-03-28,8724,9441,8664,9203,567109,46200.0,6000000.0
2002-03-29,9202,9644,9035,9442,507972,47400.0,6000000.0
2002-04-01,10565,10565,10397,10398,428045,52200.0,6000000.0
2002-04-02,10397,10457,9537,9537,574177,47880.0,6000000.0
2002-04-03,9441,9680,8963,9334,345772,46860.0,6000000.0
2002-04-04,9095,9501,9095,9322,229148,46800.0,6000000.0
2002-04-08,9286,9465,8927,8964,213829,45000.0,6000000.0
2002-04-09,8868,8963,8425,8426,146240,42300.0,6000000.0
2002-04-10,8294,8366,7780,7948,160533,39900.0,6000000.0
2002-04-11,8067,8425,7947,8306,121888,41700.0,6000000.0
2002-04-12,7529,8222,7529,8127,68568,40800.0,6000000.0
2002-04-15,8127,8569,8067,8510,138739,42720.0,6000000.0
2002-04-16,8521,8521,8258,8426,63007,42300.0,6000000.0
2002-04-17,8509,8664,8366,8366,102218,42000.0,6000000.0
2002-04-18,8437,8736,8437,8510,105578,42720.0,6000000.0
2002-04-19,8557,8569,8151,8163,71159,40980.0,6000000.0
2002-04-22,7888,8342,7565,7888,122689,39600.0,6000000.0
2002-04-23,7720,7876,7541,7876,65202,39540.0,6000000.0
2002-04-24,7864,8103,7541,7637,60635,38340.0,6000000.0
2002-04-25,7350,7649,6943,7171,73802,36000.0,6000000.0
2002-04-26,7171,7445,7075,7446,49262,37380.0,6000000.0
2002-04-29,6955,7266,6955,7171,52903,36000.0,6000000.0
2002-04-30,7051,7386,7015,7171,36508,36000.0,6000000.0
2002-05-02,7206,7386,7206,7374,34986,37020.0,6000000.0
2002-05-03,7218,7756,7051,7542,104509,37860.0,6000000.0
