THE E&M(089230),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-10-10,21653,24737,18490,18989,1486673,49020.0,4300000.0
2006-10-11,19068,21815,18237,21822,688440,56330.0,4300000.0
2006-10-12,23648,23901,20651,20990,811606,54180.0,4300000.0
2006-10-13,21819,23404,20987,21322,599264,55040.0,4300000.0
2006-10-16,21484,21652,20735,20990,170824,54180.0,4300000.0
2006-10-17,20984,22068,20485,20904,359484,53965.0,4300000.0
2006-10-18,20984,21398,20484,20573,160227,53105.0,4300000.0
2006-10-19,20565,20652,19567,19822,157584,51170.0,4300000.0
2006-10-20,19902,20316,19650,19989,85882,51600.0,4300000.0
2006-10-23,20151,20401,19150,19157,74703,49450.0,4300000.0
2006-10-24,19486,19650,18986,19073,85236,49235.0,4300000.0
2006-10-25,19319,20069,18487,19906,140206,51385.0,4300000.0
2006-10-26,19734,20069,19068,19073,52028,49235.0,4300000.0
2006-10-27,19403,19403,18568,18657,36985,48160.0,4300000.0
2006-10-30,18240,18822,18240,18406,38925,47515.0,4300000.0
2006-10-31,18402,19487,17984,18657,80989,48160.0,4300000.0
2006-11-01,18988,19652,18654,18906,61182,48805.0,4300000.0
2006-11-02,18821,19319,18821,18824,39749,48590.0,4300000.0
2006-11-03,18904,18988,18654,18906,25414,48805.0,4300000.0
2006-11-06,18985,20316,18733,19989,125985,51600.0,4300000.0
2006-11-07,20069,20151,19487,19906,43268,51385.0,4300000.0
2006-11-08,20072,20320,19490,20073,69306,51815.0,4300000.0
2006-11-09,19904,20072,19572,19573,33339,50525.0,4300000.0
2006-11-10,18985,19983,18901,19822,80748,51170.0,4300000.0
2006-11-13,19653,19819,18737,18824,59318,48590.0,4300000.0
2006-11-14,18822,18904,18404,18406,36887,47515.0,4300000.0
2006-11-15,18732,18818,18400,18573,28942,47945.0,4300000.0
2006-11-16,18400,18650,17736,17991,38990,46440.0,4300000.0
2006-11-17,17985,18153,17571,17656,20716,45580.0,4300000.0
