미래에셋대우스팩1호(265480),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-05-26,2000,2000,1965,1980,313515,9583.0,4840000.0
2017-05-29,1980,1980,1975,1980,27487,9583.0,4840000.0
2017-05-30,1975,1990,1975,1980,26029,9583.0,4840000.0
2017-05-31,1980,1990,1980,1990,13684,9632.0,4840000.0
2017-06-01,1990,1990,1975,1985,13767,9607.0,4840000.0
2017-06-02,1985,1985,1975,1985,15626,9607.0,4840000.0
2017-06-05,1985,1990,1980,1990,11172,9632.0,4840000.0
2017-06-07,1990,1990,1985,1985,6998,9607.0,4840000.0
2017-06-08,1985,1990,1980,1980,15499,9583.0,4840000.0
2017-06-09,1980,1990,1980,1980,11876,9583.0,4840000.0
2017-06-12,1980,1990,1980,1985,12759,9607.0,4840000.0
2017-06-13,1980,1985,1975,1985,62017,9607.0,4840000.0
2017-06-14,1985,1985,1985,1985,11015,9607.0,4840000.0
2017-06-15,1985,1990,1980,1985,30955,9607.0,4840000.0
2017-06-16,1990,1990,1980,1985,28433,9607.0,4840000.0
2017-06-19,1985,1985,1980,1985,19024,9607.0,4840000.0
2017-06-20,1985,1985,1980,1985,35860,9607.0,4840000.0
2017-06-21,1985,1990,1985,1990,11339,9632.0,4840000.0
2017-06-22,1990,1990,1975,1985,12173,9607.0,4840000.0
2017-06-23,1990,1990,1975,1990,5426,9632.0,4840000.0
2017-06-26,1985,1990,1985,1990,1813,9632.0,4840000.0
2017-06-27,1990,1990,1980,1985,8444,9607.0,4840000.0
2017-06-28,1985,1990,1980,1990,9915,9632.0,4840000.0
2017-06-29,1985,2000,1980,2000,36873,9680.0,4840000.0
2017-06-30,2000,2010,1990,2000,34113,9680.0,4840000.0
2017-07-03,2000,2010,1995,2005,14081,9704.0,4840000.0
2017-07-04,2000,2005,2000,2005,12937,9704.0,4840000.0
2017-07-05,2010,2010,2000,2005,7640,9704.0,4840000.0
2017-07-06,2005,2010,2000,2000,20260,9680.0,4840000.0
2017-07-07,2005,2015,2000,2015,83615,9753.0,4840000.0
2017-07-10,2015,2020,2000,2020,39599,9777.0,4840000.0
2017-07-11,2025,2040,2025,2030,24877,9825.0,4840000.0
2017-07-12,2025,2025,2015,2020,5203,9777.0,4840000.0
2017-07-13,2015,2020,2005,2020,33805,9777.0,4840000.0
2017-07-14,2020,2035,2020,2020,19143,9777.0,4840000.0
2017-07-17,2015,2020,2005,2010,98126,9728.0,4840000.0
2017-07-18,2005,2015,2005,2015,2621,9753.0,4840000.0
2017-07-19,2010,2025,2010,2020,13382,9777.0,4840000.0
2017-07-20,2020,2025,2015,2025,8237,9801.0,4840000.0
2017-07-21,2015,2020,2015,2015,15514,9753.0,4840000.0
2017-07-24,2020,2020,2010,2010,1750,9728.0,4840000.0
2017-07-25,2005,2010,2005,2005,803,9704.0,4840000.0
2017-07-26,2005,2020,1985,2000,537,9680.0,4840000.0
2017-07-27,2005,2005,2005,2005,2054,9704.0,4840000.0
2017-07-28,2005,2005,2000,2005,1256,9704.0,4840000.0
2017-07-31,2000,2000,2000,2000,100,9680.0,4840000.0
2017-08-01,1990,2010,1990,2000,3648,9680.0,4840000.0
2017-08-02,2005,2010,2005,2010,1577,9728.0,4840000.0
2017-08-03,2010,2010,2005,2005,10205,9704.0,4840000.0
2017-08-04,2005,2015,2005,2015,22784,9753.0,4840000.0
2017-08-07,2010,2015,2010,2010,13015,9728.0,4840000.0
2017-08-08,2005,2010,1990,2000,53643,9680.0,4840000.0
2017-08-09,2000,2000,2000,2000,209,9680.0,4840000.0
2017-08-10,2000,2000,2000,2000,0,9680.0,4840000.0
2017-08-11,2000,2000,2000,2000,1493,9680.0,4840000.0
2017-08-14,2000,2000,2000,2000,0,,
2017-08-16,2000,2000,2000,2000,840,9680.0,4840000.0
2017-08-17,2005,2005,2005,2005,1983,9704.0,4840000.0
2017-08-18,2010,2020,2010,2010,2668,9728.0,4840000.0
2017-08-21,2010,2020,2010,2020,6820,9777.0,4840000.0
2017-08-22,2000,2025,2000,2025,15012,9801.0,4840000.0
2017-08-23,2005,2025,2005,2010,16724,9728.0,4840000.0
2017-08-24,2015,2020,2015,2020,2167,9777.0,4840000.0
2017-08-25,2015,2080,2015,2020,69797,9777.0,4840000.0
2017-08-28,2020,2040,2015,2035,21960,9849.0,4840000.0
2017-08-29,2060,2060,2040,2045,8632,9898.0,4840000.0
2017-08-30,2040,2045,2040,2045,710,9898.0,4840000.0
2017-08-31,2050,2050,2035,2035,25139,9849.0,4840000.0
2017-09-01,2035,2040,2030,2040,9239,9874.0,4840000.0
2017-09-04,2025,2040,2025,2040,842,9874.0,4840000.0
2017-09-05,2025,2040,2025,2040,3155,9874.0,4840000.0
2017-09-06,2035,2050,2030,2050,3280,9922.0,4840000.0
2017-09-07,2035,2050,2035,2050,4323,9922.0,4840000.0
2017-09-08,2065,2065,2045,2045,81,9898.0,4840000.0
2017-09-11,2045,2045,2030,2030,86570,9825.0,4840000.0
2017-09-12,2020,2030,2020,2030,7212,9825.0,4840000.0
2017-09-13,2025,2030,2025,2030,1811,9825.0,4840000.0
2017-09-14,2020,2030,2020,2030,10547,9825.0,4840000.0
2017-09-15,2035,2140,2035,2050,20549,9922.0,4840000.0
2017-09-18,2030,2050,2030,2050,5141,9922.0,4840000.0
2017-09-19,2035,2085,2035,2070,133,10019.0,4840000.0
2017-09-20,2035,2050,2035,2045,10456,9898.0,4840000.0
2017-09-21,2045,2075,2040,2040,5024,9874.0,4840000.0
2017-09-22,2075,2075,2075,2075,1,10043.0,4840000.0
2017-09-25,2075,2075,2050,2050,2405,9922.0,4840000.0
2017-09-26,2040,2050,2040,2045,3000,9898.0,4840000.0
2017-09-27,2050,2070,2050,2070,21,10019.0,4840000.0
2017-09-28,2040,2100,2040,2075,969,10043.0,4840000.0
2017-09-29,2040,2080,2040,2045,4685,9898.0,4840000.0
2017-10-10,2045,2045,2035,2040,1397,9874.0,4840000.0
2017-10-11,2030,2060,2030,2045,8019,9898.0,4840000.0
2017-10-12,2060,2060,2050,2050,6,9922.0,4840000.0
2017-10-13,2070,2070,2045,2045,2,9898.0,4840000.0
2017-10-16,2045,2045,2040,2040,8304,9874.0,4840000.0
