신영스팩5호(323280),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-06-24,4000,4100,3300,3740,18565653,13109.0,3505000.0
2019-06-25,3695,3795,3030,3340,4856888,11707.0,3505000.0
2019-06-26,3275,3480,3000,3000,3830553,10515.0,3505000.0
2019-06-27,3245,3530,2740,2780,5768203,9744.0,3505000.0
2019-06-28,3120,3250,2620,2930,5126978,10270.0,3505000.0
2019-07-01,2790,2830,2625,2670,1998692,9358.0,3505000.0
2019-07-02,2605,2645,2410,2480,2017926,8692.0,3505000.0
2019-07-03,2525,2575,2420,2455,1557037,8605.0,3505000.0
2019-07-04,2380,2395,2245,2300,1652949,8062.0,3505000.0
2019-07-05,2330,2545,2260,2300,3911706,8062.0,3505000.0
2019-07-08,2290,2315,2225,2230,1050081,7816.0,3505000.0
2019-07-09,2230,2310,2195,2240,1515329,7851.0,3505000.0
2019-07-10,2215,2250,2210,2215,643852,7764.0,3505000.0
2019-07-11,2250,2270,2200,2220,879540,7781.0,3505000.0
2019-07-12,2215,2245,2205,2220,597976,7781.0,3505000.0
2019-07-15,2220,2225,2160,2170,419582,7606.0,3505000.0
2019-07-16,2175,2195,2145,2160,463634,7571.0,3505000.0
2019-07-17,2160,2175,2110,2135,497077,7483.0,3505000.0
2019-07-18,2140,2165,2110,2130,314280,7466.0,3505000.0
2019-07-19,2135,2175,2125,2140,344542,7501.0,3505000.0
2019-07-22,2145,2395,2130,2195,2897693,7693.0,3505000.0
2019-07-23,2190,2310,2170,2190,982805,7676.0,3505000.0
2019-07-24,2190,2215,2150,2150,404441,7536.0,3505000.0
2019-07-25,2165,2180,2140,2170,201495,7606.0,3505000.0
2019-07-26,2160,2330,2140,2185,611367,7658.0,3505000.0
2019-07-29,2210,2215,2150,2150,182913,7536.0,3505000.0
2019-07-30,2160,2185,2150,2160,115966,7571.0,3505000.0
2019-07-31,2180,2240,2140,2165,266693,7588.0,3505000.0
2019-08-01,2165,2180,2150,2150,115263,7536.0,3505000.0
2019-08-02,2150,2170,2140,2165,61908,7588.0,3505000.0
2019-08-05,2165,2165,2100,2115,312484,7413.0,3505000.0
2019-08-06,2110,2140,2080,2110,166858,7396.0,3505000.0
2019-08-07,2095,2125,2095,2110,106811,7396.0,3505000.0
2019-08-08,2105,2180,2105,2130,148962,7466.0,3505000.0
2019-08-09,2140,2140,2115,2125,50267,7448.0,3505000.0
2019-08-12,2120,2125,2110,2110,62136,7396.0,3505000.0
2019-08-13,2110,2155,2105,2110,58098,7396.0,3505000.0
2019-08-14,2110,2130,2095,2115,121928,7413.0,3505000.0
2019-08-16,2105,2120,2090,2100,61981,7360.0,3505000.0
2019-08-19,2100,2130,2095,2095,73237,7343.0,3505000.0
2019-08-20,2095,2125,2095,2125,49611,7448.0,3505000.0
2019-08-21,2115,2170,2105,2160,113715,7571.0,3505000.0
2019-08-22,2160,2160,2135,2150,46776,7536.0,3505000.0
2019-08-23,2150,2160,2120,2145,66714,7518.0,3505000.0
2019-08-26,2125,2150,2120,2125,49632,7448.0,3505000.0
2019-08-27,2125,2145,2125,2145,14387,7518.0,3505000.0
2019-08-28,2145,2145,2115,2145,32634,7518.0,3505000.0
2019-08-29,2145,2155,2115,2140,6750,7501.0,3505000.0
2019-08-30,2150,2150,2120,2145,68255,7518.0,3505000.0
2019-09-02,2145,2155,2125,2135,30303,7483.0,3505000.0
2019-09-03,2140,2145,2130,2135,23798,7483.0,3505000.0
2019-09-04,2145,2145,2120,2135,7256,7483.0,3505000.0
2019-09-05,2130,2145,2125,2145,64735,7518.0,3505000.0
2019-09-06,2145,2145,2130,2145,14027,7518.0,3505000.0
2019-09-09,2130,2145,2125,2130,14198,7466.0,3505000.0
2019-09-10,2145,2145,2125,2145,70062,7518.0,3505000.0
2019-09-11,2130,2145,2125,2130,23692,7466.0,3505000.0
2019-09-16,2130,2145,2125,2140,17289,7501.0,3505000.0
2019-09-17,2130,2145,2125,2130,11546,7466.0,3505000.0
2019-09-18,2125,2140,2125,2140,35545,7501.0,3505000.0
2019-09-19,2130,2145,2125,2145,10612,7518.0,3505000.0
2019-09-20,2140,2150,2130,2145,18508,7518.0,3505000.0
2019-09-23,2135,2150,2135,2145,34012,7518.0,3505000.0
2019-09-24,2145,2145,2120,2130,20671,7466.0,3505000.0
2019-09-25,2130,2140,2125,2135,38696,7483.0,3505000.0
2019-09-26,2135,2135,2115,2135,56279,7483.0,3505000.0
2019-09-27,2120,2145,2115,2135,33862,7483.0,3505000.0
2019-09-30,2140,2170,2120,2170,90478,7606.0,3505000.0
2019-10-01,2150,2155,2130,2150,40885,7536.0,3505000.0
2019-10-02,2130,2160,2130,2150,16954,7536.0,3505000.0
2019-10-04,2145,2145,2135,2140,12312,7501.0,3505000.0
2019-10-07,2140,2145,2110,2145,19883,,
