마이크로텍(227950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-11-18,1917,1932,1917,1927,547827,15100.0,7550000.0
2015-11-19,1922,1932,1917,1927,253922,15100.0,7550000.0
2015-11-20,1927,1927,1922,1927,92125,15100.0,7550000.0
2015-11-23,1922,1927,1917,1927,57372,15100.0,7550000.0
2015-11-24,1927,1927,1922,1927,25587,15100.0,7550000.0
2015-11-25,1927,1927,1917,1927,57582,15100.0,7550000.0
2015-11-26,1927,1927,1922,1923,132017,15062.0,7550000.0
2015-11-27,1922,1927,1922,1927,5301,15100.0,7550000.0
2015-11-30,1927,1927,1922,1927,5899,15100.0,7550000.0
2015-12-01,1927,1927,1922,1927,12003,15100.0,7550000.0
2015-12-02,1917,1927,1917,1923,9728,15062.0,7550000.0
2015-12-03,1922,1927,1917,1927,194103,15100.0,7550000.0
2015-12-04,1927,1927,1927,1927,27374,15100.0,7550000.0
2015-12-07,1927,1927,1917,1918,2490,15024.0,7550000.0
2015-12-08,1917,1927,1908,1923,7140,15062.0,7550000.0
2015-12-09,1922,1922,1888,1918,63086,15024.0,7550000.0
2015-12-10,1917,1917,1908,1908,3989,14949.0,7550000.0
2015-12-11,1917,1922,1903,1918,3533,15024.0,7550000.0
2015-12-14,1917,1917,1879,1894,23357,14836.0,7550000.0
2015-12-15,1893,1917,1893,1908,10333,14949.0,7550000.0
2015-12-16,1917,1917,1917,1918,2,15024.0,7550000.0
2015-12-17,1917,1917,1879,1899,27209,14874.0,7550000.0
2015-12-18,1898,1898,1888,1899,7026,14874.0,7550000.0
2015-12-21,1898,1917,1893,1894,6945,14836.0,7550000.0
2015-12-22,1898,1912,1893,1903,6011,14911.0,7550000.0
2015-12-23,1912,1912,1908,1913,18073,14987.0,7550000.0
2015-12-24,1912,1912,1903,1908,4450,14949.0,7550000.0
2015-12-28,1917,1917,1898,1899,11510,14874.0,7550000.0
2015-12-29,1922,1927,1912,1918,33213,15024.0,7550000.0
2015-12-30,1917,1917,1908,1913,10563,14987.0,7550000.0
2016-01-04,1917,1917,1898,1899,4264,14874.0,7550000.0
2016-01-05,1898,1922,1859,1908,32952,14949.0,7550000.0
2016-01-06,1908,1908,1903,1903,13322,14911.0,7550000.0
2016-01-07,1903,1908,1879,1889,31538,14798.0,7550000.0
2016-01-08,1898,1903,1893,1899,8109,14874.0,7550000.0
2016-01-11,1888,1898,1879,1899,10870,14874.0,7550000.0
2016-01-12,1898,1912,1893,1913,16049,14987.0,7550000.0
2016-01-13,1908,1912,1908,1908,10992,14949.0,7550000.0
2016-01-14,1917,1917,1898,1908,7061,14949.0,7550000.0
2016-01-15,1917,1917,1908,1913,7529,14987.0,7550000.0
2016-01-18,1908,1912,1908,1908,5783,14949.0,7550000.0
2016-01-19,1908,1908,1893,1908,47743,14949.0,7550000.0
2016-01-20,1908,1922,1893,1908,93163,14949.0,7550000.0
2016-01-21,1912,1917,1908,1913,24843,14987.0,7550000.0
2016-01-22,1912,1912,1908,1913,7070,14987.0,7550000.0
2016-01-25,1912,1922,1908,1923,69810,15062.0,7550000.0
2016-01-26,1917,1927,1917,1927,139909,15100.0,7550000.0
2016-01-27,1927,1927,1917,1927,141394,15100.0,7550000.0
2016-01-28,1927,1927,1917,1918,177612,15024.0,7550000.0
2016-01-29,1917,1937,1917,1927,137950,15100.0,7550000.0
2016-02-01,1927,1941,1927,1927,80016,15100.0,7550000.0
2016-02-02,1937,1937,1927,1937,54166,15176.0,7550000.0
2016-02-03,1937,1937,1932,1932,83075,15138.0,7550000.0
2016-02-04,1932,1937,1927,1932,35025,15138.0,7550000.0
2016-02-05,1922,1932,1922,1927,12933,15100.0,7550000.0
2016-02-11,1927,1941,1927,1937,95238,15176.0,7550000.0
2016-02-12,1932,1937,1927,1932,33730,15138.0,7550000.0
2016-02-15,1927,1941,1927,1927,41902,15100.0,7550000.0
2016-02-16,1927,1927,1927,1927,3957,15100.0,7550000.0
