제노포커스(187420),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-05-29,11000,12650,11000,12650,147469,170893.0,6754667.0
2015-06-01,14525,14525,14525,14525,1049467,196223.0,6754667.0
2015-06-02,15000,16700,14950,16700,1655587,225606.0,6754667.0
2015-06-03,17500,18475,14650,16400,960337,221553.0,6754667.0
2015-06-04,15500,16075,15000,15900,464940,214798.0,6754667.0
2015-06-05,15625,18275,15599,18275,728741,246883.0,6754667.0
2015-06-08,20275,21000,19150,21000,935584,283696.0,6754667.0
2015-06-09,21000,22000,19775,21000,883489,283696.0,6754667.0
2015-06-10,20725,20850,19025,19750,592975,266809.0,6754667.0
2015-06-11,19550,19625,16850,17675,909832,238777.0,6754667.0
2015-06-12,17500,18450,16700,17675,617776,238777.0,6754667.0
2015-06-15,16900,17200,14975,15450,986398,276260.0,8940453.0
2015-06-16,15725,18150,15725,16300,898775,291459.0,8940453.0
2015-06-17,16300,16850,15250,16575,435461,296376.0,8940453.0
2015-06-18,16400,18925,16250,18000,822547,321856.0,8940453.0
2015-06-19,17900,17925,17025,17425,258049,311575.0,8940453.0
2015-06-22,17200,17375,16125,16225,282765,290118.0,8940453.0
2015-06-23,16350,20000,16250,20000,701814,357618.0,8940453.0
2015-06-24,18825,20475,16950,18025,1732754,322303.0,8940453.0
2015-06-25,17750,18650,17250,18025,387001,322303.0,8940453.0
2015-06-26,18375,19875,18075,18400,920586,329009.0,8940453.0
2015-06-29,17675,19650,17325,18600,564691,332585.0,8940453.0
2015-06-30,18625,19225,17825,19075,361284,341078.0,8940453.0
2015-07-01,19950,20300,18975,19100,725186,341525.0,8940453.0
2015-07-02,19050,19500,18800,19100,347746,341525.0,8940453.0
2015-07-03,19425,20825,19350,20825,1091244,372370.0,8940453.0
2015-07-06,20650,23900,20450,23500,1624444,420201.0,8940453.0
2015-07-07,24200,26550,18500,20750,1946839,371029.0,8940453.0
2015-07-08,21225,22000,19075,22000,837094,393380.0,8940453.0
2015-07-09,21050,22000,20175,21250,655010,379969.0,8940453.0
2015-07-10,21150,22100,20050,20100,524246,359406.0,8940453.0
2015-07-13,19700,20200,19150,19775,297922,353595.0,8940453.0
2015-07-14,20150,20700,19825,19950,320050,356724.0,8940453.0
2015-07-15,20125,20125,18650,18900,420582,337949.0,8940453.0
2015-07-16,18600,19575,18175,18600,306430,332585.0,8940453.0
2015-07-17,18600,18675,16425,17225,611371,307999.0,8940453.0
