이즈미디어(181340),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-07-26,8400,10500,8000,9360,12710167,65942.0,7045100.0
2017-07-27,9680,10100,8810,8920,4475883,62842.0,7045100.0
2017-07-28,9100,9170,8090,8190,1870738,57699.0,7045100.0
2017-07-31,8120,8260,7600,7770,980313,54740.0,7045100.0
2017-08-01,7670,7990,7580,7730,833399,54459.0,7045100.0
2017-08-02,7790,8400,7650,7950,1407542,56009.0,7045100.0
2017-08-03,7950,8040,7490,7500,689805,52838.0,7045100.0
2017-08-04,7510,7570,7140,7190,379622,50654.0,7045100.0
2017-08-07,7240,7940,7160,7500,1882427,52838.0,7045100.0
2017-08-08,7550,7950,7480,7570,1002792,53331.0,7045100.0
2017-08-09,7520,7580,7160,7210,450579,50795.0,7045100.0
2017-08-10,7230,7380,6840,6970,284292,49104.0,7045100.0
2017-08-11,6890,8650,6770,7870,5612468,55445.0,7045100.0
2017-08-14,7900,7970,7590,7900,1052140,55656.0,7045100.0
2017-08-16,7960,8190,7530,7530,917649,53050.0,7045100.0
2017-08-17,7570,7660,7200,7340,419176,51711.0,7045100.0
2017-08-18,7480,8270,7410,7600,3207664,53543.0,7045100.0
2017-08-21,7730,7970,7520,7550,653038,53191.0,7045100.0
2017-08-22,7680,7840,7310,7500,782685,52838.0,7045100.0
2017-08-23,7640,8100,7570,8050,1429138,56713.0,7045100.0
2017-08-24,7940,8030,7790,7950,497748,56009.0,7045100.0
2017-08-25,8010,8390,7950,8070,1479895,56854.0,7045100.0
2017-08-28,8100,8110,7730,7730,511080,54459.0,7045100.0
2017-08-29,7670,7720,7340,7420,411925,52275.0,7045100.0
2017-08-30,7420,7540,7310,7320,207999,51570.0,7045100.0
2017-08-31,7390,7480,7250,7270,177348,51218.0,7045100.0
2017-09-01,7320,7390,7260,7360,95850,51852.0,7045100.0
2017-09-04,7080,7200,7030,7030,162713,49527.0,7045100.0
2017-09-05,7110,7280,6970,7000,140892,49316.0,7045100.0
2017-09-06,7070,7130,6960,6990,95439,49245.0,7045100.0
2017-09-07,7030,7100,6910,6970,140754,49104.0,7045100.0
2017-09-08,7050,7050,6710,6710,136811,47273.0,7045100.0
2017-09-11,6750,6920,6710,6710,98607,47273.0,7045100.0
2017-09-12,6800,6980,6750,6800,82228,47907.0,7045100.0
2017-09-13,6830,6960,6780,6820,66060,48048.0,7045100.0
2017-09-14,6850,7000,6730,7000,111552,49316.0,7045100.0
2017-09-15,6890,7100,6870,7030,74755,49527.0,7045100.0
2017-09-18,6970,7340,6960,7340,191266,51711.0,7045100.0
2017-09-19,7400,7400,7170,7190,96034,50654.0,7045100.0
2017-09-20,7200,7250,6790,6790,97464,47836.0,7045100.0
2017-09-21,6890,7050,6760,6860,68573,48329.0,7045100.0
2017-09-22,6840,6980,6720,6740,65030,47484.0,7045100.0
2017-09-25,6650,6760,6200,6310,125130,44455.0,7045100.0
2017-09-26,6120,6310,5960,6020,116671,42412.0,7045100.0
2017-09-27,6030,6340,6030,6040,76943,42552.0,7045100.0
2017-09-28,6050,6300,6050,6210,46860,43750.0,7045100.0
2017-09-29,6180,6360,6130,6350,23306,44736.0,7045100.0
2017-10-10,6370,6460,6220,6330,19059,44595.0,7045100.0
2017-10-11,6330,6450,6200,6430,28651,45300.0,7045100.0
2017-10-12,6460,6600,6200,6250,29802,44032.0,7045100.0
2017-10-13,6250,6250,6040,6070,54174,42764.0,7045100.0
2017-10-16,6010,6110,5870,5940,58545,41848.0,7045100.0
2017-10-17,5950,6210,5910,6150,58576,43327.0,7045100.0
2017-10-18,6150,6280,6060,6190,45674,43609.0,7045100.0
2017-10-19,6290,6510,6250,6370,89828,44877.0,7045100.0
2017-10-20,6440,7290,6400,6750,821953,47554.0,7045100.0
2017-10-23,6750,7420,6650,7080,493610,49879.0,7045100.0
2017-10-24,7080,7110,6860,6980,118345,49175.0,7045100.0
2017-10-25,6980,7240,6980,7240,179456,51007.0,7045100.0
2017-10-26,7690,8450,6760,6760,1447656,47625.0,7045100.0
