원일특강(012620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,578,578,578,577,100,2088.0,360000.0
1999-01-05,637,637,637,637,100,2304.0,360000.0
1999-01-06,697,697,697,697,10,2520.0,360000.0
1999-01-07,727,727,727,727,100,2628.0,360000.0
1999-01-08,747,747,747,746,200,2700.0,360000.0
1999-01-11,777,777,777,776,20,2808.0,360000.0
1999-01-12,797,797,797,796,100,2880.0,360000.0
1999-01-13,777,876,777,786,4500,2844.0,360000.0
1999-01-14,797,797,797,796,100,2880.0,360000.0
1999-01-15,807,807,807,806,60,2916.0,360000.0
1999-01-18,812,812,812,811,230,2934.0,360000.0
1999-01-19,817,817,817,816,180,2952.0,360000.0
1999-01-20,822,822,822,821,50,2970.0,360000.0
1999-01-21,827,827,827,826,90,2988.0,360000.0
1999-01-22,757,767,757,766,1360,2772.0,360000.0
1999-01-25,697,697,697,697,30,2520.0,360000.0
1999-01-26,647,647,647,647,0,2860.0,440000.0
1999-01-27,647,725,647,725,2450,3203.0,440000.0
1999-01-28,735,735,735,735,50,3247.0,440000.0
1999-01-29,787,797,787,796,400,3520.0,440000.0
1999-02-01,797,797,797,796,0,3520.0,440000.0
1999-02-02,812,812,812,811,300,3586.0,440000.0
1999-02-03,817,817,817,816,300,3608.0,440000.0
1999-02-04,827,827,827,826,300,3652.0,440000.0
1999-02-05,797,797,797,796,100,3520.0,440000.0
1999-02-08,807,807,807,806,100,3564.0,440000.0
1999-02-09,812,812,812,811,100,3586.0,440000.0
1999-02-10,787,787,787,786,50,3476.0,440000.0
1999-02-11,817,817,817,816,50,3608.0,440000.0
1999-02-12,892,892,892,892,50,3942.0,440000.0
1999-02-18,906,906,866,866,260,3828.0,440000.0
1999-02-19,807,807,777,776,100,3432.0,440000.0
1999-02-22,684,847,684,846,8350,3740.0,440000.0
1999-02-23,948,948,948,948,50,4189.0,440000.0
1999-02-24,1056,1056,1056,1055,100,4664.0,440000.0
1999-02-25,986,986,986,985,50,4356.0,440000.0
1999-02-26,996,996,996,995,100,4400.0,440000.0
1999-03-02,1006,1006,1006,1005,900,4444.0,440000.0
1999-03-03,1046,1046,896,896,1000,3960.0,440000.0
1999-03-04,1001,1001,1001,1000,100,4422.0,440000.0
1999-03-05,1076,1076,1076,1075,100,4752.0,440000.0
1999-03-08,1096,1096,1096,1095,100,4840.0,440000.0
1999-03-09,1046,1046,1046,1045,50,4620.0,440000.0
1999-03-10,1026,1026,1026,1025,150,4532.0,440000.0
1999-03-11,1105,1105,1105,1105,300,4884.0,440000.0
1999-03-12,1115,1115,1115,1115,300,4928.0,440000.0
1999-03-15,1145,1145,1145,1145,140,5060.0,440000.0
1999-03-16,1096,1096,1086,1085,400,4796.0,440000.0
1999-03-17,1155,1155,1155,1155,300,5104.0,440000.0
1999-03-18,1175,1195,1175,1195,420,5280.0,440000.0
1999-03-19,1245,1245,1245,1244,340,5500.0,440000.0
1999-03-22,1195,1195,1195,1195,350,5280.0,440000.0
1999-03-23,1145,1145,1145,1145,0,5060.0,440000.0
1999-03-24,1096,1175,1096,1175,1010,5192.0,440000.0
1999-03-25,1125,1185,1125,1185,650,5236.0,440000.0
1999-03-26,1096,1155,1066,1155,1300,5104.0,440000.0
1999-03-29,1096,1205,1046,1205,1260,5324.0,440000.0
1999-03-30,1205,1205,1205,1205,0,5324.0,440000.0
1999-03-31,1349,1349,1096,1234,1150,5456.0,440000.0
1999-04-01,1245,1295,1245,1294,550,5720.0,440000.0
1999-04-02,1295,1295,1295,1294,0,5720.0,440000.0
1999-04-06,1155,1315,1155,1314,500,5808.0,440000.0
1999-04-07,1265,1464,1165,1364,800,6028.0,440000.0
1999-04-08,1285,1315,1285,1314,400,5808.0,440000.0
1999-04-09,1275,1275,1245,1244,400,5500.0,440000.0
1999-04-12,1195,1394,1195,1354,600,5984.0,440000.0
1999-04-13,1265,1265,1245,1244,350,5500.0,440000.0
1999-04-14,1394,1394,1295,1294,350,5720.0,440000.0
1999-04-15,1245,1449,1245,1449,400,6402.0,440000.0
1999-04-16,1618,1618,1494,1493,900,6600.0,440000.0
1999-04-19,1394,1544,1315,1404,800,6204.0,440000.0
1999-04-20,1384,1444,1245,1444,600,6380.0,440000.0
1999-04-21,1394,1494,1394,1493,2000,6600.0,440000.0
1999-04-22,1394,1613,1345,1543,5300,6820.0,440000.0
1999-04-23,1444,1693,1444,1693,9060,7480.0,440000.0
1999-04-26,1633,1882,1633,1882,8160,8316.0,440000.0
1999-04-27,1892,1992,1892,1991,6700,8800.0,440000.0
1999-04-28,2091,2141,2091,2141,2500,9460.0,440000.0
1999-04-29,2141,2390,2141,2390,3380,10560.0,440000.0
1999-04-30,2589,2674,2540,2539,3450,11220.0,440000.0
1999-05-03,2390,2390,2291,2290,2400,10120.0,440000.0
1999-05-04,2490,2565,2490,2564,9370,11330.0,440000.0
1999-05-06,2689,2689,2589,2689,1750,11880.0,440000.0
1999-05-07,2689,2689,2689,2689,700,11880.0,440000.0
1999-05-10,2689,2689,2490,2489,800,11000.0,440000.0
1999-05-11,2659,2659,2380,2380,2200,10516.0,440000.0
1999-05-12,2191,2360,2191,2360,2000,10428.0,440000.0
1999-05-13,2390,2540,2390,2539,1290,11220.0,440000.0
1999-05-14,2550,2639,2550,2639,9570,11660.0,440000.0
1999-05-17,2639,2639,2639,2639,0,11660.0,440000.0
1999-05-18,2490,2649,2490,2649,50,11704.0,440000.0
1999-05-19,2340,2689,2340,2689,2450,11880.0,440000.0
1999-05-20,2789,2789,2789,2788,50,12320.0,440000.0
1999-05-21,2838,2868,2490,2868,1950,12672.0,440000.0
1999-05-24,2575,2928,2570,2928,2190,12936.0,440000.0
1999-05-25,2878,2888,2878,2888,520,12760.0,440000.0
1999-05-26,2789,2789,2789,2788,0,12320.0,440000.0
1999-05-27,2789,2789,2589,2589,2030,11440.0,440000.0
1999-05-28,2589,2589,2291,2290,2600,10120.0,440000.0
1999-05-31,2191,2191,2022,2021,600,8932.0,440000.0
1999-06-01,1793,2261,1793,2260,11400,9988.0,440000.0
1999-06-02,2261,2261,2261,2260,10000,9988.0,440000.0
1999-06-03,2191,2191,2191,2191,0,9680.0,440000.0
1999-06-04,1992,2002,1992,1991,400,8800.0,440000.0
1999-06-07,1842,2221,1842,2220,15690,9812.0,440000.0
1999-06-08,1972,2221,1972,2220,110,9812.0,440000.0
1999-06-09,1992,1992,1992,1991,100,8800.0,440000.0
1999-06-10,1992,2231,1793,1792,11110,7920.0,440000.0
1999-06-11,1892,2007,1892,2006,14960,8866.0,440000.0
1999-06-14,2007,2246,2007,2245,22730,9922.0,440000.0
1999-06-15,2291,2515,2291,2514,40300,11110.0,440000.0
1999-06-16,2515,2814,2515,2813,29120,12430.0,440000.0
1999-06-17,2988,3147,2988,3147,25130,13904.0,440000.0
1999-06-18,3147,3521,3147,3485,54830,15400.0,440000.0
1999-06-21,3187,3336,3187,3286,11600,14520.0,440000.0
1999-06-22,2988,2988,2893,2893,11270,12782.0,440000.0
1999-06-23,2550,2550,2550,2549,40,11264.0,440000.0
