휴맥스(115160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-11-16,15850,16600,15200,16100,1631153,368467.0,22886157.0
2009-11-17,16200,16350,15100,15200,368130,347870.0,22886157.0
2009-11-18,15350,15600,14500,14900,476349,341004.0,22886157.0
2009-11-19,14950,15200,14450,14950,440734,342148.0,22886157.0
2009-11-20,14850,15600,14800,15300,207212,350158.0,22886157.0
2009-11-23,15450,15900,15150,15900,269160,363890.0,22886157.0
2009-11-24,16000,16000,15450,15450,122923,353591.0,22886157.0
2009-11-25,15350,15900,15350,15900,182392,363890.0,22886157.0
2009-11-26,15850,16000,15600,15900,117231,363890.0,22886157.0
2009-11-27,15550,15850,14700,15000,188053,343292.0,22886157.0
2009-11-30,15200,15500,14800,15500,292868,354735.0,22886157.0
2009-12-01,15300,16050,15150,15950,278325,365034.0,22886157.0
2009-12-02,16000,16350,15800,16300,500110,373044.0,22886157.0
2009-12-03,16300,16450,15950,16300,278131,373044.0,22886157.0
2009-12-04,16150,16750,16100,16250,380282,371900.0,22886157.0
2009-12-07,16400,16700,16200,16350,257890,374189.0,22886157.0
2009-12-08,16400,17100,16300,17000,432777,389065.0,22886157.0
2009-12-09,16700,17550,16650,17400,454741,398219.0,22886157.0
2009-12-10,17500,17550,17150,17400,242119,398219.0,22886157.0
2009-12-11,17500,17500,17050,17250,283025,394786.0,22886157.0
2009-12-14,17250,17800,16950,17700,273110,405085.0,22886157.0
2009-12-15,17650,17750,17300,17550,181222,401652.0,22886157.0
2009-12-16,17300,18100,17300,17850,257119,408518.0,22886157.0
2009-12-17,18100,18150,17750,17950,276104,410807.0,22886157.0
2009-12-18,17700,18550,17650,18500,308084,423394.0,22886157.0
2009-12-21,18600,18750,18150,18500,260892,423394.0,22886157.0
2009-12-22,18500,18500,17700,17800,253368,407374.0,22886157.0
2009-12-23,18000,18400,17750,17900,162695,409662.0,22886157.0
2009-12-24,18000,18050,17550,17550,151958,401652.0,22886157.0
2009-12-28,17600,18200,17600,17800,241045,407374.0,22886157.0
2009-12-29,17650,18250,17650,18050,102220,413095.0,22886157.0
2009-12-30,18250,18700,17700,18500,307162,423394.0,22886157.0
2010-01-04,18800,19300,18750,19250,318577,440559.0,22886157.0
2010-01-05,19500,19500,18850,18850,206996,431404.0,22886157.0
2010-01-06,18650,18900,18250,18500,261561,423394.0,22886157.0
2010-01-07,18550,18800,18250,18650,246234,426827.0,22886157.0
2010-01-08,18800,19100,18200,18500,329590,423394.0,22886157.0
2010-01-11,18500,19200,18300,18300,243953,418817.0,22886157.0
2010-01-12,18300,18450,17650,17750,233847,406229.0,22886157.0
2010-01-13,17700,18200,17700,18000,225225,411951.0,22886157.0
2010-01-14,18000,18050,16550,17650,570325,403941.0,22886157.0
2010-01-15,17800,17850,17050,17700,295773,405085.0,22886157.0
2010-01-18,17900,18600,17750,18400,359125,421105.0,22886157.0
2010-01-19,18550,18700,18200,18600,258439,425683.0,22886157.0
2010-01-20,18550,18600,18000,18000,180596,411951.0,22886157.0
2010-01-21,17700,18200,17700,17850,146119,408518.0,22886157.0
2010-01-22,17650,17950,17400,17750,177196,406229.0,22886157.0
2010-01-25,17250,18400,17250,17950,227273,410807.0,22886157.0
2010-01-26,18000,18100,17300,17500,331974,400508.0,22886157.0
2010-01-27,17850,18250,17500,17750,213007,406229.0,22886157.0
2010-01-28,17850,18100,17550,17800,157289,407374.0,22886157.0
2010-01-29,17550,17900,17150,17800,153304,407374.0,22886157.0
2010-02-01,17800,17800,17350,17500,105689,400508.0,22886157.0
2010-02-02,17700,17750,17250,17300,143700,395931.0,22886157.0
2010-02-03,17400,17500,17150,17200,159542,393642.0,22886157.0
2010-02-04,17250,17250,16700,16700,274148,382199.0,22886157.0
2010-02-05,15900,16300,15700,15950,191674,365034.0,22886157.0
2010-02-08,16000,16250,15650,15650,98107,358168.0,22886157.0
