하나머스트제6호스팩(307160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-30,2020,2040,2020,2030,922890,9318.0,4590000.0
2018-12-03,2035,2040,2035,2040,87382,9364.0,4590000.0
2018-12-04,2035,2040,2020,2030,157286,9318.0,4590000.0
2018-12-05,2020,2030,2020,2030,38232,9318.0,4590000.0
2018-12-06,2025,2030,2020,2025,5577,9295.0,4590000.0
2018-12-07,2030,2030,2020,2025,40046,9295.0,4590000.0
2018-12-10,2030,2040,2020,2035,68408,9341.0,4590000.0
2018-12-11,2025,2040,2015,2020,25210,9272.0,4590000.0
2018-12-12,2010,2045,2010,2040,41207,9364.0,4590000.0
2018-12-13,2040,2045,2035,2045,28624,9387.0,4590000.0
2018-12-14,2040,2060,2040,2060,2451,9455.0,4590000.0
2018-12-17,2055,2055,2050,2050,18159,9410.0,4590000.0
2018-12-18,2020,2050,2020,2050,35622,9410.0,4590000.0
2018-12-19,2035,2045,2035,2045,2,9387.0,4590000.0
2018-12-20,2030,2040,2025,2040,4885,9364.0,4590000.0
2018-12-21,2040,2040,2040,2040,2334,9364.0,4590000.0
2018-12-24,2040,2060,2020,2050,26965,9410.0,4590000.0
2018-12-26,2025,2060,2025,2060,23956,9455.0,4590000.0
2018-12-27,2040,2040,2040,2040,200,9364.0,4590000.0
2018-12-28,2030,2050,2030,2050,430,9410.0,4590000.0
2019-01-02,2030,2030,2030,2030,857,9318.0,4590000.0
2019-01-03,2045,2045,2045,2045,2083,9387.0,4590000.0
2019-01-04,2040,2040,2040,2040,1668,9364.0,4590000.0
2019-01-07,2035,2040,2035,2040,1858,9364.0,4590000.0
2019-01-08,2040,2040,2035,2035,1840,9341.0,4590000.0
2019-01-09,2040,2050,2040,2050,1987,9410.0,4590000.0
2019-01-10,2040,2040,2040,2040,1122,9364.0,4590000.0
2019-01-11,2030,2145,2030,2040,14863,9364.0,4590000.0
2019-01-14,2040,2045,2035,2040,4204,9364.0,4590000.0
2019-01-15,2035,2045,2035,2040,4918,9364.0,4590000.0
2019-01-16,2045,2100,2040,2045,4382,9387.0,4590000.0
2019-01-17,2035,2075,2035,2065,38390,9478.0,4590000.0
2019-01-18,2045,2060,2045,2060,2395,9455.0,4590000.0
2019-01-21,2035,2070,2035,2065,88116,9478.0,4590000.0
2019-01-22,2065,2065,2065,2065,0,9478.0,4590000.0
2019-01-23,2065,2065,2065,2065,0,,
2019-01-24,2065,2065,2065,2065,0,,
2019-01-25,2040,2045,2035,2045,3140,9387.0,4590000.0
2019-01-28,2050,2050,2045,2050,6061,9410.0,4590000.0
2019-01-29,2050,2050,2050,2050,0,9410.0,4590000.0
2019-01-30,2070,2070,2070,2070,500,9501.0,4590000.0
2019-01-31,2070,2070,2060,2060,3,9455.0,4590000.0
2019-02-01,2060,2060,2060,2060,15,9455.0,4590000.0
