스타모빌리티(158310),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-04-03,14000,15000,12800,13050,1639042,55084.0,4221000.0
2013-04-04,13250,15000,12500,15000,865375,63315.0,4221000.0
2013-04-05,15500,15900,14200,14300,767059,60360.0,4221000.0
2013-04-08,14200,14850,13600,13700,306750,57828.0,4221000.0
2013-04-09,13800,14200,13200,13750,135963,58039.0,4221000.0
2013-04-10,13800,14700,13750,14050,187562,59305.0,4221000.0
2013-04-11,14250,14650,13850,14100,130075,59516.0,4221000.0
2013-04-12,14300,14750,14150,14150,100755,59727.0,4221000.0
2013-04-15,14200,14600,14000,14250,75938,60149.0,4221000.0
2013-04-16,14250,14250,13700,14050,77273,59305.0,4221000.0
2013-04-17,14250,16150,13850,16150,191204,68169.0,4221000.0
2013-04-18,15550,16100,15350,15500,334775,65426.0,4221000.0
2013-04-19,16200,16300,15300,15350,223545,64792.0,4221000.0
2013-04-22,15100,15950,14950,15500,91068,65426.0,4221000.0
2013-04-23,15350,17100,15350,15950,187115,67325.0,4221000.0
2013-04-24,16100,16800,15950,16350,98697,69013.0,4221000.0
2013-04-25,16200,16750,15550,15800,53881,66692.0,4221000.0
2013-04-26,15850,16050,15600,15750,25970,66481.0,4221000.0
2013-04-29,16150,16400,15800,16000,57024,67536.0,4221000.0
2013-04-30,15900,16150,14800,15350,72994,64792.0,4221000.0
2013-05-02,15200,15400,14800,15000,43386,63315.0,4221000.0
2013-05-03,14200,16000,13800,15200,345823,64159.0,4221000.0
2013-05-06,15200,15450,14600,14650,75517,61838.0,4221000.0
2013-05-07,14500,14950,14450,14750,68261,62260.0,4221000.0
2013-05-08,14850,15950,14750,15700,93123,66270.0,4221000.0
2013-05-09,15900,15900,15200,15400,51604,65003.0,4221000.0
2013-05-10,15300,15850,15050,15650,77572,66059.0,4221000.0
2013-05-13,15850,15850,15450,15600,24441,65848.0,4221000.0
2013-05-14,15800,15800,14950,15200,60883,64159.0,4221000.0
2013-05-15,15200,16300,14950,15600,148596,65848.0,4221000.0
2013-05-16,15700,16150,15400,15550,128163,65637.0,4221000.0
2013-05-20,15900,16100,15400,15550,66752,65637.0,4221000.0
2013-05-21,15650,16550,15650,16400,157159,69224.0,4221000.0
2013-05-22,16500,18850,16450,18300,567909,77244.0,4221000.0
2013-05-23,18600,19250,18300,18800,159747,79355.0,4221000.0
2013-05-24,18650,19100,18400,19000,57921,80199.0,4221000.0
2013-05-27,18850,19300,18700,19100,61702,80621.0,4221000.0
2013-05-28,19250,20100,18550,19750,186239,83365.0,4221000.0
2013-05-29,19950,21400,19950,20400,163301,86108.0,4221000.0
2013-05-30,20350,20350,18800,19700,95132,83154.0,4221000.0
2013-05-31,19600,20000,19000,19550,74385,82521.0,4221000.0
2013-06-03,19300,19700,19000,19550,50632,82521.0,4221000.0
2013-06-04,19700,19850,18900,19550,50917,82521.0,4221000.0
2013-06-05,19700,20450,19000,20000,72868,84420.0,4221000.0
2013-06-07,20200,20300,18500,19950,72565,84209.0,4221000.0
2013-06-10,19600,20050,19350,19500,31676,82310.0,4221000.0
2013-06-11,19200,19400,18650,19050,61783,80410.0,4221000.0
2013-06-12,18800,19800,18700,18900,30167,79777.0,4221000.0
2013-06-13,18700,19100,17750,17800,76760,75134.0,4221000.0
2013-06-14,18100,18300,16800,16800,58625,70913.0,4221000.0
2013-06-17,16700,17200,16300,16950,60020,71546.0,4221000.0
2013-06-18,17350,17950,16950,17900,38385,75556.0,4221000.0
2013-06-19,18100,18100,16800,17250,43543,72812.0,4221000.0
2013-06-20,17000,17450,16450,16550,21502,69858.0,4221000.0
2013-06-21,15800,16300,15550,16000,48345,67536.0,4221000.0
2013-06-24,16000,16200,15100,15100,34595,63737.0,4221000.0
2013-06-25,14900,15300,13700,14000,117009,59094.0,4221000.0
2013-06-26,14350,14650,13300,14000,81996,59094.0,4221000.0
2013-06-27,14300,14950,14250,14700,68149,62049.0,4221000.0
2013-06-28,15550,16350,15000,15050,186785,63526.0,4221000.0
2013-07-01,15050,15400,14900,15000,47338,63315.0,4221000.0
2013-07-02,15350,15350,14550,14600,50377,61627.0,4221000.0
2013-07-03,14700,15650,14500,14600,100790,61627.0,4221000.0
2013-07-04,14950,15100,14450,15100,47614,63737.0,4221000.0
2013-07-05,15200,15400,14750,14850,22371,62682.0,4221000.0
2013-07-08,14800,14900,13900,13900,51572,58672.0,4221000.0
2013-07-09,14050,14350,13700,14200,39682,59938.0,4221000.0
2013-07-10,14100,14300,13550,14000,37622,59094.0,4221000.0
2013-07-11,14100,14800,14000,14600,76397,61627.0,4221000.0
2013-07-12,14700,14850,14550,14850,36832,62682.0,4221000.0
2013-07-15,14850,14900,14500,14600,30833,61627.0,4221000.0
2013-07-16,14750,15600,14650,15250,104249,64370.0,4221000.0
2013-07-17,15200,15550,14950,15300,42430,64581.0,4221000.0
2013-07-18,15250,15350,14950,15100,31663,63737.0,4221000.0
2013-07-19,15250,15800,14950,14950,65882,63104.0,4221000.0
2013-07-22,14950,15200,14850,15000,29256,63315.0,4221000.0
2013-07-23,15150,15150,14800,14900,27327,62893.0,4221000.0
2013-07-24,15100,15100,14550,14950,46302,63104.0,4221000.0
2013-07-25,15150,15750,15000,15450,95022,65214.0,4221000.0
2013-07-26,15550,15550,14850,14900,70119,62893.0,4221000.0
2013-07-29,14950,15200,14550,14600,44132,61627.0,4221000.0
2013-07-30,14750,14950,14550,14750,31807,62260.0,4221000.0
2013-07-31,14700,14950,14700,14700,29974,62049.0,4221000.0
2013-08-01,14750,14850,14400,14550,35734,61416.0,4221000.0
2013-08-02,14600,14850,14500,14750,24285,62260.0,4221000.0
2013-08-05,14750,15000,14700,14850,31242,62682.0,4221000.0
2013-08-06,14950,14950,14500,14650,28448,61838.0,4221000.0
2013-08-07,14600,14700,14250,14350,38052,60571.0,4221000.0
2013-08-08,14300,14500,14250,14250,22540,60149.0,4221000.0
2013-08-09,14400,14400,14000,14000,32478,59094.0,4221000.0
2013-08-12,14000,14100,13600,13750,42737,58039.0,4221000.0
2013-08-13,13750,13950,13650,13850,24809,58461.0,4221000.0
2013-08-14,13850,15000,13850,14700,107176,62049.0,4221000.0
2013-08-16,14600,14850,14300,14650,40882,61838.0,4221000.0
2013-08-19,14550,14650,14450,14650,21452,61838.0,4221000.0
2013-08-20,14550,14750,14100,14200,26804,59938.0,4221000.0
2013-08-21,14150,14400,13750,14000,25792,59094.0,4221000.0
2013-08-22,13500,13900,13450,13700,27311,57828.0,4221000.0
2013-08-23,13700,14100,13600,13850,22399,58461.0,4221000.0
2013-08-26,13850,14200,13700,13850,12493,58461.0,4221000.0
2013-08-27,13750,13900,13000,13100,42020,55295.0,4221000.0
2013-08-28,12700,13450,12650,13200,33926,55717.0,4221000.0
2013-08-29,13600,13600,13200,13300,11772,56139.0,4221000.0
2013-08-30,13300,13850,13050,13050,16018,55084.0,4221000.0
2013-09-02,13100,13350,13050,13350,13140,56350.0,4221000.0
2013-09-03,13550,13700,13100,13550,17465,57195.0,4221000.0
2013-09-04,13800,13800,13500,13600,7314,57406.0,4221000.0
2013-09-05,13600,13750,13200,13450,22059,56772.0,4221000.0
2013-09-06,13450,13550,13200,13500,13889,56984.0,4221000.0
2013-09-09,13650,13750,13450,13600,14170,57406.0,4221000.0
2013-09-10,13750,13900,13500,13650,18681,57617.0,4221000.0
2013-09-11,13650,14100,13600,13950,13699,58883.0,4221000.0
2013-09-12,14200,14400,13950,13950,35041,58883.0,4221000.0
2013-09-13,13900,14250,13900,14100,11955,59516.0,4221000.0
2013-09-16,14000,14150,13700,14000,7085,59094.0,4221000.0
2013-09-17,14300,14300,13800,13800,6903,58250.0,4221000.0
2013-09-23,14150,14150,13800,13950,3469,58883.0,4221000.0
2013-09-24,14000,14000,13650,13700,6199,57828.0,4221000.0
2013-09-25,13550,13700,13350,13450,18608,56772.0,4221000.0
2013-09-26,13500,13900,13500,13750,7601,58039.0,4221000.0
2013-09-27,13650,14000,13650,13750,5787,58039.0,4221000.0
2013-09-30,13950,13950,13650,13750,6812,58039.0,4221000.0
2013-10-01,13700,13800,13350,13600,12671,57406.0,4221000.0
2013-10-02,13600,13750,13450,13600,4411,57406.0,4221000.0
2013-10-04,13600,13600,13200,13500,12367,56984.0,4221000.0
2013-10-07,13550,14000,13400,13600,9575,57406.0,4221000.0
2013-10-08,13650,13650,13100,13500,15245,56984.0,4221000.0
2013-10-10,13550,13550,13300,13500,9854,56984.0,4221000.0
