유안타제3호스팩(287410),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-05-08,1980,1990,1955,1980,84852,8385.0,4235000.0
2018-05-09,1980,1990,1970,1980,124717,8385.0,4235000.0
2018-05-10,1980,1990,1975,1990,45704,8428.0,4235000.0
2018-05-11,1990,1990,1985,1985,10802,8406.0,4235000.0
2018-05-14,1990,1990,1985,1985,3666,8406.0,4235000.0
2018-05-15,1990,1990,1985,1985,8207,8406.0,4235000.0
2018-05-16,1990,1990,1985,1985,3880,8406.0,4235000.0
2018-05-17,1985,1990,1985,1985,5637,8406.0,4235000.0
2018-05-18,1985,1990,1985,1985,33098,8406.0,4235000.0
2018-05-21,1990,1990,1985,1990,16473,8428.0,4235000.0
2018-05-23,1990,1995,1985,1995,58729,8449.0,4235000.0
2018-05-24,2000,2000,1995,2000,11098,8470.0,4235000.0
2018-05-25,2000,2005,1990,2005,33125,8491.0,4235000.0
2018-05-28,2010,2020,2005,2015,13638,8534.0,4235000.0
2018-05-29,2020,2020,2005,2005,7188,8491.0,4235000.0
2018-05-30,2035,2040,2000,2000,8817,8470.0,4235000.0
2018-05-31,2035,2035,2005,2025,2454,8576.0,4235000.0
2018-06-01,2025,2030,2015,2015,21271,8534.0,4235000.0
2018-06-04,2040,2040,2015,2035,763,8618.0,4235000.0
2018-06-05,2035,2035,2030,2035,475666,8618.0,4235000.0
2018-06-07,2035,2040,2030,2040,2892,8639.0,4235000.0
2018-06-08,2040,2040,2035,2035,1853,8618.0,4235000.0
2018-06-11,2035,2040,2000,2030,42578,8597.0,4235000.0
2018-06-12,2030,2035,2005,2005,43604,8491.0,4235000.0
2018-06-14,2005,2010,2005,2010,49626,8512.0,4235000.0
2018-06-15,2000,2005,2000,2005,12231,8491.0,4235000.0
2018-06-18,2010,2010,2005,2005,14986,8491.0,4235000.0
2018-06-19,2015,2015,2005,2010,24193,8512.0,4235000.0
2018-06-20,2010,2010,2000,2000,10594,8470.0,4235000.0
2018-06-21,2005,2010,2005,2010,15514,8512.0,4235000.0
2018-06-22,2005,2010,2005,2010,17770,8512.0,4235000.0
2018-06-25,2005,2020,2005,2005,15903,8491.0,4235000.0
2018-06-26,2005,2005,2005,2005,21012,8491.0,4235000.0
2018-06-27,2005,2020,2005,2015,82794,8534.0,4235000.0
2018-06-28,2010,2020,2005,2010,27303,8512.0,4235000.0
2018-06-29,2010,2010,2005,2005,10000,8491.0,4235000.0
2018-07-02,2005,2015,2005,2015,36936,8534.0,4235000.0
2018-07-03,2010,2025,2005,2005,22268,8491.0,4235000.0
2018-07-04,2005,2025,2005,2015,16885,8534.0,4235000.0
2018-07-05,2005,2015,2005,2015,13751,8534.0,4235000.0
2018-07-06,2010,2025,2010,2020,30866,8555.0,4235000.0
2018-07-09,2010,2010,2010,2010,7000,8512.0,4235000.0
2018-07-10,2025,2025,2010,2020,10615,8555.0,4235000.0
2018-07-11,2025,2030,2020,2030,7467,8597.0,4235000.0
2018-07-12,2030,2030,2030,2030,9,8597.0,4235000.0
2018-07-13,2030,2040,2025,2040,9501,8639.0,4235000.0
2018-07-16,2020,2040,2020,2040,12516,8639.0,4235000.0
2018-07-17,2030,2040,2030,2040,72,8639.0,4235000.0
2018-07-18,2030,2030,2030,2030,7454,8597.0,4235000.0
2018-07-19,2040,2040,2030,2030,9973,8597.0,4235000.0
2018-07-20,2040,2040,2030,2035,9027,8618.0,4235000.0
2018-07-23,2025,2035,2025,2035,542,8618.0,4235000.0
2018-07-24,2035,2035,2030,2030,501,8597.0,4235000.0
2018-07-25,2025,2025,2025,2025,807,8576.0,4235000.0
2018-07-26,2045,2045,2045,2045,1,8661.0,4235000.0
2018-07-27,2030,2030,2030,2030,2500,8597.0,4235000.0
2018-07-30,2030,2040,2030,2035,22,8618.0,4235000.0
2018-07-31,2040,2040,2025,2040,3,8639.0,4235000.0
