에이테크솔루션(071670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-04-17,10800,12400,10800,12400,26425,124000.0,10000000.0
2009-04-20,14250,14250,12500,12500,2599821,125000.0,10000000.0
2009-04-21,11550,12300,10650,10650,1576685,106500.0,10000000.0
2009-04-22,10900,12150,10000,11500,1888969,115000.0,10000000.0
2009-04-23,11850,11950,10550,10750,760600,107500.0,10000000.0
2009-04-24,10800,11500,10050,10200,751484,102000.0,10000000.0
2009-04-27,10350,10500,8700,8750,890408,87500.0,10000000.0
2009-04-28,8700,8700,7610,7730,826963,77300.0,10000000.0
2009-04-29,7820,8800,7610,8570,1404906,85700.0,10000000.0
2009-04-30,8480,8530,8100,8300,673933,83000.0,10000000.0
2009-05-04,8520,9540,8500,8920,1095253,89200.0,10000000.0
2009-05-06,9450,10250,9400,10250,1586895,102500.0,10000000.0
2009-05-07,10250,10950,9810,10500,1384275,105000.0,10000000.0
2009-05-08,10300,10550,10000,10450,374111,104500.0,10000000.0
2009-05-11,10600,10650,10000,10000,502526,100000.0,10000000.0
2009-05-12,9750,9880,9450,9650,365469,96500.0,10000000.0
2009-05-13,9610,10100,9610,9950,343938,99500.0,10000000.0
2009-05-14,9700,9930,9650,9720,171146,97200.0,10000000.0
2009-05-15,9900,9910,9550,9630,216547,96300.0,10000000.0
2009-05-18,9500,9510,8930,9230,318232,92300.0,10000000.0
2009-05-19,9470,9780,9280,9400,295697,94000.0,10000000.0
2009-05-20,9450,9730,9110,9680,280439,96800.0,10000000.0
2009-05-21,9880,11100,9850,10850,1994999,108500.0,10000000.0
2009-05-22,10700,11550,10500,10500,1063881,105000.0,10000000.0
2009-05-25,10700,11200,9000,10150,963486,101500.0,10000000.0
2009-05-26,10100,10650,9550,9800,586731,98000.0,10000000.0
2009-05-27,10200,10800,9920,10100,786088,101000.0,10000000.0
2009-05-28,9910,10400,9150,9800,471510,98000.0,10000000.0
2009-05-29,10000,10000,9420,9450,226719,94500.0,10000000.0
2009-06-01,9470,10100,9110,10000,312727,100000.0,10000000.0
2009-06-02,10200,10600,9940,10050,559859,100500.0,10000000.0
2009-06-03,10200,10700,9840,10600,722590,106000.0,10000000.0
2009-06-04,10650,10750,9990,9990,330038,99900.0,10000000.0
2009-06-05,10200,10250,9730,9850,277812,98500.0,10000000.0
2009-06-08,9750,10100,9620,9700,173529,97000.0,10000000.0
2009-06-09,9650,9830,9260,9340,224384,93400.0,10000000.0
2009-06-10,9470,9470,9160,9400,126177,94000.0,10000000.0
2009-06-11,9440,9690,9350,9500,79547,95000.0,10000000.0
2009-06-12,9600,9750,9260,9650,82069,96500.0,10000000.0
2009-06-15,9600,9630,9300,9340,67133,93400.0,10000000.0
2009-06-16,9200,9400,9170,9300,89887,93000.0,10000000.0
2009-06-17,9170,9340,8980,9150,114865,91500.0,10000000.0
2009-06-18,9230,9360,8950,8950,98261,89500.0,10000000.0
2009-06-19,9100,9120,8570,8570,159788,85700.0,10000000.0
2009-06-22,8740,8840,8530,8700,69698,87000.0,10000000.0
2009-06-23,8520,8620,7830,8220,143177,82200.0,10000000.0
2009-06-24,8000,8300,7860,8250,130178,82500.0,10000000.0
2009-06-25,8350,8840,8100,8740,115599,87400.0,10000000.0
2009-06-26,8880,8880,8400,8600,66126,86000.0,10000000.0
2009-06-29,8400,8650,8100,8200,67687,82000.0,10000000.0
2009-06-30,8410,8410,8020,8260,57637,82600.0,10000000.0
2009-07-01,8150,8620,8150,8500,56035,85000.0,10000000.0
2009-07-02,8550,8590,8360,8400,46027,84000.0,10000000.0
2009-07-03,8200,8480,8200,8450,46965,84500.0,10000000.0
2009-07-06,8410,8800,8130,8650,59062,86500.0,10000000.0
2009-07-07,8890,8890,8620,8710,52438,87100.0,10000000.0
2009-07-08,8700,8700,8300,8300,40987,83000.0,10000000.0
2009-07-09,8300,8480,8270,8320,34658,83200.0,10000000.0
2009-07-10,8350,8410,8220,8300,48081,83000.0,10000000.0
2009-07-13,8270,8420,8000,8000,32057,80000.0,10000000.0
2009-07-14,8070,8230,7900,8020,44169,80200.0,10000000.0
2009-07-15,8340,9170,8340,8530,386069,85300.0,10000000.0
2009-07-16,8630,8630,8270,8360,84367,83600.0,10000000.0
2009-07-17,8500,8500,8200,8230,46578,82300.0,10000000.0
2009-07-20,8280,8450,8250,8350,50402,83500.0,10000000.0
2009-07-21,8480,8480,8210,8300,57548,83000.0,10000000.0
2009-07-22,8310,8400,8170,8290,52862,82900.0,10000000.0
2009-07-23,8240,8440,8210,8400,46206,84000.0,10000000.0
2009-07-24,8400,8610,8400,8450,46760,84500.0,10000000.0
2009-07-27,8450,8780,8450,8780,94249,87800.0,10000000.0
2009-07-28,8830,8830,8610,8680,57598,86800.0,10000000.0
2009-07-29,8610,8690,8500,8610,72436,86100.0,10000000.0
2009-07-30,8470,8600,8400,8470,47847,84700.0,10000000.0
2009-07-31,8490,8610,8490,8540,49196,85400.0,10000000.0
2009-08-03,8560,8700,8540,8620,57080,86200.0,10000000.0
2009-08-04,8770,8770,8400,8400,48019,84000.0,10000000.0
2009-08-05,8400,8570,8350,8400,57773,84000.0,10000000.0
2009-08-06,8320,8540,8320,8430,45755,84300.0,10000000.0
2009-08-07,8460,8600,8390,8400,44353,84000.0,10000000.0
2009-08-10,8620,8870,8440,8800,160864,88000.0,10000000.0
2009-08-11,8800,9450,8760,9250,248221,92500.0,10000000.0
2009-08-12,9340,9410,9140,9300,99448,93000.0,10000000.0
2009-08-13,9220,9290,8950,9240,160959,92400.0,10000000.0
2009-08-14,9390,9550,7860,9270,268142,92700.0,10000000.0
2009-08-17,9380,9450,8800,8900,195446,89000.0,10000000.0
2009-08-18,8800,9520,8700,9520,297156,95200.0,10000000.0
2009-08-19,10000,10850,9870,10400,1165992,104000.0,10000000.0
2009-08-20,10550,11500,10050,11350,2022653,113500.0,10000000.0
2009-08-21,11550,11700,10700,10850,513486,108500.0,10000000.0
2009-08-24,11150,11750,10750,11400,480028,114000.0,10000000.0
2009-08-25,11300,12750,11100,12300,1141798,123000.0,10000000.0
2009-08-26,12300,12600,11200,11850,310217,118500.0,10000000.0
2009-08-27,12500,13600,10950,11000,1649339,110000.0,10000000.0
2009-08-28,11350,12650,11050,12650,1051774,126500.0,10000000.0
2009-08-31,13000,13300,12350,12800,1239528,128000.0,10000000.0
2009-09-01,13100,13850,12900,13250,828955,132500.0,10000000.0
2009-09-02,12900,15100,12800,14550,1239103,145500.0,10000000.0
2009-09-03,14700,16650,14600,15600,1123872,156000.0,10000000.0
2009-09-04,15950,16450,15300,16200,701912,162000.0,10000000.0
2009-09-07,16400,17400,15500,16800,585365,168000.0,10000000.0
2009-09-08,17000,18450,16000,16550,972258,165500.0,10000000.0
2009-09-09,16750,17450,16250,17050,434456,170500.0,10000000.0
2009-09-10,17500,18100,16900,17500,327382,175000.0,10000000.0
2009-09-11,17700,18150,16150,17000,383289,170000.0,10000000.0
2009-09-14,16700,16850,15200,15200,462462,152000.0,10000000.0
2009-09-15,15550,16050,14550,16050,649974,160500.0,10000000.0
2009-09-16,16300,17300,15950,16500,479790,165000.0,10000000.0
2009-09-17,16500,16500,15500,15800,427682,158000.0,10000000.0
2009-09-18,15800,15800,15000,15600,260112,156000.0,10000000.0
2009-09-21,15600,15850,15100,15450,131562,154500.0,10000000.0
2009-09-22,15450,16650,15450,16500,335716,165000.0,10000000.0
2009-09-23,16750,16850,15900,16550,166629,165500.0,10000000.0
2009-09-24,16600,16600,15500,16300,172080,163000.0,10000000.0
2009-09-25,16300,16500,15800,16500,131913,165000.0,10000000.0
