디바이스이엔지(187870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-12-20,10800,14000,10600,12100,6467635,82062.0,6782000.0
2017-12-21,11550,11950,10500,10600,1305109,71889.0,6782000.0
2017-12-22,10300,11250,9650,9960,1040672,67549.0,6782000.0
2017-12-26,10150,10350,9410,9410,481185,63819.0,6782000.0
2017-12-27,9540,11650,9470,9750,5397011,66124.0,6782000.0
2017-12-28,9880,10600,9780,10050,912331,68159.0,6782000.0
2018-01-02,10350,11100,10200,10850,712519,73585.0,6782000.0
2018-01-03,10950,12700,10850,12000,1058079,81384.0,6782000.0
2018-01-04,12450,12650,11750,12050,454673,81723.0,6782000.0
2018-01-05,12100,12250,11600,12050,339220,81723.0,6782000.0
2018-01-08,12000,12100,11250,11350,315705,76976.0,6782000.0
2018-01-09,11400,12000,11350,11900,229828,80706.0,6782000.0
2018-01-10,11850,12350,11650,11900,209436,80706.0,6782000.0
2018-01-11,11900,12650,11700,12300,349532,83419.0,6782000.0
2018-01-12,12350,13200,11400,11650,546170,79010.0,6782000.0
2018-01-15,11700,12100,11450,11650,198531,79010.0,6782000.0
2018-01-16,11650,12500,11550,12450,280631,84436.0,6782000.0
2018-01-17,12450,12950,12150,12650,205532,85792.0,6782000.0
2018-01-18,12750,13600,12550,12800,389125,86810.0,6782000.0
2018-01-19,12800,14200,12550,13900,651603,94270.0,6782000.0
2018-01-22,14450,14450,13350,13450,295158,91218.0,6782000.0
2018-01-23,13350,13750,12700,13350,244365,90540.0,6782000.0
2018-01-24,13450,13450,12650,12900,246003,87488.0,6782000.0
2018-01-25,13000,13000,12450,12550,199891,85114.0,6782000.0
2018-01-26,12600,14050,12600,13400,458563,90879.0,6782000.0
2018-01-29,13650,15000,13500,14450,766481,98000.0,6782000.0
2018-01-30,14300,14950,14000,14050,410410,95287.0,6782000.0
2018-01-31,13800,14200,13650,13700,133466,92913.0,6782000.0
2018-02-01,13700,14050,13450,13700,117090,92913.0,6782000.0
2018-02-02,13650,13800,12900,13000,261026,88166.0,6782000.0
2018-02-05,12450,12700,12150,12350,173155,83758.0,6782000.0
2018-02-06,11700,12300,11100,11900,210640,80706.0,6782000.0
2018-02-07,12300,12600,11500,11600,209023,78671.0,6782000.0
2018-02-08,11600,12000,11550,11900,78988,80706.0,6782000.0
2018-02-09,11500,11850,11200,11600,89943,78671.0,6782000.0
2018-02-12,11700,11700,11150,11300,91137,76637.0,6782000.0
2018-02-13,11400,11450,10600,10800,182499,73246.0,6782000.0
2018-02-14,10800,11250,10750,11100,36907,75280.0,6782000.0
2018-02-19,11300,12050,11200,11750,124218,79688.0,6782000.0
2018-02-20,11750,11900,11450,11600,47509,78671.0,6782000.0
2018-02-21,11500,12500,11450,12200,129842,82740.0,6782000.0
2018-02-22,12400,12400,11800,12000,50979,81384.0,6782000.0
2018-02-23,11950,12350,11750,11900,51755,80706.0,6782000.0
2018-02-26,12000,12250,11750,11800,44784,80028.0,6782000.0
