플랜티넷(075130),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-06-10,28000,32200,23800,23800,644979,198870.0,4177948.0
2005-06-13,21000,22150,20250,20250,162017,169207.0,4177948.0
2005-06-14,18900,19700,18325,19350,403409,161687.0,4177948.0
2005-06-15,19725,20175,19000,19200,255328,160433.0,4177948.0
2005-06-16,19200,19925,18675,19575,183668,163567.0,4177948.0
2005-06-17,19575,19950,18825,18825,98633,157300.0,4177948.0
2005-06-20,19000,19100,17550,17550,103542,146646.0,4177948.0
2005-06-21,17350,17850,16800,17250,100879,144139.0,4177948.0
2005-06-22,17125,17775,17100,17350,69555,144975.0,4177948.0
2005-06-23,17850,18450,17200,18150,157448,151660.0,4177948.0
2005-06-24,17750,18400,17600,18350,65112,153331.0,4177948.0
2005-06-27,18150,19075,17800,18700,92259,156255.0,4177948.0
2005-06-28,18500,18800,18250,18300,50786,163968.0,4480000.0
2005-06-29,18150,18650,17850,18150,35848,162624.0,4480000.0
2005-06-30,17925,18775,17925,18650,78734,167104.0,4480000.0
2005-07-01,18500,19550,18500,19400,91630,173824.0,4480000.0
2005-07-04,19125,20350,19125,19400,94501,173824.0,4480000.0
2005-07-05,19400,19850,19225,19550,49200,175168.0,4480000.0
2005-07-06,19825,19825,19225,19500,44607,174720.0,4480000.0
2005-07-07,19425,22250,19425,21150,306289,189504.0,4480000.0
2005-07-08,21150,22125,20750,21500,147386,192640.0,4480000.0
2005-07-11,22300,22350,20875,21500,229103,192640.0,4480000.0
2005-07-12,21250,23450,20750,22500,216967,201600.0,4480000.0
2005-07-13,23800,24500,22775,22775,161841,204064.0,4480000.0
2005-07-14,22775,23575,22650,23275,123000,208544.0,4480000.0
2005-07-15,23500,24050,23000,24050,198111,215488.0,4480000.0
2005-07-18,24750,25500,24575,24900,166567,223104.0,4480000.0
2005-07-19,25500,25500,24900,25050,77139,224448.0,4480000.0
2005-07-20,25000,25200,21400,24450,125323,219072.0,4480000.0
2005-07-21,24150,24750,22750,22800,76717,204288.0,4480000.0
2005-07-22,22525,23950,21350,23950,117493,214592.0,4480000.0
2005-07-25,23550,24900,23550,24200,129146,216832.0,4480000.0
2005-07-26,24200,24200,23575,23850,46847,213696.0,4480000.0
2005-07-27,23800,23850,23000,23250,60155,208320.0,4480000.0
2005-07-28,23025,25450,22850,25000,172119,224000.0,4480000.0
2005-07-29,25600,25650,24950,25000,115181,224000.0,4480000.0
2005-08-01,26250,27550,25500,27000,203405,241920.0,4480000.0
2005-08-02,27300,27400,26300,26300,74670,235648.0,4480000.0
2005-08-03,26650,26650,25100,25250,92328,226240.0,4480000.0
2005-08-04,25000,25700,24275,25250,101387,226240.0,4480000.0
2005-08-05,24550,25700,24525,25500,70176,228480.0,4480000.0
2005-08-08,25250,26200,24775,24775,69469,221984.0,4480000.0
2005-08-09,24775,25550,24450,25350,58048,227136.0,4480000.0
2005-08-10,26000,26050,24850,24950,69102,223552.0,4480000.0
2005-08-11,24750,25050,24000,24650,83678,220864.0,4480000.0
2005-08-12,24000,24000,21900,22900,210557,205184.0,4480000.0
2005-08-16,23275,23400,22825,22900,99494,205184.0,4480000.0
2005-08-17,22950,24175,22900,24000,96911,215040.0,4480000.0
2005-08-18,23750,24650,23750,24000,55515,215040.0,4480000.0
2005-08-19,23800,24250,23225,23850,46671,213696.0,4480000.0
2005-08-22,23850,25150,23600,25000,72320,224000.0,4480000.0
2005-08-23,25000,25300,24250,24650,62223,220864.0,4480000.0
2005-08-24,24500,24650,23750,23750,34571,212800.0,4480000.0
2005-08-25,23350,24500,23350,24150,36196,216384.0,4480000.0
2005-08-26,24200,24450,23050,23100,55180,206976.0,4480000.0
2005-08-29,23000,23100,21250,21500,66765,192640.0,4480000.0
2005-08-30,21850,22075,21250,21525,36117,192864.0,4480000.0
2005-08-31,21050,21725,20250,20850,66651,186816.0,4480000.0
2005-09-01,21150,21650,20500,20850,57999,186816.0,4480000.0
2005-09-02,20750,21675,20750,21000,71808,188160.0,4480000.0
2005-09-05,21125,21775,21125,21475,66064,192416.0,4480000.0
2005-09-06,21700,21700,20500,20950,80282,187712.0,4480000.0
2005-09-07,21400,22250,21100,22250,107708,199360.0,4480000.0
2005-09-08,22200,22300,21525,21900,47156,196224.0,4480000.0
2005-09-09,21625,22275,21600,22000,42212,197120.0,4480000.0
2005-09-12,22475,23425,22400,23200,44420,207872.0,4480000.0
2005-09-13,23250,24150,23100,23750,74733,212800.0,4480000.0
2005-09-14,23750,24925,23675,24825,116215,222432.0,4480000.0
2005-09-15,25100,25250,24300,24500,55822,219520.0,4480000.0
2005-09-16,24675,25000,24250,24500,31824,219520.0,4480000.0
2005-09-20,25000,25050,23800,23800,48938,213248.0,4480000.0
2005-09-21,23600,24175,23300,24000,42441,215040.0,4480000.0
2005-09-22,24050,24650,23900,24050,51339,215488.0,4480000.0
2005-09-23,24300,24900,23800,24650,52764,220864.0,4480000.0
2005-09-26,24900,25650,24650,24950,86508,223552.0,4480000.0
2005-09-27,25050,26100,25050,25700,98631,230272.0,4480000.0
2005-09-28,25900,27950,25900,27850,174384,249536.0,4480000.0
2005-09-29,28350,32000,27800,30800,219269,275968.0,4480000.0
2005-09-30,32850,33950,31300,32850,234327,294336.0,4480000.0
2005-10-04,32800,34150,32750,33100,114268,296576.0,4480000.0
2005-10-05,32850,36750,32850,36000,145505,322560.0,4480000.0
2005-10-06,36500,36800,35500,36100,56256,323456.0,4480000.0
2005-10-07,35550,35750,34350,34450,109331,308672.0,4480000.0
2005-10-10,34000,34350,32500,33350,102937,298816.0,4480000.0
2005-10-11,33100,34300,32750,33650,57709,301504.0,4480000.0
2005-10-12,33500,33850,31100,31300,96178,280448.0,4480000.0
2005-10-13,31050,31300,29700,30450,95555,272832.0,4480000.0
2005-10-14,30450,31300,29650,31150,81165,279104.0,4480000.0
2005-10-17,32000,32550,31050,31050,82636,278208.0,4480000.0
2005-10-18,30750,31700,30400,31700,63557,284032.0,4480000.0
2005-10-19,31600,31850,30150,30600,71029,274176.0,4480000.0
2005-10-20,30600,30850,29150,29200,70037,261632.0,4480000.0
2005-10-21,28650,30000,27900,30000,87928,268800.0,4480000.0
2005-10-24,29600,31400,29600,31000,70195,277760.0,4480000.0
