대한과학(131220),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-10-11,4376,5031,3930,5031,5135987,31825.0,5525130.0
2011-10-12,5781,5781,5764,5783,210836,36576.0,5525130.0
2011-10-13,6646,6646,6288,6647,796680,42046.0,5525130.0
2011-10-14,6646,7642,6620,7643,3153619,48345.0,5525130.0
2011-10-17,8778,8778,7790,8324,2454069,52654.0,5525130.0
2011-10-18,8123,9171,7091,7093,4652748,44864.0,5525130.0
2011-10-19,7293,8053,7004,7599,3621654,48069.0,5525130.0
2011-10-20,7642,8734,7599,7905,3503374,50002.0,5525130.0
2011-10-21,8053,8821,7589,7591,2539583,48013.0,5525130.0
2011-10-24,7904,8035,6960,7119,1651633,45030.0,5525130.0
2011-10-25,7118,7118,6638,6708,1172960,42433.0,5525130.0
2011-10-26,6742,7162,6489,6507,1774068,41162.0,5525130.0
2011-10-27,6638,6803,5764,6001,904345,37958.0,5525130.0
2011-10-28,6131,6131,5266,5424,747427,34311.0,5525130.0
2011-10-31,5502,5747,5380,5529,503925,34974.0,5525130.0
2011-11-01,5441,5650,5301,5372,329139,33980.0,5525130.0
2011-11-02,5170,5188,4777,5013,394153,31714.0,5525130.0
2011-11-03,5231,5764,4934,5765,1245266,36466.0,5525130.0
2011-11-04,6053,6069,5511,5547,1380370,35085.0,5525130.0
2011-11-07,5607,5764,5467,5730,556675,36245.0,5525130.0
2011-11-08,5781,5791,5257,5267,480732,33317.0,5525130.0
2011-11-09,5327,5537,5170,5285,248128,33427.0,5525130.0
2011-11-10,5179,5179,4812,4979,242856,31493.0,5525130.0
2011-11-11,5100,5545,5021,5267,421840,33317.0,5525130.0
2011-11-14,5476,5476,5231,5275,171012,33372.0,5525130.0
2011-11-15,5293,5467,5162,5267,231592,33317.0,5525130.0
2011-11-16,5310,5432,5004,5031,171576,31825.0,5525130.0
2011-11-17,5170,5179,4987,5101,107506,32267.0,5525130.0
2011-11-18,4978,5065,4882,5049,127065,31935.0,5525130.0
2011-11-21,4995,5065,4812,4848,89293,30664.0,5525130.0
2011-11-22,4707,4969,4681,4848,95208,30664.0,5525130.0
2011-11-23,4847,4890,4523,4612,105416,29173.0,5525130.0
2011-11-24,4454,4690,4428,4516,58298,28565.0,5525130.0
2011-11-25,4523,5188,4362,5188,288238,32819.0,5525130.0
2011-11-28,5817,5965,5773,5966,274381,37737.0,5525130.0
2011-11-29,6262,6288,5502,5730,1586285,36245.0,5525130.0
2011-11-30,5676,6000,5424,5608,897305,35471.0,5525130.0
2011-12-01,5764,6446,5686,6281,2012705,39726.0,5525130.0
2011-12-02,6472,6900,6131,6533,1422797,41328.0,5525130.0
2011-12-05,6515,6751,6375,6438,724554,40720.0,5525130.0
2011-12-06,6341,6507,5965,5992,452227,37902.0,5525130.0
2011-12-07,6113,6454,5991,6394,635845,40444.0,5525130.0
2011-12-08,6367,6524,6253,6289,414766,39781.0,5525130.0
2011-12-09,6210,6236,5851,6088,250613,38510.0,5525130.0
2011-12-12,6122,6698,6122,6507,499718,41162.0,5525130.0
2011-12-13,6550,6970,5974,6368,1094659,40278.0,5525130.0
2011-12-14,6375,6419,6184,6193,234801,39173.0,5525130.0
2011-12-15,6140,6349,6026,6184,170725,39118.0,5525130.0
2011-12-16,6200,6638,6200,6586,232141,41659.0,5525130.0
2011-12-19,6498,6585,5694,6009,262382,38013.0,5525130.0
2011-12-20,6148,6533,6053,6507,222080,41162.0,5525130.0
2011-12-21,6515,6934,6480,6865,772821,43428.0,5525130.0
2011-12-22,7887,7887,7887,7887,300840,49892.0,5525130.0
2011-12-23,8393,8472,7135,7136,1456157,45140.0,5525130.0
2011-12-26,7135,7353,6978,7346,425718,46466.0,5525130.0
2011-12-27,7353,7468,6786,6787,389433,42930.0,5525130.0
2011-12-28,6970,7101,6873,7049,158406,44588.0,5525130.0
2011-12-29,6996,6996,6742,6778,134561,42875.0,5525130.0
2012-01-02,6777,7188,6672,6839,224484,43262.0,5525130.0
2012-01-03,6856,6987,6646,6743,133225,42654.0,5525130.0
2012-01-04,6821,6900,6682,6726,166448,42544.0,5525130.0
2012-01-05,6751,6847,6419,6438,195313,40720.0,5525130.0
2012-01-06,6419,6419,6218,6324,157250,40002.0,5525130.0
2012-01-09,6358,6358,6157,6166,75006,39007.0,5525130.0
2012-01-10,6210,6323,6061,6263,95092,39615.0,5525130.0
2012-01-11,6271,7196,6210,6551,1045223,41438.0,5525130.0
2012-01-12,6480,6550,6218,6263,253934,39615.0,5525130.0
2012-01-13,6262,6305,6131,6132,118739,38786.0,5525130.0
2012-01-16,6131,6174,5922,6027,124685,38123.0,5525130.0
2012-01-17,6026,6140,6000,6088,98031,38510.0,5525130.0
2012-01-18,6122,6305,6053,6053,131952,38289.0,5525130.0
2012-01-19,6079,6174,6000,6009,99321,38013.0,5525130.0
2012-01-20,6472,6533,6017,6045,338330,38234.0,5525130.0
2012-01-25,6331,6331,6053,6062,60656,38344.0,5525130.0
2012-01-26,6105,6184,6043,6071,69694,38400.0,5525130.0
2012-01-27,6026,6105,5938,6045,83110,38234.0,5525130.0
2012-01-30,6009,6035,5807,5809,60061,36742.0,5525130.0
2012-01-31,5729,5938,5729,5809,42836,36742.0,5525130.0
2012-02-01,5851,5895,5773,5826,64311,36853.0,5525130.0
2012-02-02,5851,5886,5773,5773,55947,36521.0,5525130.0
2012-02-03,5781,5938,5781,5870,73639,37129.0,5525130.0
2012-02-06,6035,6384,5991,6027,241085,38123.0,5525130.0
2012-02-07,6026,6087,5938,5983,81055,37847.0,5525130.0
2012-02-08,5982,6069,5860,5878,77497,37184.0,5525130.0
2012-02-09,5878,6113,5869,6088,100699,38510.0,5525130.0
2012-02-10,6105,6113,5869,5904,111072,37350.0,5525130.0
2012-02-13,5904,6009,5886,5975,81955,37792.0,5525130.0
2012-02-14,6053,6305,5948,6106,240315,38621.0,5525130.0
2012-02-15,6131,6305,6105,6271,123495,39670.0,5525130.0
2012-02-16,6218,6463,6192,6263,169254,39615.0,5525130.0
2012-02-17,6305,6349,6079,6193,142143,39173.0,5525130.0
2012-02-20,6227,6227,6043,6158,74730,38952.0,5525130.0
2012-02-21,6227,6821,6157,6402,819968,40499.0,5525130.0
2012-02-22,6375,6436,6192,6289,123161,39781.0,5525130.0
2012-02-23,6331,6524,6192,6333,112019,40057.0,5525130.0
2012-02-24,6402,6567,6384,6455,120778,40831.0,5525130.0
2012-02-27,6428,6725,6402,6656,181353,42101.0,5525130.0
2012-02-28,6682,6856,6507,6507,135468,41162.0,5525130.0
2012-02-29,6515,6594,6393,6420,99215,40610.0,5525130.0
2012-03-02,6402,6734,6358,6420,133520,40610.0,5525130.0
2012-03-05,6498,6524,6262,6263,95240,39615.0,5525130.0
2012-03-06,6297,6358,5922,6009,115502,38013.0,5525130.0
2012-03-07,5938,6184,5851,6009,46184,38013.0,5525130.0
2012-03-08,5930,6184,5930,5975,58170,37792.0,5525130.0
2012-03-09,5974,6053,5922,6001,35079,37958.0,5525130.0
2012-03-12,6087,6105,5982,6018,56077,38068.0,5525130.0
2012-03-13,6017,6323,6000,6158,160483,38952.0,5525130.0
2012-03-14,6331,6454,6174,6237,265620,39449.0,5525130.0
2012-03-15,6218,6218,6079,6114,55527,38676.0,5525130.0
2012-03-16,6113,6218,5974,6018,50376,38068.0,5525130.0
2012-03-19,6096,6096,5991,6053,29387,38289.0,5525130.0
2012-03-20,6053,6105,5912,5983,60714,37847.0,5525130.0
2012-03-21,6043,6087,5851,5878,80620,37184.0,5525130.0
2012-03-22,5878,5965,5781,5843,42663,36963.0,5525130.0
2012-03-23,5843,5895,5676,5817,31030,36797.0,5525130.0
2012-03-26,5764,5930,5764,5835,25847,36908.0,5525130.0
2012-03-27,5834,5895,5676,5704,45625,36079.0,5525130.0
2012-03-28,5633,5834,5511,5564,35383,35195.0,5525130.0
2012-03-29,5694,5694,5458,5503,39518,34808.0,5525130.0
2012-03-30,5511,5712,5380,5503,18753,34808.0,5525130.0
2012-04-02,5519,5616,5432,5564,25685,35195.0,5525130.0
2012-04-03,5607,5607,5502,5529,24365,34974.0,5525130.0
2012-04-04,5529,5720,5441,5442,36116,34422.0,5525130.0
2012-04-05,5467,5589,5467,5503,51078,34808.0,5525130.0
2012-04-06,5545,5747,5476,5747,37787,36355.0,5525130.0
2012-04-09,5676,5930,5624,5730,64083,36245.0,5525130.0
2012-04-10,5729,6026,5642,5835,74900,36908.0,5525130.0
2012-04-12,6000,6087,5720,5966,63075,37737.0,5525130.0
2012-04-13,5895,6200,5895,6176,139741,39063.0,5525130.0
2012-04-16,6174,6288,6122,6254,76314,39560.0,5525130.0
2012-04-17,6244,6253,6061,6079,69711,38455.0,5525130.0
2012-04-18,6113,6184,5895,5904,62425,37350.0,5525130.0
2012-04-19,5843,6017,5720,5826,53166,36853.0,5525130.0
2012-04-20,5834,5974,5720,5896,38786,37295.0,5525130.0
2012-04-23,5851,5965,5676,5686,28560,35969.0,5525130.0
2012-04-24,5572,5720,5555,5599,31315,35416.0,5525130.0
2012-04-25,5703,5895,5572,5573,54218,35250.0,5525130.0
2012-04-26,5755,5755,5432,5433,36490,34366.0,5525130.0
2012-04-27,5607,5607,5476,5564,23388,35195.0,5525130.0
2012-04-30,5676,5676,5502,5590,21846,35361.0,5525130.0
2012-05-02,5799,5799,5563,5747,19437,36355.0,5525130.0
2012-05-03,5851,5851,5607,5704,10123,36079.0,5525130.0
2012-05-04,5712,5712,5502,5660,14885,35803.0,5525130.0
2012-05-07,5624,5624,5502,5573,9801,35250.0,5525130.0
2012-05-08,5686,5686,5563,5608,23760,35471.0,5525130.0
2012-05-09,5633,5755,5502,5573,8944,35250.0,5525130.0
2012-05-10,5676,5676,5441,5581,11105,35306.0,5525130.0
2012-05-11,5572,5572,5414,5503,26717,34808.0,5525130.0
2012-05-14,5502,5502,5240,5241,25279,33151.0,5525130.0
2012-05-15,5231,5275,4908,5241,25686,33151.0,5525130.0
2012-05-16,5118,5266,4978,5110,7561,32322.0,5525130.0
2012-05-17,5031,5240,4987,5223,10148,33040.0,5525130.0
2012-05-18,5083,5126,4890,5049,12644,31935.0,5525130.0
2012-05-21,4847,5100,4847,4892,6390,30941.0,5525130.0
2012-05-22,5004,5083,4847,4856,19407,30720.0,5525130.0
2012-05-23,4847,4978,4803,4813,11844,30443.0,5525130.0
2012-05-24,4873,4934,4812,4856,6588,30720.0,5525130.0
2012-05-25,4900,5388,4847,5241,42782,33151.0,5525130.0
2012-05-29,5135,5283,4960,5049,13216,31935.0,5525130.0
2012-05-30,5144,5275,5083,5128,5510,32433.0,5525130.0
2012-05-31,5162,5162,4890,5118,5825,32377.0,5525130.0
2012-06-01,5144,5162,5031,5154,3605,32598.0,5525130.0
2012-06-04,5065,5240,4890,4997,24414,31604.0,5525130.0
2012-06-05,5021,5301,5021,5154,11116,32598.0,5525130.0
2012-06-07,5240,5293,5196,5275,14778,33372.0,5525130.0
