앱클론(174900),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-09-18,20000,26000,20000,26000,3519415,176800.0,6800000.0
2017-09-19,29650,32250,27100,30050,4833385,204340.0,6800000.0
2017-09-20,30500,31700,28150,28150,1647468,191420.0,6800000.0
2017-09-21,27600,27950,23700,25200,1129294,171360.0,6800000.0
2017-09-22,26050,30450,25700,26500,3459388,180200.0,6800000.0
2017-09-25,26000,26300,23450,23500,778994,159800.0,6800000.0
2017-09-26,24700,26700,23500,23700,746813,161160.0,6800000.0
2017-09-27,23800,24500,22500,23750,463158,161500.0,6800000.0
2017-09-28,24750,25300,23650,24200,357729,164560.0,6800000.0
2017-09-29,24100,24100,22400,22650,389300,154020.0,6800000.0
2017-10-10,22450,22700,20600,21000,431867,142800.0,6800000.0
2017-10-11,20950,21300,20150,21050,233369,143140.0,6800000.0
2017-10-12,22400,27350,22300,27350,3188047,185980.0,6800000.0
2017-10-13,28250,28350,25500,26350,2361863,179180.0,6800000.0
2017-10-16,26000,28550,25700,26500,1642586,180200.0,6800000.0
2017-10-17,26300,28000,25650,26900,1300011,182920.0,6800000.0
2017-10-18,26500,27900,26300,27100,1162907,184280.0,6800000.0
2017-10-19,28750,31250,28150,30200,3106675,205360.0,6800000.0
2017-10-20,29450,31000,29200,30700,873149,208760.0,6800000.0
2017-10-23,31050,35700,31000,33550,2657733,228140.0,6800000.0
2017-10-24,33350,34300,31700,33300,1183113,226440.0,6800000.0
2017-10-25,38200,39500,34800,35000,2925475,238000.0,6800000.0
2017-10-26,35950,37950,35500,37400,1542500,254320.0,6800000.0
2017-10-27,39200,48000,38500,46700,4802063,317560.0,6800000.0
2017-10-30,49700,60700,49050,60700,3341402,412760.0,6800000.0
2017-10-31,61300,68500,56000,61500,3424991,418200.0,6800000.0
2017-11-01,59200,61700,56100,59400,1524085,403920.0,6800000.0
2017-11-02,57600,58900,49900,51500,1679990,350200.0,6800000.0
2017-11-03,51100,59100,51100,57900,2091959,393720.0,6800000.0
2017-11-06,61800,63800,57500,62200,1130381,422960.0,6800000.0
2017-11-07,64600,64600,57700,61400,825626,417520.0,6800000.0
2017-11-08,59800,61900,57000,61400,735048,417520.0,6800000.0
2017-11-09,61400,61500,58700,58800,388640,399840.0,6800000.0
2017-11-10,57000,60500,55300,59000,533998,401200.0,6800000.0
2017-11-13,59100,63000,57600,63000,684080,428400.0,6800000.0
2017-11-14,62300,68100,61800,68100,939274,463080.0,6800000.0
2017-11-15,66600,74200,66000,69500,1163274,472600.0,6800000.0
2017-11-16,71000,71100,66100,70200,487587,477360.0,6800000.0
2017-11-17,70000,76400,68100,71100,568498,483480.0,6800000.0
2017-11-20,72000,74600,70100,72700,437630,494360.0,6800000.0
2017-11-21,74500,94400,72900,87100,1574473,592280.0,6800000.0
2017-11-22,88300,95300,79000,88000,1232131,598400.0,6800000.0
2017-11-23,84200,88500,80200,88000,603146,598400.0,6800000.0
2017-11-24,91300,94300,85200,85200,550265,579360.0,6800000.0
2017-11-27,79900,84200,72900,75900,865712,516120.0,6800000.0
2017-11-28,77000,79200,59000,60500,1917602,411400.0,6800000.0
2017-11-29,61400,63100,54200,59000,2139536,401200.0,6800000.0
2017-11-30,61900,68400,59300,64300,2076415,437240.0,6800000.0
2017-12-01,67700,68100,62100,63200,762339,429760.0,6800000.0
2017-12-04,60700,61900,55400,58300,692229,396440.0,6800000.0
2017-12-05,57100,57700,49800,51500,919868,350200.0,6800000.0
2017-12-06,52500,58200,52100,54700,965093,371960.0,6800000.0
2017-12-07,63600,70700,61500,64400,2406270,437920.0,6800000.0
2017-12-08,65300,66400,52700,52800,1019358,359040.0,6800000.0
2017-12-11,52800,53900,49850,53400,465339,363120.0,6800000.0
2017-12-12,54400,55200,51900,52900,336029,359720.0,6800000.0
2017-12-13,54000,57100,53600,56800,414320,386240.0,6800000.0
2017-12-14,56200,56900,54400,54800,215019,372640.0,6800000.0
2017-12-15,54800,60200,53000,57900,598739,393720.0,6800000.0
2017-12-18,56400,57600,55000,55200,284251,375360.0,6800000.0
2017-12-19,55300,56000,50100,56000,360529,380800.0,6800000.0
2017-12-20,54500,56200,53100,53700,243638,365160.0,6800000.0
2017-12-21,53700,56700,53400,54500,234070,370600.0,6800000.0
2017-12-22,56000,66100,55200,61200,1960548,416160.0,6800000.0
2017-12-26,61700,67200,60600,62400,890690,424320.0,6800000.0
2017-12-27,65300,65900,62000,63900,482830,434520.0,6800000.0
2017-12-28,63800,66000,61300,65700,501661,446760.0,6800000.0
2018-01-02,65300,69800,64700,69000,545581,469200.0,6800000.0
2018-01-03,69800,73600,67300,73000,768543,496400.0,6800000.0
2018-01-04,72900,75700,68200,70200,515149,477360.0,6800000.0
2018-01-05,70300,72800,69000,71300,356821,484840.0,6800000.0
2018-01-08,72000,72100,67500,67700,361829,460360.0,6800000.0
2018-01-09,68100,71500,66000,68000,481900,462400.0,6800000.0
2018-01-10,68800,69900,64800,65800,271600,447440.0,6800000.0
2018-01-11,66400,69500,66200,68300,243984,464440.0,6800000.0
2018-01-12,68500,71300,66500,67900,395014,461720.0,6800000.0
2018-01-15,69700,84200,67900,82300,1123503,559640.0,6800000.0
2018-01-16,79000,80000,73300,79200,823164,538560.0,6800000.0
2018-01-17,78100,83200,77100,77600,557178,527680.0,6800000.0
2018-01-18,77000,81600,74200,80200,554599,545360.0,6800000.0
2018-01-19,80300,83600,74000,76000,453913,516800.0,6800000.0
2018-01-22,74900,75100,70200,71900,256780,488920.0,6800000.0
2018-01-23,73300,76300,72500,75800,248108,515440.0,6800000.0
2018-01-24,77000,79000,75000,76000,345852,516800.0,6800000.0
2018-01-25,75000,75400,72600,74100,224881,503880.0,6800000.0
2018-01-26,74800,76100,73000,75500,209277,513400.0,6800000.0
2018-01-29,76000,79200,73800,77900,440755,529720.0,6800000.0
2018-01-30,79100,82100,75900,76200,510493,518160.0,6800000.0
2018-01-31,73500,74600,71000,72000,321172,489600.0,6800000.0
2018-02-01,71900,73000,68500,68500,235471,465800.0,6800000.0
2018-02-02,68500,69200,65100,67000,226451,455600.0,6800000.0
2018-02-05,64000,65500,59000,59000,244452,401200.0,6800000.0
2018-02-06,55000,58200,52800,58000,334986,394400.0,6800000.0
2018-02-07,59800,61200,55000,55000,239255,374000.0,6800000.0
2018-02-08,56500,58000,54900,57800,147909,393040.0,6800000.0
2018-02-09,54000,56200,54000,55700,146695,378760.0,6800000.0
2018-02-12,56400,57900,55800,55800,85102,379440.0,6800000.0
2018-02-13,56800,56800,54300,54300,74440,369240.0,6800000.0
2018-02-14,54300,55400,53100,55000,90507,374000.0,6800000.0
2018-02-19,55000,57400,54800,56700,109025,385560.0,6800000.0
2018-02-20,57000,57300,55500,55600,86975,378080.0,6800000.0
2018-02-21,56500,59700,55600,59100,154774,401880.0,6800000.0
2018-02-22,58500,60100,57900,59600,103967,405280.0,6800000.0
2018-02-23,61000,61500,59300,59400,90419,403920.0,6800000.0
2018-02-26,60000,61000,57700,58300,89715,396440.0,6800000.0
2018-02-27,59000,59300,56500,57500,118462,391000.0,6800000.0
2018-02-28,61500,64300,58100,59000,635833,401200.0,6800000.0
2018-03-02,57500,58700,56400,58000,119508,394400.0,6800000.0
2018-03-05,58500,58900,55700,55700,109939,378760.0,6800000.0
2018-03-06,56000,56600,54000,55800,96901,379440.0,6800000.0
2018-03-07,56000,60000,54500,57000,244111,387600.0,6800000.0
2018-03-08,58500,59200,57700,58100,112088,395080.0,6800000.0
2018-03-09,58600,59900,58000,59000,122886,401200.0,6800000.0
2018-03-12,59900,60700,58700,60700,122964,412760.0,6800000.0
2018-03-13,61000,62000,59700,60900,122877,414120.0,6800000.0
2018-03-14,60500,61800,60100,61000,85521,414800.0,6800000.0
2018-03-15,60500,62200,60500,61100,117951,415480.0,6800000.0
2018-03-16,62000,66900,61900,66500,456645,452200.0,6800000.0
2018-03-19,65500,68500,65000,66000,240238,448800.0,6800000.0
2018-03-20,64500,65800,62200,65800,201997,447440.0,6800000.0
2018-03-21,65800,69200,65100,67300,304936,457640.0,6800000.0
2018-03-22,68500,69400,62100,63100,253705,429080.0,6800000.0
2018-03-23,58000,60600,53700,54100,355022,367880.0,6800000.0
2018-03-26,54000,57000,52500,56400,163040,383520.0,6800000.0
2018-03-27,56400,57200,55700,55900,104788,380120.0,6800000.0
2018-03-28,55100,55900,53900,54700,86457,371960.0,6800000.0
2018-03-29,54700,56000,54100,55500,70978,377400.0,6800000.0
2018-03-30,55600,56500,55100,55700,67389,378760.0,6800000.0
2018-04-02,56000,56800,55500,56300,67310,382840.0,6800000.0
2018-04-03,55400,56400,55100,56300,50924,382840.0,6800000.0
2018-04-04,56400,59000,55800,57700,153357,392360.0,6800000.0
2018-04-05,58800,59100,57800,57900,82397,393720.0,6800000.0
2018-04-06,57700,57900,55800,56600,73000,384880.0,6800000.0
2018-04-09,55500,58100,55300,57400,108770,390320.0,6800000.0
2018-04-10,57600,68600,57600,66400,1149411,451520.0,6800000.0
2018-04-11,68900,73300,66500,68400,872271,465120.0,6800000.0
2018-04-12,68700,68700,62300,63600,417970,432480.0,6800000.0
2018-04-13,63800,67100,61900,67000,237014,455600.0,6800000.0
