하이즈항공(221840),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-11-25,16200,17650,15050,16800,1785062,293096.0,17446167.0
2015-11-26,17350,17800,16600,17600,552045,307053.0,17446167.0
2015-11-27,17650,18200,17600,17950,258724,313159.0,17446167.0
2015-11-30,18250,18250,17300,17800,119300,310542.0,17446167.0
2015-12-01,17650,18000,17450,17950,123985,313159.0,17446167.0
2015-12-02,17850,17850,17300,17350,131808,302691.0,17446167.0
2015-12-03,17200,17350,16700,16700,83269,291351.0,17446167.0
2015-12-04,16400,17400,16350,17200,67993,300074.0,17446167.0
2015-12-07,17000,17300,16600,16800,72964,293096.0,17446167.0
2015-12-08,17050,17050,15900,16300,127460,284373.0,17446167.0
2015-12-09,16800,16800,15950,16250,76697,283500.0,17446167.0
2015-12-10,16150,16400,15450,16000,88471,279139.0,17446167.0
2015-12-11,16150,16300,15550,15800,36141,275649.0,17446167.0
2015-12-14,15500,15700,14750,14750,88982,257331.0,17446167.0
2015-12-15,15000,15000,13750,14150,112138,246863.0,17446167.0
2015-12-16,14400,14550,13500,13500,122131,235523.0,17446167.0
2015-12-17,13750,14550,13700,14300,192836,249480.0,17446167.0
2015-12-18,14000,14400,14000,14050,68516,245119.0,17446167.0
2015-12-21,13900,14000,13300,13950,106233,243374.0,17446167.0
2015-12-22,13950,14650,13650,13900,119628,242502.0,17446167.0
2015-12-23,13900,14300,13800,14050,85508,245119.0,17446167.0
2015-12-24,14450,15700,14400,15550,368723,271288.0,17446167.0
2015-12-28,15900,15900,14800,15100,174153,263437.0,17446167.0
2015-12-29,15150,15600,14850,15600,72152,272160.0,17446167.0
2015-12-30,15600,15900,15200,15800,69809,275649.0,17446167.0
2016-01-04,15900,15900,15200,15500,78106,270416.0,17446167.0
2016-01-05,15250,15350,14900,14900,73521,259948.0,17446167.0
2016-01-06,14900,14950,14200,14550,103956,253842.0,17446167.0
2016-01-07,15150,15900,14550,14600,194167,254714.0,17446167.0
2016-01-08,14400,14550,14000,14500,69442,252969.0,17446167.0
