이노메트리(302430),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-12,40000,43900,29500,29550,2476264,142582.0,4825108.0
2018-12-13,29900,30600,26950,27250,747694,131484.0,4825108.0
2018-12-14,27200,28100,25450,25750,495050,124247.0,4825108.0
2018-12-17,25750,25950,23650,24150,338823,116526.0,4825108.0
2018-12-18,23750,23900,21750,22200,353690,107117.0,4825108.0
2018-12-19,22500,28400,22100,26600,1534891,128348.0,4825108.0
2018-12-20,25350,25500,23500,23800,470201,114838.0,4825108.0
2018-12-21,24200,27450,22550,23200,1082893,111943.0,4825108.0
2018-12-24,23700,28350,23600,25400,1712043,122558.0,4825108.0
2018-12-26,26700,30450,26500,27350,2053533,131967.0,4825108.0
2018-12-27,27100,27600,25600,25900,528516,124970.0,4825108.0
2018-12-28,25500,25900,24750,25200,340078,121593.0,4825108.0
2019-01-02,26750,27100,25100,25400,296603,122558.0,4825108.0
2019-01-03,25300,25900,23550,23750,231715,114596.0,4825108.0
2019-01-04,23500,23750,22450,23550,151114,113631.0,4825108.0
2019-01-07,24150,24900,23550,24350,194151,117491.0,4825108.0
2019-01-08,24200,24550,23050,23100,140127,111460.0,4825108.0
2019-01-09,23450,23650,22800,23500,138624,113390.0,4825108.0
2019-01-10,25250,26950,24250,25000,957732,120628.0,4825108.0
2019-01-11,24800,24900,23750,23900,176874,115320.0,4825108.0
2019-01-14,23600,24500,23350,23400,119994,112908.0,4825108.0
2019-01-15,24500,25100,23900,24100,311866,116285.0,4825108.0
2019-01-16,24500,24500,23600,23800,111804,114838.0,4825108.0
2019-01-17,23800,24100,23100,23200,94853,111943.0,4825108.0
2019-01-18,23300,23950,22750,23950,123681,115561.0,4825108.0
2019-01-21,23950,25250,23500,24250,167985,117009.0,4825108.0
2019-01-22,24150,26000,24150,24900,352378,120145.0,4825108.0
2019-01-23,25200,26300,25200,25550,282049,123282.0,4825108.0
2019-01-24,25700,29350,25650,28550,725265,137757.0,4825108.0
2019-01-25,28650,30050,28200,29300,344448,141376.0,4825108.0
2019-01-28,29500,29600,27900,27900,166211,134621.0,4825108.0
2019-01-29,27900,28800,27000,28800,160027,138963.0,4825108.0
2019-01-30,29000,31150,28350,29650,302664,143064.0,4825108.0
2019-01-31,30100,31150,28700,29700,292871,143306.0,4825108.0
2019-02-01,30200,30900,29600,30750,125734,148372.0,4825108.0
2019-02-07,30750,31200,29300,30000,97145,144753.0,4825108.0
