모두투어(080160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-07-26,3274,3763,3274,3765,427703,61320.0,4200000.0
2005-07-27,4318,4318,4318,4319,98480,70350.0,4200000.0
2005-07-28,4383,4589,3674,3919,408200,63840.0,4200000.0
2005-07-29,3815,3945,3699,3919,82618,63840.0,4200000.0
2005-08-01,3867,3970,3854,3868,88405,63000.0,4200000.0
2005-08-02,3867,3983,3867,3945,47684,64260.0,4200000.0
2005-08-03,3944,3970,3815,3868,51063,63000.0,4200000.0
2005-08-04,3841,4305,3815,4177,123517,68040.0,4200000.0
2005-08-05,4099,4124,3919,4087,48415,66570.0,4200000.0
2005-08-08,4022,4124,3983,4125,23092,67200.0,4200000.0
2005-08-09,4048,4112,4010,4035,8419,65730.0,4200000.0
2005-08-10,3971,4048,3906,3958,11674,64470.0,4200000.0
2005-08-11,3945,3971,3906,3958,8313,64470.0,4200000.0
2005-08-12,3970,4009,3932,3932,22148,64050.0,4200000.0
2005-08-16,3906,4074,3893,3907,13889,63630.0,4200000.0
2005-08-17,3841,3958,3841,3868,10409,63000.0,4200000.0
2005-08-18,3868,3958,3815,3816,33231,62160.0,4200000.0
2005-08-19,3777,3868,3777,3816,10017,62160.0,4200000.0
2005-08-22,3815,3867,3815,3868,8833,63000.0,4200000.0
2005-08-23,3868,3868,3815,3816,10511,62160.0,4200000.0
2005-08-24,3815,3854,3777,3791,12691,61740.0,4200000.0
2005-08-25,3738,3764,3713,3739,17738,60900.0,4200000.0
2005-08-26,3686,3854,3532,3635,22898,59220.0,4200000.0
2005-08-29,3609,3763,3480,3765,10889,61320.0,4200000.0
2005-08-30,3635,3635,3468,3585,19736,58380.0,4200000.0
2005-08-31,3506,3647,3506,3649,10513,59430.0,4200000.0
2005-09-01,3583,3712,3557,3558,5715,57960.0,4200000.0
2005-09-02,3570,3789,3557,3765,12702,61320.0,4200000.0
2005-09-05,3763,3763,3609,3610,2049,58800.0,4200000.0
2005-09-06,3635,3686,3596,3635,13985,59220.0,4200000.0
2005-09-07,3635,3686,3622,3649,6693,59430.0,4200000.0
2005-09-08,3699,3699,3571,3635,6363,59220.0,4200000.0
2005-09-09,3596,3661,3571,3597,3932,58590.0,4200000.0
2005-09-12,3610,3623,3571,3585,10889,58380.0,4200000.0
2005-09-13,3583,3725,3570,3649,4367,59430.0,4200000.0
2005-09-14,3584,3661,3571,3662,5514,59640.0,4200000.0
2005-09-15,3713,3713,3597,3623,1807,59010.0,4200000.0
2005-09-16,3686,3686,3583,3635,8155,59220.0,4200000.0
2005-09-20,3661,3996,3648,3816,67121,62160.0,4200000.0
2005-09-21,3841,3996,3713,3997,36774,65100.0,4200000.0
2005-09-22,3996,4164,3815,3945,31808,64260.0,4200000.0
2005-09-23,3932,3932,3596,3597,40084,58590.0,4200000.0
2005-09-26,3609,3751,3596,3713,69288,60480.0,4200000.0
2005-09-27,3661,3712,3583,3597,17985,58590.0,4200000.0
2005-09-28,3609,3673,3583,3610,60885,58800.0,4200000.0
2005-09-29,3764,4151,3687,4151,265880,67620.0,4200000.0
2005-09-30,4460,4719,4254,4422,257629,72030.0,4200000.0
2005-10-04,4332,4705,4254,4706,187759,76650.0,4200000.0
2005-10-05,4770,4925,4615,4899,118262,79800.0,4200000.0
2005-10-06,4898,5401,4769,5350,93898,87150.0,4200000.0
2005-10-07,5260,5530,4859,5041,159022,82110.0,4200000.0
2005-10-10,4950,5157,4705,5131,80426,83580.0,4200000.0
2005-10-11,5272,5298,5041,5131,58898,83580.0,4200000.0
2005-10-12,5066,5130,4899,4951,36885,80640.0,4200000.0
2005-10-13,4796,4937,4667,4744,50268,77280.0,4200000.0
2005-10-14,4692,5182,4692,5144,116268,83790.0,4200000.0
2005-10-17,5156,5440,5027,5337,169817,86940.0,4200000.0
2005-10-18,5234,5362,5156,5324,39287,86730.0,4200000.0
2005-10-19,5350,5350,4898,5002,40930,81480.0,4200000.0
2005-10-20,4911,5118,4911,5118,26441,83370.0,4200000.0
2005-10-21,5002,5170,4873,5118,14143,83370.0,4200000.0
2005-10-24,5040,5117,4975,4989,13970,81270.0,4200000.0
2005-10-25,4989,5260,4873,5054,48793,82320.0,4200000.0
2005-10-26,5066,5336,4937,5337,61730,86940.0,4200000.0
2005-10-27,5350,5375,5233,5350,47028,87150.0,4200000.0
2005-10-28,5156,5375,5130,5363,33063,87360.0,4200000.0
2005-10-31,5440,5440,5286,5389,28611,87780.0,4200000.0
2005-11-01,5336,5388,5208,5350,24968,87150.0,4200000.0
2005-11-02,5234,5337,5157,5209,20589,84840.0,4200000.0
2005-11-03,5208,5530,5208,5480,89685,89250.0,4200000.0
2005-11-04,5634,5634,5363,5544,35101,90300.0,4200000.0
2005-11-07,5427,5595,5363,5570,20331,90720.0,4200000.0
2005-11-08,5543,5774,5517,5750,54175,93660.0,4200000.0
2005-11-09,5801,5905,5594,5802,21969,94500.0,4200000.0
2005-11-10,5762,5788,5672,5788,14104,94290.0,4200000.0
2005-11-11,5801,6007,5698,6008,48484,97860.0,4200000.0
2005-11-14,6085,6111,5930,6008,17276,97860.0,4200000.0
2005-11-15,5930,6162,5879,6008,25745,97860.0,4200000.0
2005-11-16,5969,6059,5853,6008,42077,97860.0,4200000.0
2005-11-17,5917,6007,5917,6008,13441,97860.0,4200000.0
2005-11-18,5969,6097,5917,6008,65907,97860.0,4200000.0
2005-11-21,5930,6007,5866,6008,21965,97860.0,4200000.0
2005-11-22,6033,6045,5891,6046,33540,98490.0,4200000.0
2005-11-23,6059,6446,6059,6446,34712,105000.0,4200000.0
2005-11-24,6445,6548,6303,6549,32270,106680.0,4200000.0
2005-11-25,6471,6652,6316,6497,40508,105840.0,4200000.0
2005-11-28,6497,6497,6291,6305,26405,102690.0,4200000.0
2005-11-29,6213,6304,5956,6060,52056,98700.0,4200000.0
2005-11-30,5905,6394,5905,6395,35560,104160.0,4200000.0
2005-12-01,6317,6446,6291,6433,19082,104790.0,4200000.0
2005-12-02,6524,6652,6368,6601,27846,107520.0,4200000.0
2005-12-05,6472,6832,6446,6833,16539,111300.0,4200000.0
2005-12-06,6820,7219,6652,7207,19596,117390.0,4200000.0
2005-12-07,7116,7580,6871,7581,27067,123480.0,4200000.0
2005-12-08,7528,7605,6986,6988,32043,113820.0,4200000.0
2005-12-09,6988,6988,6588,6601,39166,107520.0,4200000.0
2005-12-12,6524,6936,6524,6936,28237,112980.0,4200000.0
2005-12-13,6858,6986,6652,6665,33988,108570.0,4200000.0
2005-12-14,6600,6716,6484,6704,29910,109200.0,4200000.0
2005-12-15,6703,7038,6678,7000,32974,114030.0,4200000.0
2005-12-16,6832,7219,6832,7194,26592,117180.0,4200000.0
2005-12-19,7091,7168,6871,7014,33752,114240.0,4200000.0
2005-12-20,6858,7077,6729,6962,42934,113400.0,4200000.0
2005-12-21,6936,6936,6781,6936,19138,112980.0,4200000.0
2005-12-22,6858,6936,6664,6808,17033,110880.0,4200000.0
2005-12-23,6703,6832,6484,6678,25082,108780.0,4200000.0
2005-12-26,6665,6678,6472,6511,20734,106050.0,4200000.0
2005-12-27,6510,6780,6510,6613,21348,107730.0,4200000.0
2005-12-28,6497,6742,6497,6729,14955,109620.0,4200000.0
2005-12-29,6626,7142,6626,6885,32336,112140.0,4200000.0
2006-01-02,7142,7142,6781,6898,23963,112350.0,4200000.0
2006-01-03,6896,6961,6703,6717,23394,109410.0,4200000.0
2006-01-04,6716,7722,6716,7723,126972,125790.0,4200000.0
2006-01-05,7889,7992,7219,7825,104851,127470.0,4200000.0
2006-01-06,7825,7838,7451,7787,57679,126840.0,4200000.0
2006-01-09,7554,7825,7554,7555,35746,123060.0,4200000.0
2006-01-10,7477,7657,7219,7246,24707,118020.0,4200000.0
2006-01-11,7348,7503,7232,7477,35340,121800.0,4200000.0
2006-01-12,7477,8302,7477,8071,115627,131460.0,4200000.0
2006-01-13,8096,8250,7916,8187,46662,133350.0,4200000.0
2006-01-16,8380,8380,7916,8252,41238,134400.0,4200000.0
2006-01-17,8250,8457,8172,8238,18167,134190.0,4200000.0
2006-01-18,8044,8147,7580,8122,17382,132300.0,4200000.0
