에스와이(109610),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-29,1479,1924,1479,1925,2137055,37882.0,6200000.0
2015-12-30,2110,2475,1901,2101,10073520,41354.0,6200000.0
2016-01-04,2591,2730,2475,2732,795655,53754.0,6200000.0
2016-01-05,3228,3465,2906,3198,4933810,62930.0,6200000.0
2016-01-06,3166,3260,2945,3012,2033095,59272.0,6200000.0
2016-01-07,3307,3622,2954,3015,1805232,59334.0,6200000.0
2016-01-08,2841,2948,2689,2883,671540,56730.0,6200000.0
2016-01-11,2803,2853,2667,2687,302726,52886.0,6200000.0
2016-01-12,2642,2771,2563,2621,454559,51584.0,6200000.0
2016-01-13,2652,3401,2645,2946,4023141,57970.0,6200000.0
2016-01-14,3166,3827,3133,3513,5096778,69130.0,6200000.0
2016-01-15,3465,3685,3338,3623,1924350,71300.0,6200000.0
2016-01-18,3905,3984,3559,3796,1935820,74710.0,6200000.0
2016-01-19,3700,3827,3543,3828,1107683,75330.0,6200000.0
2016-01-20,3764,3780,3465,3481,566001,68510.0,6200000.0
2016-01-21,3433,3512,3323,3466,379304,68200.0,6200000.0
2016-01-22,3465,3590,3370,3481,589242,68510.0,6200000.0
2016-01-25,3512,3748,3401,3749,653463,73780.0,6200000.0
2016-01-26,3968,4094,3622,3686,1337740,72540.0,6200000.0
2016-01-27,3795,3858,3417,3450,537304,67890.0,6200000.0
2016-01-28,3448,3543,3354,3402,195671,66960.0,6200000.0
2016-01-29,3401,3732,3370,3733,440790,73470.0,6200000.0
2016-02-01,3653,3732,3590,3686,236994,72540.0,6200000.0
2016-02-02,3669,3700,3512,3513,204173,69130.0,6200000.0
2016-02-03,3496,3606,3465,3591,117750,70680.0,6200000.0
2016-02-04,3543,3780,3480,3781,362244,74400.0,6200000.0
2016-02-05,3717,3780,3606,3733,213638,73470.0,6200000.0
2016-02-11,3527,3637,3480,3529,157585,69440.0,6200000.0
2016-02-12,3465,3590,3338,3497,166361,68820.0,6200000.0
2016-02-15,3590,3811,3512,3796,462077,74710.0,6200000.0
2016-02-16,3780,3905,3637,3781,408503,74400.0,6200000.0
2016-02-17,3890,4835,3827,4458,3044789,87730.0,6200000.0
2016-02-18,4488,5039,4347,4553,1580743,89590.0,6200000.0
2016-02-19,4630,4804,4488,4789,593692,94240.0,6200000.0
2016-02-22,4693,4787,4520,4553,517584,89590.0,6200000.0
2016-02-23,4630,4646,4315,4553,331962,89590.0,6200000.0
2016-02-24,4472,5102,4472,4710,872721,92690.0,6200000.0
2016-02-25,4804,4819,4567,4742,206816,93310.0,6200000.0
2016-02-26,4709,4929,4567,4584,419390,90210.0,6200000.0
2016-02-29,4693,4724,4457,4473,247090,88040.0,6200000.0
2016-03-02,4520,4520,4347,4347,132007,85560.0,6200000.0
2016-03-03,4425,4441,4315,4347,89094,85560.0,6200000.0
2016-03-04,4315,4551,4267,4379,135232,86180.0,6200000.0
2016-03-07,4362,4472,4315,4347,72487,85560.0,6200000.0
2016-03-08,4362,4441,4299,4411,74065,86800.0,6200000.0
2016-03-09,4441,4488,4347,4473,57632,88040.0,6200000.0
2016-03-10,4472,4567,4409,4443,80044,87420.0,6200000.0
2016-03-11,4409,4441,4315,4316,90014,84940.0,6200000.0
2016-03-14,4315,4362,4047,4048,99924,79670.0,6200000.0
2016-03-15,4015,4236,3921,4064,103834,79980.0,6200000.0
2016-03-16,4032,4126,4015,4064,57962,79980.0,6200000.0
2016-03-17,4126,4299,4032,4064,97439,79980.0,6200000.0
2016-03-18,4079,4173,4015,4174,44769,82150.0,6200000.0
2016-03-21,4236,4236,4063,4190,26845,82460.0,6200000.0
2016-03-22,4236,4236,4063,4128,26107,81220.0,6200000.0
2016-03-23,4252,4252,4032,4048,41592,79670.0,6200000.0
2016-03-24,4047,4079,4000,4017,32379,79050.0,6200000.0
2016-03-25,4063,4063,3952,4048,27859,79670.0,6200000.0
2016-03-28,4110,4236,3968,4143,343803,81530.0,6200000.0
2016-03-29,4126,4142,3811,3970,169745,78120.0,6200000.0
2016-03-30,4015,4015,3811,3844,98163,75640.0,6200000.0
2016-03-31,3858,3890,3827,3875,39948,76260.0,6200000.0
2016-04-01,3890,3905,3717,3717,77101,73160.0,6200000.0
2016-04-04,3732,4047,3717,3875,133191,76260.0,6200000.0
2016-04-05,3937,3968,3842,3954,36633,77810.0,6200000.0
2016-04-06,3952,4032,3874,4001,60664,78740.0,6200000.0
2016-04-07,4000,4126,3952,3970,75201,78120.0,6200000.0
2016-04-08,3968,3968,3764,3828,84312,75330.0,6200000.0
2016-04-11,3827,3890,3780,3890,53471,76570.0,6200000.0
2016-04-12,3858,4409,3858,4316,294209,84940.0,6200000.0
2016-04-14,4252,4331,4079,4285,100540,84320.0,6200000.0
2016-04-15,4284,4378,4205,4238,31500,83390.0,6200000.0
2016-04-18,4331,4457,4189,4379,62783,86180.0,6200000.0
2016-04-19,4409,4535,4284,4537,77013,89280.0,6200000.0
2016-04-20,4535,4662,4362,4363,50612,85870.0,6200000.0
2016-04-21,4472,4520,4378,4505,52901,88660.0,6200000.0
2016-04-22,4425,4551,4362,4426,66435,87110.0,6200000.0
