아이에이네트웍스(123010),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-10-31,4500,4500,4500,4500,300,14060.0,3124542.0
2014-11-03,3825,3825,3825,3825,300,11951.0,3124542.0
2014-11-04,3255,3255,3255,3255,400,10170.0,3124542.0
2014-11-05,2770,2770,2770,2770,400,8655.0,3124542.0
2014-11-06,2770,3000,2770,3000,6000,9374.0,3124542.0
2014-11-07,3000,3000,3000,3000,3400,9374.0,3124542.0
2014-11-10,3000,3000,3000,3000,211500,9374.0,3124542.0
2014-11-11,3270,3270,3270,3270,400,10217.0,3124542.0
2014-11-12,3270,3270,3270,3270,0,10217.0,3124542.0
2014-11-13,3270,3270,3270,3270,0,,
2014-11-14,3270,3270,3270,3270,0,,
2014-11-17,3020,3020,3020,3020,1000,9436.0,3124542.0
2014-11-18,3200,3200,3200,3200,400,9999.0,3124542.0
2014-11-19,3200,3200,3100,3100,1000,9686.0,3124542.0
2014-11-20,3280,3280,3280,3280,400,10248.0,3124542.0
2014-11-21,3100,3100,3100,3100,600,9686.0,3124542.0
2014-11-24,3110,3110,3110,3110,0,9717.0,3124542.0
2014-11-25,3110,3110,3110,3110,0,9717.0,3124542.0
2014-11-26,3295,3295,3295,3295,400,10295.0,3124542.0
2014-11-27,3295,3295,3295,3295,0,10295.0,3124542.0
2014-11-28,3295,3295,3295,3295,0,,
2014-12-01,3295,3295,3295,3295,0,,
2014-12-02,3185,3185,3130,3130,500,9780.0,3124542.0
2014-12-03,3130,3130,3130,3130,0,9780.0,3124542.0
2014-12-04,3130,3130,3130,3130,0,,
2014-12-05,3280,3280,3280,3280,400,10248.0,3124542.0
2014-12-08,3280,3280,3280,3280,0,10248.0,3124542.0
2014-12-09,3280,3280,3280,3280,0,,
2014-12-10,3280,3280,3280,3280,0,,
2014-12-11,3280,3280,3280,3280,0,,
2014-12-12,3280,3280,3280,3280,0,,
2014-12-15,3280,3280,3280,3280,0,,
2014-12-16,3280,3280,3280,3280,0,,
2014-12-17,3280,3280,3280,3280,0,,
2014-12-18,3280,3280,3280,3280,0,,
2014-12-19,3300,3300,3300,3300,200,10311.0,3124542.0
2014-12-22,3300,3300,3300,3300,0,10311.0,3124542.0
2014-12-23,3300,3300,3300,3300,0,,
2014-12-24,3000,3000,3000,3000,55000,9374.0,3124542.0
2014-12-26,3000,3000,3000,3000,0,9374.0,3124542.0
2014-12-29,3120,3120,3120,3120,0,9749.0,3124542.0
2014-12-30,3120,3120,3120,3120,0,9749.0,3124542.0
2015-01-02,3120,3120,3120,3120,0,,
2015-01-05,3120,3120,3120,3120,0,,
2015-01-06,3120,3120,3120,3120,0,,
2015-01-07,3120,3120,3120,3120,0,,
2015-01-08,3120,3120,3120,3120,0,,
2015-01-09,3120,3120,3120,3120,0,,
