콜마비앤에이치(200130),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-07-23,10570,11347,10545,10822,5099997,15120.0,7000000.0
2014-07-24,10771,11472,10696,11323,1015263,15820.0,7000000.0
2014-07-25,11322,11723,11222,11523,556760,16100.0,7000000.0
2014-07-28,11522,11572,11247,11348,176759,15855.0,7000000.0
2014-07-29,11121,11372,11121,11273,108406,15750.0,7000000.0
2014-07-30,11272,11422,11197,11373,111176,15890.0,7000000.0
2014-07-31,11372,11698,11297,11523,263567,16100.0,7000000.0
2014-08-01,11623,11623,11372,11523,137905,16100.0,7000000.0
2014-08-04,11522,11648,11447,11649,92581,16275.0,7000000.0
2014-08-05,11648,12650,11547,12174,242735,17010.0,7000000.0
2014-08-06,12274,12800,12274,12801,317161,17885.0,7000000.0
2014-08-07,12800,14528,12800,13828,537748,19320.0,7000000.0
2014-08-08,14178,14178,13426,13828,173982,19320.0,7000000.0
2014-08-11,13777,13777,13301,13327,171072,18620.0,7000000.0
2014-08-12,13301,14003,13201,13527,133146,18900.0,7000000.0
2014-08-13,13777,13777,13301,13327,62350,18620.0,7000000.0
2014-08-14,13677,14278,13326,14128,341154,19740.0,7000000.0
2014-08-18,14278,14378,13852,14279,141564,19950.0,7000000.0
2014-08-19,14378,16357,14378,15932,981184,22260.0,7000000.0
2014-08-20,15931,16232,14954,15531,618091,21700.0,7000000.0
2014-08-21,15530,15530,14929,15331,206720,21420.0,7000000.0
2014-08-22,15756,16783,15230,15531,679185,21700.0,7000000.0
2014-08-25,0,0,0,15531,0,21700.0,7000000.0
2014-08-26,0,0,0,15531,0,,
2014-08-27,0,0,0,15531,0,,
2014-08-28,0,0,0,15531,0,,
2014-08-29,0,0,0,15531,0,,
2014-09-01,0,0,0,15531,0,,
2014-09-02,0,0,0,15531,0,,
2014-09-03,0,0,0,15531,0,,
2014-09-04,0,0,0,15531,0,,
2014-09-05,0,0,0,15531,0,,
2014-09-11,0,0,0,15531,0,,
2014-09-12,0,0,0,15531,0,,
