지와이커머스(111820),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-06-18,4668,5362,4629,5364,3086067,43785.0,3150000.0
2010-06-21,5613,6153,5556,6155,1943809,50242.0,3150000.0
2010-06-22,6539,6829,5362,5750,2900190,46935.0,3150000.0
2010-06-23,5633,5864,5208,5364,1186337,43785.0,3150000.0
2010-06-24,5594,5806,5247,5248,1083157,42840.0,3150000.0
2010-06-25,5151,5324,4919,5055,450781,41265.0,3150000.0
2010-06-28,5073,5227,4880,4920,444959,40162.0,3150000.0
2010-06-29,4957,5362,4783,4785,1124546,39060.0,3150000.0
2010-06-30,4765,4919,4629,4862,349548,39690.0,3150000.0
2010-07-01,4861,4996,4591,4592,388090,37485.0,3150000.0
2010-07-02,4610,4649,4321,4438,287044,36225.0,3150000.0
2010-07-05,4436,4553,4205,4245,274659,34650.0,3150000.0
2010-07-06,4282,4398,4050,4245,461227,34650.0,3150000.0
2010-07-07,4321,4880,4301,4881,1123262,39848.0,3150000.0
2010-07-08,4996,5208,4610,4746,1031967,38745.0,3150000.0
2010-07-09,4803,5188,4706,4881,860236,39848.0,3150000.0
2010-07-12,4938,5054,4629,4631,300565,37800.0,3150000.0
2010-07-13,4668,4726,4379,4380,303488,35752.0,3150000.0
2010-07-14,4475,4726,4398,4553,347269,37170.0,3150000.0
2010-07-15,4610,4668,4359,4360,202544,35595.0,3150000.0
2010-07-16,4475,4668,4379,4573,227593,37328.0,3150000.0
2010-07-19,4533,4745,4533,4573,152657,37328.0,3150000.0
2010-07-20,4610,5169,4475,4920,951870,40162.0,3150000.0
2010-07-21,4938,4976,4726,4920,341061,40162.0,3150000.0
2010-07-22,4957,5092,4745,4746,386045,38745.0,3150000.0
2010-07-23,4822,4957,4706,4881,170370,39848.0,3150000.0
2010-07-26,4900,4996,4706,4727,184910,38588.0,3150000.0
2010-07-27,4745,4861,4301,4380,247246,35752.0,3150000.0
2010-07-28,4398,4553,4301,4495,231660,36698.0,3150000.0
2010-07-29,4455,4533,4167,4206,223022,34335.0,3150000.0
2010-07-30,4263,4436,4070,4110,381349,33548.0,3150000.0
2010-08-02,4108,4167,3973,4110,131512,33548.0,3150000.0
2010-08-03,4128,4205,4012,4033,113947,32918.0,3150000.0
2010-08-04,4050,4128,3916,4033,121457,32918.0,3150000.0
2010-08-05,4050,4089,3954,4033,84436,32918.0,3150000.0
2010-08-06,4031,4186,3973,4090,73098,33390.0,3150000.0
2010-08-09,4108,4186,4050,4129,58399,33705.0,3150000.0
2010-08-10,4128,4186,4012,4013,52856,32760.0,3150000.0
2010-08-11,3993,4070,3812,3816,109994,31154.0,3150000.0
2010-08-12,3707,3711,3607,3624,83774,29578.0,3150000.0
2010-08-13,3661,3726,3634,3716,38711,30334.0,3150000.0
2010-08-16,3626,3711,3553,3554,37018,29012.0,3150000.0
2010-08-17,3553,4070,3487,3936,248611,32130.0,3150000.0
2010-08-18,3935,3973,3826,3878,42849,31658.0,3150000.0
2010-08-19,3877,3896,3753,3755,51991,30650.0,3150000.0
2010-08-20,3765,4282,3707,3916,369199,31972.0,3150000.0
2010-08-23,3954,4128,3954,4071,119933,33232.0,3150000.0
2010-08-24,4089,4089,3857,3994,78078,32602.0,3150000.0
2010-08-25,3973,3973,3846,3897,28674,31815.0,3150000.0
2010-08-26,3857,3935,3838,3839,38832,31342.0,3150000.0
2010-08-27,3834,3854,3668,3689,62546,30114.0,3150000.0
2010-08-30,3684,3916,3684,3839,46289,31342.0,3150000.0
2010-08-31,3838,3857,3773,3774,34532,30807.0,3150000.0
2010-09-01,3746,3854,3742,3743,15228,30555.0,3150000.0
2010-09-02,3792,3792,3688,3704,34574,30240.0,3150000.0
2010-09-03,3781,3781,3680,3681,20012,30051.0,3150000.0
2010-09-06,3742,3742,3653,3681,34842,30051.0,3150000.0
2010-09-07,3707,3916,3707,3820,58883,31185.0,3150000.0
2010-09-08,3761,3877,3761,3843,22526,31374.0,3150000.0
2010-09-09,3896,3896,3781,3782,31122,30870.0,3150000.0
2010-09-10,3769,3808,3757,3770,26395,30776.0,3150000.0
2010-09-13,3795,3834,3753,3755,18354,30650.0,3150000.0
2010-09-14,3726,3765,3645,3651,53037,29799.0,3150000.0
2010-09-15,3665,3695,3584,3665,29166,29925.0,3150000.0
2010-09-16,3665,3781,3626,3627,23196,29610.0,3150000.0
2010-09-17,3626,3626,3575,3577,33040,29200.0,3150000.0
2010-09-20,3588,3615,3530,3530,22019,28822.0,3150000.0
2010-09-24,3553,3638,3553,3612,30796,29484.0,3150000.0
2010-09-27,3653,3653,3588,3612,32641,29484.0,3150000.0
2010-09-28,3580,3580,3530,3530,31241,28822.0,3150000.0
2010-09-29,3549,3572,3510,3527,25212,28791.0,3150000.0
2010-09-30,3603,3649,3530,3639,23449,29704.0,3150000.0
2010-10-01,3607,3726,3591,3696,21753,30177.0,3150000.0
2010-10-04,3695,3799,3684,3735,24351,30492.0,3150000.0
2010-10-05,3734,3765,3626,3665,32417,29925.0,3150000.0
2010-10-06,3668,3703,3615,3616,11026,29516.0,3150000.0
2010-10-07,3699,3734,3618,3674,11673,29988.0,3150000.0
