원익머트리얼즈(104830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-12-28,20000,22500,18600,19250,2197436,223300.0,5800000.0
2011-12-29,19425,19850,18875,19225,236613,223010.0,5800000.0
2012-01-02,19350,19475,17875,18750,235631,217500.0,5800000.0
2012-01-03,18950,20000,18650,19750,254693,229100.0,5800000.0
2012-01-04,19900,19900,18850,18925,110628,219530.0,5800000.0
2012-01-05,18750,19950,18450,19700,117547,228520.0,5800000.0
2012-01-06,19525,19850,18900,19325,29423,224170.0,5800000.0
2012-01-09,19600,19675,19100,19200,40189,222720.0,5800000.0
2012-01-10,19450,19450,18575,18675,53102,216630.0,5800000.0
2012-01-11,18700,18800,17300,17750,83031,205900.0,5800000.0
2012-01-12,18125,18125,17450,18025,43404,209090.0,5800000.0
2012-01-13,17650,18500,17650,18075,31979,209670.0,5800000.0
2012-01-16,17900,18375,17250,18000,24100,208800.0,5800000.0
2012-01-17,18050,18975,18050,18900,53126,219240.0,5800000.0
2012-01-18,19000,19000,18500,18675,16472,216630.0,5800000.0
2012-01-19,18525,18900,18375,18725,30806,217210.0,5800000.0
2012-01-20,18900,18900,17500,18800,31722,218080.0,5800000.0
2012-01-25,18300,18750,18175,18500,27189,214600.0,5800000.0
2012-01-26,18250,18850,17900,18750,61170,217500.0,5800000.0
2012-01-27,18525,18850,18125,18600,60123,215760.0,5800000.0
2012-01-30,17850,19200,17825,19000,188204,220400.0,5800000.0
2012-01-31,19050,19950,18675,19675,123273,228230.0,5800000.0
2012-02-01,19975,19975,19525,19525,37851,226490.0,5800000.0
2012-02-02,19750,20725,19250,20300,107999,235480.0,5800000.0
2012-02-03,20475,20950,20200,20275,69405,235190.0,5800000.0
2012-02-06,20500,20900,19800,20475,53240,237510.0,5800000.0
2012-02-07,20425,20725,19725,20675,32636,239830.0,5800000.0
2012-02-08,20750,20750,20050,20050,33686,232580.0,5800000.0
2012-02-09,19900,20050,19025,19200,115051,222720.0,5800000.0
2012-02-10,19500,19725,19175,19500,55767,226200.0,5800000.0
2012-02-13,19525,20250,19450,20000,45238,232000.0,5800000.0
2012-02-14,19850,20500,19850,20450,38136,237220.0,5800000.0
2012-02-15,20450,21225,20425,21000,56451,243600.0,5800000.0
2012-02-16,20525,21200,20525,21000,27040,243600.0,5800000.0
2012-02-17,21000,21800,21000,21250,40258,246500.0,5800000.0
2012-02-20,21000,21775,21000,21150,21213,245340.0,5800000.0
2012-02-21,21425,21425,20600,21125,26508,245050.0,5800000.0
2012-02-22,21125,24100,21125,23650,89576,274340.0,5800000.0
2012-02-23,23400,24024,20500,23000,49761,266800.0,5800000.0
2012-02-24,22750,24650,22675,24000,44158,278400.0,5800000.0
2012-02-27,24000,24049,22999,23500,27810,272600.0,5800000.0
2012-02-28,23600,23950,23050,23850,23464,276660.0,5800000.0
2012-02-29,23899,24275,23300,23825,27401,276370.0,5800000.0
2012-03-02,23525,23575,22975,23000,22358,266800.0,5800000.0
2012-03-05,23000,23025,21825,22700,57265,263320.0,5800000.0
2012-03-06,22275,22750,21925,22700,26247,263320.0,5800000.0
2012-03-07,22025,23425,22025,22950,17765,266220.0,5800000.0
2012-03-08,22950,23100,22550,22900,10489,265640.0,5800000.0
2012-03-09,22775,23000,22275,22275,29415,258390.0,5800000.0
2012-03-12,22550,23025,22300,23025,27790,267090.0,5800000.0
2012-03-13,23324,23725,21000,23425,28332,271730.0,5800000.0
2012-03-14,23150,23325,22400,22825,32665,264770.0,5800000.0
2012-03-15,22775,22775,21475,22175,47842,257230.0,5800000.0
2012-03-16,22175,22525,21600,22275,11205,258390.0,5800000.0
2012-03-19,22275,22350,21700,21825,13859,253170.0,5800000.0
2012-03-20,22150,22150,21550,21650,6287,251140.0,5800000.0
2012-03-21,21850,22750,21150,22300,12183,258680.0,5800000.0
2012-03-22,22450,23050,22400,22800,12738,264480.0,5800000.0
2012-03-23,22800,23100,22325,22725,4458,263610.0,5800000.0
2012-03-26,22500,22875,21650,21900,29057,254040.0,5800000.0
2012-03-27,22450,22450,21400,21400,7647,248240.0,5800000.0
2012-03-28,21400,21875,21025,21650,9291,251140.0,5800000.0
2012-03-29,21650,21825,20750,21300,12189,247080.0,5800000.0
2012-03-30,21950,21950,20625,21400,20823,248240.0,5800000.0
2012-04-02,21075,21300,20925,21000,1758,243600.0,5800000.0
2012-04-03,20850,21475,20075,20400,10049,236640.0,5800000.0
2012-04-04,20200,20400,19250,20050,16007,232580.0,5800000.0
2012-04-05,19500,21200,19500,21200,16357,245920.0,5800000.0
2012-04-06,21200,21600,20750,20850,8031,241860.0,5800000.0
2012-04-09,21450,21450,20400,20600,1091,238960.0,5800000.0
2012-04-10,20250,21075,19650,20125,9930,233450.0,5800000.0
2012-04-12,19750,20425,19375,20075,12652,232870.0,5800000.0
2012-04-13,19700,20700,19700,20700,16772,240120.0,5800000.0
2012-04-16,20150,20900,20125,20600,1717,238960.0,5800000.0
2012-04-17,20700,21175,20625,21100,6069,244760.0,5800000.0
2012-04-18,21250,21250,20625,20725,4001,240410.0,5800000.0
2012-04-19,20550,21050,20050,21000,5436,248178.0,5909000.0
2012-04-20,20500,20725,20150,20350,10808,240496.0,5909000.0
2012-04-23,20225,20550,20000,20475,7801,241974.0,5909000.0
2012-04-24,19775,20450,19775,20450,2085,241678.0,5909000.0
2012-04-25,20350,20650,20100,20200,10740,238724.0,5909000.0
2012-04-26,20200,20375,19175,20125,27679,237837.0,5909000.0
2012-04-27,19750,20000,19500,19600,13124,231633.0,5909000.0
2012-04-30,19800,19800,18775,19100,14391,225724.0,5909000.0
2012-05-02,18950,19800,18925,19500,14652,230451.0,5909000.0
2012-05-03,19500,20000,19350,20000,15662,236360.0,5909000.0
2012-05-04,20025,20600,19475,19475,6868,230156.0,5909000.0
2012-05-07,19225,19250,18675,18675,12098,220701.0,5909000.0
2012-05-08,18800,19400,18800,19000,13878,224542.0,5909000.0
2012-05-09,19025,20000,18850,20000,11637,236360.0,5909000.0
2012-05-10,20000,21000,19700,21000,18476,248178.0,5909000.0
2012-05-11,21075,21975,20800,21950,18619,259405.0,5909000.0
2012-05-14,21425,22000,20400,22000,25362,259996.0,5909000.0
2012-05-15,22000,22000,20575,21000,28425,248178.0,5909000.0
2012-05-16,21000,21000,19650,20475,21863,241974.0,5909000.0
2012-05-17,20100,21275,20100,21000,127592,248178.0,5909000.0
2012-05-18,20500,20800,20100,20750,7449,245224.0,5909000.0
2012-05-21,20275,21050,20175,20750,20160,245224.0,5909000.0
2012-05-22,20975,21925,20500,21925,18955,259110.0,5909000.0
2012-05-23,21825,21825,20950,21025,17982,248473.0,5909000.0
2012-05-24,21050,21050,20200,20650,31154,244042.0,5909000.0
2012-05-25,20925,20925,20050,20650,18308,244042.0,5909000.0
2012-05-29,20275,20575,20125,20550,11859,242860.0,5909000.0
2012-05-30,20350,20775,19825,20550,10690,242860.0,5909000.0
2012-05-31,20125,20975,20000,20900,6497,246996.0,5909000.0
2012-06-01,20875,20875,20075,20550,16601,242860.0,5909000.0
2012-06-04,20000,20350,19800,20000,15162,236360.0,5909000.0
2012-06-05,19900,20650,19725,20500,13902,242269.0,5909000.0
2012-06-07,20525,20825,20175,20500,13943,242269.0,5909000.0
2012-06-08,20300,20775,20250,20650,3988,244042.0,5909000.0
2012-06-11,20800,21200,20500,21125,11713,249655.0,5909000.0
2012-06-12,21025,21200,20775,21125,10607,249655.0,5909000.0
2012-06-13,21125,21725,21050,21500,16238,254087.0,5909000.0
2012-06-14,21125,21875,21125,21875,9818,258519.0,5909000.0
2012-06-15,21600,22000,21275,21900,7888,258814.0,5909000.0
2012-06-18,21750,22050,21650,21950,9508,259405.0,5909000.0
2012-06-19,21900,21975,21350,21950,14147,259405.0,5909000.0
2012-06-20,21950,22000,21700,21725,1291,256746.0,5909000.0
2012-06-21,21550,22000,21550,21950,11266,259405.0,5909000.0
2012-06-22,21550,21950,21400,21925,6465,259110.0,5909000.0
2012-06-25,21725,22275,21250,21600,11119,255269.0,5909000.0
2012-06-26,21275,21600,21225,21275,9949,251428.0,5909000.0
2012-06-27,21175,21350,20800,20925,6380,247292.0,5909000.0
2012-06-28,20800,21875,20800,21700,8538,256451.0,5909000.0
2012-06-29,21700,22250,21250,22225,24032,262655.0,5909000.0
2012-07-02,22250,22250,21775,21925,825,259110.0,5909000.0
2012-07-03,21800,21875,21100,21200,11723,250542.0,5909000.0
2012-07-04,21100,21625,20775,20950,8403,247587.0,5909000.0
2012-07-05,20950,20950,20000,20275,22508,239610.0,5909000.0
2012-07-06,20275,20275,18950,19125,33454,226019.0,5909000.0
2012-07-09,19000,19625,18750,19250,28728,227496.0,5909000.0
2012-07-10,19475,20100,19200,19950,14907,235769.0,5909000.0
2012-07-11,20200,20200,19625,19900,5317,235178.0,5909000.0
2012-07-12,19900,20100,19500,19500,8329,230451.0,5909000.0
2012-07-13,19575,19750,18950,19475,9620,230156.0,5909000.0
2012-07-16,19500,19900,18900,19125,6623,226019.0,5909000.0
2012-07-17,19125,19475,19075,19125,5513,226019.0,5909000.0
2012-07-18,19125,19750,18750,19400,7072,229269.0,5909000.0
2012-07-19,19500,19500,19025,19450,7629,229860.0,5909000.0
