매일유업(267980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-06-05,94000,94400,83000,85200,1272854,612159.0,7184968.0
2017-06-07,86600,86800,83100,84600,295881,607848.0,7184968.0
2017-06-08,85700,87600,84300,84300,190654,605693.0,7184968.0
2017-06-09,83600,84900,82100,84600,238136,607848.0,7184968.0
2017-06-12,83800,84600,82200,82500,92004,592760.0,7184968.0
2017-06-13,82600,87100,82600,84800,314946,609285.0,7184968.0
2017-06-14,84200,85500,83100,83700,99410,601382.0,7184968.0
2017-06-15,83300,83400,80300,81300,152177,584138.0,7184968.0
2017-06-16,80900,82300,80100,81400,65487,584856.0,7184968.0
2017-06-19,82500,83200,81800,82600,49739,601251.0,7279064.0
2017-06-20,83000,83100,81600,82900,36948,603434.0,7279064.0
2017-06-21,82900,82900,80500,80500,68046,585965.0,7279064.0
2017-06-22,80700,80700,77800,77800,88089,566311.0,7279064.0
2017-06-23,77900,79100,77200,78200,51878,570449.0,7294746.0
2017-06-26,77800,80200,77000,80200,49069,585039.0,7294746.0
2017-06-27,80200,80200,78200,78500,36431,572638.0,7294746.0
2017-06-28,78500,79300,76800,77000,56672,561695.0,7294746.0
2017-06-29,77000,77300,74500,75400,90243,550024.0,7294746.0
2017-06-30,76000,76000,74300,74700,44390,544918.0,7294746.0
2017-07-03,74500,75700,73900,75000,28311,547106.0,7294746.0
2017-07-04,75100,78600,74700,77000,55812,561695.0,7294746.0
2017-07-05,77800,78800,77500,78300,33424,571179.0,7294746.0
2017-07-06,77200,77500,75600,76800,31592,560236.0,7294746.0
2017-07-07,76800,76800,74700,75200,35395,548565.0,7294746.0
2017-07-10,75200,75200,73000,73500,29775,536164.0,7294746.0
2017-07-11,74000,74300,72600,73500,29365,536164.0,7294746.0
2017-07-12,73500,74800,72100,73500,21412,536164.0,7294746.0
2017-07-13,73300,73600,72100,72400,41933,528140.0,7294746.0
2017-07-14,72400,73300,71400,72400,37553,528140.0,7294746.0
2017-07-17,73900,76600,72700,76200,78169,555860.0,7294746.0
2017-07-18,78500,78900,76400,76900,75611,560966.0,7294746.0
2017-07-19,76900,78300,75000,76000,51425,566319.0,7451572.0
2017-07-20,76300,77500,75400,76400,31715,569300.0,7451572.0
2017-07-21,77000,78700,76400,76400,54794,569300.0,7451572.0
2017-07-24,77900,79000,76700,78800,60745,587184.0,7451572.0
2017-07-25,78600,79600,77400,77600,46339,578242.0,7451572.0
2017-07-26,78000,78400,76700,77700,24673,578987.0,7451572.0
2017-07-27,77800,78000,76800,77900,18225,580477.0,7451572.0
2017-07-28,78000,78000,76200,76500,18955,570045.0,7451572.0
2017-07-31,76700,76900,75300,75400,11709,561849.0,7451572.0
2017-08-01,75800,76700,74900,75900,28043,565574.0,7451572.0
2017-08-02,75900,76700,75400,76700,16578,571536.0,7451572.0
2017-08-03,76700,77400,75200,76800,16196,572281.0,7451572.0
2017-08-04,76800,76900,75600,75800,16358,564829.0,7451572.0
2017-08-07,76100,76700,75400,75900,16788,565574.0,7451572.0
2017-08-08,76500,76500,75400,75900,16792,565574.0,7451572.0
2017-08-09,75900,76400,75200,75400,14679,561849.0,7451572.0
2017-08-10,75400,77500,74800,77500,18356,577497.0,7451572.0
2017-08-11,76700,78100,76100,78000,22836,581223.0,7451572.0
2017-08-14,78000,78300,76600,76600,22275,570790.0,7451572.0
2017-08-16,78500,79900,73700,74300,110924,553652.0,7451572.0
2017-08-17,75900,76200,72500,73400,106146,546945.0,7451572.0
2017-08-18,73400,73700,72500,73200,41681,545455.0,7451572.0
2017-08-21,73200,74700,72800,74500,22307,555142.0,7451572.0
2017-08-22,74700,74800,72500,73000,44549,543965.0,7451572.0
2017-08-23,72800,72800,69900,70200,102718,523100.0,7451572.0
2017-08-24,70300,71300,69600,70600,48565,526081.0,7451572.0
2017-08-25,71100,73500,70200,72700,47402,541729.0,7451572.0
2017-08-28,73100,73400,72400,72900,23507,543220.0,7451572.0
2017-08-29,72900,74200,72000,73800,28802,549926.0,7451572.0
2017-08-30,74100,74100,72500,73400,22039,546945.0,7451572.0
2017-08-31,73400,73600,71700,72300,28576,538749.0,7451572.0
2017-09-01,72100,73500,71400,72500,22833,540239.0,7451572.0
2017-09-04,71100,72900,70900,71800,39726,535023.0,7451572.0
2017-09-05,71900,71900,69900,70500,60616,525336.0,7451572.0
2017-09-06,70500,72100,69900,71600,28110,533533.0,7451572.0
2017-09-07,71600,72200,70600,72200,32607,538003.0,7451572.0
2017-09-08,72400,72500,71100,71800,16248,535023.0,7451572.0
2017-09-11,71800,72000,70400,71100,30141,529807.0,7451572.0
2017-09-12,71200,71200,70300,71100,13898,529807.0,7451572.0
2017-09-13,70700,71200,69800,70600,48883,526081.0,7451572.0
2017-09-14,70300,70600,68700,69900,46663,520865.0,7451572.0
2017-09-15,69700,71100,69000,71100,35989,540957.0,7608398.0
2017-09-18,70200,71200,70200,70300,25963,534870.0,7608398.0
